time,Denver,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. J. Nurkic (A. Roberson gains possession),,,,Jump ball: S. Ibaka vs. J. Nurkic (A. Roberson gains possession)
11:48.0,,,0-0,,S. Ibaka misses 2-pt shot from 16 ft
11:47.0,,,0-0,,Offensive rebound by A. Roberson
11:42.0,,,0-0,,R. Westbrook misses 3-pt shot from 24 ft
11:41.0,,,0-0,,Offensive rebound by A. Roberson
11:37.0,,,0-2,2,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Roberson)
11:16.0,W. Chandler misses 3-pt shot from 22 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by S. Ibaka
11:02.0,,,0-2,,Shooting foul by J. Nurkic (drawn by E. Kanter)
11:02.0,,,0-3,1,E. Kanter makes free throw 1 of 2
11:02.0,,,0-4,1,E. Kanter makes free throw 2 of 2
10:52.0,J. Nurkic misses 2-pt shot from 4 ft (block by S. Ibaka),,0-4,,
10:51.0,Offensive rebound by J. Nurkic,,0-4,,
10:50.0,,,0-4,,Personal foul by K. Singler (drawn by J. Nurkic)
10:37.0,T. Lawson misses 2-pt shot from 15 ft,,0-4,,
10:36.0,Offensive rebound by J. Nurkic,,0-4,,
10:36.0,J. Nurkic makes 2-pt shot from 1 ft,2,2-4,,
10:13.0,,,2-4,,R. Westbrook misses 2-pt shot from 15 ft
10:12.0,Defensive rebound by W. Chandler,,2-4,,
10:05.0,D. Gallinari makes 3-pt shot from 25 ft (assist by W. Chandler),3,5-4,,
9:46.0,,,5-6,2,K. Singler makes 2-pt shot from 15 ft (assist by E. Kanter)
9:38.0,Turnover by D. Gallinari (lost ball; steal by A. Roberson),,5-6,,
9:35.0,,,5-6,,Turnover by A. Roberson (lost ball; steal by W. Chandler)
9:31.0,W. Chandler misses 2-pt shot from 8 ft,,5-6,,
9:29.0,Offensive rebound by K. Faried,,5-6,,
9:29.0,K. Faried misses 2-pt shot from 1 ft,,5-6,,
9:27.0,,,5-6,,Defensive rebound by K. Singler
9:24.0,,,5-6,,Oklahoma City full timeout
9:24.0,,,5-6,,D. Waiters enters the game for A. Roberson
9:16.0,,,5-6,,E. Kanter misses 2-pt shot from 1 ft (block by K. Faried)
9:16.0,Defensive rebound by Team,,5-6,,
9:05.0,T. Lawson makes 2-pt shot from 11 ft,2,7-6,,
8:49.0,,,7-8,2,E. Kanter makes 2-pt shot from 5 ft (assist by R. Westbrook)
8:37.0,D. Gallinari makes 3-pt shot from 22 ft (assist by T. Lawson),3,10-8,,
8:25.0,,,10-8,,R. Westbrook misses 2-pt shot from 2 ft (block by W. Chandler)
8:25.0,,,10-8,,Offensive rebound by Team
8:17.0,,,10-10,2,K. Singler makes 2-pt shot from 1 ft
7:58.0,J. Nurkic misses 2-pt shot from 4 ft,,10-10,,
7:57.0,,,10-10,,Defensive rebound by S. Ibaka
7:51.0,,,10-12,2,D. Waiters makes 2-pt shot from 17 ft
7:30.0,W. Chandler misses 2-pt shot from 2 ft,,10-12,,
7:29.0,Offensive rebound by W. Chandler,,10-12,,
7:29.0,W. Chandler makes 2-pt shot from 2 ft,2,12-12,,
7:12.0,,,12-12,,S. Ibaka misses 2-pt shot from 3 ft
7:12.0,Defensive rebound by K. Faried,,12-12,,
6:54.0,K. Faried misses 2-pt shot from 1 ft (block by S. Ibaka),,12-12,,
6:53.0,,,12-12,,Defensive rebound by R. Westbrook
6:48.0,,,12-14,2,R. Westbrook makes 2-pt shot from 1 ft
6:33.0,D. Gallinari misses 2-pt shot from 22 ft,,12-14,,
6:32.0,Offensive rebound by J. Nurkic,,12-14,,
6:30.0,J. Nurkic misses 2-pt shot from 3 ft,,12-14,,
6:28.0,,,12-14,,Defensive rebound by R. Westbrook
6:26.0,,,12-14,,Shooting foul by T. Lawson (drawn by R. Westbrook)
6:26.0,,,12-15,1,R. Westbrook makes free throw 1 of 2
6:26.0,R. Foye enters the game for W. Chandler,,12-15,,
6:26.0,,,12-16,1,R. Westbrook makes free throw 2 of 2
6:15.0,R. Foye misses 3-pt shot from 24 ft,,12-16,,
6:13.0,,,12-16,,Defensive rebound by D. Waiters
6:05.0,,,12-18,2,D. Waiters makes 2-pt shot from 19 ft
5:49.0,Turnover by T. Lawson (bad pass; steal by S. Ibaka),,12-18,,
5:46.0,Personal foul by D. Gallinari (drawn by R. Westbrook),,12-18,,
