time,Indiana,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. R. Hibbert (D. West gains possession),,,,Jump ball: P. Gasol vs. R. Hibbert (D. West gains possession)
11:38.0,R. Hibbert makes 2-pt shot from 11 ft (assist by D. West),2,2-0,,
11:13.0,,,2-0,,T. Snell misses 2-pt shot from 7 ft (block by R. Hibbert)
11:11.0,Defensive rebound by R. Hibbert,,2-0,,
11:00.0,S. Hill misses 2-pt shot from 3 ft (block by M. Dunleavy),,2-0,,
10:58.0,,,2-0,,Defensive rebound by M. Dunleavy
10:51.0,,,2-0,,T. Snell misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by S. Hill,,2-0,,
10:40.0,D. West misses 2-pt shot from 22 ft,,2-0,,
10:39.0,,,2-0,,Defensive rebound by P. Gasol
10:22.0,Personal foul by S. Hill (drawn by P. Gasol),,2-0,,
10:18.0,,,2-0,,A. Brooks misses 3-pt shot from 24 ft
10:17.0,Defensive rebound by C. Miles,,2-0,,
10:06.0,R. Hibbert makes 2-pt shot from 14 ft (assist by D. West),2,4-0,,
9:55.0,,,4-0,,T. Snell misses 2-pt shot from 15 ft
9:54.0,Defensive rebound by S. Hill,,4-0,,
9:49.0,C. Miles misses 3-pt shot from 24 ft,,4-0,,
9:48.0,,,4-0,,Defensive rebound by J. Noah
9:41.0,,,4-3,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah)
9:24.0,S. Hill misses 2-pt shot from 19 ft,,4-3,,
9:23.0,,,4-3,,Defensive rebound by T. Snell
9:17.0,,,4-6,3,M. Dunleavy makes 3-pt shot from 23 ft (assist by A. Brooks)
8:52.0,C. Miles misses 3-pt shot from 26 ft,,4-6,,
8:51.0,,,4-6,,Defensive rebound by T. Snell
8:46.0,,,4-9,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by T. Snell)
8:23.0,D. West misses 2-pt shot from 19 ft,,4-9,,
8:22.0,,,4-9,,Defensive rebound by P. Gasol
8:15.0,,,4-9,,J. Noah misses 2-pt shot from 2 ft (block by D. West)
8:13.0,Defensive rebound by C. Miles,,4-9,,
8:10.0,C. Miles makes 2-pt shot at rim,2,6-9,,
7:42.0,,,6-9,,T. Snell misses 3-pt shot from 23 ft
7:41.0,Defensive rebound by C. Miles,,6-9,,
7:32.0,R. Hibbert misses 2-pt shot from 15 ft,,6-9,,
7:31.0,,,6-9,,Defensive rebound by J. Noah
7:25.0,,,6-11,2,P. Gasol makes 2-pt shot from 13 ft (assist by J. Noah)
7:24.0,Indiana full timeout,,6-11,,
7:02.0,,,6-11,,Violation by J. Noah (def goaltending)
7:02.0,G. Hill makes 2-pt shot from 14 ft,2,8-11,,
6:45.0,,,8-11,,Turnover by P. Gasol (bad pass; steal by S. Hill)
6:31.0,G. Hill misses 3-pt shot from 25 ft,,8-11,,
6:30.0,,,8-11,,Defensive rebound by J. Noah
6:18.0,,,8-11,,P. Gasol misses 2-pt shot from 18 ft
6:17.0,,,8-11,,Offensive rebound by J. Noah
6:17.0,,,8-11,,J. Noah misses 2-pt shot from 2 ft (block by C. Miles)
6:16.0,Defensive rebound by C. Miles,,8-11,,
6:01.0,Shooting foul by P. Gasol (drawn by R. Hibbert),,8-11,,
6:01.0,R. Hibbert makes free throw 1 of 2,1,9-11,,
6:01.0,Technical foul by D. West,,9-11,,
6:01.0,,,9-12,1,A. Brooks makes technical free throw
6:01.0,R. Hibbert makes free throw 2 of 2,1,10-12,,
5:43.0,,,10-12,,M. Dunleavy misses 2-pt shot from 14 ft
5:42.0,Defensive rebound by C. Miles,,10-12,,
5:35.0,Shooting foul by M. Dunleavy (drawn by R. Hibbert),,10-12,,
5:35.0,R. Hibbert makes free throw 1 of 2,1,11-12,,
5:35.0,R. Hibbert makes free throw 2 of 2,1,12-12,,
5:25.0,,,12-12,,A. Brooks misses 2-pt shot from 10 ft
5:24.0,,,12-12,,Offensive rebound by A. Brooks
5:18.0,,,12-12,,Shooting foul by R. Hibbert (drawn by J. Noah)
5:18.0,,,12-13,1,J. Noah makes free throw 1 of 2
5:18.0,,,12-13,,J. Noah misses free throw 2 of 2
5:16.0,Defensive rebound by R. Hibbert,,12-13,,
5:02.0,C. Miles makes 3-pt shot from 24 ft (assist by S. Hill),3,15-13,,
4:52.0,,,15-15,2,A. Brooks makes 2-pt shot from 2 ft
4:36.0,,,15-15,,Personal foul by A. Brooks (drawn by G. Hill)
4:36.0,,,15-15,,N. Mohammed enters the game for J. Noah
4:36.0,R. Stuckey enters the game for S. Hill,,15-15,,
4:27.0,R. Stuckey misses 2-pt shot from 12 ft,,15-15,,
4:26.0,,,15-15,,Defensive rebound by Team
4:09.0,,,15-17,2,A. Brooks makes 2-pt shot from 7 ft
3:56.0,Turnover by G. Hill (offensive foul),,15-17,,
3:56.0,Offensive foul by G. Hill,,15-17,,
3:56.0,I. Mahinmi enters the game for R. Hibbert,,15-17,,
3:45.0,,,15-17,,P. Gasol misses 2-pt shot from 7 ft
3:44.0,Defensive rebound by D. West,,15-17,,
3:33.0,C. Miles makes 3-pt shot from 23 ft (assist by D. West),3,18-17,,
3:14.0,,,18-20,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by P. Gasol)
2:46.0,D. West misses 2-pt shot from 1 ft,,18-20,,
2:45.0,,,18-20,,Defensive rebound by N. Mohammed
2:36.0,,,18-20,,A. Brooks misses 2-pt shot from 16 ft
2:35.0,Defensive rebound by I. Mahinmi,,18-20,,
2:28.0,G. Hill misses 3-pt shot from 24 ft,,18-20,,
2:27.0,Offensive rebound by D. West,,18-20,,
2:18.0,Turnover by R. Stuckey (bad pass; steal by M. Dunleavy),,18-20,,
2:10.0,,,18-20,,A. Brooks misses 3-pt shot from 24 ft
2:09.0,,,18-20,,Offensive rebound by P. Gasol
2:09.0,,,18-22,2,P. Gasol makes 2-pt shot at rim
1:47.0,G. Hill misses 3-pt shot from 25 ft,,18-22,,
1:46.0,,,18-22,,Defensive rebound by P. Gasol
1:36.0,,,18-22,,N. Mohammed misses 2-pt shot from 11 ft
1:35.0,Defensive rebound by I. Mahinmi,,18-22,,
1:21.0,I. Mahinmi misses 2-pt shot from 18 ft,,18-22,,
1:20.0,,,18-22,,Defensive rebound by P. Gasol
1:12.0,,,18-22,,M. Dunleavy misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by I. Mahinmi,,18-22,,
1:04.0,R. Stuckey makes 2-pt shot from 2 ft,2,20-22,,
0:44.0,,,20-22,,P. Gasol misses 2-pt shot from 5 ft
0:42.0,Defensive rebound by G. Hill,,20-22,,
0:36.0,,,20-22,,Personal foul by A. Brooks (drawn by G. Hill)
0:36.0,,,20-22,,Chicago full timeout
0:36.0,L. Scola enters the game for D. West,,20-22,,
0:36.0,D. Rudez enters the game for C. Miles,,20-22,,
