time,Miami,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. A. Horford (N. Cole gains possession),,,,Jump ball: C. Bosh vs. A. Horford (N. Cole gains possession)
11:43.0,L. Deng misses 2-pt shot from 10 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by P. Millsap
11:25.0,,,0-2,2,A. Horford makes 2-pt shot from 19 ft (assist by K. Korver)
11:10.0,J. Ennis misses 2-pt shot from 11 ft,,0-2,,
11:09.0,,,0-2,,Defensive rebound by P. Millsap
10:55.0,,,0-5,3,A. Horford makes 3-pt shot from 23 ft (assist by J. Teague)
10:35.0,C. Bosh misses 2-pt shot from 18 ft,,0-5,,
10:34.0,,,0-5,,Defensive rebound by P. Millsap
10:18.0,,,0-5,,T. Sefolosha misses 3-pt shot from 25 ft
10:17.0,Defensive rebound by Team,,0-5,,
10:01.0,Turnover by C. Bosh (lost ball; steal by A. Horford),,0-5,,
9:51.0,,,0-5,,Shooting foul by J. Ennis (drawn by A. Horford)
9:51.0,,,0-6,1,A. Horford makes free throw 1 of 2
9:51.0,,,0-7,1,A. Horford makes free throw 2 of 2
9:42.0,Shooting foul by A. Horford (drawn by J. Ennis),,0-7,,
9:42.0,J. Ennis makes free throw 1 of 2,1,1-7,,
9:42.0,J. Ennis misses free throw 2 of 2,,1-7,,
9:41.0,,,1-7,,Defensive rebound by T. Sefolosha
9:26.0,,,1-7,,J. Teague misses 3-pt shot from 25 ft
9:24.0,,,1-7,,Offensive rebound by T. Sefolosha
9:15.0,,,1-10,3,K. Korver makes 3-pt shot from 23 ft (assist by J. Teague)
8:52.0,Turnover by C. Bosh (lost ball; steal by K. Korver),,1-10,,
8:47.0,,,1-12,2,T. Sefolosha makes 2-pt shot at rim (assist by J. Teague)
8:46.0,Miami full timeout,,1-12,,
8:31.0,C. Bosh makes 2-pt shot at rim (assist by N. Cole),2,3-12,,
8:14.0,,,3-14,2,J. Teague makes 2-pt shot from 1 ft (assist by A. Horford)
8:14.0,,,3-14,,Shooting foul by N. Cole (drawn by J. Teague)
8:14.0,,,3-15,1,J. Teague makes free throw 1 of 1
7:51.0,C. Bosh misses 2-pt shot from 20 ft,,3-15,,
7:48.0,Offensive rebound by J. Ennis,,3-15,,
7:41.0,S. Williams misses 2-pt shot from 15 ft,,3-15,,
7:40.0,,,3-15,,Defensive rebound by A. Horford
7:29.0,,,3-15,,P. Millsap misses 2-pt shot from 11 ft
7:27.0,Defensive rebound by C. Bosh,,3-15,,
7:17.0,Turnover by S. Williams (bad pass; steal by T. Sefolosha),,3-15,,
