time,LA Lakers,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Hill (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. J. Hill (Z. Randolph gains possession)
11:41.0,,,0-2,2,T. Allen makes 2-pt shot from 1 ft (assist by M. Gasol)
11:19.0,W. Johnson makes 2-pt shot from 15 ft,2,2-2,,
10:50.0,,,2-2,,M. Gasol misses 2-pt shot from 8 ft
10:49.0,,,2-2,,Offensive rebound by T. Allen
10:38.0,,,2-2,,M. Conley misses 2-pt shot from 1 ft (block by J. Lin)
10:36.0,,,2-2,,Offensive rebound by C. Lee
10:29.0,,,2-4,2,C. Lee makes 2-pt shot from 15 ft
10:17.0,Turnover by K. Bryant (bad pass),,2-4,,
9:59.0,,,2-4,,Z. Randolph misses 2-pt shot from 4 ft
9:57.0,,,2-4,,Offensive rebound by M. Gasol
9:51.0,,,2-4,,Shooting foul by C. Boozer (drawn by Z. Randolph)
9:51.0,,,2-5,1,Z. Randolph makes free throw 1 of 2
9:51.0,,,2-5,,Z. Randolph misses free throw 2 of 2
9:50.0,Defensive rebound by C. Boozer,,2-5,,
9:28.0,J. Hill misses 3-pt shot from 26 ft,,2-5,,
9:26.0,,,2-5,,Defensive rebound by Z. Randolph
9:19.0,,,2-5,,C. Lee misses 2-pt shot from 20 ft
9:16.0,,,2-5,,Offensive rebound by Z. Randolph
9:15.0,,,2-5,,Z. Randolph misses 2-pt shot at rim
9:13.0,Defensive rebound by C. Boozer,,2-5,,
9:06.0,C. Boozer makes 2-pt shot at rim (assist by K. Bryant),2,4-5,,
8:54.0,,,4-5,,M. Conley misses 2-pt shot from 18 ft
8:52.0,,,4-5,,Offensive rebound by M. Gasol
8:37.0,Def 3 sec tech foul by K. Bryant,,4-5,,
8:37.0,,,4-6,1,C. Lee makes technical free throw
8:31.0,Violation by W. Johnson (kicked ball),,4-6,,
8:17.0,,,4-6,,M. Conley misses 2-pt shot from 9 ft
8:15.0,Defensive rebound by K. Bryant,,4-6,,
7:57.0,C. Boozer misses 2-pt shot from 10 ft,,4-6,,
7:54.0,,,4-6,,Defensive rebound by M. Gasol
7:46.0,,,4-8,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Conley)
7:25.0,J. Lin makes 2-pt shot from 2 ft,2,6-8,,
7:12.0,,,6-8,,C. Lee misses 3-pt shot from 23 ft
7:11.0,,,6-8,,Offensive rebound by T. Allen
7:07.0,,,6-8,,T. Allen misses 2-pt shot at rim
7:05.0,Defensive rebound by K. Bryant,,6-8,,
6:59.0,C. Boozer makes 2-pt shot from 1 ft (assist by W. Johnson),2,8-8,,
6:42.0,Personal foul by J. Lin (drawn by C. Lee),,8-8,,
6:33.0,,,8-8,,M. Gasol misses 2-pt shot from 8 ft
6:31.0,Defensive rebound by C. Boozer,,8-8,,
6:21.0,C. Boozer makes 2-pt shot from 16 ft (assist by K. Bryant),2,10-8,,
5:58.0,,,10-10,2,M. Conley makes 2-pt shot from 2 ft
5:39.0,K. Bryant misses 2-pt shot from 20 ft,,10-10,,
5:38.0,,,10-10,,Defensive rebound by C. Lee
5:29.0,,,10-12,2,T. Allen makes 2-pt shot at rim
5:09.0,K. Bryant misses 2-pt shot from 5 ft,,10-12,,
5:08.0,Offensive rebound by J. Hill,,10-12,,
5:06.0,J. Hill misses 2-pt shot from 3 ft,,10-12,,
5:04.0,,,10-12,,Defensive rebound by Z. Randolph
4:56.0,,,10-12,,Memphis full timeout
4:56.0,,,10-12,,V. Carter enters the game for C. Lee
4:51.0,,,10-14,2,M. Conley makes 2-pt shot from 17 ft
4:36.0,W. Johnson misses 3-pt shot from 25 ft,,10-14,,
4:35.0,,,10-14,,Defensive rebound by T. Allen
4:25.0,,,10-14,,Z. Randolph misses 2-pt shot at rim (block by J. Hill)
4:23.0,Defensive rebound by J. Hill,,10-14,,
4:07.0,J. Lin misses 2-pt shot from 6 ft,,10-14,,
4:04.0,,,10-14,,Defensive rebound by Z. Randolph
3:59.0,,,10-14,,M. Conley misses 2-pt shot from 1 ft
3:57.0,,,10-14,,Offensive rebound by T. Allen
3:57.0,,,10-16,2,T. Allen makes 2-pt shot from 1 ft
3:38.0,Turnover by W. Johnson (lost ball),,10-16,,
3:38.0,Loose ball foul by W. Johnson (drawn by V. Carter),,10-16,,
3:38.0,R. Price enters the game for J. Hill,,10-16,,
3:38.0,E. Davis enters the game for J. Lin,,10-16,,
3:21.0,,,10-18,2,M. Gasol makes 2-pt shot from 5 ft (assist by V. Carter)
3:07.0,W. Johnson makes 3-pt shot from 26 ft (assist by E. Davis),3,13-18,,
2:56.0,,,13-18,,Offensive foul by V. Carter
2:56.0,,,13-18,,Turnover by V. Carter (offensive foul)
2:56.0,LA Lakers full timeout,,13-18,,
2:56.0,,,13-18,,K. Koufos enters the game for M. Gasol
2:43.0,K. Bryant makes 2-pt shot from 20 ft (assist by C. Boozer),2,15-18,,
2:26.0,,,15-18,,Shooting foul by K. Bryant (drawn by K. Koufos)
2:26.0,,,15-19,1,K. Koufos makes free throw 1 of 2
2:26.0,X. Henry enters the game for W. Johnson,,15-19,,
2:26.0,,,15-19,,B. Udrih enters the game for M. Conley
2:26.0,,,15-20,1,K. Koufos makes free throw 2 of 2
2:14.0,E. Davis makes 2-pt shot at rim (assist by R. Price),2,17-20,,
1:46.0,,,17-20,,Turnover by Team (shot clock)
1:34.0,C. Boozer misses 2-pt shot from 13 ft,,17-20,,
1:33.0,,,17-20,,Defensive rebound by T. Allen
1:24.0,,,17-22,2,B. Udrih makes 2-pt shot from 11 ft
1:05.0,K. Bryant misses 3-pt shot from 23 ft,,17-22,,
1:04.0,,,17-22,,Defensive rebound by K. Koufos
0:53.0,,,17-22,,Z. Randolph misses 2-pt shot from 15 ft
0:52.0,,,17-22,,Offensive rebound by T. Allen
0:52.0,,,17-24,2,T. Allen makes 2-pt shot at rim
0:39.0,R. Price misses 2-pt shot from 19 ft,,17-24,,
0:37.0,Offensive rebound by K. Bryant,,17-24,,
0:37.0,,,17-24,,Personal foul by K. Koufos (drawn by K. Bryant)
0:28.0,R. Price makes 2-pt shot from 7 ft,2,19-24,,
0:20.0,Personal foul by X. Henry (drawn by V. Carter),,19-24,,
0:20.0,,,19-25,1,V. Carter makes free throw 1 of 2
0:20.0,,,19-25,,Q. Pondexter enters the game for Z. Randolph
0:20.0,,,19-25,,V. Carter misses free throw 2 of 2
0:19.0,Defensive rebound by E. Davis,,19-25,,
0:03.0,K. Bryant misses 3-pt shot from 26 ft,,19-25,,
0:02.0,Offensive rebound by C. Boozer,,19-25,,
0:01.0,C. Boozer makes 2-pt shot at rim,2,21-25,,
0:01.0,,,21-25,,V. Carter misses 3-pt shot from 52 ft
0:00.0,,,21-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,X. Henry misses 2-pt shot from 14 ft,,21-25,,
11:38.0,,,21-25,,Defensive rebound by Q. Pondexter
11:25.0,,,21-25,,Q. Pondexter misses 3-pt shot from 23 ft
11:23.0,Defensive rebound by E. Davis,,21-25,,
11:10.0,X. Henry makes 2-pt shot from 13 ft (assist by R. Sacre),2,23-25,,
10:46.0,,,23-27,2,B. Udrih makes 2-pt shot from 2 ft
10:39.0,R. Sacre makes 2-pt shot at rim (assist by R. Price),2,25-27,,
10:24.0,,,25-27,,V. Carter misses 2-pt shot from 1 ft (block by E. Davis)
10:24.0,Defensive rebound by Team,,25-27,,
10:24.0,,,25-27,,C. Lee enters the game for Q. Pondexter
9:59.0,,,25-27,,Turnover by M. Gasol (bad pass)
9:41.0,R. Sacre misses 2-pt shot from 17 ft,,25-27,,
9:40.0,,,25-27,,Defensive rebound by M. Gasol
9:35.0,,,25-29,2,K. Koufos makes 2-pt shot at rim (assist by M. Gasol)
9:14.0,Turnover by X. Henry (lost ball),,25-29,,
9:03.0,,,25-31,2,B. Udrih makes 2-pt shot from 11 ft (assist by M. Gasol)
8:44.0,R. Price makes 2-pt shot from 2 ft,2,27-31,,
8:31.0,,,27-33,2,B. Udrih makes 2-pt shot from 17 ft
8:20.0,R. Price misses 3-pt shot from 25 ft,,27-33,,
8:19.0,,,27-33,,Defensive rebound by C. Lee
8:12.0,,,27-35,2,C. Lee makes 2-pt shot from 13 ft
8:06.0,LA Lakers full timeout,,27-35,,
8:06.0,W. Johnson enters the game for E. Davis,,27-35,,
8:06.0,J. Hill enters the game for X. Henry,,27-35,,
7:58.0,Turnover by R. Price (lost ball; steal by V. Carter),,27-35,,
7:53.0,,,27-37,2,B. Udrih makes 2-pt shot at rim
7:41.0,W. Johnson makes 2-pt shot from 18 ft (assist by R. Price),2,29-37,,
7:23.0,,,29-39,2,C. Lee makes 2-pt shot from 9 ft (assist by B. Udrih)
7:10.0,W. Johnson makes 3-pt shot from 25 ft (assist by R. Sacre),3,32-39,,
6:52.0,Def 3 sec tech foul by W. Johnson,,32-39,,
6:52.0,,,32-40,1,C. Lee makes technical free throw
6:52.0,,,32-40,,T. Allen enters the game for V. Carter
6:52.0,C. Boozer enters the game for R. Price,,32-40,,
6:52.0,J. Lin enters the game for J. Clarkson,,32-40,,
6:52.0,K. Bryant enters the game for R. Sacre,,32-40,,
6:39.0,,,32-40,,Shooting foul by J. Lin (drawn by M. Gasol)
6:39.0,,,32-41,1,M. Gasol makes free throw 1 of 2
6:39.0,,,32-42,1,M. Gasol makes free throw 2 of 2
6:26.0,J. Hill misses 2-pt shot from 19 ft,,32-42,,
6:26.0,,,32-42,,Defensive rebound by Team
6:26.0,Loose ball foul by C. Boozer (drawn by K. Koufos),,32-42,,
6:13.0,,,32-44,2,T. Allen makes 2-pt shot from 21 ft (assist by C. Lee)
5:59.0,K. Bryant makes 3-pt shot from 22 ft (assist by C. Boozer),3,35-44,,
5:46.0,,,35-44,,Turnover by B. Udrih (lost ball; steal by K. Bryant)
5:42.0,C. Boozer makes 2-pt shot from 1 ft (assist by K. Bryant),2,37-44,,
5:36.0,,,37-44,,Memphis full timeout
5:36.0,,,37-44,,M. Conley enters the game for K. Koufos
5:36.0,,,37-44,,Z. Randolph enters the game for B. Udrih
5:27.0,Violation by C. Boozer (kicked ball),,37-44,,
5:18.0,,,37-44,,M. Conley misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by K. Bryant,,37-44,,
5:05.0,K. Bryant makes 2-pt shot from 15 ft (assist by J. Hill),2,39-44,,
4:43.0,,,39-44,,M. Gasol misses 2-pt shot from 7 ft
4:41.0,Defensive rebound by K. Bryant,,39-44,,
4:35.0,Turnover by K. Bryant (lost ball; steal by C. Lee),,39-44,,
4:23.0,,,39-44,,T. Allen misses 2-pt shot from 8 ft
4:22.0,Defensive rebound by Team,,39-44,,
4:07.0,Shooting foul by M. Conley (drawn by J. Lin),,39-44,,
4:07.0,J. Lin makes free throw 1 of 2,1,40-44,,
4:07.0,,,40-44,,K. Koufos enters the game for M. Gasol
4:07.0,J. Lin makes free throw 2 of 2,1,41-44,,
3:44.0,,,41-44,,M. Conley misses 3-pt shot from 24 ft
3:44.0,,,41-44,,Offensive rebound by Z. Randolph
3:44.0,,,41-44,,Shooting foul by C. Boozer (drawn by Z. Randolph)
3:44.0,,,41-45,1,Z. Randolph makes free throw 1 of 2
3:44.0,E. Davis enters the game for C. Boozer,,41-45,,
3:44.0,,,41-46,1,Z. Randolph makes free throw 2 of 2
3:24.0,K. Bryant misses 2-pt shot from 1 ft,,41-46,,
3:22.0,Offensive rebound by J. Hill,,41-46,,
3:22.0,J. Hill makes 2-pt shot at rim,2,43-46,,
3:11.0,,,43-46,,Shooting foul by E. Davis (drawn by M. Conley)
3:11.0,,,43-47,1,M. Conley makes free throw 1 of 2
3:11.0,,,43-48,1,M. Conley makes free throw 2 of 2
2:54.0,Turnover by J. Lin (lost ball; steal by M. Conley),,43-48,,
2:49.0,,,43-48,,Shooting foul by K. Bryant (drawn by K. Koufos)
2:49.0,Official timeout,,43-48,,
2:49.0,,,43-49,1,K. Koufos makes free throw 1 of 2
2:49.0,,,43-50,1,K. Koufos makes free throw 2 of 2
2:31.0,Shooting foul by Z. Randolph (drawn by K. Bryant),,43-50,,
2:31.0,K. Bryant makes free throw 1 of 2,1,44-50,,
2:31.0,K. Bryant makes free throw 2 of 2,1,45-50,,
2:15.0,,,45-52,2,K. Koufos makes 2-pt shot from 2 ft (assist by M. Conley)
2:02.0,K. Bryant misses 2-pt shot from 12 ft,,45-52,,
2:00.0,,,45-52,,Defensive rebound by K. Koufos
1:57.0,,,45-52,,C. Lee misses 2-pt shot from 1 ft
1:53.0,Defensive rebound by J. Lin,,45-52,,
1:50.0,K. Bryant makes 2-pt shot from 1 ft (assist by J. Lin),2,47-52,,
1:28.0,,,47-52,,Z. Randolph misses 2-pt shot from 1 ft
1:27.0,Defensive rebound by J. Hill,,47-52,,
1:20.0,E. Davis makes 2-pt shot at rim (assist by J. Lin),2,49-52,,
1:04.0,,,49-52,,Shooting foul by J. Hill (drawn by M. Conley)
1:04.0,,,49-53,1,M. Conley makes free throw 1 of 2
1:04.0,,,49-54,1,M. Conley makes free throw 2 of 2
0:49.0,Turnover by J. Hill (lost ball; steal by T. Allen),,49-54,,
0:42.0,,,49-54,,Turnover by T. Allen (lost ball; steal by W. Johnson)
0:39.0,Shooting foul by T. Allen (drawn by J. Lin),,49-54,,
0:39.0,J. Lin makes free throw 1 of 2,1,50-54,,
0:39.0,J. Lin misses free throw 2 of 2,,50-54,,
0:39.0,,,50-54,,Defensive rebound by Z. Randolph
0:27.0,,,50-54,,Turnover by M. Conley (lost ball; steal by K. Bryant)
0:22.0,K. Bryant misses 2-pt shot at rim,,50-54,,
0:21.0,Offensive rebound by J. Hill,,50-54,,
0:21.0,J. Hill makes 2-pt shot at rim,2,52-54,,
0:17.0,,,52-54,,Memphis full timeout
0:17.0,,,52-54,,M. Gasol enters the game for T. Allen
0:17.0,,,52-54,,V. Carter enters the game for K. Koufos
0:00.0,,,52-56,2,C. Lee makes 2-pt shot from 13 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,W. Johnson misses 3-pt shot from 24 ft,,52-56,,
11:34.0,Offensive rebound by J. Hill,,52-56,,
11:34.0,J. Hill misses 2-pt shot from 1 ft (block by T. Allen),,52-56,,
11:34.0,Offensive rebound by Team,,52-56,,
