time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (J. Terry gains possession),,,,Jump ball: A. Bogut vs. D. Howard (J. Terry gains possession)
11:44.0,J. Smith makes 2-pt shot from 16 ft (assist by J. Terry),2,2-0,,
11:26.0,,,2-0,,K. Thompson misses 2-pt shot from 5 ft (block by J. Smith)
11:24.0,,,2-0,,Offensive rebound by A. Bogut
11:17.0,,,2-0,,D. Green misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by T. Ariza,,2-0,,
11:05.0,Shooting foul by A. Bogut (drawn by D. Howard),,2-0,,
11:05.0,D. Howard misses free throw 1 of 2,,2-0,,
11:05.0,Offensive rebound by Team,,2-0,,
11:05.0,D. Howard misses free throw 2 of 2,,2-0,,
11:04.0,,,2-0,,Defensive rebound by D. Green
10:59.0,,,2-2,2,D. Green makes 2-pt shot from 3 ft
10:46.0,J. Smith misses 2-pt shot from 9 ft,,2-2,,
10:45.0,Offensive rebound by J. Smith,,2-2,,
10:44.0,J. Smith makes 2-pt shot from 1 ft,2,4-2,,
10:30.0,,,4-2,,K. Thompson misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by J. Smith,,4-2,,
10:18.0,D. Howard makes 2-pt shot at rim (assist by J. Smith),2,6-2,,
10:01.0,,,6-2,,Turnover by H. Barnes (lost ball; steal by J. Harden)
9:54.0,T. Ariza makes 2-pt shot from 1 ft (assist by J. Smith),2,8-2,,
9:39.0,,,8-2,,S. Curry misses 2-pt shot from 10 ft
9:38.0,Defensive rebound by D. Howard,,8-2,,
9:35.0,Shooting foul by H. Barnes (drawn by J. Harden),,8-2,,
9:35.0,J. Harden misses free throw 1 of 2,,8-2,,
9:35.0,Offensive rebound by Team,,8-2,,
9:35.0,J. Harden makes free throw 2 of 2,1,9-2,,
9:16.0,,,9-2,,D. Green misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by J. Smith,,9-2,,
9:07.0,T. Ariza misses 3-pt shot from 24 ft,,9-2,,
9:06.0,Offensive rebound by J. Terry,,9-2,,
8:57.0,Turnover by D. Howard (lost ball; steal by S. Curry),,9-2,,
8:53.0,,,9-4,2,K. Thompson makes 2-pt shot at rim (assist by S. Curry)
8:39.0,J. Smith misses 3-pt shot from 27 ft,,9-4,,
8:38.0,,,9-4,,Defensive rebound by D. Green
8:26.0,,,9-7,3,K. Thompson makes 3-pt shot from 24 ft (assist by H. Barnes)
8:04.0,Turnover by D. Howard (lost ball; steal by A. Bogut),,9-7,,
8:00.0,Personal foul by J. Harden (drawn by H. Barnes),,9-7,,
7:44.0,,,9-9,2,K. Thompson makes 2-pt shot from 22 ft (assist by D. Green)
7:20.0,Shooting foul by K. Thompson (drawn by D. Howard),,9-9,,
7:20.0,D. Howard misses free throw 1 of 2,,9-9,,
7:20.0,Offensive rebound by Team,,9-9,,
7:20.0,D. Howard makes free throw 2 of 2,1,10-9,,
7:14.0,,,10-11,2,S. Curry makes 2-pt shot from 17 ft
6:57.0,J. Terry misses 2-pt shot from 10 ft,,10-11,,
6:56.0,,,10-11,,Defensive rebound by S. Curry
6:44.0,,,10-11,,D. Green misses 2-pt shot from 5 ft
6:43.0,Defensive rebound by D. Howard,,10-11,,
6:27.0,J. Smith misses 2-pt shot from 17 ft,,10-11,,
6:26.0,Offensive rebound by D. Howard,,10-11,,
6:26.0,D. Howard makes 2-pt shot at rim,2,12-11,,
6:20.0,,,12-11,,H. Barnes misses 3-pt shot from 26 ft
6:13.0,Defensive rebound by J. Smith,,12-11,,
5:59.0,J. Smith misses 2-pt shot from 5 ft,,12-11,,
5:58.0,,,12-11,,Defensive rebound by K. Thompson
5:52.0,,,12-14,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Thompson)
5:50.0,Houston full timeout,,12-14,,
5:50.0,,,12-14,,Golden State full timeout
5:50.0,,,12-14,,A. Iguodala enters the game for H. Barnes
5:50.0,,,12-14,,D. Lee enters the game for A. Bogut
5:50.0,C. Capela enters the game for J. Terry,,12-14,,
5:50.0,T. Jones enters the game for J. Smith,,12-14,,
5:50.0,P. Prigioni enters the game for D. Howard,,12-14,,
5:33.0,T. Ariza makes 2-pt shot from 6 ft (assist by J. Harden),2,14-14,,
5:14.0,,,14-14,,A. Iguodala misses 2-pt shot from 18 ft
5:13.0,Defensive rebound by J. Harden,,14-14,,
5:07.0,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden),2,16-14,,
4:43.0,,,16-14,,K. Thompson misses 2-pt shot from 1 ft
4:42.0,,,16-14,,Offensive rebound by D. Lee
4:40.0,,,16-14,,D. Lee misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by J. Harden,,16-14,,
4:35.0,T. Jones makes 2-pt shot from 2 ft (assist by J. Harden),2,18-14,,
4:27.0,,,18-14,,Turnover by S. Curry (bad pass; steal by C. Capela)
4:24.0,Shooting foul by A. Iguodala (drawn by T. Jones),,18-14,,
4:24.0,T. Jones makes free throw 1 of 2,1,19-14,,
4:24.0,C. Brewer enters the game for T. Ariza,,19-14,,
4:24.0,T. Jones misses free throw 2 of 2,,19-14,,
4:23.0,,,19-14,,Defensive rebound by D. Lee
4:09.0,,,19-14,,Turnover by D. Green (bad pass)
3:59.0,J. Harden misses 2-pt shot from 8 ft,,19-14,,
3:58.0,,,19-14,,Defensive rebound by D. Green
3:53.0,,,19-16,2,D. Lee makes 2-pt shot at rim (assist by A. Iguodala)
3:33.0,T. Jones makes 2-pt shot from 9 ft (assist by P. Prigioni),2,21-16,,
3:19.0,,,21-16,,D. Lee misses 2-pt shot from 7 ft
3:18.0,Defensive rebound by C. Capela,,21-16,,
3:11.0,C. Brewer misses 2-pt shot from 1 ft,,21-16,,
3:10.0,,,21-16,,Defensive rebound by D. Lee
3:03.0,,,21-16,,K. Thompson misses 3-pt shot from 23 ft
3:02.0,Defensive rebound by J. Harden,,21-16,,
2:48.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,23-16,,
2:48.0,,,23-16,,Golden State full timeout
2:48.0,Houston full timeout,,23-16,,
2:48.0,,,23-16,,S. Livingston enters the game for K. Thompson
2:33.0,,,23-19,3,S. Curry makes 3-pt shot from 26 ft (assist by S. Livingston)
2:20.0,J. Harden makes 2-pt shot from 17 ft,2,25-19,,
2:06.0,,,25-19,,S. Livingston misses 2-pt shot from 2 ft (block by C. Capela)
2:03.0,Defensive rebound by C. Capela,,25-19,,
1:51.0,P. Prigioni makes 2-pt shot from 2 ft (assist by C. Capela),2,27-19,,
1:37.0,,,27-22,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
1:26.0,T. Ariza enters the game for J. Harden,,27-22,,
1:26.0,D. Howard enters the game for C. Capela,,27-22,,
1:26.0,,,27-22,,F. Ezeli enters the game for D. Lee
1:23.0,T. Ariza makes 3-pt shot from 23 ft (assist by P. Prigioni),3,30-22,,
1:08.0,,,30-22,,S. Curry misses 3-pt shot from 26 ft
1:06.0,,,30-22,,Offensive rebound by F. Ezeli
1:03.0,,,30-22,,Shooting foul by D. Howard (drawn by S. Livingston)
1:03.0,,,30-23,1,S. Livingston makes free throw 1 of 2
1:03.0,,,30-24,1,S. Livingston makes free throw 2 of 2
0:54.0,,,30-24,,Personal foul by S. Livingston (drawn by C. Brewer)
0:54.0,C. Brewer misses free throw 1 of 2,,30-24,,
0:54.0,Offensive rebound by Team,,30-24,,
0:54.0,C. Brewer makes free throw 2 of 2,1,31-24,,
0:29.0,,,31-24,,D. Green misses 2-pt shot from 17 ft
0:28.0,Defensive rebound by P. Prigioni,,31-24,,
0:07.0,P. Prigioni misses 3-pt shot from 27 ft,,31-24,,
0:06.0,,,31-24,,Defensive rebound by F. Ezeli
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,31-24,,Shooting foul by D. Howard (drawn by L. Barbosa)
11:46.0,,,31-24,,L. Barbosa misses free throw 1 of 2
11:46.0,,,31-24,,Offensive rebound by Team
11:46.0,,,31-25,1,L. Barbosa makes free throw 2 of 2
11:33.0,C. Brewer makes 2-pt shot from 8 ft (assist by P. Prigioni),2,33-25,,
11:15.0,,,33-25,,F. Ezeli misses 2-pt shot from 4 ft (block by T. Jones)
11:14.0,Defensive rebound by D. Howard,,33-25,,
11:08.0,T. Ariza makes 3-pt shot from 26 ft (assist by D. Howard),3,36-25,,
10:56.0,,,36-27,2,S. Livingston makes 2-pt shot from 13 ft
10:38.0,T. Jones misses 2-pt shot from 5 ft,,36-27,,
10:36.0,Offensive rebound by D. Howard,,36-27,,
10:31.0,T. Ariza makes 2-pt shot from 3 ft (assist by T. Jones),2,38-27,,
10:15.0,,,38-29,2,S. Livingston makes 2-pt shot from 11 ft
9:49.0,P. Prigioni makes 2-pt shot from 2 ft,2,40-29,,
9:35.0,,,40-31,2,A. Iguodala makes 2-pt shot from 17 ft (assist by S. Livingston)
9:19.0,D. Howard misses 2-pt shot from 6 ft,,40-31,,
9:18.0,,,40-31,,Defensive rebound by L. Barbosa
