time,Houston,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (J. Barea gains possession),,,,Jump ball: T. Chandler vs. D. Howard (J. Barea gains possession)
11:37.0,,,0-0,,Shooting foul by D. Howard (drawn by A. Aminu)
11:37.0,,,0-0,,A. Aminu misses free throw 1 of 2
11:37.0,,,0-0,,Offensive rebound by Team
11:37.0,,,0-0,,A. Aminu misses free throw 2 of 2
11:36.0,Defensive rebound by T. Jones,,0-0,,
11:20.0,Turnover by J. Harden (bad pass),,0-0,,
11:06.0,,,0-0,,J. Barea misses 3-pt shot from 25 ft
11:05.0,,,0-0,,Offensive rebound by Team
10:59.0,,,0-0,,D. Nowitzki misses 2-pt shot from 18 ft
10:58.0,Defensive rebound by T. Ariza,,0-0,,
10:48.0,J. Harden makes 2-pt shot from 8 ft,2,2-0,,
10:38.0,,,2-2,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
10:24.0,T. Jones makes 2-pt shot from 6 ft (assist by J. Terry),2,4-2,,
10:11.0,,,4-4,2,M. Ellis makes 2-pt shot from 20 ft
9:49.0,,,4-4,,Turnover by A. Aminu (bad pass; steal by J. Terry)
9:38.0,T. Jones makes 2-pt shot at rim (assist by T. Ariza),2,6-4,,
9:29.0,,,6-6,2,T. Chandler makes 2-pt shot at rim (assist by J. Barea)
9:09.0,T. Jones misses 2-pt shot from 2 ft (block by D. Nowitzki),,6-6,,
9:07.0,,,6-6,,Defensive rebound by A. Aminu
9:01.0,,,6-6,,J. Barea misses 2-pt shot from 1 ft
8:59.0,Defensive rebound by D. Howard,,6-6,,
8:52.0,T. Ariza misses 2-pt shot from 21 ft,,6-6,,
8:51.0,,,6-6,,Defensive rebound by A. Aminu
8:37.0,,,6-8,2,M. Ellis makes 2-pt shot from 20 ft
8:16.0,J. Harden misses 3-pt shot from 25 ft,,6-8,,
8:15.0,,,6-8,,Defensive rebound by M. Ellis
8:12.0,,,6-8,,Turnover by M. Ellis (bad pass)
7:54.0,D. Howard makes 2-pt shot from 1 ft,2,8-8,,
7:54.0,Shooting foul by T. Chandler (drawn by D. Howard),,8-8,,
7:54.0,,,8-8,,A. Stoudemire enters the game for T. Chandler
7:54.0,D. Howard misses free throw 1 of 1,,8-8,,
7:54.0,,,8-8,,Defensive rebound by A. Aminu
7:40.0,,,8-10,2,J. Barea makes 2-pt shot from 8 ft
7:23.0,D. Howard makes 2-pt shot from 6 ft,2,10-10,,
7:05.0,,,10-10,,A. Stoudemire misses 2-pt shot from 16 ft
7:04.0,Defensive rebound by T. Jones,,10-10,,
6:56.0,Turnover by D. Howard (lost ball),,10-10,,
6:50.0,,,10-10,,D. Nowitzki misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by T. Jones,,10-10,,
6:45.0,D. Howard makes 2-pt shot at rim (assist by J. Terry),2,12-10,,
6:27.0,,,12-12,2,A. Stoudemire makes 2-pt shot from 18 ft (assist by J. Barea)
6:16.0,Shooting foul by A. Stoudemire (drawn by D. Howard),,12-12,,
6:16.0,D. Howard misses free throw 1 of 2,,12-12,,
6:16.0,Offensive rebound by Team,,12-12,,
6:16.0,,,12-12,,C. Villanueva enters the game for D. Nowitzki
6:16.0,,,12-12,,T. Chandler enters the game for A. Stoudemire
6:16.0,D. Howard misses free throw 2 of 2,,12-12,,
6:15.0,,,12-12,,Defensive rebound by A. Aminu
5:55.0,,,12-15,3,A. Aminu makes 3-pt shot from 25 ft (assist by J. Barea)
5:36.0,T. Jones makes 2-pt shot from 2 ft (assist by J. Harden),2,14-15,,
