time,Philadelphia,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. Z. Pachulia (M. Carter-Williams gains possession),,,,Jump ball: N. Noel vs. Z. Pachulia (M. Carter-Williams gains possession)
11:39.0,Personal block foul by R. Covington (drawn by G. Antetokounmpo),,0-0,,
11:29.0,,,0-0,,Z. Pachulia misses 2-pt shot from 3 ft (block by N. Noel)
11:29.0,,,0-0,,Offensive rebound by Team
11:25.0,,,0-2,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by M. Carter-Williams)
11:00.0,R. Covington misses 3-pt shot from 26 ft,,0-2,,
10:59.0,,,0-2,,Defensive rebound by Z. Pachulia
10:47.0,,,0-2,,Z. Pachulia misses 2-pt shot from 1 ft
10:46.0,,,0-2,,Offensive rebound by E. Ilyasova
10:45.0,,,0-2,,E. Ilyasova misses 2-pt shot at rim
10:44.0,,,0-2,,Offensive rebound by G. Antetokounmpo
10:43.0,,,0-2,,Turnover by G. Antetokounmpo (step out of bounds)
10:34.0,Turnover by L. Mbah a Moute (bad pass; steal by Z. Pachulia),,0-2,,
10:30.0,,,0-4,2,Z. Pachulia makes 2-pt shot at rim
10:13.0,Turnover by N. Noel (lost ball),,0-4,,
9:57.0,,,0-4,,Z. Pachulia misses 2-pt shot from 7 ft
9:56.0,Defensive rebound by L. Mbah a Moute,,0-4,,
9:46.0,Turnover by I. Canaan (bad pass; steal by G. Antetokounmpo),,0-4,,
9:43.0,,,0-6,2,M. Carter-Williams makes 2-pt shot at rim (assist by G. Antetokounmpo)
9:23.0,J. Richardson misses 3-pt shot from 26 ft,,0-6,,
9:21.0,Offensive rebound by Team,,0-6,,
9:12.0,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by I. Canaan),3,3-6,,
9:01.0,,,3-8,2,K. Middleton makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
8:39.0,I. Canaan misses 3-pt shot from 26 ft,,3-8,,
