time,Golden State,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Davis (O. Asik gains possession),,,,Jump ball: A. Bogut vs. A. Davis (O. Asik gains possession)
11:41.0,,,0-0,,Turnover by Q. Pondexter (lost ball; steal by H. Barnes)
11:20.0,H. Barnes misses 2-pt shot from 17 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by T. Evans
11:14.0,,,0-0,,A. Davis misses 2-pt shot from 1 ft
11:13.0,Defensive rebound by A. Bogut,,0-0,,
11:07.0,K. Thompson misses 3-pt shot from 23 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by Team
10:51.0,,,0-3,3,Q. Pondexter makes 3-pt shot from 26 ft (assist by O. Asik)
10:40.0,A. Bogut makes 2-pt shot at rim (assist by K. Thompson),2,2-3,,
10:26.0,Personal foul by H. Barnes (drawn by Q. Pondexter),,2-3,,
10:22.0,,,2-3,,Shooting foul by D. Green (drawn by A. Davis)
10:22.0,,,2-3,,A. Davis misses free throw 1 of 2
10:22.0,,,2-3,,Offensive rebound by Team
10:22.0,,,2-4,1,A. Davis makes free throw 2 of 2
10:03.0,A. Bogut makes 2-pt shot from 7 ft,2,4-4,,
9:42.0,,,4-4,,E. Gordon misses 2-pt shot from 2 ft (block by A. Bogut)
9:41.0,Defensive rebound by A. Bogut,,4-4,,
9:35.0,S. Curry misses 2-pt shot from 23 ft,,4-4,,
9:34.0,,,4-4,,Defensive rebound by A. Davis
9:17.0,,,4-4,,Turnover by T. Evans (lost ball; steal by A. Bogut)
9:09.0,D. Green makes 3-pt shot from 26 ft (assist by A. Bogut),3,7-4,,
8:56.0,,,7-4,,Turnover by T. Evans (bad pass; steal by D. Green)
8:54.0,,,7-4,,Clear path foul by T. Evans
8:54.0,D. Green makes clear path free throw 1 of 2,1,8-4,,
8:54.0,D. Green misses clear path free throw 2 of 2,,8-4,,
8:54.0,Offensive rebound by Team,,8-4,,
8:48.0,K. Thompson misses 3-pt shot from 23 ft,,8-4,,
8:47.0,,,8-4,,Defensive rebound by O. Asik
8:34.0,,,8-7,3,Q. Pondexter makes 3-pt shot from 25 ft (assist by E. Gordon)
8:19.0,Shooting foul by T. Evans (drawn by H. Barnes),,8-7,,
8:19.0,H. Barnes misses free throw 1 of 2,,8-7,,
8:19.0,Offensive rebound by Team,,8-7,,
8:19.0,,,8-7,,N. Cole enters the game for T. Evans
8:19.0,H. Barnes makes free throw 2 of 2,1,9-7,,
7:59.0,,,9-7,,Shooting foul by D. Green (drawn by N. Cole)
7:59.0,,,9-7,,N. Cole misses free throw 1 of 2
7:59.0,,,9-7,,Offensive rebound by Team
7:59.0,M. Speights enters the game for D. Green,,9-7,,
7:59.0,,,9-8,1,N. Cole makes free throw 2 of 2
7:48.0,Turnover by K. Thompson (bad pass; steal by A. Davis),,9-8,,
7:40.0,,,9-8,,Q. Pondexter misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by K. Thompson,,9-8,,
7:17.0,S. Curry makes 2-pt shot from 22 ft,2,11-8,,
6:59.0,,,11-8,,Turnover by Q. Pondexter (bad pass)
6:50.0,S. Curry misses 2-pt shot from 16 ft,,11-8,,
6:48.0,,,11-8,,Defensive rebound by O. Asik
6:39.0,,,11-8,,Offensive charge foul by O. Asik
6:39.0,,,11-8,,Turnover by O. Asik (offensive foul)
6:20.0,H. Barnes makes 2-pt shot from 16 ft,2,13-8,,
6:13.0,,,13-8,,New Orleans full timeout
6:02.0,,,13-8,,N. Cole misses 2-pt shot from 19 ft
6:01.0,Defensive rebound by M. Speights,,13-8,,
5:45.0,A. Bogut misses 2-pt shot from 8 ft,,13-8,,
5:44.0,,,13-8,,Defensive rebound by O. Asik
5:33.0,,,13-11,3,N. Cole makes 3-pt shot from 25 ft (assist by O. Asik)
5:17.0,M. Speights misses 2-pt shot from 19 ft,,13-11,,
5:16.0,,,13-11,,Defensive rebound by E. Gordon
5:07.0,,,13-11,,E. Gordon misses 2-pt shot from 16 ft
5:06.0,Defensive rebound by M. Speights,,13-11,,
4:56.0,K. Thompson misses 2-pt shot from 16 ft,,13-11,,
4:55.0,,,13-11,,Defensive rebound by O. Asik
4:36.0,,,13-11,,Shooting foul by K. Thompson (drawn by Q. Pondexter)
4:36.0,,,13-12,1,Q. Pondexter makes free throw 1 of 3
4:36.0,,,13-13,1,Q. Pondexter makes free throw 2 of 3
4:36.0,A. Iguodala enters the game for H. Barnes,,13-13,,
4:36.0,,,13-13,,R. Anderson enters the game for O. Asik
4:36.0,,,13-14,1,Q. Pondexter makes free throw 3 of 3
4:23.0,S. Curry makes 2-pt shot at rim,2,15-14,,
4:10.0,,,15-14,,N. Cole misses 2-pt shot from 1 ft (block by A. Bogut)
4:08.0,Defensive rebound by S. Curry,,15-14,,
4:03.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,17-14,,
3:50.0,,,17-16,2,E. Gordon makes 2-pt shot from 3 ft (assist by R. Anderson)
3:50.0,,,17-16,,Shooting foul by S. Curry (drawn by E. Gordon)
3:50.0,S. Livingston enters the game for M. Speights,,17-16,,
3:50.0,,,17-17,1,E. Gordon makes free throw 1 of 1
3:30.0,A. Iguodala misses 2-pt shot from 14 ft,,17-17,,
3:29.0,,,17-17,,Defensive rebound by A. Davis
3:21.0,,,17-19,2,A. Davis makes 2-pt shot at rim (assist by N. Cole)
3:05.0,Golden State full timeout,,17-19,,
3:05.0,L. Barbosa enters the game for K. Thompson,,17-19,,
3:02.0,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston),2,19-19,,
2:45.0,,,19-19,,Turnover by N. Cole (bad pass)
2:29.0,A. Bogut misses 2-pt shot from 7 ft,,19-19,,
2:27.0,,,19-19,,Defensive rebound by A. Davis
2:15.0,,,19-19,,R. Anderson misses 3-pt shot from 25 ft
2:14.0,Defensive rebound by S. Livingston,,19-19,,
2:01.0,A. Bogut misses 2-pt shot at rim,,19-19,,
2:00.0,Offensive rebound by A. Bogut,,19-19,,
2:00.0,A. Bogut makes 2-pt shot at rim,2,21-19,,
1:46.0,,,21-19,,E. Gordon misses 2-pt shot from 1 ft (block by A. Bogut)
1:45.0,Defensive rebound by S. Curry,,21-19,,
1:42.0,Shooting foul by R. Anderson (drawn by A. Iguodala),,21-19,,
1:42.0,A. Iguodala makes free throw 1 of 2,1,22-19,,
1:42.0,,,22-19,,T. Douglas enters the game for E. Gordon
1:42.0,,,22-19,,D. Cunningham enters the game for Q. Pondexter
1:42.0,A. Iguodala misses free throw 2 of 2,,22-19,,
1:41.0,,,22-19,,Defensive rebound by A. Davis
1:29.0,,,22-19,,A. Davis misses 2-pt shot from 20 ft
1:28.0,Defensive rebound by A. Iguodala,,22-19,,
1:14.0,S. Livingston makes 2-pt shot at rim (assist by L. Barbosa),2,24-19,,
0:50.0,,,24-19,,T. Douglas misses 3-pt shot from 27 ft
0:48.0,Defensive rebound by A. Iguodala,,24-19,,
0:43.0,A. Iguodala misses 2-pt shot from 2 ft (block by T. Douglas),,24-19,,
0:42.0,,,24-19,,Defensive rebound by Team
0:23.0,,,24-19,,R. Anderson misses 3-pt shot from 26 ft
0:22.0,Defensive rebound by A. Iguodala,,24-19,,
0:02.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala),3,27-19,,
0:00.0,,,27-19,,A. Davis misses 3-pt shot from 60 ft
0:00.0,,,27-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,S. Livingston misses 2-pt shot from 16 ft,,27-19,,
11:40.0,Offensive rebound by D. Lee,,27-19,,
11:40.0,D. Lee makes 2-pt shot from 1 ft,2,29-19,,
11:22.0,,,29-19,,R. Anderson misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by D. Green,,29-19,,
11:09.0,D. Green misses 3-pt shot from 25 ft,,29-19,,
11:08.0,,,29-19,,Defensive rebound by D. Cunningham
10:48.0,,,29-19,,T. Douglas misses 2-pt shot from 3 ft
10:46.0,,,29-19,,Offensive rebound by R. Anderson
10:35.0,,,29-21,2,A. Ajinca makes 2-pt shot from 2 ft (assist by N. Cole)
10:18.0,D. Green makes 2-pt shot from 2 ft (assist by L. Barbosa),2,31-21,,
10:09.0,,,31-21,,R. Anderson misses 2-pt shot from 1 ft
10:08.0,,,31-21,,Offensive rebound by R. Anderson
10:08.0,,,31-23,2,R. Anderson makes 2-pt shot from 1 ft
9:49.0,L. Barbosa misses 2-pt shot from 3 ft,,31-23,,
9:48.0,,,31-23,,Defensive rebound by D. Cunningham
9:42.0,,,31-26,3,R. Anderson makes 3-pt shot from 25 ft (assist by N. Cole)
9:28.0,D. Lee misses 2-pt shot from 21 ft,,31-26,,
9:27.0,,,31-26,,Defensive rebound by D. Cunningham
9:18.0,,,31-26,,D. Cunningham misses 2-pt shot from 17 ft
9:17.0,Defensive rebound by S. Livingston,,31-26,,
9:11.0,A. Iguodala makes 2-pt shot from 6 ft (assist by S. Livingston),2,33-26,,
8:56.0,,,33-28,2,A. Ajinca makes 2-pt shot from 2 ft (assist by N. Cole)
8:40.0,S. Livingston misses 2-pt shot from 6 ft (block by A. Ajinca),,33-28,,
8:39.0,,,33-28,,Defensive rebound by T. Douglas
8:34.0,,,33-28,,N. Cole misses 2-pt shot from 14 ft
8:33.0,Defensive rebound by D. Green,,33-28,,
8:19.0,S. Livingston makes 2-pt shot from 15 ft,2,35-28,,
7:59.0,,,35-28,,R. Anderson misses 2-pt shot from 18 ft
7:58.0,Defensive rebound by L. Barbosa,,35-28,,
7:41.0,A. Iguodala misses 3-pt shot from 26 ft,,35-28,,
7:40.0,Offensive rebound by D. Lee,,35-28,,
7:39.0,D. Lee makes 2-pt shot from 2 ft,2,37-28,,
7:39.0,,,37-28,,New Orleans full timeout
7:39.0,,,37-28,,T. Evans enters the game for N. Cole
7:39.0,,,37-28,,Q. Pondexter enters the game for T. Douglas
7:22.0,,,37-28,,A. Ajinca misses 2-pt shot from 11 ft
7:21.0,Defensive rebound by D. Green,,37-28,,
7:06.0,A. Iguodala misses 2-pt shot from 20 ft,,37-28,,
7:04.0,,,37-28,,Defensive rebound by T. Evans
6:55.0,,,37-30,2,D. Cunningham makes 2-pt shot from 20 ft (assist by T. Evans)
6:43.0,L. Barbosa makes 2-pt shot from 19 ft,2,39-30,,
6:26.0,,,39-30,,Offensive charge foul by Q. Pondexter
6:26.0,,,39-30,,Turnover by Q. Pondexter (offensive foul)
6:26.0,,,39-30,,A. Davis enters the game for A. Ajinca
6:04.0,D. Green misses 2-pt shot at rim,,39-30,,
6:04.0,,,39-30,,Defensive rebound by R. Anderson
5:55.0,,,39-33,3,R. Anderson makes 3-pt shot from 25 ft (assist by A. Davis)
5:47.0,Golden State full timeout,,39-33,,
5:47.0,S. Curry enters the game for A. Iguodala,,39-33,,
5:47.0,K. Thompson enters the game for L. Barbosa,,39-33,,
5:47.0,H. Barnes enters the game for D. Lee,,39-33,,
5:40.0,D. Green makes 2-pt shot from 1 ft (assist by S. Curry),2,41-33,,
5:23.0,,,41-35,2,A. Davis makes 2-pt shot at rim (assist by T. Evans)
5:04.0,K. Thompson misses 3-pt shot from 23 ft,,41-35,,
5:03.0,Offensive rebound by S. Curry,,41-35,,
4:58.0,K. Thompson misses 2-pt shot from 3 ft,,41-35,,
4:58.0,,,41-35,,Defensive rebound by Team
4:58.0,,,41-35,,E. Gordon enters the game for D. Cunningham
4:47.0,,,41-35,,A. Davis misses 2-pt shot from 19 ft
4:46.0,Defensive rebound by K. Thompson,,41-35,,
4:38.0,Turnover by K. Thompson (bad pass; steal by T. Evans),,41-35,,
4:33.0,,,41-37,2,T. Evans makes 2-pt shot from 3 ft
4:17.0,S. Curry misses 2-pt shot from 15 ft,,41-37,,
4:16.0,,,41-37,,Defensive rebound by A. Davis
4:04.0,,,41-37,,Shooting foul by S. Curry (drawn by A. Davis)
4:04.0,,,41-38,1,A. Davis makes free throw 1 of 2
4:04.0,A. Bogut enters the game for S. Livingston,,41-38,,
4:04.0,,,41-38,,A. Davis misses free throw 2 of 2
4:04.0,Defensive rebound by D. Green,,41-38,,
3:52.0,H. Barnes makes 2-pt shot at rim (assist by A. Bogut),2,43-38,,
3:25.0,,,43-38,,T. Evans misses 2-pt shot from 21 ft
3:24.0,Defensive rebound by Team,,43-38,,
3:09.0,,,43-38,,Personal foul by E. Gordon (drawn by K. Thompson)
3:06.0,Offensive foul by A. Bogut,,43-38,,
3:06.0,Turnover by A. Bogut (offensive foul),,43-38,,
2:53.0,,,43-38,,A. Davis misses 2-pt shot from 4 ft (block by A. Bogut)
2:52.0,,,43-38,,Offensive rebound by R. Anderson
2:51.0,,,43-38,,R. Anderson misses 2-pt shot from 2 ft (block by A. Bogut)
