time,Dallas,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. A. Stoudemire (R. Hood gains possession),,,,Jump ball: R. Gobert vs. A. Stoudemire (R. Hood gains possession)
11:37.0,,,0-2,2,D. Exum makes 2-pt shot from 2 ft
11:19.0,A. Stoudemire makes 2-pt shot from 5 ft,2,2-2,,
10:58.0,,,2-2,,R. Gobert misses 2-pt shot at rim
10:57.0,Defensive rebound by C. Villanueva,,2-2,,
10:51.0,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Rondo),3,5-2,,
10:35.0,,,5-4,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
10:26.0,Turnover by R. Jefferson (traveling),,5-4,,
10:10.0,,,5-4,,D. Exum misses 3-pt shot from 23 ft
10:09.0,,,5-4,,Offensive rebound by Team
10:03.0,,,5-4,,R. Hood misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by R. Felton,,5-4,,
9:54.0,C. Villanueva makes 3-pt shot from 24 ft (assist by R. Rondo),3,8-4,,
9:43.0,,,8-4,,Turnover by R. Hood (bad pass; steal by C. Villanueva)
9:35.0,C. Villanueva misses 2-pt shot from 4 ft (block by R. Gobert),,8-4,,
9:33.0,,,8-4,,Defensive rebound by R. Gobert
9:16.0,,,8-4,,J. Ingles misses 3-pt shot from 24 ft
9:15.0,,,8-4,,Offensive rebound by T. Booker
9:02.0,,,8-7,3,D. Exum makes 3-pt shot from 22 ft (assist by R. Hood)
8:42.0,A. Stoudemire misses 2-pt shot from 4 ft,,8-7,,
8:41.0,,,8-7,,Defensive rebound by R. Gobert
8:30.0,,,8-7,,D. Exum misses 3-pt shot from 23 ft
8:28.0,Defensive rebound by R. Rondo,,8-7,,
8:22.0,C. Villanueva misses 3-pt shot from 26 ft,,8-7,,
8:20.0,,,8-7,,Defensive rebound by J. Ingles
8:10.0,,,8-7,,R. Hood misses 3-pt shot from 25 ft
8:10.0,,,8-7,,Offensive rebound by T. Booker
8:10.0,,,8-7,,Shooting foul by C. Villanueva (drawn by T. Booker)
8:10.0,,,8-7,,T. Booker misses free throw 1 of 2
8:10.0,,,8-7,,Offensive rebound by Team
8:10.0,,,8-8,1,T. Booker makes free throw 2 of 2
7:49.0,A. Stoudemire makes 2-pt shot from 2 ft,2,10-8,,
7:37.0,,,10-10,2,T. Booker makes 2-pt shot from 13 ft
7:21.0,A. Stoudemire misses 2-pt shot from 16 ft,,10-10,,
7:20.0,,,10-10,,Defensive rebound by T. Booker
7:04.0,,,10-12,2,J. Ingles makes 2-pt shot from 2 ft
7:04.0,,,10-12,,Shooting foul by A. Stoudemire (drawn by J. Ingles)
7:04.0,,,10-13,1,J. Ingles makes free throw 1 of 1
6:52.0,C. Villanueva makes 2-pt shot from 3 ft (assist by R. Jefferson),2,12-13,,
6:37.0,,,12-13,,Offensive foul by R. Gobert
6:37.0,,,12-13,,Turnover by R. Gobert (offensive foul)
6:22.0,Turnover by R. Rondo (traveling),,12-13,,
6:09.0,,,12-13,,R. Hood misses 2-pt shot from 11 ft
6:08.0,Defensive rebound by A. Stoudemire,,12-13,,
5:56.0,R. Rondo makes 3-pt shot from 22 ft (assist by R. Felton),3,15-13,,
5:49.0,,,15-13,,Utah full timeout
5:43.0,,,15-15,2,T. Booker makes 2-pt shot from 14 ft
5:24.0,R. Rondo makes 2-pt shot from 5 ft (assist by A. Stoudemire),2,17-15,,
