time,Chicago,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,M. Williams misses 2-pt shot from 1 ft
12:00.0,Jump ball: B. Biyombo vs. P. Gasol (M. Williams gains possession),,,,Jump ball: B. Biyombo vs. P. Gasol (M. Williams gains possession)
11:43.0,Defensive rebound by M. Dunleavy,,0-0,,
11:21.0,P. Gasol misses 2-pt shot from 15 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by M. Williams
11:10.0,,,0-0,,G. Henderson misses 2-pt shot from 16 ft
11:08.0,Defensive rebound by T. Snell,,0-0,,
10:48.0,T. Snell misses 2-pt shot from 8 ft,,0-0,,
10:47.0,,,0-0,,Defensive rebound by M. Williams
10:41.0,,,0-2,2,M. Williams makes 2-pt shot from 7 ft
10:17.0,T. Snell makes 3-pt shot from 25 ft (assist by J. Noah),3,3-2,,
10:04.0,,,3-2,,M. Williams misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by P. Gasol,,3-2,,
9:50.0,A. Brooks misses 2-pt shot from 8 ft,,3-2,,
9:50.0,Offensive rebound by P. Gasol,,3-2,,
9:40.0,T. Snell makes 3-pt shot from 24 ft (assist by A. Brooks),3,6-2,,
9:19.0,,,6-4,2,G. Henderson makes 2-pt shot from 15 ft
9:00.0,,,6-4,,Personal foul by B. Biyombo (drawn by P. Gasol)
8:53.0,A. Brooks makes 2-pt shot from 6 ft,2,8-4,,
8:34.0,,,8-4,,M. Williams misses 2-pt shot from 6 ft
8:33.0,,,8-4,,Offensive rebound by B. Biyombo
8:23.0,,,8-7,3,M. Williams makes 3-pt shot from 24 ft
8:09.0,P. Gasol makes 2-pt shot from 16 ft (assist by M. Dunleavy),2,10-7,,
7:56.0,,,10-7,,Shooting foul by M. Dunleavy (drawn by B. Biyombo)
7:56.0,,,10-8,1,B. Biyombo makes free throw 1 of 2
7:56.0,,,10-9,1,B. Biyombo makes free throw 2 of 2
7:42.0,P. Gasol makes 2-pt shot from 5 ft (assist by J. Noah),2,12-9,,
7:24.0,,,12-11,2,M. Williams makes 2-pt shot from 17 ft
7:01.0,A. Brooks makes 3-pt shot from 25 ft (assist by J. Noah),3,15-11,,
6:54.0,,,15-11,,Charlotte full timeout
6:42.0,,,15-11,,B. Biyombo misses 2-pt shot at rim (block by P. Gasol)
6:40.0,Defensive rebound by J. Noah,,15-11,,
6:32.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Noah),3,18-11,,
6:22.0,,,18-11,,Turnover by M. Williams (traveling)
6:04.0,A. Brooks makes 2-pt shot from 12 ft,2,20-11,,
5:50.0,,,20-11,,M. Williams misses 2-pt shot from 18 ft
5:48.0,Defensive rebound by T. Snell,,20-11,,
5:23.0,P. Gasol misses 2-pt shot from 10 ft,,20-11,,
5:22.0,,,20-11,,Defensive rebound by M. Kidd-Gilchrist
5:19.0,,,20-11,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by M. Dunleavy)
5:19.0,,,20-11,,Offensive rebound by Team
5:19.0,,,20-11,,K. Walker enters the game for G. Henderson
5:19.0,N. Mirotic enters the game for J. Noah,,20-11,,
5:12.0,,,20-14,3,M. Williams makes 3-pt shot from 25 ft
4:51.0,A. Brooks makes 2-pt shot from 8 ft,2,22-14,,
4:39.0,,,22-14,,Turnover by M. Williams (step out of bounds)
4:18.0,T. Snell makes 3-pt shot from 22 ft (assist by P. Gasol),3,25-14,,
3:54.0,,,25-14,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
3:52.0,,,25-14,,Offensive rebound by B. Biyombo
3:44.0,,,25-14,,Turnover by M. Williams (bad pass; steal by N. Mirotic)
3:39.0,N. Mirotic misses 2-pt shot from 1 ft,,25-14,,
3:37.0,,,25-14,,Defensive rebound by M. Kidd-Gilchrist
3:22.0,,,25-17,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
3:04.0,P. Gasol makes 2-pt shot from 17 ft (assist by A. Brooks),2,27-17,,
2:45.0,,,27-17,,K. Walker misses 2-pt shot from 14 ft
2:43.0,Defensive rebound by T. Snell,,27-17,,
2:18.0,N. Mirotic misses 3-pt shot from 25 ft,,27-17,,
2:17.0,,,27-17,,Defensive rebound by B. Biyombo
2:05.0,,,27-17,,K. Walker misses 2-pt shot from 1 ft
2:04.0,Defensive rebound by P. Gasol,,27-17,,
1:58.0,A. Brooks makes 3-pt shot from 25 ft (assist by P. Gasol),3,30-17,,
1:50.0,,,30-17,,Charlotte full timeout
1:50.0,Chicago full timeout,,30-17,,
1:50.0,K. Hinrich enters the game for M. Dunleavy,,30-17,,
1:50.0,D. McDermott enters the game for A. Brooks,,30-17,,
1:50.0,,,30-17,,L. Stephenson enters the game for B. Biyombo
1:50.0,,,30-17,,J. Maxiell enters the game for M. Williams
1:37.0,,,30-17,,L. Stephenson misses 2-pt shot from 18 ft
1:36.0,Defensive rebound by N. Mirotic,,30-17,,
1:24.0,N. Mirotic makes 3-pt shot from 25 ft,3,33-17,,
1:02.0,,,33-19,2,K. Walker makes 2-pt shot from 1 ft
0:47.0,Turnover by P. Gasol (bad pass; steal by M. Kidd-Gilchrist),,33-19,,
0:35.0,,,33-19,,K. Walker misses 2-pt shot from 1 ft
0:34.0,Defensive rebound by P. Gasol,,33-19,,
0:21.0,D. McDermott makes 2-pt shot from 1 ft (assist by N. Mirotic),2,35-19,,
0:07.0,Personal take foul by K. Hinrich (drawn by K. Walker),,35-19,,
0:01.0,,,35-19,,K. Walker misses 2-pt shot from 7 ft
0:00.0,Defensive rebound by N. Mirotic,,35-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. McDermott makes 3-pt shot from 25 ft (assist by T. Snell),3,38-19,,
11:25.0,,,38-21,2,L. Stephenson makes 2-pt shot from 7 ft (assist by G. Henderson)
11:13.0,J. Noah misses 2-pt shot from 7 ft,,38-21,,
11:12.0,,,38-21,,Defensive rebound by K. Walker
11:02.0,,,38-21,,K. Walker misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by N. Mirotic,,38-21,,
10:51.0,Shooting foul by L. Stephenson (drawn by D. McDermott),,38-21,,
10:51.0,D. McDermott makes free throw 1 of 2,1,39-21,,
10:51.0,D. McDermott makes free throw 2 of 2,1,40-21,,
10:47.0,,,40-21,,Charlotte full timeout
10:32.0,,,40-23,2,G. Henderson makes 2-pt shot from 1 ft (assist by K. Walker)
10:13.0,K. Hinrich misses 2-pt shot from 17 ft,,40-23,,
10:10.0,,,40-23,,Defensive rebound by L. Stephenson
10:03.0,,,40-23,,Shooting foul by D. McDermott (drawn by G. Henderson)
10:03.0,,,40-24,1,G. Henderson makes free throw 1 of 2
10:03.0,,,40-25,1,G. Henderson makes free throw 2 of 2
9:50.0,D. McDermott makes 3-pt shot from 23 ft (assist by N. Mirotic),3,43-25,,
9:38.0,,,43-25,,Shooting foul by T. Snell (drawn by L. Stephenson)
9:38.0,,,43-25,,L. Stephenson misses free throw 1 of 2
