time,Chicago,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. P. Gasol (J. Noah gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (J. Noah gains possession)
11:43.0,M. Dunleavy misses 2-pt shot at rim,,0-0,,
11:41.0,Offensive rebound by J. Noah,,0-0,,
11:40.0,J. Noah makes 2-pt shot from 1 ft,2,2-0,,
11:22.0,,,2-2,2,A. Drummond makes 2-pt shot from 5 ft
11:06.0,J. Butler makes 2-pt shot from 20 ft (assist by J. Noah),2,4-2,,
10:45.0,,,4-2,,Turnover by A. Drummond (lost ball; steal by P. Gasol)
10:37.0,J. Noah misses 2-pt shot at rim,,4-2,,
10:36.0,,,4-2,,Defensive rebound by G. Monroe
10:15.0,,,4-2,,S. Dinwiddie misses 2-pt shot at rim
10:13.0,Defensive rebound by J. Noah,,4-2,,
10:09.0,Turnover by D. Rose (bad pass; steal by K. Caldwell-Pope),,4-2,,
10:04.0,,,4-2,,K. Caldwell-Pope misses 2-pt shot from 6 ft
10:03.0,Defensive rebound by J. Noah,,4-2,,
9:51.0,J. Noah makes 2-pt shot at rim,2,6-2,,
9:29.0,,,6-2,,K. Caldwell-Pope misses 3-pt shot from 23 ft
9:28.0,Defensive rebound by J. Noah,,6-2,,
9:21.0,D. Rose makes 2-pt shot at rim,2,8-2,,
9:05.0,,,8-2,,C. Butler misses 3-pt shot from 26 ft
9:04.0,Defensive rebound by J. Noah,,8-2,,
9:01.0,Turnover by D. Rose (bad pass),,8-2,,
8:44.0,,,8-2,,K. Caldwell-Pope misses 2-pt shot at rim
8:43.0,,,8-2,,Offensive rebound by A. Drummond
8:42.0,,,8-4,2,A. Drummond makes 2-pt shot at rim
8:27.0,Turnover by J. Noah (lost ball),,8-4,,
8:07.0,,,8-6,2,G. Monroe makes 2-pt shot from 1 ft
7:55.0,Turnover by M. Dunleavy (bad pass; steal by G. Monroe),,8-6,,
7:47.0,,,8-9,3,C. Butler makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
7:22.0,M. Dunleavy misses 2-pt shot from 21 ft,,8-9,,
7:19.0,,,8-9,,Defensive rebound by C. Butler
7:15.0,,,8-12,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by C. Butler)
6:49.0,D. Rose makes 2-pt shot from 21 ft (assist by J. Noah),2,10-12,,
6:24.0,,,10-12,,S. Dinwiddie misses 2-pt shot from 4 ft
6:23.0,Defensive rebound by Team,,10-12,,
6:06.0,P. Gasol misses 2-pt shot from 5 ft,,10-12,,
6:05.0,,,10-12,,Defensive rebound by A. Drummond
5:54.0,Personal foul by M. Dunleavy (drawn by C. Butler),,10-12,,
5:54.0,,,10-12,,Detroit full timeout
5:43.0,,,10-12,,G. Monroe misses 2-pt shot from 17 ft
5:42.0,Defensive rebound by J. Butler,,10-12,,
5:35.0,J. Butler makes 3-pt shot from 26 ft,3,13-12,,
5:17.0,,,13-14,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by S. Dinwiddie)
4:53.0,J. Butler misses 2-pt shot from 20 ft,,13-14,,
4:51.0,,,13-14,,Defensive rebound by G. Monroe
4:43.0,,,13-16,2,S. Dinwiddie makes 2-pt shot from 9 ft
4:37.0,D. Rose misses 2-pt shot at rim,,13-16,,
4:35.0,,,13-16,,Defensive rebound by K. Caldwell-Pope
4:22.0,,,13-18,2,G. Monroe makes 2-pt shot at rim
4:05.0,Shooting foul by G. Monroe (drawn by P. Gasol),,13-18,,
4:05.0,P. Gasol makes free throw 1 of 2,1,14-18,,
4:05.0,T. Snell enters the game for J. Noah,,14-18,,
4:05.0,,,14-18,,A. Tolliver enters the game for A. Drummond
4:05.0,T. Gibson enters the game for M. Dunleavy,,14-18,,
4:05.0,P. Gasol makes free throw 2 of 2,1,15-18,,
3:34.0,,,15-20,2,G. Monroe makes 2-pt shot from 1 ft
3:23.0,P. Gasol misses 2-pt shot at rim,,15-20,,
3:22.0,,,15-20,,Defensive rebound by C. Butler
3:17.0,,,15-22,2,C. Butler makes 2-pt shot from 19 ft
3:03.0,J. Butler makes 3-pt shot from 26 ft (assist by D. Rose),3,18-22,,
2:44.0,,,18-22,,G. Monroe misses 2-pt shot from 2 ft (block by P. Gasol)
2:42.0,,,18-22,,Offensive rebound by A. Tolliver
2:35.0,,,18-22,,S. Dinwiddie misses 3-pt shot from 26 ft
2:34.0,Defensive rebound by D. Rose,,18-22,,
2:21.0,,,18-22,,Personal foul by G. Monroe (drawn by P. Gasol)
2:21.0,Chicago full timeout,,18-22,,
2:21.0,K. Hinrich enters the game for J. Butler,,18-22,,
2:21.0,A. Brooks enters the game for D. Rose,,18-22,,
2:21.0,,,18-22,,A. Drummond enters the game for C. Butler
2:21.0,,,18-22,,C. Martin enters the game for G. Monroe
2:13.0,P. Gasol makes 2-pt shot at rim (assist by A. Brooks),2,20-22,,
2:02.0,,,20-22,,Offensive foul by S. Dinwiddie
2:02.0,,,20-22,,Turnover by S. Dinwiddie (offensive foul)
2:02.0,,,20-22,,J. Lucas III enters the game for K. Caldwell-Pope
2:02.0,,,20-22,,J. Meeks enters the game for S. Dinwiddie
1:41.0,T. Gibson misses 2-pt shot from 4 ft,,20-22,,
1:40.0,,,20-22,,Defensive rebound by A. Drummond
1:28.0,,,20-22,,J. Meeks misses 2-pt shot from 17 ft
1:26.0,,,20-22,,Offensive rebound by A. Drummond
1:18.0,,,20-22,,A. Drummond misses 2-pt shot at rim
1:17.0,Defensive rebound by T. Gibson,,20-22,,
1:10.0,K. Hinrich makes 3-pt shot from 23 ft (assist by P. Gasol),3,23-22,,
1:01.0,,,23-22,,C. Martin misses 2-pt shot from 17 ft
1:00.0,Defensive rebound by P. Gasol,,23-22,,
0:51.0,P. Gasol misses 2-pt shot from 17 ft,,23-22,,
0:50.0,Offensive rebound by T. Gibson,,23-22,,
0:47.0,T. Gibson misses 2-pt shot at rim,,23-22,,
0:46.0,,,23-22,,Defensive rebound by A. Tolliver
0:39.0,,,23-22,,A. Drummond misses 2-pt shot from 5 ft
0:38.0,,,23-22,,Offensive rebound by Team
0:29.0,,,23-22,,J. Lucas III misses 2-pt shot from 21 ft
0:28.0,Defensive rebound by Team,,23-22,,
0:08.0,T. Gibson misses 2-pt shot from 15 ft,,23-22,,
0:07.0,,,23-22,,Defensive rebound by A. Drummond
0:00.0,,,23-22,,J. Lucas III misses 3-pt shot from 26 ft
0:00.0,,,23-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,23-22,,Shooting foul by K. Hinrich (drawn by A. Drummond)
11:37.0,,,23-22,,A. Drummond misses free throw 1 of 2
11:37.0,,,23-22,,Offensive rebound by Team
11:37.0,,,23-22,,A. Drummond misses free throw 2 of 2
11:36.0,Defensive rebound by T. Gibson,,23-22,,
11:17.0,Turnover by T. Snell (bad pass; steal by J. Meeks),,23-22,,
11:14.0,,,23-22,,J. Meeks misses 2-pt shot at rim (block by T. Snell)
11:14.0,,,23-22,,Offensive rebound by A. Drummond
11:13.0,,,23-22,,A. Drummond misses 2-pt shot from 1 ft
11:13.0,,,23-22,,Offensive rebound by A. Drummond
11:12.0,,,23-22,,A. Drummond misses 2-pt shot from 1 ft
11:12.0,,,23-22,,Offensive rebound by A. Drummond
11:11.0,,,23-22,,A. Drummond misses 2-pt shot from 1 ft
11:11.0,,,23-22,,Offensive rebound by A. Drummond
11:10.0,,,23-22,,A. Drummond misses 2-pt shot from 1 ft
11:10.0,,,23-22,,Offensive rebound by A. Drummond
11:09.0,,,23-24,2,A. Drummond makes 2-pt shot from 1 ft
11:09.0,,,23-24,,Shooting foul by K. Hinrich (drawn by A. Drummond)
11:09.0,,,23-24,,A. Drummond misses free throw 1 of 1
11:07.0,Defensive rebound by Team,,23-24,,
