time,Dallas,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (T. Ariza gains possession),,,,Jump ball: T. Chandler vs. D. Howard (T. Ariza gains possession)
11:44.0,,,0-2,2,J. Terry makes 2-pt shot from 1 ft (assist by T. Ariza)
11:30.0,J. Barea misses 2-pt shot at rim (block by D. Howard),,0-2,,
11:28.0,,,0-2,,Defensive rebound by T. Ariza
11:24.0,,,0-2,,J. Terry misses 2-pt shot from 12 ft
11:23.0,Defensive rebound by D. Nowitzki,,0-2,,
11:11.0,D. Nowitzki misses 3-pt shot from 25 ft,,0-2,,
11:10.0,,,0-2,,Defensive rebound by D. Howard
11:00.0,,,0-2,,Turnover by J. Harden (bad pass; steal by J. Barea)
10:55.0,M. Ellis makes 2-pt shot from 17 ft (assist by J. Barea),2,2-2,,
10:36.0,,,2-4,2,D. Howard makes 2-pt shot from 6 ft (assist by J. Harden)
10:21.0,A. Aminu makes 3-pt shot from 25 ft (assist by J. Barea),3,5-4,,
10:13.0,,,5-4,,Turnover by J. Terry (bad pass; steal by A. Aminu)
10:09.0,M. Ellis makes 2-pt shot at rim (assist by A. Aminu),2,7-4,,
9:53.0,,,7-4,,T. Ariza misses 3-pt shot from 25 ft
9:50.0,,,7-4,,Offensive rebound by D. Howard
9:45.0,,,7-7,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
9:37.0,M. Ellis misses 3-pt shot from 25 ft,,7-7,,
9:37.0,,,7-7,,Defensive rebound by T. Jones
9:23.0,,,7-7,,Shooting foul by D. Nowitzki (drawn by T. Jones)
9:23.0,,,7-7,,T. Jones misses free throw 1 of 2
9:23.0,,,7-7,,Offensive rebound by Team
9:23.0,,,7-7,,T. Jones misses free throw 2 of 2
9:23.0,Defensive rebound by T. Chandler,,7-7,,
9:08.0,J. Barea misses 2-pt shot from 9 ft,,7-7,,
9:07.0,,,7-7,,Defensive rebound by D. Howard
8:46.0,,,7-9,2,J. Harden makes 2-pt shot from 18 ft
8:24.0,M. Ellis makes 2-pt shot from 1 ft,2,9-9,,
8:15.0,,,9-9,,T. Ariza misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by A. Aminu,,9-9,,
8:08.0,T. Chandler makes 2-pt shot at rim (assist by J. Barea),2,11-9,,
7:43.0,,,11-11,2,D. Howard makes 2-pt shot at rim (assist by T. Ariza)
7:25.0,D. Nowitzki misses 2-pt shot from 15 ft,,11-11,,
7:25.0,,,11-11,,Defensive rebound by D. Howard
7:16.0,,,11-11,,Offensive charge foul by J. Harden
7:16.0,,,11-11,,Turnover by J. Harden (offensive foul)
6:57.0,D. Nowitzki misses 2-pt shot from 13 ft,,11-11,,
6:57.0,,,11-11,,Defensive rebound by T. Ariza
6:36.0,,,11-11,,D. Howard misses 2-pt shot from 6 ft
6:35.0,Defensive rebound by D. Nowitzki,,11-11,,
6:28.0,D. Nowitzki misses 3-pt shot from 24 ft,,11-11,,
6:26.0,,,11-11,,Defensive rebound by D. Howard
6:10.0,,,11-13,2,J. Harden makes 2-pt shot from 6 ft
6:01.0,Turnover by M. Ellis (bad pass; steal by D. Howard),,11-13,,
5:56.0,,,11-16,3,J. Harden makes 3-pt shot from 24 ft (assist by J. Terry)
5:55.0,Dallas full timeout,,11-16,,
5:55.0,,,11-16,,J. Smith enters the game for T. Jones
5:55.0,C. Villanueva enters the game for D. Nowitzki,,11-16,,
5:48.0,Shooting foul by T. Ariza (drawn by T. Chandler),,11-16,,
5:48.0,T. Chandler misses free throw 1 of 2,,11-16,,
5:48.0,Offensive rebound by Team,,11-16,,
5:48.0,T. Chandler makes free throw 2 of 2,1,12-16,,
5:38.0,,,12-16,,J. Harden misses 3-pt shot from 25 ft
5:37.0,,,12-16,,Offensive rebound by T. Ariza
5:30.0,,,12-19,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Terry)
5:17.0,M. Ellis makes 2-pt shot from 19 ft,2,14-19,,
5:12.0,Personal foul by T. Chandler (drawn by D. Howard),,14-19,,
5:12.0,,,14-19,,P. Prigioni enters the game for J. Terry
5:12.0,,,14-19,,C. Capela enters the game for D. Howard
5:12.0,A. Stoudemire enters the game for T. Chandler,,14-19,,
5:03.0,,,14-19,,C. Capela misses 2-pt shot from 8 ft (block by C. Villanueva)
5:02.0,Defensive rebound by C. Villanueva,,14-19,,
4:59.0,M. Ellis makes 2-pt shot from 2 ft (assist by C. Villanueva),2,16-19,,
4:41.0,,,16-19,,J. Smith misses 3-pt shot from 25 ft
4:40.0,Defensive rebound by A. Stoudemire,,16-19,,
4:36.0,,,16-19,,Personal foul by P. Prigioni (drawn by J. Barea)
4:25.0,Turnover by A. Stoudemire (lost ball; steal by P. Prigioni),,16-19,,
4:19.0,,,16-19,,T. Ariza misses 3-pt shot from 25 ft
4:18.0,,,16-19,,Offensive rebound by Team
4:12.0,,,16-21,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
4:08.0,Turnover by A. Aminu (bad pass),,16-21,,
4:04.0,,,16-21,,Turnover by J. Harden (lost ball; steal by A. Stoudemire)
3:56.0,Turnover by A. Stoudemire (lost ball; steal by J. Smith),,16-21,,
3:52.0,,,16-23,2,J. Harden makes 2-pt shot at rim (assist by J. Smith)
3:50.0,Dallas full timeout,,16-23,,
3:50.0,D. Harris enters the game for J. Barea,,16-23,,
3:39.0,M. Ellis misses 2-pt shot from 21 ft,,16-23,,
3:38.0,,,16-23,,Defensive rebound by J. Smith
3:32.0,,,16-23,,Turnover by T. Ariza (lost ball; steal by M. Ellis)
3:27.0,A. Aminu makes 2-pt shot at rim (assist by M. Ellis),2,18-23,,
3:17.0,Personal foul by A. Aminu (drawn by J. Harden),,18-23,,
3:17.0,,,18-23,,C. Brewer enters the game for T. Ariza
3:08.0,,,18-23,,Turnover by J. Smith (lost ball; steal by A. Aminu)
3:03.0,A. Aminu makes 2-pt shot at rim,2,20-23,,
2:56.0,,,20-23,,Offensive foul by C. Capela
2:56.0,,,20-23,,Turnover by C. Capela (offensive foul)
2:56.0,,,20-23,,Houston full timeout
2:45.0,C. Villanueva misses 3-pt shot from 24 ft,,20-23,,
2:44.0,,,20-23,,Defensive rebound by C. Brewer
2:38.0,,,20-26,3,J. Smith makes 3-pt shot from 25 ft (assist by C. Brewer)
2:20.0,Turnover by A. Stoudemire (offensive foul),,20-26,,
2:20.0,Offensive charge foul by A. Stoudemire,,20-26,,
2:20.0,D. Nowitzki enters the game for C. Villanueva,,20-26,,
2:20.0,J. Barea enters the game for A. Aminu,,20-26,,
2:04.0,,,20-26,,J. Harden misses 2-pt shot from 15 ft
2:03.0,,,20-26,,Offensive rebound by J. Smith
2:00.0,,,20-28,2,J. Smith makes 2-pt shot from 4 ft
1:50.0,M. Ellis misses 2-pt shot from 1 ft,,20-28,,
1:49.0,,,20-28,,Defensive rebound by C. Brewer
1:44.0,,,20-28,,C. Brewer misses 2-pt shot from 1 ft
1:43.0,Defensive rebound by D. Nowitzki,,20-28,,
1:32.0,,,20-28,,Personal foul by C. Brewer (drawn by D. Nowitzki)
1:32.0,,,20-28,,D. Howard enters the game for C. Capela
1:19.0,A. Stoudemire misses 2-pt shot from 1 ft,,20-28,,
1:19.0,,,20-28,,Defensive rebound by D. Howard
1:08.0,,,20-31,3,C. Brewer makes 3-pt shot from 23 ft (assist by J. Harden)
0:53.0,D. Nowitzki makes 2-pt shot from 14 ft (assist by J. Barea),2,22-31,,
0:38.0,,,22-31,,Shooting foul by D. Harris (drawn by J. Smith)
0:38.0,,,22-31,,J. Smith misses free throw 1 of 2
0:38.0,,,22-31,,Offensive rebound by Team
0:38.0,,,22-31,,J. Smith misses free throw 2 of 2
0:38.0,Defensive rebound by M. Ellis,,22-31,,
0:23.0,J. Barea misses 3-pt shot from 24 ft,,22-31,,
0:22.0,,,22-31,,Defensive rebound by D. Howard
0:12.0,,,22-31,,J. Harden misses 2-pt shot from 2 ft
0:11.0,Defensive rebound by J. Barea,,22-31,,
0:01.0,D. Nowitzki misses 2-pt shot from 15 ft,,22-31,,
0:00.0,,,22-31,,Defensive rebound by J. Smith
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Nowitzki misses 3-pt shot from 23 ft,,22-31,,
11:40.0,,,22-31,,Defensive rebound by C. Brewer
11:28.0,,,22-31,,D. Howard misses 2-pt shot from 6 ft
11:27.0,Defensive rebound by D. Nowitzki,,22-31,,
11:24.0,,,22-31,,Shooting block foul by C. Brewer (drawn by D. Harris)
11:24.0,D. Harris makes free throw 1 of 2,1,23-31,,
11:24.0,D. Harris makes free throw 2 of 2,1,24-31,,
11:11.0,,,24-33,2,D. Howard makes 2-pt shot at rim (assist by J. Smith)
10:55.0,D. Harris misses 3-pt shot from 25 ft,,24-33,,
10:54.0,,,24-33,,Defensive rebound by J. Smith
10:33.0,,,24-33,,J. Smith misses 3-pt shot from 24 ft
