time,Phoenix,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. B. Wright (M. Morris gains possession),,,,Jump ball: A. Davis vs. B. Wright (M. Morris gains possession)
11:41.0,E. Bledsoe misses 3-pt shot from 25 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by O. Asik
11:19.0,,,0-3,3,Q. Pondexter makes 3-pt shot from 25 ft (assist by T. Evans)
11:04.0,M. Morris misses 2-pt shot from 15 ft,,0-3,,
11:02.0,,,0-3,,Defensive rebound by O. Asik
10:58.0,,,0-3,,Turnover by T. Evans (lost ball; steal by B. Wright)
10:50.0,M. Morris makes 2-pt shot from 18 ft,2,2-3,,
10:34.0,,,2-3,,T. Evans misses 3-pt shot from 22 ft
10:33.0,,,2-3,,Offensive rebound by Q. Pondexter
10:18.0,,,2-3,,A. Davis misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by B. Wright,,2-3,,
10:09.0,P. Tucker makes 2-pt shot from 17 ft (assist by B. Wright),2,4-3,,
9:51.0,,,4-3,,O. Asik misses 2-pt shot at rim (block by B. Wright)
9:50.0,Defensive rebound by M. Morris,,4-3,,
9:46.0,E. Bledsoe misses 2-pt shot from 2 ft,,4-3,,
9:45.0,Offensive rebound by M. Morris,,4-3,,
9:45.0,M. Morris makes 2-pt shot at rim,2,6-3,,
9:21.0,,,6-3,,Q. Pondexter misses 3-pt shot from 26 ft
9:18.0,,,6-3,,Offensive rebound by A. Davis
9:12.0,,,6-5,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans)
8:56.0,B. Wright makes 2-pt shot from 2 ft (assist by M. Morris),2,8-5,,
8:34.0,,,8-7,2,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis)
8:18.0,P. Tucker misses 2-pt shot from 14 ft,,8-7,,
8:17.0,,,8-7,,Defensive rebound by A. Davis
8:08.0,,,8-9,2,T. Evans makes 2-pt shot from 1 ft
7:51.0,M. Morris makes 2-pt shot from 8 ft (assist by E. Bledsoe),2,10-9,,
7:32.0,,,10-9,,Shooting foul by M. Morris (drawn by A. Davis)
7:32.0,,,10-10,1,A. Davis makes free throw 1 of 2
7:32.0,,,10-11,1,A. Davis makes free throw 2 of 2
7:15.0,Shooting foul by E. Gordon (drawn by E. Bledsoe),,10-11,,
7:15.0,E. Bledsoe makes free throw 1 of 2,1,11-11,,
7:15.0,E. Bledsoe makes free throw 2 of 2,1,12-11,,
6:53.0,,,12-11,,T. Evans misses 2-pt shot from 1 ft (block by E. Bledsoe)
6:52.0,Defensive rebound by B. Wright,,12-11,,
6:35.0,M. Morris makes 2-pt shot from 12 ft (assist by P. Tucker),2,14-11,,
6:17.0,Personal foul by P. Tucker (drawn by E. Gordon),,14-11,,
6:17.0,T. Warren enters the game for M. Morris,,14-11,,
6:06.0,,,14-11,,Q. Pondexter misses 2-pt shot from 1 ft
6:03.0,Defensive rebound by M. Morris,,14-11,,
5:59.0,Phoenix full timeout,,14-11,,
5:41.0,P. Tucker misses 2-pt shot from 4 ft (block by T. Evans),,14-11,,
5:39.0,Offensive rebound by P. Tucker,,14-11,,
5:37.0,P. Tucker misses 2-pt shot from 6 ft,,14-11,,
5:35.0,,,14-11,,Defensive rebound by O. Asik
5:26.0,,,14-13,2,A. Davis makes 2-pt shot from 2 ft (assist by T. Evans)
5:26.0,,,14-13,,Shooting foul by M. Morris (drawn by A. Davis)
5:26.0,,,14-14,1,A. Davis makes free throw 1 of 1
5:02.0,E. Bledsoe misses 2-pt shot from 13 ft (block by E. Gordon),,14-14,,
5:01.0,,,14-14,,Defensive rebound by O. Asik
4:58.0,,,14-16,2,A. Davis makes 2-pt shot at rim (assist by E. Gordon)
4:30.0,T. Warren makes 2-pt shot from 9 ft (assist by B. Wright),2,16-16,,
4:10.0,,,16-16,,A. Davis misses 2-pt shot from 18 ft
4:07.0,Defensive rebound by B. Wright,,16-16,,
3:53.0,M. Morris misses 2-pt shot from 1 ft,,16-16,,
3:51.0,,,16-16,,Defensive rebound by O. Asik
3:41.0,,,16-16,,Shooting foul by B. Wright (drawn by A. Davis)
3:41.0,,,16-16,,A. Davis misses free throw 1 of 2
3:41.0,,,16-16,,Offensive rebound by Team
3:41.0,A. Goodwin enters the game for P. Tucker,,16-16,,
3:41.0,,,16-16,,D. Cunningham enters the game for Q. Pondexter
3:41.0,M. Morris enters the game for M. Morris,,16-16,,
3:41.0,,,16-16,,N. Cole enters the game for E. Gordon
3:41.0,,,16-17,1,A. Davis makes free throw 2 of 2
3:19.0,M. Morris misses 2-pt shot from 1 ft (block by D. Cunningham),,16-17,,
3:18.0,,,16-17,,Defensive rebound by O. Asik
3:10.0,,,16-19,2,T. Evans makes 2-pt shot from 2 ft (assist by A. Davis)
2:48.0,T. Warren misses 2-pt shot from 14 ft,,16-19,,
2:47.0,,,16-19,,Defensive rebound by D. Cunningham
2:41.0,,,16-19,,Shooting foul by M. Morris (drawn by A. Davis)
2:41.0,,,16-19,,New Orleans full timeout
2:41.0,G. Green enters the game for E. Bledsoe,,16-19,,
2:41.0,,,16-19,,A. Davis misses free throw 1 of 2
2:41.0,,,16-19,,Offensive rebound by Team
2:41.0,,,16-20,1,A. Davis makes free throw 2 of 2
2:20.0,B. Wright makes 2-pt shot from 2 ft,2,18-20,,
2:00.0,,,18-22,2,N. Cole makes 2-pt shot from 20 ft
1:38.0,G. Green misses 3-pt shot from 26 ft,,18-22,,
1:36.0,Offensive rebound by T. Warren,,18-22,,
1:30.0,M. Morris makes 3-pt shot from 25 ft (assist by A. Goodwin),3,21-22,,
1:08.0,,,21-22,,T. Evans misses 2-pt shot from 8 ft
1:07.0,,,21-22,,Offensive rebound by O. Asik
1:06.0,,,21-22,,O. Asik misses 2-pt shot from 3 ft
1:05.0,,,21-22,,Offensive rebound by O. Asik
1:05.0,,,21-22,,Shooting foul by M. Morris (drawn by O. Asik)
1:05.0,,,21-23,1,O. Asik makes free throw 1 of 2
1:05.0,,,21-23,,J. Holiday enters the game for T. Evans
1:05.0,E. Barron enters the game for B. Wright,,21-23,,
1:05.0,,,21-23,,O. Asik misses free throw 2 of 2
1:04.0,Defensive rebound by E. Barron,,21-23,,
0:47.0,E. Barron misses 2-pt shot from 21 ft,,21-23,,
0:46.0,,,21-23,,Defensive rebound by O. Asik
0:37.0,,,21-25,2,N. Cole makes 2-pt shot from 20 ft (assist by O. Asik)
0:25.0,A. Goodwin misses 2-pt shot from 1 ft (block by A. Davis),,21-25,,
0:24.0,,,21-25,,Defensive rebound by A. Davis
0:17.0,,,21-27,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
0:07.0,,,21-27,,Personal take foul by N. Cole (drawn by A. Goodwin)
0:02.0,M. Morris misses 3-pt shot from 25 ft,,21-27,,
0:01.0,,,21-27,,Defensive rebound by A. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Personal foul by E. Barron (drawn by A. Davis),,21-27,,
11:45.0,,,21-27,,A. Ajinca enters the game for A. Davis
11:38.0,,,21-27,,R. Anderson misses 2-pt shot from 2 ft (block by E. Barron)
11:36.0,Defensive rebound by M. Morris,,21-27,,
11:30.0,Turnover by E. Barron (lost ball),,21-27,,
11:14.0,,,21-27,,J. Holiday misses 3-pt shot from 26 ft
11:13.0,Defensive rebound by M. Morris,,21-27,,
11:02.0,G. Green misses 2-pt shot from 11 ft,,21-27,,
11:00.0,,,21-27,,Defensive rebound by D. Cunningham
10:49.0,,,21-29,2,A. Ajinca makes 2-pt shot from 15 ft (assist by N. Cole)
10:28.0,M. Morris misses 3-pt shot from 25 ft,,21-29,,
10:27.0,,,21-29,,Defensive rebound by N. Cole
10:18.0,,,21-29,,Turnover by J. Holiday (bad pass; steal by A. Goodwin)
10:14.0,T. Warren misses 2-pt shot from 3 ft (block by D. Cunningham),,21-29,,
10:13.0,Offensive rebound by Team,,21-29,,
10:13.0,R. Bullock enters the game for T. Warren,,21-29,,
10:13.0,E. Bledsoe enters the game for A. Goodwin,,21-29,,
10:03.0,R. Bullock misses 3-pt shot from 24 ft,,21-29,,
10:02.0,,,21-29,,Defensive rebound by D. Cunningham
9:58.0,,,21-29,,Turnover by N. Cole (lost ball; steal by R. Bullock)
9:55.0,Shooting foul by J. Holiday (drawn by R. Bullock),,21-29,,
9:55.0,R. Bullock makes free throw 1 of 2,1,22-29,,
9:55.0,R. Bullock misses free throw 2 of 2,,22-29,,
9:55.0,,,22-29,,Defensive rebound by A. Ajinca
9:38.0,,,22-31,2,J. Holiday makes 2-pt shot from 20 ft (assist by N. Cole)
9:30.0,G. Green makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,25-31,,
9:14.0,,,25-34,3,N. Cole makes 3-pt shot from 23 ft (assist by J. Holiday)
9:03.0,E. Bledsoe misses 2-pt shot from 2 ft (block by R. Anderson),,25-34,,
9:02.0,,,25-34,,Defensive rebound by N. Cole
8:56.0,,,25-36,2,D. Cunningham makes 2-pt shot from 2 ft (assist by N. Cole)
8:34.0,E. Bledsoe makes 2-pt shot from 18 ft,2,27-36,,
8:17.0,,,27-36,,J. Holiday misses 2-pt shot from 2 ft
8:15.0,Defensive rebound by E. Bledsoe,,27-36,,
8:13.0,Turnover by E. Bledsoe (bad pass),,27-36,,
8:13.0,Official timeout,,27-36,,
8:13.0,M. Morris enters the game for M. Morris,,27-36,,
8:13.0,P. Tucker enters the game for E. Barron,,27-36,,
7:41.0,G. Green makes 2-pt shot from 12 ft,2,29-36,,
7:13.0,,,29-36,,A. Ajinca misses 2-pt shot from 12 ft
7:12.0,,,29-36,,Offensive rebound by A. Ajinca
7:12.0,,,29-36,,E. Gordon enters the game for J. Holiday
