time,Memphis,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:59.0,Jump ball: M. Gasol vs. N. Noel (L. Mbah a Moute gains possession),,,,Jump ball: M. Gasol vs. N. Noel (L. Mbah a Moute gains possession)
11:41.0,,,0-2,2,M. Carter-Williams makes 2-pt shot from 9 ft
11:25.0,C. Lee misses 2-pt shot from 9 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by N. Noel
11:18.0,,,0-2,,Offensive foul by M. Carter-Williams
11:18.0,,,0-2,,Turnover by M. Carter-Williams (offensive foul)
11:05.0,M. Conley misses 3-pt shot from 25 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by N. Noel
10:55.0,,,0-4,2,M. Carter-Williams makes 2-pt shot from 11 ft
10:31.0,M. Gasol makes 2-pt shot from 4 ft (assist by C. Lee),2,2-4,,
10:26.0,,,2-4,,R. Covington misses 2-pt shot from 10 ft (block by T. Allen)
10:24.0,,,2-4,,Offensive rebound by M. Carter-Williams
10:20.0,,,2-4,,N. Noel misses 2-pt shot from 1 ft
10:19.0,Defensive rebound by Z. Randolph,,2-4,,
10:11.0,M. Conley makes 2-pt shot from 14 ft,2,4-4,,
9:45.0,,,4-4,,L. Mbah a Moute misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by Z. Randolph,,4-4,,
9:32.0,M. Gasol makes 2-pt shot from 8 ft (assist by C. Lee),2,6-4,,
9:32.0,Shooting foul by N. Noel (drawn by M. Gasol),,6-4,,
9:32.0,M. Gasol makes free throw 1 of 1,1,7-4,,
9:08.0,,,7-4,,Turnover by Team (shot clock)
8:56.0,C. Lee makes 2-pt shot from 8 ft,2,9-4,,
8:56.0,,,9-4,,Philadelphia full timeout
8:37.0,,,9-7,3,H. Thompson makes 3-pt shot from 24 ft (assist by M. Carter-Williams)
8:16.0,M. Gasol misses 2-pt shot from 19 ft,,9-7,,
8:15.0,,,9-7,,Defensive rebound by M. Carter-Williams
8:05.0,,,9-7,,L. Mbah a Moute misses 3-pt shot from 25 ft
8:04.0,Defensive rebound by Team,,9-7,,
7:57.0,Turnover by M. Conley (bad pass; steal by N. Noel),,9-7,,
7:54.0,,,9-7,,Turnover by N. Noel (lost ball)
7:38.0,Turnover by Z. Randolph (bad pass; steal by L. Mbah a Moute),,9-7,,
7:31.0,,,9-10,3,H. Thompson makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
7:14.0,Shooting foul by L. Mbah a Moute (drawn by Z. Randolph),,9-10,,
7:14.0,Z. Randolph makes free throw 1 of 2,1,10-10,,
7:14.0,Z. Randolph makes free throw 2 of 2,1,11-10,,
6:51.0,,,11-10,,L. Mbah a Moute misses 2-pt shot at rim (block by T. Allen)
6:50.0,,,11-10,,Offensive rebound by Team
6:48.0,,,11-10,,R. Covington misses 3-pt shot from 24 ft
6:46.0,,,11-10,,Offensive rebound by L. Mbah a Moute
6:44.0,,,11-12,2,L. Mbah a Moute makes 2-pt shot from 1 ft
6:23.0,Z. Randolph misses 2-pt shot from 17 ft,,11-12,,
6:22.0,,,11-12,,Defensive rebound by M. Carter-Williams
6:07.0,,,11-12,,N. Noel misses 2-pt shot at rim
6:06.0,Defensive rebound by Z. Randolph,,11-12,,
5:47.0,Z. Randolph misses 2-pt shot from 7 ft,,11-12,,
5:44.0,Offensive rebound by T. Allen,,11-12,,
5:43.0,T. Allen misses 2-pt shot from 2 ft (block by N. Noel),,11-12,,
5:40.0,,,11-12,,Defensive rebound by N. Noel
5:35.0,,,11-15,3,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
5:20.0,M. Conley misses 2-pt shot from 1 ft,,11-15,,
5:19.0,,,11-15,,Defensive rebound by N. Noel
5:11.0,,,11-15,,M. Carter-Williams misses 2-pt shot from 1 ft
5:09.0,,,11-15,,Offensive rebound by H. Thompson
5:08.0,,,11-17,2,H. Thompson makes 2-pt shot from 3 ft
5:08.0,Memphis full timeout,,11-17,,
5:08.0,B. Udrih enters the game for Z. Randolph,,11-17,,
5:08.0,J. Leuer enters the game for M. Conley,,11-17,,
5:08.0,,,11-17,,H. Sims enters the game for L. Mbah a Moute
5:08.0,,,11-17,,J. Grant enters the game for N. Noel
5:08.0,,,11-17,,A. Shved enters the game for H. Thompson
4:51.0,M. Gasol misses 2-pt shot from 1 ft,,11-17,,
4:50.0,,,11-17,,Defensive rebound by H. Sims
4:44.0,,,11-17,,J. Grant misses 2-pt shot from 2 ft
4:43.0,Defensive rebound by M. Gasol,,11-17,,
4:31.0,C. Lee misses 2-pt shot from 19 ft,,11-17,,
4:29.0,,,11-17,,Defensive rebound by R. Covington
4:15.0,,,11-19,2,M. Carter-Williams makes 2-pt shot at rim
3:50.0,C. Lee makes 2-pt shot from 1 ft (assist by J. Leuer),2,13-19,,
3:39.0,,,13-19,,R. Covington misses 2-pt shot from 3 ft
3:38.0,Defensive rebound by J. Leuer,,13-19,,
3:33.0,T. Allen makes 2-pt shot from 1 ft (assist by B. Udrih),2,15-19,,
3:12.0,,,15-19,,Shooting foul by M. Gasol (drawn by H. Sims)
3:12.0,,,15-20,1,H. Sims makes free throw 1 of 2
3:12.0,,,15-20,,T. Wroten enters the game for R. Covington
3:12.0,Q. Pondexter enters the game for C. Lee,,15-20,,
3:12.0,,,15-21,1,H. Sims makes free throw 2 of 2
2:54.0,J. Leuer misses 2-pt shot from 17 ft,,15-21,,
2:52.0,,,15-21,,Defensive rebound by H. Sims
2:47.0,,,15-23,2,T. Wroten makes 2-pt shot at rim (assist by M. Carter-Williams)
2:37.0,B. Udrih makes 2-pt shot from 8 ft,2,17-23,,
2:24.0,,,17-26,3,T. Wroten makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
2:06.0,M. Gasol makes 2-pt shot at rim (assist by B. Udrih),2,19-26,,
1:46.0,Personal foul by T. Allen (drawn by J. Grant),,19-26,,
1:46.0,K. Koufos enters the game for M. Gasol,,19-26,,
1:46.0,T. Prince enters the game for T. Allen,,19-26,,
1:46.0,,,19-26,,J. Sampson enters the game for M. Carter-Williams
1:35.0,,,19-26,,A. Shved misses 3-pt shot from 27 ft
1:33.0,Defensive rebound by T. Prince,,19-26,,
1:16.0,Turnover by T. Prince (bad pass; steal by H. Sims),,19-26,,
1:06.0,,,19-28,2,H. Sims makes 2-pt shot from 18 ft (assist by T. Wroten)
0:43.0,J. Leuer misses 2-pt shot from 18 ft,,19-28,,
0:42.0,Offensive rebound by J. Leuer,,19-28,,
0:40.0,J. Leuer misses 2-pt shot from 7 ft,,19-28,,
0:38.0,,,19-28,,Defensive rebound by J. Grant
0:34.0,,,19-28,,J. Grant misses 2-pt shot from 4 ft
0:31.0,Defensive rebound by Q. Pondexter,,19-28,,
0:07.0,T. Prince makes 2-pt shot from 23 ft (assist by K. Koufos),2,21-28,,
0:01.0,,,21-28,,T. Wroten misses 2-pt shot from 6 ft
0:00.0,Defensive rebound by T. Prince,,21-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,,,21-28,,Technical foul by T. Wroten
12:00.0,B. Udrih misses technical free throw,,21-28,,
12:00.0,Offensive rebound by Team,,21-28,,
11:42.0,V. Carter misses 3-pt shot from 24 ft,,21-28,,
11:41.0,Offensive rebound by T. Prince,,21-28,,
11:30.0,K. Koufos misses 2-pt shot from 4 ft,,21-28,,
11:28.0,,,21-28,,Defensive rebound by H. Sims
11:17.0,,,21-28,,Shooting foul by V. Carter (drawn by J. Grant)
11:17.0,,,21-28,,J. Grant misses free throw 1 of 2
11:17.0,,,21-28,,Offensive rebound by Team
11:17.0,,,21-28,,J. Grant misses free throw 2 of 2
11:15.0,Defensive rebound by K. Koufos,,21-28,,
10:56.0,T. Prince misses 2-pt shot from 12 ft,,21-28,,
10:54.0,,,21-28,,Defensive rebound by H. Sims
10:46.0,,,21-28,,J. Grant misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by Q. Pondexter,,21-28,,
10:30.0,V. Carter makes 3-pt shot from 26 ft (assist by T. Prince),3,24-28,,
10:09.0,,,24-30,2,A. Shved makes 2-pt shot from 20 ft
9:50.0,,,24-30,,Personal foul by T. Wroten (drawn by Q. Pondexter)
9:50.0,,,24-30,,H. Thompson enters the game for J. Grant
9:44.0,B. Udrih misses 2-pt shot from 18 ft,,24-30,,
9:43.0,,,24-30,,Defensive rebound by J. Sampson
9:38.0,,,24-30,,Shooting foul by B. Udrih (drawn by A. Shved)
9:38.0,,,24-30,,A. Shved misses free throw 1 of 2
9:38.0,,,24-30,,Offensive rebound by Team
9:38.0,,,24-30,,R. Covington enters the game for J. Sampson
9:38.0,M. Conley enters the game for B. Udrih,,24-30,,
9:38.0,,,24-31,1,A. Shved makes free throw 2 of 2
9:26.0,Shooting foul by H. Thompson (drawn by K. Koufos),,24-31,,
9:26.0,K. Koufos makes free throw 1 of 2,1,25-31,,
9:26.0,K. Koufos misses free throw 2 of 2,,25-31,,
9:25.0,,,25-31,,Defensive rebound by R. Covington
