time,Miami,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. D. Jordan (C. Paul gains possession),,,,Jump ball: C. Bosh vs. D. Jordan (C. Paul gains possession)
11:31.0,,,0-2,2,J. Redick makes 2-pt shot from 8 ft
11:05.0,L. Deng makes 2-pt shot from 1 ft,2,2-2,,
10:52.0,,,2-2,,B. Griffin misses 2-pt shot from 18 ft
10:51.0,Defensive rebound by L. Deng,,2-2,,
10:46.0,D. Wade misses 2-pt shot from 10 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by Team
10:19.0,,,2-2,,B. Griffin misses 2-pt shot from 21 ft
10:18.0,Defensive rebound by C. Andersen,,2-2,,
10:11.0,,,2-2,,Personal foul by B. Griffin (drawn by M. Chalmers)
10:00.0,Turnover by L. Deng (bad pass),,2-2,,
9:47.0,,,2-5,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
9:27.0,C. Andersen makes 2-pt shot from 1 ft (assist by D. Wade),2,4-5,,
9:18.0,,,4-8,3,C. Paul makes 3-pt shot from 25 ft
9:00.0,Turnover by C. Bosh (bad pass),,4-8,,
8:54.0,,,4-10,2,C. Paul makes 2-pt shot from 10 ft
8:33.0,D. Wade misses 2-pt shot from 17 ft,,4-10,,
8:31.0,Offensive rebound by C. Andersen,,4-10,,
8:31.0,C. Andersen misses 2-pt shot at rim (block by M. Barnes),,4-10,,
8:28.0,,,4-10,,Defensive rebound by C. Paul
8:28.0,,,4-12,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
8:28.0,Miami full timeout,,4-12,,
8:16.0,C. Bosh misses 2-pt shot from 15 ft,,4-12,,
8:15.0,,,4-12,,Defensive rebound by C. Paul
8:07.0,,,4-12,,D. Jordan misses 2-pt shot at rim
8:05.0,,,4-12,,Offensive rebound by M. Barnes
7:51.0,,,4-15,3,C. Paul makes 3-pt shot from 24 ft
7:31.0,Shooting foul by J. Redick (drawn by D. Wade),,4-15,,
7:31.0,D. Wade makes free throw 1 of 2,1,5-15,,
7:31.0,D. Wade makes free throw 2 of 2,1,6-15,,
7:23.0,,,6-17,2,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul)
7:02.0,C. Bosh misses 3-pt shot from 23 ft,,6-17,,
7:01.0,Offensive rebound by L. Deng,,6-17,,
6:56.0,M. Chalmers misses 3-pt shot from 25 ft,,6-17,,
6:54.0,,,6-17,,Defensive rebound by B. Griffin
6:40.0,,,6-19,2,C. Paul makes 2-pt shot from 15 ft
6:23.0,D. Wade makes 2-pt shot from 20 ft (assist by C. Bosh),2,8-19,,
6:11.0,Personal foul by M. Chalmers (drawn by J. Redick),,8-19,,
6:11.0,H. Whiteside enters the game for C. Andersen,,8-19,,
6:11.0,,,8-19,,Turnover by J. Redick (bad pass; steal by H. Whiteside)
6:11.0,H. Whiteside makes 2-pt shot from 1 ft (assist by L. Deng),2,10-19,,
6:11.0,,,10-19,,C. Paul misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by H. Whiteside,,10-19,,
5:47.0,Shooting foul by C. Paul (drawn by H. Whiteside),,10-19,,
5:47.0,H. Whiteside makes free throw 1 of 2,1,11-19,,
5:47.0,H. Whiteside makes free throw 2 of 2,1,12-19,,
5:41.0,,,12-19,,Offensive foul by D. Jordan
5:41.0,,,12-19,,Turnover by D. Jordan (offensive foul)
5:41.0,,,12-19,,Technical foul by D. Jordan
5:41.0,C. Bosh makes technical free throw,1,13-19,,
5:29.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,15-19,,
5:18.0,,,15-19,,LA Clippers full timeout
5:08.0,,,15-19,,Turnover by B. Griffin (lost ball; steal by D. Wade)
4:55.0,C. Bosh makes 2-pt shot from 19 ft (assist by D. Wade),2,17-19,,
4:31.0,,,17-19,,Offensive foul by D. Jordan
4:31.0,,,17-19,,Turnover by D. Jordan (offensive foul)
4:31.0,,,17-19,,S. Hawes enters the game for D. Jordan
4:31.0,,,17-19,,Technical foul by C. Paul
4:31.0,C. Bosh misses technical free throw,,17-19,,
4:31.0,Offensive rebound by Team,,17-19,,
4:14.0,C. Bosh makes 2-pt shot from 12 ft,2,19-19,,
3:59.0,,,19-21,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
3:59.0,,,19-21,,Shooting foul by H. Whiteside (drawn by B. Griffin)
3:59.0,,,19-21,,J. Crawford enters the game for M. Barnes
3:59.0,J. Ennis enters the game for D. Wade,,19-21,,
3:59.0,,,19-21,,B. Griffin misses free throw 1 of 1
3:57.0,Defensive rebound by H. Whiteside,,19-21,,
3:39.0,L. Deng misses 3-pt shot from 25 ft,,19-21,,
3:36.0,Offensive rebound by H. Whiteside,,19-21,,
3:36.0,H. Whiteside misses 2-pt shot from 1 ft,,19-21,,
3:36.0,,,19-21,,Defensive rebound by Team
3:24.0,,,19-21,,C. Paul misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by J. Ennis,,19-21,,
3:11.0,L. Deng makes 2-pt shot from 7 ft (assist by M. Chalmers),2,21-21,,
3:02.0,,,21-23,2,J. Crawford makes 2-pt shot from 19 ft
2:46.0,C. Bosh makes 3-pt shot from 25 ft (assist by M. Chalmers),3,24-23,,
2:30.0,,,24-23,,J. Crawford misses 2-pt shot from 21 ft
2:29.0,Defensive rebound by H. Whiteside,,24-23,,
2:15.0,H. Whiteside makes 2-pt shot at rim (assist by L. Deng),2,26-23,,
1:58.0,,,26-25,2,S. Hawes makes 2-pt shot from 2 ft (assist by J. Crawford)
1:44.0,M. Chalmers misses 2-pt shot from 1 ft,,26-25,,
1:42.0,Offensive rebound by H. Whiteside,,26-25,,
1:39.0,H. Whiteside makes 2-pt shot from 2 ft,2,28-25,,
1:26.0,,,28-25,,Shooting foul by J. Ennis (drawn by J. Crawford)
1:26.0,,,28-25,,J. Crawford misses free throw 1 of 3
1:26.0,,,28-25,,Offensive rebound by Team
1:26.0,,,28-26,1,J. Crawford makes free throw 2 of 3
1:26.0,,,28-26,,J. Farmar enters the game for C. Paul
1:26.0,,,28-26,,R. Bullock enters the game for J. Redick
1:26.0,N. Cole enters the game for M. Chalmers,,28-26,,
1:26.0,,,28-27,1,J. Crawford makes free throw 3 of 3
1:04.0,J. Ennis misses 3-pt shot from 25 ft,,28-27,,
1:01.0,,,28-27,,Defensive rebound by J. Crawford
0:58.0,,,28-27,,J. Crawford misses 2-pt shot from 1 ft
0:57.0,,,28-27,,Offensive rebound by B. Griffin
0:57.0,,,28-29,2,B. Griffin makes 2-pt shot at rim
0:45.0,C. Bosh misses 3-pt shot from 26 ft,,28-29,,
0:43.0,Offensive rebound by J. Ennis,,28-29,,
0:41.0,H. Whiteside makes 2-pt shot at rim (assist by J. Ennis),2,30-29,,
0:32.0,,,30-29,,J. Farmar misses 3-pt shot from 26 ft
0:31.0,Defensive rebound by H. Whiteside,,30-29,,
0:18.0,,,30-29,,Personal foul by S. Hawes (drawn by H. Whiteside)
0:18.0,D. Granger enters the game for L. Deng,,30-29,,
0:06.0,C. Bosh misses 2-pt shot from 15 ft,,30-29,,
0:05.0,,,30-29,,Defensive rebound by J. Farmar
0:01.0,,,30-29,,J. Farmar misses 3-pt shot from 27 ft
0:00.0,,,30-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Granger makes 2-pt shot from 2 ft (assist by N. Cole),2,32-29,,
11:29.0,,,32-29,,Turnover by J. Crawford (bad pass; steal by H. Whiteside)
11:19.0,D. Wade makes 2-pt shot from 7 ft,2,34-29,,
11:03.0,,,34-29,,J. Crawford misses 3-pt shot from 24 ft
11:02.0,Defensive rebound by H. Whiteside,,34-29,,
10:52.0,D. Wade misses 2-pt shot from 1 ft,,34-29,,
10:51.0,,,34-29,,Defensive rebound by R. Bullock
10:41.0,,,34-29,,S. Hawes misses 2-pt shot from 16 ft
10:40.0,Defensive rebound by H. Whiteside,,34-29,,
10:30.0,D. Wade makes 2-pt shot from 4 ft (assist by D. Granger),2,36-29,,
10:11.0,,,36-29,,J. Crawford misses 2-pt shot from 15 ft
10:10.0,Defensive rebound by N. Cole,,36-29,,
10:04.0,N. Cole makes 2-pt shot from 1 ft,2,38-29,,
9:57.0,,,38-29,,LA Clippers full timeout
9:57.0,C. Andersen enters the game for H. Whiteside,,38-29,,
9:49.0,,,38-29,,Shooting foul by D. Granger (drawn by G. Davis)
9:49.0,,,38-30,1,G. Davis makes free throw 1 of 2
9:49.0,,,38-31,1,G. Davis makes free throw 2 of 2
9:28.0,J. Ennis makes 3-pt shot from 24 ft (assist by D. Granger),3,41-31,,
9:11.0,,,41-31,,J. Crawford misses 2-pt shot at rim (block by C. Andersen)
9:10.0,Defensive rebound by Team,,41-31,,
9:10.0,,,41-31,,M. Barnes enters the game for G. Davis
9:03.0,Turnover by N. Cole (bad pass),,41-31,,
8:49.0,,,41-31,,J. Crawford misses 2-pt shot from 1 ft (block by J. Ennis)
8:46.0,Defensive rebound by N. Cole,,41-31,,
8:42.0,D. Granger misses 3-pt shot from 24 ft,,41-31,,
8:39.0,Offensive rebound by C. Andersen,,41-31,,
8:39.0,C. Andersen misses 2-pt shot from 4 ft,,41-31,,
8:34.0,Offensive rebound by D. Wade,,41-31,,
8:28.0,D. Granger makes 2-pt shot from 2 ft (assist by D. Wade),2,43-31,,
8:06.0,,,43-33,2,S. Hawes makes 2-pt shot from 3 ft (assist by M. Barnes)
7:48.0,Shooting foul by S. Hawes (drawn by C. Andersen),,43-33,,
7:48.0,C. Andersen makes free throw 1 of 2,1,44-33,,
7:48.0,C. Bosh enters the game for J. Ennis,,44-33,,
7:48.0,,,44-33,,D. Jordan enters the game for S. Hawes
7:48.0,,,44-33,,B. Griffin enters the game for R. Bullock
7:48.0,C. Andersen makes free throw 2 of 2,1,45-33,,
7:38.0,,,45-36,3,J. Farmar makes 3-pt shot from 24 ft
7:15.0,,,45-36,,Personal foul by J. Farmar (drawn by N. Cole)
7:15.0,,,45-36,,C. Paul enters the game for J. Farmar
7:01.0,D. Granger makes 2-pt shot at rim (assist by N. Cole),2,47-36,,
6:47.0,,,47-36,,M. Barnes misses 2-pt shot from 2 ft
6:46.0,Defensive rebound by C. Bosh,,47-36,,
6:43.0,Turnover by C. Andersen (bad pass; steal by J. Crawford),,47-36,,
6:38.0,,,47-36,,Turnover by J. Crawford (bad pass; steal by C. Andersen)
6:33.0,N. Cole misses 3-pt shot from 23 ft,,47-36,,
6:32.0,,,47-36,,Defensive rebound by Team
6:32.0,,,47-36,,J. Redick enters the game for J. Crawford
6:21.0,,,47-36,,J. Redick misses 2-pt shot from 21 ft
6:19.0,Defensive rebound by C. Andersen,,47-36,,
6:00.0,D. Granger misses 2-pt shot from 14 ft,,47-36,,
5:57.0,,,47-36,,Defensive rebound by C. Paul
5:51.0,,,47-36,,B. Griffin misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by C. Bosh,,47-36,,
5:45.0,Miami full timeout,,47-36,,
5:45.0,M. Chalmers enters the game for D. Wade,,47-36,,
5:45.0,L. Deng enters the game for N. Cole,,47-36,,
5:36.0,L. Deng misses 3-pt shot from 24 ft,,47-36,,
5:35.0,Offensive rebound by D. Granger,,47-36,,
5:33.0,Turnover by D. Granger (lost ball; steal by J. Redick),,47-36,,
5:25.0,Personal foul by M. Chalmers (drawn by B. Griffin),,47-36,,
5:10.0,,,47-39,3,B. Griffin makes 3-pt shot from 24 ft (assist by C. Paul)
4:55.0,Turnover by C. Andersen (offensive foul),,47-39,,
4:55.0,Offensive foul by C. Andersen,,47-39,,
4:30.0,,,47-39,,B. Griffin misses 2-pt shot from 18 ft
4:29.0,Defensive rebound by C. Bosh,,47-39,,
4:20.0,,,47-39,,Personal foul by M. Barnes (drawn by L. Deng)
4:10.0,Turnover by L. Deng (bad pass; steal by D. Jordan),,47-39,,
4:05.0,,,47-39,,Shooting foul by M. Chalmers (drawn by M. Barnes)
4:05.0,,,47-40,1,M. Barnes makes free throw 1 of 2
4:05.0,N. Cole enters the game for M. Chalmers,,47-40,,
4:05.0,H. Whiteside enters the game for C. Andersen,,47-40,,
4:05.0,,,47-41,1,M. Barnes makes free throw 2 of 2
3:53.0,C. Bosh makes 2-pt shot from 4 ft,2,49-41,,
3:52.0,Violation by Team (jump ball),,49-41,,
3:41.0,,,49-41,,J. Redick misses 2-pt shot from 19 ft
3:40.0,,,49-41,,Offensive rebound by D. Jordan
3:40.0,,,49-43,2,D. Jordan makes 2-pt shot at rim
3:16.0,C. Bosh makes 2-pt shot from 13 ft (assist by N. Cole),2,51-43,,
3:06.0,,,51-45,2,C. Paul makes 2-pt shot from 18 ft
2:38.0,N. Cole makes 3-pt shot from 25 ft (assist by C. Bosh),3,54-45,,
2:19.0,,,54-48,3,M. Barnes makes 3-pt shot from 27 ft (assist by C. Paul)
1:51.0,C. Bosh makes 2-pt shot from 13 ft,2,56-48,,
1:43.0,,,56-48,,C. Paul misses 2-pt shot from 14 ft
1:42.0,Defensive rebound by H. Whiteside,,56-48,,
1:26.0,H. Whiteside misses 2-pt shot from 5 ft,,56-48,,
1:25.0,,,56-48,,Defensive rebound by D. Jordan
1:09.0,,,56-50,2,B. Griffin makes 2-pt shot from 1 ft (assist by J. Redick)
