time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Chandler (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. T. Chandler (R. Westbrook gains possession)
11:47.0,E. Kanter misses 2-pt shot from 13 ft,,0-0,,
11:45.0,,,0-0,,Defensive rebound by Team
11:25.0,,,0-0,,D. Nowitzki misses 2-pt shot from 21 ft
11:24.0,Defensive rebound by D. Waiters,,0-0,,
11:16.0,Turnover by E. Kanter (bad pass; steal by M. Ellis),,0-0,,
11:16.0,Clear path foul by R. Westbrook,,0-0,,
11:16.0,,,0-1,1,M. Ellis makes clear path free throw 1 of 2
11:16.0,,,0-2,1,M. Ellis makes clear path free throw 2 of 2
11:02.0,,,0-2,,M. Ellis misses 2-pt shot from 12 ft
11:00.0,Defensive rebound by E. Kanter,,0-2,,
10:54.0,Turnover by R. Westbrook (bad pass; steal by M. Ellis),,0-2,,
10:47.0,,,0-5,3,C. Parsons makes 3-pt shot from 26 ft (assist by R. Rondo)
10:25.0,Turnover by A. Roberson (bad pass; steal by C. Parsons),,0-5,,
10:18.0,,,0-7,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by R. Rondo)
10:11.0,Oklahoma City full timeout,,0-7,,
10:02.0,Turnover by R. Westbrook (bad pass; steal by T. Chandler),,0-7,,
9:58.0,,,0-9,2,C. Parsons makes 2-pt shot from 1 ft (assist by R. Rondo)
9:31.0,R. Westbrook misses 2-pt shot from 19 ft,,0-9,,
9:29.0,Offensive rebound by Team,,0-9,,
9:22.0,D. Waiters makes 3-pt shot from 23 ft (assist by R. Westbrook),3,3-9,,
9:04.0,,,3-9,,D. Nowitzki misses 2-pt shot from 21 ft
9:03.0,Defensive rebound by E. Kanter,,3-9,,
8:53.0,Turnover by D. Waiters (bad pass; steal by M. Ellis),,3-9,,
8:48.0,,,3-9,,Shooting foul by A. Roberson (drawn by C. Parsons)
