time,Memphis,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Gobert (B. Udrih gains possession),,,,Jump ball: M. Gasol vs. R. Gobert (B. Udrih gains possession)
11:40.0,M. Gasol misses 2-pt shot from 19 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by D. Favors
11:24.0,,,0-0,,D. Favors misses 2-pt shot from 18 ft
11:22.0,Defensive rebound by B. Udrih,,0-0,,
11:05.0,B. Udrih makes 2-pt shot from 19 ft,2,2-0,,
10:51.0,,,2-0,,Turnover by D. Exum (lost ball; steal by C. Lee)
10:45.0,B. Udrih misses 2-pt shot from 2 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by R. Gobert
10:33.0,,,2-2,2,R. Hood makes 2-pt shot from 20 ft (assist by D. Exum)
10:12.0,J. Green makes 2-pt shot from 11 ft (assist by Z. Randolph),2,4-2,,
9:53.0,,,4-2,,Turnover by D. Favors (lost ball)
9:53.0,,,4-2,,Personal foul by D. Favors (drawn by B. Udrih)
9:31.0,Z. Randolph makes 2-pt shot from 16 ft,2,6-2,,
9:10.0,,,6-2,,R. Gobert misses 2-pt shot from 3 ft (block by M. Gasol)
9:08.0,Defensive rebound by J. Green,,6-2,,
9:04.0,J. Green misses 2-pt shot from 2 ft,,6-2,,
9:02.0,,,6-2,,Defensive rebound by D. Favors
8:55.0,,,6-5,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Exum)
8:31.0,C. Lee makes 2-pt shot from 18 ft,2,8-5,,
8:18.0,,,8-7,2,G. Hayward makes 2-pt shot from 1 ft (assist by D. Favors)
7:53.0,C. Lee misses 2-pt shot from 16 ft,,8-7,,
7:52.0,,,8-7,,Defensive rebound by D. Favors
7:35.0,,,8-10,3,R. Hood makes 3-pt shot from 24 ft
7:25.0,Memphis full timeout,,8-10,,
7:19.0,B. Udrih makes 2-pt shot from 20 ft (assist by M. Gasol),2,10-10,,
7:06.0,Personal foul by J. Green (drawn by G. Hayward),,10-10,,
6:54.0,,,10-10,,D. Exum misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by M. Gasol,,10-10,,
6:42.0,Z. Randolph misses 2-pt shot from 18 ft (block by R. Gobert),,10-10,,
6:41.0,,,10-10,,Defensive rebound by R. Hood
6:27.0,,,10-10,,Turnover by G. Hayward (bad pass; steal by C. Lee)
6:21.0,C. Lee makes 3-pt shot from 25 ft (assist by M. Gasol),3,13-10,,
5:57.0,,,13-12,2,G. Hayward makes 2-pt shot from 12 ft
5:42.0,Shooting foul by D. Favors (drawn by M. Gasol),,13-12,,
5:42.0,M. Gasol misses free throw 1 of 2,,13-12,,
5:42.0,Offensive rebound by Team,,13-12,,
5:42.0,N. Calathes enters the game for J. Green,,13-12,,
5:42.0,,,13-12,,T. Booker enters the game for D. Favors
5:42.0,M. Gasol makes free throw 2 of 2,1,14-12,,
5:26.0,,,14-12,,R. Hood misses 3-pt shot from 25 ft
5:26.0,,,14-12,,Offensive rebound by Team
5:26.0,Personal foul by M. Gasol (drawn by R. Gobert),,14-12,,
5:15.0,,,14-12,,Turnover by R. Gobert (lost ball; steal by Z. Randolph)
5:08.0,M. Gasol makes 2-pt shot from 6 ft (assist by N. Calathes),2,16-12,,
4:43.0,,,16-15,3,R. Hood makes 3-pt shot from 24 ft (assist by T. Booker)
4:24.0,M. Gasol makes 2-pt shot from 19 ft (assist by N. Calathes),2,18-15,,
4:09.0,,,18-15,,Shooting foul by N. Calathes (drawn by G. Hayward)
4:09.0,,,18-16,1,G. Hayward makes free throw 1 of 2
4:09.0,,,18-17,1,G. Hayward makes free throw 2 of 2
3:50.0,B. Udrih makes 3-pt shot from 24 ft (assist by Z. Randolph),3,21-17,,
3:36.0,,,21-17,,R. Hood misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by N. Calathes,,21-17,,
3:30.0,Shooting foul by T. Booker (drawn by M. Gasol),,21-17,,
3:30.0,M. Gasol makes free throw 1 of 2,1,22-17,,
3:30.0,K. Koufos enters the game for Z. Randolph,,22-17,,
3:30.0,M. Gasol makes free throw 2 of 2,1,23-17,,
3:20.0,,,23-19,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
2:54.0,N. Calathes misses 2-pt shot from 16 ft (block by R. Gobert),,23-19,,
2:48.0,,,23-19,,Defensive rebound by G. Hayward
2:41.0,,,23-21,2,G. Hayward makes 2-pt shot from 7 ft
2:20.0,B. Udrih misses 2-pt shot from 13 ft,,23-21,,
2:19.0,,,23-21,,Defensive rebound by R. Gobert
2:03.0,,,23-21,,Shooting foul by C. Lee (drawn by R. Hood)
2:03.0,,,23-21,,Utah full timeout
2:03.0,V. Carter enters the game for C. Lee,,23-21,,
2:03.0,J. Green enters the game for B. Udrih,,23-21,,
2:03.0,,,23-21,,J. Ingles enters the game for G. Hayward
2:03.0,,,23-22,1,R. Hood makes free throw 1 of 2
2:03.0,,,23-23,1,R. Hood makes free throw 2 of 2
1:49.0,V. Carter makes 3-pt shot from 25 ft (assist by J. Green),3,26-23,,
1:23.0,,,26-23,,Turnover by Team (shot clock)
1:23.0,,,26-23,,J. Cooley enters the game for R. Gobert
1:10.0,Shooting foul by J. Cooley (drawn by J. Green),,26-23,,
1:10.0,J. Green misses free throw 1 of 2,,26-23,,
1:10.0,Offensive rebound by Team,,26-23,,
1:10.0,,,26-23,,B. Cotton enters the game for D. Exum
1:10.0,,,26-23,,E. Millsap enters the game for R. Hood
1:10.0,J. Green makes free throw 2 of 2,1,27-23,,
1:00.0,,,27-23,,Turnover by J. Ingles (lost ball; steal by V. Carter)
0:48.0,J. Green misses 3-pt shot from 23 ft,,27-23,,
0:44.0,Offensive rebound by Team,,27-23,,
0:30.0,Offensive charge foul by V. Carter,,27-23,,
0:30.0,Turnover by V. Carter (offensive foul),,27-23,,
0:15.0,,,27-23,,T. Booker misses 2-pt shot from 18 ft
0:14.0,Defensive rebound by V. Carter,,27-23,,
0:08.0,Offensive foul by M. Gasol,,27-23,,
0:08.0,Turnover by M. Gasol (offensive foul),,27-23,,
0:08.0,R. Smith enters the game for M. Gasol,,27-23,,
0:08.0,,,27-23,,Turnover by T. Booker (bad pass)
0:08.0,M. Gasol enters the game for R. Smith,,27-23,,
0:08.0,,,27-23,,R. Gobert enters the game for J. Cooley
0:05.0,M. Gasol makes 2-pt shot from 11 ft,2,29-23,,
0:00.0,,,29-23,,T. Booker misses 3-pt shot from 40 ft
0:00.0,,,29-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,29-23,,T. Booker misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by J. Adams,,29-23,,
11:33.0,Offensive foul by J. Green,,29-23,,
11:33.0,Turnover by J. Green (offensive foul),,29-23,,
11:33.0,,,29-23,,J. Cooley enters the game for R. Gobert
11:21.0,,,29-23,,J. Ingles misses 2-pt shot from 22 ft
11:18.0,Defensive rebound by J. Adams,,29-23,,
11:05.0,J. Green makes 2-pt shot at rim (assist by V. Carter),2,31-23,,
10:44.0,,,31-23,,Shooting foul by N. Calathes (drawn by T. Booker)
10:44.0,,,31-23,,E. Millsap misses free throw 1 of 2
10:44.0,,,31-23,,Offensive rebound by Team
10:44.0,,,31-24,1,E. Millsap makes free throw 2 of 2
10:41.0,,,31-24,,Personal foul by E. Millsap (drawn by J. Adams)
10:26.0,J. Adams misses 3-pt shot from 24 ft,,31-24,,
