time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. M. Gasol (Z. Randolph gains possession),,,,Jump ball: A. Bogut vs. M. Gasol (Z. Randolph gains possession)
11:36.0,,,0-0,,Z. Randolph misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by D. Green,,0-0,,
11:28.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,2-0,,
11:20.0,,,2-0,,C. Lee misses 2-pt shot from 18 ft
11:19.0,Defensive rebound by K. Thompson,,2-0,,
11:03.0,K. Thompson makes 2-pt shot from 17 ft (assist by A. Bogut),2,4-0,,
10:44.0,,,4-0,,M. Conley misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by D. Green,,4-0,,
10:39.0,D. Green misses 2-pt shot from 3 ft,,4-0,,
10:37.0,,,4-0,,Defensive rebound by M. Gasol
10:33.0,,,4-2,2,C. Lee makes 2-pt shot at rim
10:09.0,D. Green misses 3-pt shot from 23 ft,,4-2,,
10:09.0,,,4-2,,Defensive rebound by M. Gasol
9:57.0,,,4-4,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Conley)
9:44.0,K. Thompson misses 3-pt shot from 25 ft,,4-4,,
9:43.0,,,4-4,,Defensive rebound by Z. Randolph
9:33.0,,,4-4,,M. Gasol misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by K. Thompson,,4-4,,
9:25.0,K. Thompson makes 3-pt shot from 24 ft,3,7-4,,
9:01.0,,,7-4,,Turnover by Team (shot clock)
8:44.0,D. Green misses 3-pt shot from 25 ft,,7-4,,
8:43.0,,,7-4,,Defensive rebound by M. Gasol
8:35.0,,,7-6,2,Z. Randolph makes 2-pt shot from 7 ft (assist by C. Lee)
8:24.0,Turnover by D. Green (lost ball; steal by M. Gasol),,7-6,,
8:20.0,Personal foul by K. Thompson (drawn by M. Conley),,7-6,,
8:10.0,,,7-6,,Shooting foul by H. Barnes (drawn by M. Gasol)
8:10.0,,,7-7,1,M. Gasol makes free throw 1 of 2
8:10.0,,,7-8,1,M. Gasol makes free throw 2 of 2
7:55.0,S. Curry misses 2-pt shot from 22 ft,,7-8,,
7:54.0,,,7-8,,Defensive rebound by M. Gasol
7:43.0,,,7-8,,M. Gasol misses 2-pt shot from 8 ft
7:41.0,Defensive rebound by A. Bogut,,7-8,,
7:30.0,S. Curry misses 3-pt shot from 22 ft,,7-8,,
7:28.0,Offensive rebound by A. Bogut,,7-8,,
7:25.0,S. Curry makes 2-pt shot from 7 ft (assist by A. Bogut),2,9-8,,
7:03.0,,,9-8,,C. Lee misses 2-pt shot from 6 ft (block by K. Thompson)
7:01.0,Defensive rebound by K. Thompson,,9-8,,
6:58.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,11-8,,
6:32.0,,,11-8,,T. Allen misses 2-pt shot from 17 ft
6:32.0,Defensive rebound by A. Bogut,,11-8,,
6:22.0,S. Curry misses 3-pt shot from 25 ft,,11-8,,
6:22.0,Offensive rebound by H. Barnes,,11-8,,
6:19.0,H. Barnes makes 2-pt shot from 8 ft,2,13-8,,
6:11.0,,,13-8,,Memphis full timeout
5:56.0,,,13-10,2,Z. Randolph makes 2-pt shot from 6 ft
