time,Indiana,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. M. Plumlee (G. Hill gains possession),,,,Jump ball: R. Hibbert vs. M. Plumlee (G. Hill gains possession)
11:40.0,G. Hill makes 2-pt shot from 12 ft (assist by R. Stuckey),2,2-0,,
11:28.0,,,2-0,,Turnover by J. Johnson (bad pass; steal by R. Stuckey)
11:20.0,R. Hibbert misses 2-pt shot from 2 ft (block by M. Plumlee),,2-0,,
11:18.0,,,2-0,,Defensive rebound by K. Garnett
11:09.0,,,2-2,2,K. Garnett makes 2-pt shot from 18 ft
10:47.0,R. Stuckey makes 2-pt shot from 19 ft,2,4-2,,
10:29.0,,,4-5,3,S. Karasev makes 3-pt shot from 24 ft (assist by J. Johnson)
10:03.0,R. Stuckey misses 2-pt shot from 22 ft,,4-5,,
10:02.0,,,4-5,,Defensive rebound by J. Johnson
9:58.0,,,4-5,,Shooting foul by G. Hill (drawn by M. Plumlee)
9:58.0,,,4-6,1,M. Plumlee makes free throw 1 of 2
9:58.0,,,4-7,1,M. Plumlee makes free throw 2 of 2
9:47.0,D. West misses 2-pt shot from 3 ft,,4-7,,
9:46.0,,,4-7,,Defensive rebound by M. Plumlee
9:38.0,,,4-9,2,J. Jack makes 2-pt shot from 21 ft
9:18.0,S. Hill misses 2-pt shot from 12 ft,,4-9,,
9:17.0,,,4-9,,Defensive rebound by M. Plumlee
9:07.0,,,4-11,2,J. Johnson makes 2-pt shot from 21 ft
8:53.0,,,4-11,,Personal foul by K. Garnett (drawn by D. West)
8:39.0,D. West misses 2-pt shot from 18 ft,,4-11,,
8:38.0,,,4-11,,Defensive rebound by M. Plumlee
8:30.0,,,4-11,,K. Garnett misses 2-pt shot from 15 ft
8:28.0,Defensive rebound by R. Hibbert,,4-11,,
8:22.0,R. Stuckey makes 2-pt shot from 3 ft,2,6-11,,
8:05.0,,,6-13,2,J. Jack makes 2-pt shot from 14 ft
7:48.0,G. Hill misses 2-pt shot from 18 ft,,6-13,,
7:47.0,,,6-13,,Defensive rebound by S. Karasev
7:39.0,Personal foul by S. Hill (drawn by J. Johnson),,6-13,,
7:29.0,,,6-13,,J. Johnson misses 2-pt shot from 15 ft
7:28.0,Defensive rebound by R. Stuckey,,6-13,,
7:25.0,,,6-13,,Personal foul by S. Karasev (drawn by R. Stuckey)
7:15.0,G. Hill makes 2-pt shot from 1 ft (assist by R. Stuckey),2,8-13,,
7:02.0,,,8-13,,M. Plumlee misses 2-pt shot from 1 ft (block by D. West)
7:00.0,Defensive rebound by G. Hill,,8-13,,
6:54.0,,,8-13,,Personal foul by K. Garnett (drawn by D. West)
6:54.0,Technical foul by D. West,,8-13,,
6:54.0,,,8-14,1,J. Jack makes technical free throw
6:54.0,,,8-14,,B. Lopez enters the game for K. Garnett
6:43.0,G. Hill makes 3-pt shot from 22 ft (assist by S. Hill),3,11-14,,
6:33.0,,,11-17,3,J. Johnson makes 3-pt shot from 25 ft
6:23.0,,,11-17,,Personal foul by M. Plumlee (drawn by D. West)
6:09.0,Shooting foul by S. Karasev (drawn by R. Stuckey),,11-17,,
6:09.0,R. Stuckey misses free throw 1 of 2,,11-17,,
6:09.0,Offensive rebound by Team,,11-17,,
6:09.0,,,11-17,,A. Anderson enters the game for S. Karasev
6:09.0,R. Stuckey misses free throw 2 of 2,,11-17,,
6:08.0,,,11-17,,Defensive rebound by B. Lopez
5:53.0,,,11-19,2,J. Jack makes 2-pt shot from 8 ft
5:29.0,R. Hibbert makes 2-pt shot from 19 ft (assist by S. Hill),2,13-19,,
5:06.0,,,13-19,,B. Lopez misses 2-pt shot from 17 ft
5:05.0,Defensive rebound by G. Hill,,13-19,,
4:55.0,G. Hill misses 2-pt shot from 5 ft,,13-19,,
4:54.0,Offensive rebound by G. Hill,,13-19,,
4:44.0,R. Hibbert makes 2-pt shot from 7 ft (assist by G. Hill),2,15-19,,
4:23.0,,,15-19,,A. Anderson misses 3-pt shot from 23 ft
4:22.0,,,15-19,,Offensive rebound by B. Lopez
4:18.0,,,15-19,,J. Jack misses 2-pt shot from 19 ft
4:16.0,Defensive rebound by D. West,,15-19,,
4:13.0,Indiana full timeout,,15-19,,
4:13.0,C. Watson enters the game for G. Hill,,15-19,,
4:13.0,L. Scola enters the game for R. Stuckey,,15-19,,
4:13.0,C. Copeland enters the game for D. West,,15-19,,
4:04.0,L. Scola misses 2-pt shot from 19 ft,,15-19,,
4:02.0,,,15-19,,Defensive rebound by J. Jack
3:48.0,,,15-19,,B. Lopez misses 2-pt shot from 5 ft
3:47.0,Defensive rebound by C. Watson,,15-19,,
3:37.0,R. Hibbert misses 2-pt shot from 15 ft,,15-19,,
3:36.0,,,15-19,,Defensive rebound by J. Jack
3:29.0,,,15-19,,Turnover by J. Jack (bad pass; steal by S. Hill)
3:21.0,S. Hill misses 2-pt shot from 1 ft,,15-19,,
3:20.0,,,15-19,,Defensive rebound by J. Johnson
3:11.0,,,15-19,,J. Johnson misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by Team,,15-19,,
2:57.0,C. Copeland makes 3-pt shot from 25 ft (assist by C. Watson),3,18-19,,
2:41.0,,,18-19,,B. Lopez misses 2-pt shot from 19 ft
2:40.0,Defensive rebound by C. Watson,,18-19,,
2:31.0,C. Copeland makes 2-pt shot from 2 ft,2,20-19,,
2:25.0,,,20-19,,Brooklyn full timeout
2:25.0,,,20-19,,B. Bogdanovic enters the game for J. Johnson
2:25.0,,,20-19,,M. Teletovic enters the game for M. Plumlee
2:13.0,,,20-21,2,J. Jack makes 2-pt shot from 14 ft
1:53.0,Turnover by C. Copeland (traveling),,20-21,,
1:42.0,,,20-21,,J. Jack misses 2-pt shot from 18 ft
1:41.0,Defensive rebound by C. Copeland,,20-21,,
1:34.0,S. Hill misses 2-pt shot at rim (block by B. Lopez),,20-21,,
1:33.0,,,20-21,,Defensive rebound by A. Anderson
1:25.0,,,20-21,,Turnover by A. Anderson (bad pass; steal by C. Watson)
1:17.0,L. Scola misses 2-pt shot from 20 ft,,20-21,,
1:15.0,,,20-21,,Defensive rebound by B. Lopez
0:59.0,,,20-21,,B. Lopez misses 2-pt shot from 20 ft
0:58.0,Defensive rebound by L. Scola,,20-21,,
0:40.0,Shooting foul by J. Jack (drawn by L. Scola),,20-21,,
0:40.0,L. Scola makes free throw 1 of 2,1,21-21,,
0:40.0,L. Scola makes free throw 2 of 2,1,22-21,,
0:36.0,Personal foul by C. Watson (drawn by J. Jack),,22-21,,
0:32.0,,,22-21,,A. Anderson misses 2-pt shot from 1 ft
0:30.0,,,22-21,,Offensive rebound by A. Anderson
0:30.0,Personal foul by R. Hibbert (drawn by A. Anderson),,22-21,,
0:30.0,,,22-22,1,A. Anderson makes free throw 1 of 2
0:30.0,,,22-22,,D. Williams enters the game for J. Jack
0:30.0,,,22-23,1,A. Anderson makes free throw 2 of 2
0:10.0,L. Scola misses 2-pt shot from 7 ft (block by B. Lopez),,22-23,,
0:09.0,Offensive rebound by Team,,22-23,,
0:06.0,Turnover by Team (shot clock),,22-23,,
0:02.0,,,22-23,,M. Teletovic misses 3-pt shot from 33 ft
0:00.0,,,22-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-23,,M. Teletovic misses 2-pt shot from 5 ft
11:39.0,Defensive rebound by L. Allen,,22-23,,
11:20.0,C. Copeland misses 3-pt shot from 23 ft,,22-23,,
11:19.0,,,22-23,,Defensive rebound by Team
11:19.0,Violation by C. Watson (kicked ball),,22-23,,
11:05.0,,,22-23,,B. Bogdanovic misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by L. Allen,,22-23,,
10:58.0,R. Stuckey makes 2-pt shot from 1 ft,2,24-23,,
10:58.0,Shooting foul by M. Teletovic (drawn by R. Stuckey),,24-23,,
10:58.0,,,24-23,,M. Plumlee enters the game for B. Lopez
10:58.0,R. Stuckey makes free throw 1 of 1,1,25-23,,
10:47.0,,,25-23,,M. Teletovic misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by L. Allen,,25-23,,
10:37.0,Turnover by L. Scola (3 sec),,25-23,,
10:27.0,,,25-23,,Turnover by A. Anderson (bad pass; steal by C. Watson)
10:15.0,L. Allen misses 2-pt shot from 17 ft,,25-23,,
10:14.0,,,25-23,,Defensive rebound by M. Teletovic
10:08.0,Personal foul by R. Stuckey (drawn by M. Plumlee),,25-23,,
10:00.0,,,25-23,,B. Bogdanovic misses 2-pt shot from 2 ft (block by C. Copeland)
9:58.0,Defensive rebound by L. Scola,,25-23,,
9:42.0,L. Allen misses 2-pt shot from 13 ft,,25-23,,
9:41.0,,,25-23,,Defensive rebound by B. Bogdanovic
9:34.0,,,25-26,3,A. Anderson makes 3-pt shot from 25 ft (assist by D. Williams)
9:17.0,L. Scola makes 2-pt shot from 17 ft (assist by C. Watson),2,27-26,,
9:05.0,,,27-26,,Brooklyn full timeout
8:58.0,,,27-28,2,M. Plumlee makes 2-pt shot from 2 ft
8:58.0,,,27-28,,Shooting foul by L. Allen (drawn by M. Plumlee)
8:58.0,,,27-29,1,M. Plumlee makes free throw 1 of 1
8:36.0,L. Scola makes 2-pt shot from 9 ft (assist by C. Copeland),2,29-29,,
8:36.0,Shooting foul by B. Bogdanovic (drawn by L. Scola),,29-29,,
8:36.0,L. Scola makes free throw 1 of 1,1,30-29,,
8:27.0,,,30-29,,B. Bogdanovic misses 3-pt shot from 22 ft
8:26.0,Defensive rebound by R. Stuckey,,30-29,,
8:22.0,R. Stuckey misses 2-pt shot from 1 ft,,30-29,,
8:21.0,Offensive rebound by L. Allen,,30-29,,
8:18.0,L. Allen makes 2-pt shot from 1 ft,2,32-29,,
8:08.0,,,32-29,,D. Williams misses 2-pt shot from 18 ft
8:07.0,Defensive rebound by C. Copeland,,32-29,,
7:55.0,L. Allen makes 2-pt shot from 3 ft,2,34-29,,
7:43.0,,,34-29,,D. Williams misses 2-pt shot from 2 ft
7:42.0,Defensive rebound by C. Copeland,,34-29,,
7:32.0,C. Copeland misses 3-pt shot from 25 ft,,34-29,,
7:31.0,,,34-29,,Defensive rebound by M. Plumlee
7:14.0,,,34-29,,M. Teletovic misses 3-pt shot from 27 ft
7:13.0,Defensive rebound by C. Watson,,34-29,,
7:09.0,Loose ball foul by C. Watson (drawn by D. Williams),,34-29,,
7:09.0,Turnover by C. Watson (offensive foul),,34-29,,
7:01.0,,,34-29,,B. Bogdanovic misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by L. Allen,,34-29,,
6:42.0,R. Stuckey misses 2-pt shot from 19 ft,,34-29,,
6:41.0,Offensive rebound by L. Allen,,34-29,,
6:39.0,L. Allen makes 2-pt shot from 2 ft,2,36-29,,
6:23.0,Personal foul by L. Allen (drawn by M. Plumlee),,36-29,,
6:23.0,,,36-29,,J. Jack enters the game for M. Teletovic
6:23.0,,,36-29,,J. Johnson enters the game for B. Bogdanovic
6:15.0,,,36-29,,J. Johnson misses 3-pt shot from 23 ft
6:14.0,Defensive rebound by R. Stuckey,,36-29,,
6:08.0,L. Scola makes 2-pt shot from 2 ft (assist by R. Stuckey),2,38-29,,
5:53.0,,,38-29,,J. Jack misses 3-pt shot from 23 ft
5:52.0,Defensive rebound by L. Scola,,38-29,,
5:43.0,L. Allen misses 2-pt shot from 20 ft,,38-29,,
5:42.0,,,38-29,,Defensive rebound by J. Johnson
5:40.0,Personal foul by C. Copeland (drawn by J. Johnson),,38-29,,
5:40.0,Official timeout,,38-29,,
5:40.0,S. Hill enters the game for C. Copeland,,38-29,,
5:40.0,,,38-30,1,J. Johnson makes free throw 1 of 2
5:40.0,,,38-31,1,J. Johnson makes free throw 2 of 2
5:19.0,C. Watson makes 2-pt shot from 19 ft,2,40-31,,
4:56.0,,,40-31,,Shooting foul by L. Scola (drawn by D. Williams)
4:56.0,,,40-31,,D. Williams misses free throw 1 of 3
4:56.0,,,40-31,,Offensive rebound by Team
4:56.0,,,40-32,1,D. Williams makes free throw 2 of 3
4:56.0,,,40-33,1,D. Williams makes free throw 3 of 3
4:45.0,Shooting foul by M. Plumlee (drawn by L. Scola),,40-33,,
4:45.0,L. Scola makes free throw 1 of 2,1,41-33,,
4:45.0,,,41-33,,S. Karasev enters the game for A. Anderson
4:45.0,L. Scola makes free throw 2 of 2,1,42-33,,
4:32.0,,,42-33,,J. Johnson misses 2-pt shot from 17 ft
4:31.0,Defensive rebound by L. Scola,,42-33,,
4:17.0,R. Stuckey misses 2-pt shot from 14 ft,,42-33,,
4:16.0,,,42-33,,Defensive rebound by J. Johnson
4:09.0,,,42-33,,Shooting foul by S. Hill (drawn by J. Johnson)
4:09.0,,,42-34,1,J. Johnson makes free throw 1 of 2
4:09.0,G. Hill enters the game for C. Watson,,42-34,,
