time,Orlando,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: P. Gasol vs. N. Vucevic (C. Frye gains possession)
11:42.0,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic),2,2-0,,
11:22.0,,,2-0,,P. Gasol misses 2-pt shot from 16 ft
11:21.0,,,2-0,,Offensive rebound by J. Noah
11:15.0,,,2-2,2,D. Rose makes 2-pt shot from 10 ft
11:15.0,,,2-2,,Shooting foul by E. Payton (drawn by D. Rose)
11:15.0,,,2-2,,D. Rose misses free throw 1 of 1
11:13.0,Defensive rebound by N. Vucevic,,2-2,,
11:05.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,4-2,,
10:51.0,,,4-2,,Turnover by P. Gasol (bad pass; steal by D. Marble)
10:43.0,C. Frye misses 3-pt shot from 24 ft,,4-2,,
10:43.0,,,4-2,,Defensive rebound by Team
10:30.0,,,4-2,,D. Rose misses 3-pt shot from 24 ft
10:30.0,,,4-2,,Offensive rebound by Team
10:30.0,Loose ball foul by C. Frye (drawn by J. Noah),,4-2,,
10:19.0,Violation by V. Oladipo (kicked ball),,4-2,,
10:13.0,,,4-2,,P. Gasol misses 3-pt shot from 22 ft
10:12.0,Defensive rebound by D. Marble,,4-2,,
10:04.0,C. Frye misses 3-pt shot from 25 ft,,4-2,,
10:03.0,,,4-2,,Defensive rebound by P. Gasol
9:40.0,,,4-5,3,J. Butler makes 3-pt shot from 22 ft (assist by T. Snell)
9:28.0,V. Oladipo makes 2-pt shot from 1 ft (assist by C. Frye),2,6-5,,
9:16.0,,,6-7,2,D. Rose makes 2-pt shot from 6 ft
9:11.0,N. Vucevic makes 2-pt shot from 2 ft (assist by E. Payton),2,8-7,,
9:11.0,Shooting foul by J. Noah (drawn by N. Vucevic),,8-7,,
9:11.0,N. Vucevic misses free throw 1 of 1,,8-7,,
9:09.0,Offensive rebound by Team,,8-7,,
9:02.0,E. Payton makes 2-pt shot from 14 ft,2,10-7,,
