time,LA Lakers,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. K. Faried (W. Chandler gains possession),,,,Jump ball: T. Black vs. K. Faried (W. Chandler gains possession)
11:45.0,,,0-0,,K. Faried misses 2-pt shot at rim
11:44.0,Defensive rebound by T. Black,,0-0,,
11:29.0,Shooting foul by K. Faried (drawn by T. Black),,0-0,,
11:29.0,T. Black makes free throw 1 of 2,1,1-0,,
11:29.0,T. Black misses free throw 2 of 2,,1-0,,
11:27.0,,,1-0,,Defensive rebound by K. Faried
11:15.0,,,1-0,,D. Gallinari misses 2-pt shot from 14 ft
11:14.0,Defensive rebound by J. Brown,,1-0,,
11:10.0,Turnover by J. Brown (bad pass; steal by K. Faried),,1-0,,
10:58.0,,,1-2,2,T. Lawson makes 2-pt shot at rim
10:37.0,J. Clarkson misses 2-pt shot from 15 ft,,1-2,,
10:36.0,,,1-2,,Defensive rebound by K. Faried
10:22.0,,,1-2,,Turnover by T. Lawson (bad pass; steal by R. Kelly)
10:16.0,R. Kelly makes 2-pt shot at rim (assist by J. Clarkson),2,3-2,,
9:56.0,,,3-5,3,D. Gallinari makes 3-pt shot from 24 ft (assist by R. Foye)
9:34.0,J. Brown misses 2-pt shot from 10 ft,,3-5,,
9:33.0,,,3-5,,Defensive rebound by R. Foye
9:29.0,,,3-7,2,K. Faried makes 2-pt shot at rim (assist by R. Foye)
9:29.0,,,3-7,,Shooting foul by W. Johnson (drawn by K. Faried)
9:29.0,,,3-8,1,K. Faried makes free throw 1 of 1
9:12.0,R. Kelly misses 2-pt shot from 3 ft (block by D. Gallinari),,3-8,,
9:11.0,,,3-8,,Defensive rebound by Team
8:57.0,,,3-8,,Shooting foul by T. Black (drawn by K. Faried)
8:57.0,,,3-9,1,K. Faried makes free throw 1 of 2
8:57.0,,,3-10,1,K. Faried makes free throw 2 of 2
8:49.0,Turnover by J. Clarkson (bad pass; steal by T. Lawson),,3-10,,
8:43.0,,,3-13,3,R. Foye makes 3-pt shot from 23 ft (assist by T. Lawson)
8:34.0,LA Lakers full timeout,,3-13,,
8:21.0,R. Kelly makes 3-pt shot from 25 ft,3,6-13,,
8:03.0,,,6-16,3,D. Gallinari makes 3-pt shot from 25 ft
7:46.0,W. Johnson makes 3-pt shot from 25 ft,3,9-16,,
7:25.0,,,9-16,,W. Chandler misses 2-pt shot from 2 ft
7:24.0,,,9-16,,Offensive rebound by K. Faried
7:23.0,,,9-16,,Shooting foul by T. Black (drawn by K. Faried)
7:23.0,,,9-17,1,K. Faried makes free throw 1 of 2
7:23.0,E. Davis enters the game for T. Black,,9-17,,
7:23.0,,,9-18,1,K. Faried makes free throw 2 of 2
7:13.0,E. Davis makes 2-pt shot from 2 ft (assist by J. Clarkson),2,11-18,,
7:13.0,Shooting foul by W. Chandler (drawn by E. Davis),,11-18,,
7:13.0,E. Davis makes free throw 1 of 1,1,12-18,,
7:06.0,Personal foul by R. Kelly (drawn by D. Gallinari),,12-18,,
