time,Orlando,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. N. Vucevic (T. Parker gains possession),,,,Jump ball: T. Duncan vs. N. Vucevic (T. Parker gains possession)
11:37.0,,,0-0,,T. Duncan misses 2-pt shot from 12 ft
11:36.0,Defensive rebound by Team,,0-0,,
11:23.0,,,0-0,,Personal foul by B. Diaw (drawn by N. Vucevic)
11:15.0,V. Oladipo misses 2-pt shot from 14 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by T. Duncan
11:02.0,,,0-3,3,T. Parker makes 3-pt shot from 22 ft (assist by K. Leonard)
10:46.0,T. Harris makes 2-pt shot from 5 ft,2,2-3,,
10:46.0,Shooting foul by B. Diaw (drawn by T. Harris),,2-3,,
10:46.0,T. Harris makes free throw 1 of 1,1,3-3,,
10:27.0,,,3-5,2,K. Leonard makes 2-pt shot from 16 ft (assist by T. Parker)
10:10.0,E. Payton makes 2-pt shot from 9 ft (assist by E. Fournier),2,5-5,,
9:51.0,,,5-5,,K. Leonard misses 2-pt shot from 22 ft
9:50.0,Defensive rebound by V. Oladipo,,5-5,,
9:43.0,E. Payton makes 2-pt shot at rim (assist by T. Harris),2,7-5,,
9:33.0,Personal foul by E. Fournier (drawn by K. Leonard),,7-5,,
9:17.0,,,7-5,,B. Diaw misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by N. Vucevic,,7-5,,
9:05.0,E. Payton makes 2-pt shot from 15 ft,2,9-5,,
8:47.0,,,9-5,,D. Green misses 3-pt shot from 23 ft
8:47.0,Defensive rebound by Team,,9-5,,
8:33.0,V. Oladipo misses 2-pt shot from 1 ft,,9-5,,
8:33.0,Offensive rebound by Team,,9-5,,
8:33.0,Turnover by V. Oladipo (traveling),,9-5,,
8:24.0,Personal foul by E. Payton (drawn by T. Parker),,9-5,,
8:19.0,,,9-5,,T. Parker misses 2-pt shot from 1 ft
8:18.0,Defensive rebound by T. Harris,,9-5,,
8:14.0,V. Oladipo misses 2-pt shot from 1 ft,,9-5,,
8:12.0,Offensive rebound by V. Oladipo,,9-5,,
8:05.0,Turnover by V. Oladipo (bad pass; steal by T. Duncan),,9-5,,
8:00.0,,,9-5,,T. Parker misses 2-pt shot from 6 ft
7:58.0,Defensive rebound by E. Payton,,9-5,,
7:54.0,V. Oladipo misses 2-pt shot at rim (block by D. Green),,9-5,,
7:54.0,,,9-5,,Defensive rebound by Team
7:40.0,,,9-5,,T. Duncan misses 2-pt shot from 6 ft (block by N. Vucevic)
7:38.0,Defensive rebound by E. Fournier,,9-5,,
7:32.0,T. Harris makes 2-pt shot from 14 ft (assist by E. Fournier),2,11-5,,
