time,Houston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession),,,,Jump ball: M. Gortat vs. D. Howard (J. Wall gains possession)
11:37.0,,,0-0,,N. Hilario misses 2-pt shot from 7 ft
11:36.0,,,0-0,,Offensive rebound by M. Gortat
11:33.0,,,0-0,,M. Gortat misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by D. Howard,,0-0,,
11:18.0,T. Ariza misses 3-pt shot from 23 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by J. Wall
11:11.0,,,0-0,,B. Beal misses 3-pt shot from 23 ft
11:08.0,Defensive rebound by D. Howard,,0-0,,
10:56.0,Turnover by J. Smith (lost ball; steal by N. Hilario),,0-0,,
10:51.0,,,0-2,2,B. Beal makes 2-pt shot at rim (assist by J. Wall)
10:32.0,,,0-2,,Personal foul by B. Beal (drawn by J. Harden)
10:24.0,Turnover by T. Ariza (dbl dribble),,0-2,,
10:18.0,,,0-2,,Turnover by J. Wall (bad pass; steal by T. Ariza)
9:59.0,J. Smith makes 2-pt shot from 8 ft,2,2-2,,
9:36.0,,,2-4,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
9:21.0,Turnover by J. Smith (bad pass; steal by M. Gortat),,2-4,,
9:13.0,Personal foul by D. Howard (drawn by J. Wall),,2-4,,
9:13.0,Houston full timeout,,2-4,,
9:13.0,,,2-5,1,J. Wall makes free throw 1 of 2
9:13.0,,,2-6,1,J. Wall makes free throw 2 of 2
8:49.0,Turnover by T. Ariza (bad pass; steal by N. Hilario),,2-6,,
8:39.0,,,2-6,,P. Pierce misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by J. Smith,,2-6,,
8:30.0,Turnover by J. Smith (lost ball; steal by N. Hilario),,2-6,,
8:13.0,,,2-6,,Shooting foul by D. Howard (drawn by N. Hilario)
8:13.0,,,2-6,,N. Hilario misses free throw 1 of 2
8:13.0,,,2-6,,Offensive rebound by Team
8:13.0,J. Dorsey enters the game for D. Howard,,2-6,,
8:13.0,,,2-6,,N. Hilario misses free throw 2 of 2
8:12.0,Defensive rebound by J. Harden,,2-6,,
8:06.0,Turnover by T. Ariza (lost ball; steal by J. Wall),,2-6,,
8:00.0,,,2-6,,J. Wall misses 2-pt shot from 1 ft
7:58.0,Defensive rebound by J. Smith,,2-6,,
7:36.0,J. Smith makes 3-pt shot from 23 ft (assist by J. Harden),3,5-6,,
7:23.0,,,5-6,,M. Gortat misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by J. Smith,,5-6,,
7:15.0,T. Ariza misses 3-pt shot from 26 ft,,5-6,,
7:13.0,Offensive rebound by J. Smith,,5-6,,
7:08.0,Turnover by T. Ariza (bad pass; steal by P. Pierce),,5-6,,
7:08.0,,,5-6,,Shooting foul by J. Terry (drawn by B. Beal)
7:08.0,,,5-7,1,B. Beal makes free throw 1 of 2
7:08.0,,,5-8,1,B. Beal makes free throw 2 of 2
6:53.0,J. Smith makes 2-pt shot from 7 ft (assist by J. Terry),2,7-8,,
6:40.0,,,7-8,,N. Hilario misses 2-pt shot from 17 ft
6:39.0,,,7-8,,Offensive rebound by M. Gortat
6:36.0,,,7-8,,M. Gortat misses 2-pt shot from 3 ft
6:35.0,Defensive rebound by J. Smith,,7-8,,
6:25.0,J. Smith misses 2-pt shot from 4 ft,,7-8,,
6:24.0,,,7-8,,Defensive rebound by N. Hilario
6:19.0,,,7-8,,J. Wall misses 2-pt shot at rim
6:17.0,Defensive rebound by T. Ariza,,7-8,,
6:14.0,Shooting foul by N. Hilario (drawn by J. Harden),,7-8,,
6:14.0,J. Harden makes free throw 1 of 2,1,8-8,,
6:14.0,J. Harden misses free throw 2 of 2,,8-8,,
6:13.0,,,8-8,,Defensive rebound by M. Gortat
6:03.0,,,8-8,,Turnover by B. Beal (bad pass; steal by J. Dorsey)
6:01.0,Turnover by J. Harden (traveling),,8-8,,
5:47.0,,,8-8,,J. Wall misses 2-pt shot from 14 ft
5:46.0,,,8-8,,Offensive rebound by J. Wall
5:34.0,,,8-10,2,J. Wall makes 2-pt shot from 17 ft
5:19.0,J. Dorsey makes 2-pt shot from 1 ft (assist by J. Terry),2,10-10,,
5:03.0,,,10-10,,Turnover by B. Beal (bad pass; steal by T. Ariza)
4:58.0,J. Smith makes 2-pt shot from 3 ft,2,12-10,,
4:44.0,,,12-12,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall)
4:44.0,,,12-12,,Shooting foul by J. Dorsey (drawn by N. Hilario)
4:44.0,C. Brewer enters the game for T. Ariza,,12-12,,
4:44.0,P. Prigioni enters the game for J. Terry,,12-12,,
4:44.0,,,12-13,1,N. Hilario makes free throw 1 of 1
4:26.0,J. Smith makes 3-pt shot from 26 ft (assist by J. Harden),3,15-13,,
4:16.0,,,15-15,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
4:05.0,J. Harden misses 2-pt shot from 2 ft,,15-15,,
4:04.0,,,15-15,,Defensive rebound by N. Hilario
4:00.0,,,15-15,,M. Gortat misses 2-pt shot at rim (block by C. Brewer)
3:55.0,Defensive rebound by P. Prigioni,,15-15,,
3:50.0,J. Dorsey makes 2-pt shot from 3 ft (assist by C. Brewer),2,17-15,,
3:26.0,,,17-15,,B. Beal misses 2-pt shot from 16 ft
3:25.0,Defensive rebound by J. Dorsey,,17-15,,
3:16.0,Shooting foul by M. Gortat (drawn by J. Harden),,17-15,,
3:16.0,J. Harden makes free throw 1 of 2,1,18-15,,
3:16.0,,,18-15,,M. Webster enters the game for B. Beal
3:16.0,J. Harden makes free throw 2 of 2,1,19-15,,
3:01.0,,,19-15,,J. Wall misses 2-pt shot from 15 ft
3:00.0,Defensive rebound by J. Dorsey,,19-15,,
2:52.0,J. Harden misses 3-pt shot from 27 ft,,19-15,,
2:51.0,Offensive rebound by C. Brewer,,19-15,,
2:44.0,J. Dorsey makes 2-pt shot at rim (assist by J. Harden),2,21-15,,
2:37.0,,,21-15,,Washington full timeout
2:21.0,,,21-15,,Turnover by J. Wall (lost ball; steal by C. Brewer)
2:16.0,P. Prigioni makes 2-pt shot at rim (assist by C. Brewer),2,23-15,,
1:59.0,,,23-17,2,P. Pierce makes 2-pt shot from 17 ft
1:37.0,C. Brewer misses 2-pt shot from 1 ft,,23-17,,
1:36.0,,,23-17,,Defensive rebound by M. Gortat
1:32.0,,,23-17,,Turnover by M. Webster (lost ball; steal by P. Prigioni)
1:22.0,J. Harden misses 2-pt shot from 1 ft,,23-17,,
1:21.0,,,23-17,,Defensive rebound by M. Gortat
1:11.0,,,23-17,,P. Pierce misses 3-pt shot from 25 ft
1:10.0,Defensive rebound by J. Dorsey,,23-17,,
0:54.0,Shooting foul by P. Pierce (drawn by J. Harden),,23-17,,
0:54.0,J. Harden makes free throw 1 of 2,1,24-17,,
0:54.0,,,24-17,,D. Gooden enters the game for N. Hilario
0:54.0,,,24-17,,R. Butler enters the game for P. Pierce
0:54.0,T. Ariza enters the game for J. Smith,,24-17,,
0:54.0,J. Harden makes free throw 2 of 2,1,25-17,,
0:41.0,,,25-17,,J. Wall misses 2-pt shot from 22 ft
0:40.0,,,25-17,,Offensive rebound by J. Wall
0:37.0,,,25-20,3,M. Webster makes 3-pt shot from 27 ft (assist by J. Wall)
0:15.0,J. Harden makes 3-pt shot from 26 ft,3,28-20,,
0:03.0,,,28-20,,J. Wall misses 2-pt shot from 5 ft
0:03.0,,,28-20,,Offensive rebound by M. Gortat
0:01.0,,,28-20,,M. Gortat misses 2-pt shot from 6 ft
0:00.0,Defensive rebound by J. Dorsey,,28-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,T. Ariza misses 3-pt shot from 26 ft,,28-20,,
