time,Portland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Lopez (L. Aldridge gains possession),,,,Jump ball: R. Gobert vs. R. Lopez (L. Aldridge gains possession)
11:41.0,L. Aldridge makes 2-pt shot from 17 ft,2,2-0,,
11:22.0,,,2-0,,Turnover by G. Hayward (bad pass; steal by W. Matthews)
11:16.0,D. Lillard makes 2-pt shot from 1 ft (assist by W. Matthews),2,4-0,,
10:57.0,,,4-0,,J. Ingles misses 2-pt shot from 4 ft
10:56.0,Defensive rebound by R. Lopez,,4-0,,
10:50.0,W. Matthews misses 3-pt shot from 24 ft,,4-0,,
10:46.0,,,4-0,,Defensive rebound by J. Ingles
10:29.0,,,4-0,,G. Hayward misses 3-pt shot from 25 ft
10:28.0,Defensive rebound by N. Batum,,4-0,,
10:19.0,L. Aldridge misses 2-pt shot from 19 ft (block by R. Gobert),,4-0,,
10:17.0,,,4-0,,Defensive rebound by J. Ingles
10:03.0,,,4-0,,D. Favors misses 2-pt shot from 15 ft
10:02.0,Defensive rebound by W. Matthews,,4-0,,
9:53.0,D. Lillard misses 2-pt shot from 20 ft,,4-0,,
9:51.0,,,4-0,,Defensive rebound by Team
9:34.0,,,4-0,,Shooting foul by R. Lopez (drawn by D. Favors)
9:34.0,,,4-1,1,D. Favors makes free throw 1 of 2
9:34.0,,,4-1,,D. Favors misses free throw 2 of 2
9:32.0,Defensive rebound by L. Aldridge,,4-1,,
9:24.0,Shooting foul by R. Gobert (drawn by R. Lopez),,4-1,,
9:24.0,R. Lopez makes free throw 1 of 2,1,5-1,,
9:24.0,R. Lopez makes free throw 2 of 2,1,6-1,,
9:06.0,,,6-3,2,D. Favors makes 2-pt shot from 13 ft
8:50.0,,,6-3,,Violation by R. Gobert (def goaltending)
8:50.0,N. Batum makes 2-pt shot from 2 ft,2,8-3,,
8:35.0,,,8-5,2,G. Hayward makes 2-pt shot from 9 ft
8:13.0,Shooting foul by R. Gobert (drawn by L. Aldridge),,8-5,,
8:13.0,L. Aldridge makes free throw 1 of 2,1,9-5,,
8:13.0,,,9-5,,T. Booker enters the game for R. Gobert
8:13.0,L. Aldridge makes free throw 2 of 2,1,10-5,,
8:01.0,,,10-5,,T. Booker misses 2-pt shot from 20 ft
7:59.0,Defensive rebound by W. Matthews,,10-5,,
7:50.0,,,10-5,,Personal foul by T. Booker (drawn by L. Aldridge)
7:45.0,Turnover by D. Lillard (bad pass; steal by G. Hayward),,10-5,,
7:42.0,,,10-7,2,G. Hayward makes 2-pt shot at rim
7:23.0,L. Aldridge makes 2-pt shot from 15 ft (assist by D. Lillard),2,12-7,,
7:08.0,,,12-7,,D. Favors misses 2-pt shot from 11 ft
7:06.0,Defensive rebound by L. Aldridge,,12-7,,
6:56.0,Turnover by D. Lillard (bad pass; steal by D. Favors),,12-7,,
6:50.0,,,12-9,2,T. Booker makes 2-pt shot from 2 ft
6:27.0,D. Lillard makes 3-pt shot from 24 ft,3,15-9,,
6:07.0,,,15-11,2,D. Favors makes 2-pt shot from 13 ft
5:43.0,L. Aldridge makes 2-pt shot from 17 ft,2,17-11,,
5:38.0,,,17-11,,Utah full timeout
5:38.0,C. Kaman enters the game for R. Lopez,,17-11,,
5:38.0,S. Blake enters the game for W. Matthews,,17-11,,
5:20.0,,,17-11,,D. Favors misses 2-pt shot from 9 ft
5:18.0,Defensive rebound by L. Aldridge,,17-11,,
5:04.0,Turnover by S. Blake (bad pass; steal by J. Ingles),,17-11,,
4:57.0,,,17-14,3,J. Ingles makes 3-pt shot from 24 ft (assist by D. Exum)
4:37.0,Turnover by N. Batum (bad pass; steal by T. Booker),,17-14,,
4:14.0,,,17-14,,D. Favors misses 2-pt shot from 2 ft (block by C. Kaman)
4:14.0,,,17-14,,Offensive rebound by J. Ingles
4:14.0,,,17-14,,Turnover by Team (shot clock)
4:04.0,,,17-14,,Personal foul by G. Hayward (drawn by D. Lillard)
4:04.0,,,17-14,,T. Burke enters the game for D. Exum
3:59.0,N. Batum misses 3-pt shot from 23 ft,,17-14,,
3:58.0,,,17-14,,Defensive rebound by T. Booker
3:49.0,Personal foul by S. Blake (drawn by G. Hayward),,17-14,,
3:45.0,,,17-14,,Turnover by T. Booker (bad pass; steal by N. Batum)
3:42.0,N. Batum misses 2-pt shot at rim,,17-14,,
3:41.0,,,17-14,,Defensive rebound by T. Booker
3:30.0,,,17-14,,J. Ingles misses 2-pt shot from 10 ft
3:28.0,,,17-14,,Offensive rebound by D. Favors
3:21.0,,,17-16,2,D. Favors makes 2-pt shot at rim (assist by G. Hayward)
3:00.0,C. Kaman makes 2-pt shot from 1 ft (assist by N. Batum),2,19-16,,
2:38.0,,,19-16,,D. Favors misses 2-pt shot from 14 ft
2:37.0,,,19-16,,Offensive rebound by T. Booker
2:37.0,,,19-16,,T. Booker misses 2-pt shot from 1 ft
2:35.0,Defensive rebound by L. Aldridge,,19-16,,
2:27.0,D. Lillard makes 3-pt shot from 24 ft (assist by L. Aldridge),3,22-16,,
2:20.0,,,22-16,,Utah full timeout
2:20.0,Portland full timeout,,22-16,,
2:20.0,,,22-16,,R. Hood enters the game for G. Hayward
2:20.0,,,22-16,,E. Millsap enters the game for J. Ingles
2:20.0,C. McCollum enters the game for D. Lillard,,22-16,,
2:20.0,W. Matthews enters the game for N. Batum,,22-16,,
2:11.0,,,22-16,,R. Hood misses 2-pt shot from 14 ft
2:10.0,Defensive rebound by L. Aldridge,,22-16,,
1:50.0,C. Kaman makes 2-pt shot from 17 ft (assist by C. McCollum),2,24-16,,
1:33.0,,,24-18,2,T. Burke makes 2-pt shot from 10 ft
1:18.0,L. Aldridge misses 2-pt shot from 6 ft (block by D. Favors),,24-18,,
1:16.0,,,24-18,,Defensive rebound by T. Booker
1:07.0,,,24-18,,T. Burke misses 2-pt shot from 2 ft
1:05.0,,,24-18,,Offensive rebound by D. Favors
0:55.0,,,24-18,,T. Booker misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by W. Matthews,,24-18,,
0:39.0,Turnover by S. Blake (lost ball),,24-18,,
0:34.0,,,24-18,,T. Burke misses 2-pt shot from 15 ft
0:32.0,,,24-18,,Offensive rebound by T. Booker
0:30.0,,,24-18,,T. Booker misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by W. Matthews,,24-18,,
0:08.0,L. Aldridge misses 2-pt shot from 17 ft,,24-18,,
0:04.0,,,24-18,,Defensive rebound by E. Millsap
0:04.0,,,24-18,,Offensive charge foul by E. Millsap
0:04.0,,,24-18,,Turnover by E. Millsap (offensive foul)
0:04.0,D. Lillard enters the game for C. Kaman,,24-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,24-18,,E. Millsap misses 2-pt shot from 2 ft
11:34.0,,,24-18,,Offensive rebound by T. Booker
11:33.0,,,24-18,,T. Booker misses 2-pt shot from 2 ft
11:33.0,,,24-18,,Offensive rebound by Team
11:33.0,,,24-18,,Turnover by Team (shot clock)
11:19.0,C. Kaman makes 2-pt shot from 14 ft (assist by W. Matthews),2,26-18,,
11:03.0,,,26-20,2,T. Burke makes 2-pt shot from 5 ft
10:40.0,M. Leonard misses 3-pt shot from 24 ft,,26-20,,
10:39.0,,,26-20,,Defensive rebound by R. Hood
10:28.0,,,26-20,,Shooting foul by C. Kaman (drawn by T. Booker)
10:28.0,,,26-20,,T. Booker misses free throw 1 of 2
10:28.0,,,26-20,,Offensive rebound by Team
10:28.0,,,26-21,1,T. Booker makes free throw 2 of 2
10:18.0,W. Matthews misses 3-pt shot from 25 ft,,26-21,,
10:15.0,,,26-21,,Defensive rebound by E. Millsap
10:07.0,,,26-23,2,T. Burke makes 2-pt shot from 19 ft
9:44.0,C. McCollum misses 2-pt shot from 14 ft,,26-23,,
9:43.0,,,26-23,,Defensive rebound by T. Booker
9:34.0,,,26-23,,E. Millsap misses 3-pt shot from 23 ft
9:33.0,,,26-23,,Offensive rebound by Team
9:33.0,Personal foul by C. Kaman (drawn by J. Evans),,26-23,,
9:33.0,Technical foul by C. Kaman (drawn by J. Evans),,26-23,,
