time,Orlando,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Drummond vs. N. Vucevic (E. Payton gains possession)
11:43.0,Turnover by N. Vucevic (bad pass; steal by K. Caldwell-Pope),,0-0,,
11:33.0,,,0-2,2,G. Monroe makes 2-pt shot from 1 ft (assist by B. Jennings)
11:25.0,N. Vucevic misses 3-pt shot from 28 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by A. Drummond
11:08.0,,,0-2,,Turnover by K. Singler (lost ball; steal by E. Payton)
11:02.0,E. Payton makes 2-pt shot at rim,2,2-2,,
10:50.0,,,2-5,3,K. Singler makes 3-pt shot from 26 ft (assist by B. Jennings)
10:32.0,E. Payton misses 2-pt shot from 4 ft,,2-5,,
10:31.0,,,2-5,,Defensive rebound by A. Drummond
10:31.0,,,2-5,,Turnover by A. Drummond (lost ball; steal by E. Payton)
10:31.0,,,2-5,,Personal foul by A. Drummond (drawn by E. Payton)
10:26.0,Shooting foul by K. Caldwell-Pope (drawn by V. Oladipo),,2-5,,
10:26.0,V. Oladipo makes free throw 1 of 2,1,3-5,,
10:26.0,V. Oladipo makes free throw 2 of 2,1,4-5,,
10:13.0,,,4-7,2,A. Drummond makes 2-pt shot from 5 ft (assist by B. Jennings)
10:02.0,E. Payton makes 2-pt shot at rim (assist by V. Oladipo),2,6-7,,
9:45.0,,,6-9,2,K. Caldwell-Pope makes 2-pt shot from 9 ft (assist by B. Jennings)
9:37.0,N. Vucevic misses 2-pt shot from 10 ft,,6-9,,
9:36.0,,,6-9,,Defensive rebound by G. Monroe
9:26.0,,,6-9,,B. Jennings misses 3-pt shot from 23 ft
9:25.0,Defensive rebound by V. Oladipo,,6-9,,
9:10.0,Turnover by N. Vucevic (lost ball; steal by A. Drummond),,6-9,,
9:03.0,,,6-11,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
8:47.0,V. Oladipo misses 2-pt shot at rim,,6-11,,
8:46.0,,,6-11,,Defensive rebound by A. Drummond
8:36.0,Personal foul by C. Frye (drawn by G. Monroe),,6-11,,
8:25.0,,,6-14,3,K. Singler makes 3-pt shot from 25 ft (assist by G. Monroe)
8:11.0,V. Oladipo makes 2-pt shot from 15 ft,2,8-14,,
7:50.0,,,8-14,,A. Drummond misses 2-pt shot from 7 ft
7:49.0,,,8-14,,Offensive rebound by G. Monroe
7:43.0,,,8-16,2,G. Monroe makes 2-pt shot at rim (assist by A. Drummond)
7:31.0,N. Vucevic misses 2-pt shot from 6 ft,,8-16,,
7:29.0,,,8-16,,Defensive rebound by A. Drummond
