time,Minnesota,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. A. Payne (J. Redick gains possession),,,,Jump ball: D. Jordan vs. A. Payne (J. Redick gains possession)
11:41.0,,,0-0,,C. Paul misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by N. Pekovic,,0-0,,
11:24.0,N. Pekovic makes 2-pt shot from 3 ft (assist by A. Payne),2,2-0,,
11:11.0,,,2-0,,M. Barnes misses 3-pt shot from 23 ft
11:10.0,,,2-0,,Offensive rebound by Team
11:01.0,,,2-3,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
10:42.0,N. Pekovic misses 2-pt shot from 9 ft,,2-3,,
10:36.0,,,2-3,,Defensive rebound by M. Barnes
10:32.0,,,2-3,,Turnover by C. Paul (bad pass; steal by K. Martin)
10:19.0,K. Martin misses 2-pt shot from 20 ft,,2-3,,
10:17.0,,,2-3,,Defensive rebound by D. Jordan
10:13.0,,,2-5,2,M. Barnes makes 2-pt shot at rim (assist by D. Jordan)
9:56.0,A. Wiggins makes 2-pt shot from 16 ft (assist by R. Rubio),2,4-5,,
9:33.0,,,4-8,3,J. Redick makes 3-pt shot from 24 ft (assist by D. Jordan)
9:12.0,Turnover by A. Wiggins (bad pass; steal by M. Barnes),,4-8,,
9:06.0,,,4-8,,J. Redick misses 2-pt shot from 23 ft
9:04.0,Defensive rebound by R. Rubio,,4-8,,
8:59.0,,,4-8,,Violation by D. Jordan (kicked ball)
8:46.0,A. Wiggins misses 2-pt shot from 7 ft (block by D. Jordan),,4-8,,
8:41.0,,,4-8,,Defensive rebound by D. Jordan
8:36.0,,,4-8,,Turnover by J. Redick (lost ball; steal by R. Rubio)
8:31.0,K. Martin makes 2-pt shot at rim (assist by R. Rubio),2,6-8,,
8:17.0,,,6-11,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
8:14.0,Minnesota full timeout,,6-11,,
7:59.0,A. Wiggins misses 2-pt shot from 17 ft,,6-11,,
7:55.0,,,6-11,,Defensive rebound by D. Jordan
7:39.0,,,6-11,,Shooting foul by A. Wiggins (drawn by S. Hawes)
7:39.0,,,6-11,,S. Hawes misses free throw 1 of 2
7:39.0,,,6-11,,Offensive rebound by Team
7:39.0,,,6-11,,S. Hawes misses free throw 2 of 2
7:38.0,Defensive rebound by N. Pekovic,,6-11,,
7:25.0,A. Payne misses 2-pt shot from 3 ft,,6-11,,
7:23.0,,,6-11,,Defensive rebound by D. Jordan
7:14.0,,,6-13,2,D. Jordan makes 2-pt shot at rim (assist by S. Hawes)
