time,Phoenix,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. H. Whiteside (P. Tucker gains possession),,,,Jump ball: A. Len vs. H. Whiteside (P. Tucker gains possession)
11:38.0,P. Tucker misses 3-pt shot from 23 ft,,0-0,,
11:37.0,Offensive rebound by M. Morris,,0-0,,
11:34.0,M. Morris misses 2-pt shot from 1 ft (block by H. Whiteside),,0-0,,
11:33.0,,,0-0,,Defensive rebound by G. Dragic
11:27.0,,,0-0,,G. Dragic misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by A. Len,,0-0,,
11:16.0,M. Morris misses 2-pt shot from 16 ft,,0-0,,
11:16.0,Offensive rebound by A. Len,,0-0,,
11:16.0,,,0-0,,Loose ball foul by G. Dragic (drawn by B. Knight)
11:07.0,A. Len makes 2-pt shot from 6 ft (assist by M. Morris),2,2-0,,
10:43.0,,,2-0,,H. Whiteside misses 2-pt shot from 9 ft
10:42.0,Defensive rebound by M. Morris,,2-0,,
10:34.0,B. Knight misses 2-pt shot from 5 ft,,2-0,,
10:33.0,,,2-0,,Defensive rebound by U. Haslem
10:13.0,,,2-0,,D. Wade misses 2-pt shot from 7 ft
10:12.0,,,2-0,,Offensive rebound by H. Whiteside
10:11.0,,,2-2,2,H. Whiteside makes 2-pt shot at rim
9:54.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,4-2,,
9:33.0,Violation by M. Morris (kicked ball),,4-2,,
9:20.0,,,4-2,,D. Wade misses 2-pt shot from 8 ft
9:19.0,Defensive rebound by A. Len,,4-2,,
9:15.0,P. Tucker makes 2-pt shot at rim (assist by B. Knight),2,6-2,,
8:55.0,,,6-4,2,L. Deng makes 2-pt shot from 19 ft (assist by D. Wade)
8:44.0,Offensive charge foul by P. Tucker,,6-4,,
8:44.0,Turnover by P. Tucker (offensive foul),,6-4,,
8:37.0,,,6-4,,G. Dragic misses 2-pt shot from 1 ft
8:36.0,,,6-4,,Offensive rebound by H. Whiteside
8:35.0,,,6-4,,H. Whiteside misses 2-pt shot at rim
8:34.0,Defensive rebound by A. Len,,6-4,,
8:34.0,,,6-4,,Personal foul by G. Dragic (drawn by A. Len)
8:34.0,,,6-4,,M. Chalmers enters the game for G. Dragic
8:20.0,A. Len misses 2-pt shot from 15 ft,,6-4,,
8:19.0,,,6-4,,Defensive rebound by U. Haslem
8:11.0,,,6-6,2,H. Whiteside makes 2-pt shot from 2 ft (assist by L. Deng)
7:55.0,M. Morris makes 2-pt shot from 6 ft,2,8-6,,
7:31.0,,,8-6,,L. Deng misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by E. Bledsoe,,8-6,,
7:20.0,P. Tucker misses 3-pt shot from 24 ft,,8-6,,
7:19.0,Offensive rebound by P. Tucker,,8-6,,
7:13.0,A. Len makes 2-pt shot from 4 ft,2,10-6,,
6:50.0,,,10-8,2,D. Wade makes 2-pt shot from 2 ft
6:35.0,,,10-8,,Personal foul by U. Haslem (drawn by M. Morris)
6:21.0,M. Morris makes 2-pt shot from 10 ft,2,12-8,,
6:05.0,,,12-8,,M. Chalmers misses 2-pt shot from 7 ft
6:04.0,,,12-8,,Offensive rebound by H. Whiteside
6:03.0,,,12-10,2,H. Whiteside makes 2-pt shot at rim
5:48.0,B. Knight makes 2-pt shot from 7 ft (assist by E. Bledsoe),2,14-10,,
5:33.0,,,14-10,,Miami full timeout
5:33.0,,,14-10,,H. Walker enters the game for U. Haslem
5:15.0,M. Morris makes 2-pt shot from 12 ft,2,16-10,,
5:04.0,Personal foul by E. Bledsoe (drawn by D. Wade),,16-10,,
5:04.0,M. Morris enters the game for P. Tucker,,16-10,,
5:04.0,G. Green enters the game for E. Bledsoe,,16-10,,
4:52.0,,,16-10,,Turnover by D. Wade (bad pass; steal by A. Len)
4:36.0,M. Morris misses 2-pt shot from 6 ft,,16-10,,
4:35.0,Offensive rebound by A. Len,,16-10,,
4:34.0,B. Knight misses 3-pt shot from 25 ft,,16-10,,
4:34.0,,,16-10,,Defensive rebound by Team
4:15.0,Personal foul by G. Green (drawn by L. Deng),,16-10,,
4:15.0,,,16-10,,T. Johnson enters the game for D. Wade
4:02.0,,,16-12,2,T. Johnson makes 2-pt shot from 9 ft (assist by M. Chalmers)
3:53.0,Turnover by G. Green (lost ball; steal by M. Chalmers),,16-12,,
3:50.0,,,16-12,,Shooting foul by G. Green (drawn by L. Deng)
3:50.0,,,16-12,,L. Deng misses free throw 1 of 2
3:50.0,,,16-12,,Offensive rebound by Team
3:50.0,A. Goodwin enters the game for G. Green,,16-12,,
3:50.0,,,16-13,1,L. Deng makes free throw 2 of 2
3:26.0,M. Morris makes 2-pt shot from 12 ft (assist by M. Morris),2,18-13,,
3:14.0,,,18-15,2,L. Deng makes 2-pt shot from 2 ft (assist by M. Chalmers)
3:06.0,,,18-15,,Personal foul by H. Walker (drawn by B. Knight)
2:59.0,Turnover by M. Morris (bad pass; steal by H. Whiteside),,18-15,,
2:59.0,Personal foul by A. Len (drawn by M. Chalmers),,18-15,,
2:59.0,Phoenix full timeout,,18-15,,
2:59.0,P. Tucker enters the game for M. Morris,,18-15,,
2:42.0,,,18-15,,Turnover by M. Chalmers (bad pass; steal by A. Len)
2:35.0,B. Knight misses 3-pt shot from 24 ft,,18-15,,
2:34.0,Offensive rebound by M. Morris,,18-15,,
2:32.0,,,18-15,,Personal foul by M. Chalmers (drawn by A. Goodwin)
2:32.0,A. Goodwin makes free throw 1 of 2,1,19-15,,
2:32.0,A. Goodwin makes free throw 2 of 2,1,20-15,,
2:22.0,,,20-17,2,M. Chalmers makes 2-pt shot from 1 ft
2:04.0,A. Len misses 2-pt shot from 3 ft,,20-17,,
2:03.0,,,20-17,,Defensive rebound by H. Walker
1:57.0,,,20-19,2,M. Chalmers makes 2-pt shot from 1 ft
1:44.0,,,20-19,,Personal foul by H. Walker (drawn by M. Morris)
1:44.0,M. Morris makes free throw 1 of 2,1,21-19,,
1:44.0,E. Bledsoe enters the game for B. Knight,,21-19,,
1:44.0,E. Barron enters the game for A. Len,,21-19,,
1:44.0,,,21-19,,M. Beasley enters the game for H. Walker
1:44.0,M. Morris makes free throw 2 of 2,1,22-19,,
1:29.0,Personal foul by E. Bledsoe (drawn by H. Whiteside),,22-19,,
1:29.0,,,22-20,1,H. Whiteside makes free throw 1 of 2
1:29.0,,,22-20,,H. Whiteside misses free throw 2 of 2
1:28.0,Defensive rebound by P. Tucker,,22-20,,
1:21.0,,,22-20,,Personal foul by M. Chalmers (drawn by E. Bledsoe)
1:21.0,E. Bledsoe makes free throw 1 of 2,1,23-20,,
1:21.0,E. Bledsoe makes free throw 2 of 2,1,24-20,,
1:07.0,,,24-20,,Shooting foul by A. Goodwin (drawn by T. Johnson)
1:07.0,,,24-21,1,T. Johnson makes free throw 1 of 2
1:07.0,,,24-21,,C. Andersen enters the game for H. Whiteside
1:07.0,,,24-21,,S. Napier enters the game for M. Chalmers
1:07.0,,,24-22,1,T. Johnson makes free throw 2 of 2
0:56.0,Offensive foul by A. Goodwin,,24-22,,
0:56.0,Turnover by A. Goodwin (offensive foul),,24-22,,
0:44.0,Personal foul by P. Tucker (drawn by C. Andersen),,24-22,,
0:44.0,,,24-22,,C. Andersen misses free throw 1 of 2
0:44.0,,,24-22,,Offensive rebound by Team
0:44.0,,,24-23,1,C. Andersen makes free throw 2 of 2
0:21.0,Turnover by E. Bledsoe (bad pass),,24-23,,
0:04.0,,,24-23,,T. Johnson misses 2-pt shot from 2 ft
0:03.0,Defensive rebound by P. Tucker,,24-23,,
0:01.0,P. Tucker misses 3-pt shot from 26 ft,,24-23,,
0:00.0,Offensive rebound by Team,,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
