time,Toronto,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Valanciunas (D. Rose gains possession),,,,Jump ball: P. Gasol vs. J. Valanciunas (D. Rose gains possession)
11:42.0,,,0-2,2,D. Rose makes 2-pt shot from 20 ft
11:20.0,J. Johnson makes 2-pt shot from 2 ft (assist by K. Lowry),2,2-2,,
11:04.0,,,2-4,2,J. Butler makes 2-pt shot from 8 ft (assist by P. Gasol)
10:40.0,A. Johnson misses 2-pt shot from 8 ft,,2-4,,
10:39.0,,,2-4,,Defensive rebound by P. Gasol
10:21.0,,,2-7,3,J. Butler makes 3-pt shot from 24 ft (assist by J. Noah)
10:02.0,J. Valanciunas makes 2-pt shot from 5 ft,2,4-7,,
9:51.0,,,4-7,,Shooting foul by J. Valanciunas (drawn by P. Gasol)
9:51.0,,,4-8,1,P. Gasol makes free throw 1 of 2
9:51.0,,,4-9,1,P. Gasol makes free throw 2 of 2
9:35.0,K. Lowry makes 3-pt shot from 28 ft (assist by T. Ross),3,7-9,,
9:25.0,,,7-9,,D. Rose misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by A. Johnson,,7-9,,
9:20.0,Shooting foul by J. Noah (drawn by J. Johnson),,7-9,,
9:20.0,J. Johnson makes free throw 1 of 2,1,8-9,,
9:20.0,J. Johnson makes free throw 2 of 2,1,9-9,,
9:08.0,,,9-11,2,D. Rose makes 2-pt shot from 19 ft
8:59.0,K. Lowry misses 2-pt shot from 2 ft,,9-11,,
8:58.0,Offensive rebound by J. Valanciunas,,9-11,,
8:58.0,J. Valanciunas misses 2-pt shot from 1 ft,,9-11,,
8:57.0,,,9-11,,Defensive rebound by J. Noah
8:49.0,,,9-11,,Turnover by P. Gasol (bad pass; steal by K. Lowry)
8:35.0,J. Valanciunas makes 2-pt shot at rim,2,11-11,,
8:21.0,,,11-11,,P. Gasol misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by K. Lowry,,11-11,,
8:06.0,J. Valanciunas misses 2-pt shot from 13 ft,,11-11,,
8:05.0,Offensive rebound by J. Johnson,,11-11,,
8:05.0,J. Johnson makes 2-pt shot from 2 ft,2,13-11,,
7:50.0,,,13-11,,D. Rose misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by K. Lowry,,13-11,,
7:46.0,A. Johnson misses 2-pt shot from 2 ft (block by M. Dunleavy),,13-11,,
7:46.0,Offensive rebound by Team,,13-11,,
7:38.0,J. Valanciunas misses 2-pt shot from 1 ft (block by J. Butler),,13-11,,
7:38.0,Offensive rebound by Team,,13-11,,
7:31.0,T. Ross makes 3-pt shot from 23 ft,3,16-11,,
7:17.0,,,16-11,,J. Butler misses 2-pt shot from 15 ft
7:16.0,Defensive rebound by J. Valanciunas,,16-11,,
7:07.0,T. Ross makes 3-pt shot from 25 ft,3,19-11,,
6:58.0,,,19-13,2,P. Gasol makes 2-pt shot from 1 ft (assist by D. Rose)
6:41.0,J. Valanciunas makes 2-pt shot from 10 ft,2,21-13,,
6:28.0,,,21-13,,Shooting foul by J. Johnson (drawn by J. Noah)
6:28.0,,,21-13,,J. Noah misses free throw 1 of 2
6:28.0,,,21-13,,Offensive rebound by Team
6:28.0,,,21-14,1,J. Noah makes free throw 2 of 2
6:10.0,J. Valanciunas makes 2-pt shot from 4 ft,2,23-14,,
5:55.0,,,23-17,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Noah)
5:35.0,J. Valanciunas misses 2-pt shot from 1 ft (block by P. Gasol),,23-17,,
5:35.0,,,23-17,,Defensive rebound by Team
5:35.0,,,23-17,,Chicago full timeout
5:35.0,L. Williams enters the game for J. Johnson,,23-17,,
5:21.0,,,23-17,,Shooting foul by K. Lowry (drawn by D. Rose)
5:21.0,,,23-18,1,D. Rose makes free throw 1 of 2
5:21.0,,,23-19,1,D. Rose makes free throw 2 of 2
5:02.0,J. Valanciunas makes 2-pt shot from 5 ft,2,25-19,,
4:37.0,,,25-19,,Turnover by Team (shot clock)
4:37.0,,,25-19,,T. Gibson enters the game for J. Noah
4:13.0,K. Lowry misses 2-pt shot from 16 ft,,25-19,,
4:12.0,,,25-19,,Defensive rebound by T. Gibson
4:08.0,,,25-21,2,D. Rose makes 2-pt shot from 3 ft (assist by T. Gibson)
3:52.0,L. Williams misses 3-pt shot from 25 ft,,25-21,,
3:52.0,Offensive rebound by Team,,25-21,,
3:52.0,,,25-21,,Loose ball foul by J. Butler (drawn by J. Valanciunas)
3:52.0,,,25-21,,K. Hinrich enters the game for D. Rose
3:52.0,P. Patterson enters the game for A. Johnson,,25-21,,
3:37.0,K. Lowry misses 2-pt shot from 22 ft,,25-21,,
3:35.0,,,25-21,,Defensive rebound by P. Gasol
3:30.0,,,25-23,2,T. Gibson makes 2-pt shot at rim (assist by J. Butler)
3:09.0,J. Valanciunas misses 2-pt shot from 4 ft (block by P. Gasol),,25-23,,
3:07.0,,,25-23,,Defensive rebound by K. Hinrich
2:54.0,,,25-23,,T. Gibson misses 2-pt shot from 2 ft
2:53.0,Defensive rebound by J. Valanciunas,,25-23,,
2:41.0,T. Ross makes 3-pt shot from 24 ft (assist by L. Williams),3,28-23,,
2:27.0,,,28-25,2,J. Butler makes 2-pt shot from 16 ft
