time,Houston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. N. Pekovic (D. Motiejunas gains possession),,,,Jump ball: D. Howard vs. N. Pekovic (D. Motiejunas gains possession)
11:42.0,D. Howard misses 2-pt shot from 5 ft (block by N. Pekovic),,0-0,,
11:41.0,,,0-0,,Defensive rebound by K. Martin
11:25.0,,,0-0,,A. Wiggins misses 2-pt shot from 8 ft
11:24.0,,,0-0,,Offensive rebound by N. Pekovic
11:22.0,,,0-0,,N. Pekovic misses 2-pt shot from 4 ft
11:21.0,Defensive rebound by J. Harden,,0-0,,
11:15.0,Turnover by T. Ariza (bad pass),,0-0,,
11:07.0,Personal foul by J. Harden (drawn by A. Wiggins),,0-0,,
10:56.0,,,0-0,,N. Pekovic misses 2-pt shot from 6 ft (block by D. Howard)
10:55.0,Defensive rebound by D. Motiejunas,,0-0,,
10:49.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,3-0,,
10:29.0,,,3-0,,T. Young misses 2-pt shot from 23 ft
10:28.0,Defensive rebound by D. Howard,,3-0,,
10:21.0,J. Harden misses 2-pt shot from 4 ft (block by A. Wiggins),,3-0,,
10:20.0,,,3-0,,Defensive rebound by Team
10:02.0,,,3-0,,K. Martin misses 2-pt shot from 14 ft
10:01.0,,,3-0,,Offensive rebound by N. Pekovic
10:00.0,,,3-0,,N. Pekovic misses 2-pt shot from 2 ft
9:59.0,Defensive rebound by D. Howard,,3-0,,
9:51.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden),2,5-0,,
9:32.0,,,5-2,2,Z. LaVine makes 2-pt shot from 17 ft
9:12.0,D. Motiejunas misses 2-pt shot from 8 ft,,5-2,,
9:11.0,,,5-2,,Defensive rebound by T. Young
9:01.0,,,5-2,,Shooting foul by D. Motiejunas (drawn by T. Young)
9:01.0,,,5-2,,T. Young misses free throw 1 of 2
9:01.0,,,5-2,,Offensive rebound by Team
9:01.0,,,5-3,1,T. Young makes free throw 2 of 2
8:51.0,T. Ariza makes 2-pt shot from 2 ft,2,7-3,,
8:32.0,,,7-3,,Z. LaVine misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by D. Motiejunas,,7-3,,
8:15.0,J. Harden makes 2-pt shot from 15 ft,2,9-3,,
8:00.0,,,9-5,2,A. Wiggins makes 2-pt shot from 17 ft (assist by Z. LaVine)
7:45.0,D. Howard misses 2-pt shot at rim,,9-5,,
7:44.0,,,9-5,,Defensive rebound by Team
7:34.0,,,9-7,2,N. Pekovic makes 2-pt shot at rim (assist by Z. LaVine)
7:19.0,D. Howard makes 2-pt shot at rim,2,11-7,,
7:05.0,,,11-10,3,T. Young makes 3-pt shot from 24 ft (assist by Z. LaVine)
