time,Charlotte,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. C. Zeller (J. Wall gains possession),,,,Jump ball: M. Gortat vs. C. Zeller (J. Wall gains possession)
11:40.0,,,0-0,,Turnover by J. Wall (bad pass; steal by M. Kidd-Gilchrist)
11:36.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,2-0,,
11:19.0,,,2-2,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
10:58.0,A. Jefferson misses 2-pt shot from 6 ft,,2-2,,
10:57.0,,,2-2,,Defensive rebound by Team
10:47.0,,,2-5,3,P. Pierce makes 3-pt shot from 25 ft (assist by J. Wall)
10:28.0,A. Jefferson makes 2-pt shot from 16 ft (assist by G. Henderson),2,4-5,,
10:06.0,,,4-5,,B. Beal misses 3-pt shot from 23 ft
10:05.0,Defensive rebound by M. Kidd-Gilchrist,,4-5,,
9:50.0,A. Jefferson misses 2-pt shot from 9 ft (block by M. Gortat),,4-5,,
9:50.0,Offensive rebound by Team,,4-5,,
9:43.0,C. Zeller makes 2-pt shot at rim (assist by B. Roberts),2,6-5,,
9:20.0,,,6-5,,Turnover by M. Gortat (lost ball; steal by A. Jefferson)
9:16.0,B. Roberts makes 2-pt shot from 17 ft,2,8-5,,
8:54.0,,,8-5,,N. Hilario misses 2-pt shot from 16 ft
8:54.0,Defensive rebound by A. Jefferson,,8-5,,
8:43.0,G. Henderson makes 3-pt shot from 26 ft (assist by M. Kidd-Gilchrist),3,11-5,,
8:23.0,,,11-5,,Offensive foul by M. Gortat
8:23.0,,,11-5,,Turnover by M. Gortat (offensive foul)
8:01.0,Turnover by B. Roberts (bad pass; steal by P. Pierce),,11-5,,
7:52.0,,,11-7,2,N. Hilario makes 2-pt shot at rim (assist by P. Pierce)
7:36.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by G. Henderson),2,13-7,,
7:25.0,,,13-7,,P. Pierce misses 3-pt shot from 27 ft
7:24.0,Defensive rebound by A. Jefferson,,13-7,,
7:13.0,G. Henderson misses 2-pt shot from 11 ft,,13-7,,
7:12.0,Offensive rebound by G. Henderson,,13-7,,
7:08.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by G. Henderson),2,15-7,,
7:03.0,,,15-7,,Washington full timeout
6:49.0,,,15-7,,M. Gortat misses 2-pt shot from 8 ft
6:48.0,Defensive rebound by A. Jefferson,,15-7,,
6:38.0,C. Zeller misses 2-pt shot from 20 ft,,15-7,,
6:36.0,,,15-7,,Defensive rebound by B. Beal
6:22.0,,,15-9,2,B. Beal makes 2-pt shot from 12 ft
6:07.0,B. Roberts misses 2-pt shot from 20 ft,,15-9,,
6:06.0,,,15-9,,Defensive rebound by P. Pierce
5:53.0,,,15-9,,M. Gortat misses 2-pt shot from 15 ft
5:52.0,Defensive rebound by G. Henderson,,15-9,,
5:46.0,G. Henderson makes 2-pt shot from 12 ft,2,17-9,,
5:46.0,Shooting foul by B. Beal (drawn by G. Henderson),,17-9,,
5:46.0,G. Henderson makes free throw 1 of 1,1,18-9,,
5:26.0,,,18-9,,N. Hilario misses 2-pt shot from 9 ft
5:25.0,,,18-9,,Offensive rebound by N. Hilario
5:18.0,,,18-12,3,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall)
4:55.0,A. Jefferson misses 2-pt shot from 3 ft (block by M. Gortat),,18-12,,
4:53.0,,,18-12,,Defensive rebound by N. Hilario
4:47.0,,,18-12,,Shooting foul by B. Roberts (drawn by J. Wall)
4:47.0,,,18-13,1,J. Wall makes free throw 1 of 2
4:47.0,,,18-13,,G. Temple enters the game for B. Beal
4:47.0,L. Stephenson enters the game for M. Kidd-Gilchrist,,18-13,,
4:47.0,,,18-14,1,J. Wall makes free throw 2 of 2
4:29.0,L. Stephenson makes 2-pt shot from 22 ft (assist by C. Zeller),2,20-14,,
4:14.0,,,20-16,2,N. Hilario makes 2-pt shot from 4 ft
4:01.0,G. Henderson misses 3-pt shot from 24 ft,,20-16,,
4:00.0,,,20-16,,Defensive rebound by M. Gortat
3:45.0,,,20-18,2,G. Temple makes 2-pt shot from 22 ft (assist by J. Wall)
3:40.0,Charlotte full timeout,,20-18,,
3:40.0,,,20-18,,K. Humphries enters the game for N. Hilario
3:40.0,M. Williams enters the game for C. Zeller,,20-18,,
3:26.0,B. Roberts makes 2-pt shot from 1 ft (assist by A. Jefferson),2,22-18,,
3:05.0,,,22-18,,J. Wall misses 2-pt shot from 13 ft (block by M. Williams)
3:03.0,Defensive rebound by A. Jefferson,,22-18,,
2:43.0,L. Stephenson misses 3-pt shot from 27 ft,,22-18,,
2:43.0,,,22-18,,Defensive rebound by M. Gortat
2:24.0,,,22-18,,M. Gortat misses 2-pt shot from 6 ft
2:23.0,Defensive rebound by B. Roberts,,22-18,,
2:14.0,M. Williams misses 2-pt shot from 12 ft,,22-18,,
2:13.0,,,22-18,,Defensive rebound by Team
2:12.0,,,22-18,,O. Porter enters the game for P. Pierce
2:12.0,,,22-18,,K. Seraphin enters the game for M. Gortat
2:12.0,G. Neal enters the game for G. Henderson,,22-18,,
2:12.0,J. Maxiell enters the game for A. Jefferson,,22-18,,
2:04.0,,,22-20,2,K. Humphries makes 2-pt shot from 11 ft (assist by J. Wall)
1:45.0,L. Stephenson makes 2-pt shot from 14 ft,2,24-20,,
1:32.0,,,24-20,,G. Temple misses 2-pt shot from 4 ft (block by J. Maxiell)
