time,New York,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Amundson vs. B. Wright (L. Galloway gains possession),,,,Jump ball: L. Amundson vs. B. Wright (L. Galloway gains possession)
11:43.0,Turnover by A. Bargnani (lost ball; steal by M. Morris),,0-0,,
11:39.0,,,0-0,,P. Tucker misses 2-pt shot from 1 ft
11:37.0,Defensive rebound by L. Amundson,,0-0,,
11:25.0,Turnover by L. Galloway (bad pass; steal by E. Bledsoe),,0-0,,
11:20.0,,,0-2,2,M. Morris makes 2-pt shot at rim
10:58.0,A. Bargnani makes 2-pt shot from 18 ft (assist by L. Galloway),2,2-2,,
10:35.0,,,2-2,,Turnover by M. Morris (bad pass; steal by L. Thomas)
10:31.0,Shooting foul by M. Morris (drawn by L. Thomas),,2-2,,
10:31.0,L. Thomas makes free throw 1 of 2,1,3-2,,
10:31.0,L. Thomas makes free throw 2 of 2,1,4-2,,
10:17.0,,,4-2,,Turnover by M. Morris (lost ball)
10:04.0,L. Thomas makes 2-pt shot from 21 ft (assist by L. Amundson),2,6-2,,
9:50.0,,,6-2,,Turnover by E. Bledsoe (bad pass; steal by A. Shved)
9:46.0,L. Galloway misses 2-pt shot from 1 ft,,6-2,,
9:45.0,,,6-2,,Defensive rebound by E. Bledsoe
9:45.0,Personal foul by L. Amundson (drawn by E. Bledsoe),,6-2,,
9:32.0,,,6-2,,E. Bledsoe misses 2-pt shot from 20 ft
9:31.0,Defensive rebound by L. Thomas,,6-2,,
9:18.0,A. Bargnani misses 2-pt shot from 12 ft,,6-2,,
9:17.0,,,6-2,,Defensive rebound by P. Tucker
9:11.0,,,6-4,2,M. Morris makes 2-pt shot from 1 ft (assist by E. Bledsoe)
8:58.0,Shooting foul by E. Bledsoe (drawn by L. Galloway),,6-4,,
8:58.0,L. Galloway makes free throw 1 of 2,1,7-4,,
8:58.0,L. Galloway makes free throw 2 of 2,1,8-4,,
8:49.0,Personal foul by L. Galloway (drawn by M. Morris),,8-4,,
8:34.0,,,8-6,2,M. Morris makes 2-pt shot from 12 ft (assist by E. Bledsoe)
8:25.0,,,8-6,,Personal foul by M. Morris (drawn by A. Bargnani)
8:25.0,,,8-6,,T. Warren enters the game for M. Morris
8:19.0,L. Thomas makes 2-pt shot from 4 ft (assist by A. Bargnani),2,10-6,,
8:00.0,,,10-6,,B. Wright misses 2-pt shot from 2 ft
7:59.0,Defensive rebound by A. Shved,,10-6,,
7:51.0,A. Shved misses 2-pt shot from 8 ft,,10-6,,
7:49.0,,,10-6,,Defensive rebound by E. Bledsoe
7:41.0,,,10-8,2,E. Bledsoe makes 2-pt shot from 14 ft
7:25.0,A. Bargnani misses 2-pt shot from 18 ft,,10-8,,
7:24.0,,,10-8,,Defensive rebound by B. Wright
7:16.0,,,10-11,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
6:54.0,A. Shved misses 2-pt shot from 3 ft,,10-11,,
6:53.0,Offensive rebound by L. Amundson,,10-11,,
6:51.0,L. Amundson misses 2-pt shot from 2 ft,,10-11,,
6:49.0,,,10-11,,Defensive rebound by M. Morris
6:39.0,,,10-11,,Turnover by M. Morris (bad pass; steal by L. Amundson)
6:31.0,A. Shved makes 2-pt shot from 1 ft (assist by L. Galloway),2,12-11,,
6:15.0,,,12-11,,M. Morris misses 2-pt shot from 21 ft
6:14.0,,,12-11,,Offensive rebound by T. Warren
6:09.0,,,12-13,2,T. Warren makes 2-pt shot from 1 ft
6:08.0,,,12-13,,Violation by Team (delay of game)
6:04.0,New York full timeout,,12-13,,
5:55.0,A. Bargnani makes 2-pt shot from 11 ft (assist by L. Amundson),2,14-13,,
5:32.0,,,14-13,,M. Morris misses 2-pt shot from 8 ft
5:31.0,Defensive rebound by Team,,14-13,,
5:11.0,L. Thomas misses 2-pt shot from 16 ft,,14-13,,
5:10.0,,,14-13,,Defensive rebound by B. Wright
5:04.0,,,14-13,,P. Tucker misses 2-pt shot from 20 ft
5:03.0,Defensive rebound by A. Shved,,14-13,,
4:58.0,A. Shved misses 2-pt shot from 4 ft (block by T. Warren),,14-13,,
4:58.0,Offensive rebound by Team,,14-13,,
4:58.0,,,14-13,,A. Goodwin enters the game for P. Tucker
4:55.0,A. Shved misses 2-pt shot from 7 ft,,14-13,,
4:54.0,,,14-13,,Defensive rebound by E. Bledsoe
4:39.0,,,14-13,,E. Bledsoe misses 2-pt shot from 3 ft
4:38.0,Defensive rebound by L. Thomas,,14-13,,
4:31.0,L. Thomas misses 2-pt shot from 16 ft,,14-13,,
4:30.0,Offensive rebound by A. Shved,,14-13,,
4:27.0,A. Shved makes 2-pt shot from 1 ft,2,16-13,,
4:14.0,,,16-13,,Shooting foul by L. Amundson (drawn by B. Wright)
4:14.0,,,16-14,1,B. Wright makes free throw 1 of 2
4:14.0,T. Hardaway enters the game for A. Shved,,16-14,,
4:14.0,C. Aldrich enters the game for L. Amundson,,16-14,,
4:14.0,,,16-14,,B. Wright misses free throw 2 of 2
4:11.0,Defensive rebound by C. Aldrich,,16-14,,
4:00.0,Turnover by A. Bargnani (bad pass; steal by M. Morris),,16-14,,
3:56.0,,,16-16,2,A. Goodwin makes 2-pt shot from 2 ft
3:43.0,A. Bargnani makes 2-pt shot from 19 ft (assist by L. Galloway),2,18-16,,
3:19.0,,,18-16,,M. Morris misses 2-pt shot from 14 ft
3:18.0,,,18-16,,Offensive rebound by B. Wright
3:10.0,,,18-16,,Turnover by A. Goodwin (bad pass; steal by T. Hardaway)
2:58.0,L. Galloway makes 2-pt shot from 1 ft (assist by C. Aldrich),2,20-16,,
2:51.0,,,20-16,,Phoenix full timeout
2:51.0,,,20-16,,M. Morris enters the game for M. Morris
2:51.0,C. Early enters the game for L. Thomas,,20-16,,
2:51.0,J. Smith enters the game for A. Bargnani,,20-16,,
2:43.0,,,20-16,,Turnover by M. Morris (bad pass; steal by C. Aldrich)
2:39.0,Shooting foul by A. Goodwin (drawn by T. Hardaway),,20-16,,
2:39.0,T. Hardaway makes free throw 1 of 2,1,21-16,,
2:39.0,T. Hardaway makes free throw 2 of 2,1,22-16,,
2:26.0,,,22-16,,M. Morris misses 2-pt shot from 21 ft
2:25.0,Defensive rebound by C. Aldrich,,22-16,,
2:06.0,T. Hardaway makes 2-pt shot from 3 ft,2,24-16,,
2:02.0,Personal take foul by C. Aldrich (drawn by A. Goodwin),,24-16,,
2:02.0,S. Larkin enters the game for T. Hardaway,,24-16,,
1:55.0,,,24-16,,E. Bledsoe misses 2-pt shot from 3 ft
