time,Portland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Lopez (E. Kanter gains possession),,,,Jump ball: S. Adams vs. R. Lopez (E. Kanter gains possession)
11:45.0,,,0-0,,D. Waiters misses 2-pt shot from 13 ft
11:44.0,Defensive rebound by D. Lillard,,0-0,,
11:37.0,M. Leonard misses 2-pt shot from 15 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by R. Westbrook
11:25.0,,,0-0,,R. Westbrook misses 2-pt shot from 14 ft
11:24.0,,,0-0,,Offensive rebound by E. Kanter
11:24.0,,,0-0,,E. Kanter misses 2-pt shot from 2 ft
11:23.0,,,0-0,,Offensive rebound by S. Adams
11:23.0,,,0-0,,S. Adams misses 2-pt shot from 1 ft
11:23.0,,,0-0,,Offensive rebound by S. Adams
11:23.0,,,0-0,,Shooting foul by M. Leonard (drawn by S. Adams)
11:23.0,,,0-0,,S. Adams misses free throw 1 of 2
11:23.0,,,0-0,,Offensive rebound by Team
11:23.0,,,0-1,1,S. Adams makes free throw 2 of 2
11:07.0,Turnover by N. Batum (bad pass; steal by R. Westbrook),,0-1,,
10:59.0,,,0-3,2,E. Kanter makes 2-pt shot from 14 ft (assist by D. Waiters)
10:39.0,C. McCollum misses 2-pt shot from 7 ft,,0-3,,
10:38.0,,,0-3,,Defensive rebound by D. Waiters
10:28.0,,,0-6,3,R. Westbrook makes 3-pt shot from 22 ft (assist by D. Waiters)
10:15.0,,,0-6,,Personal foul by D. Waiters (drawn by C. McCollum)
10:07.0,M. Leonard makes 3-pt shot from 23 ft (assist by D. Lillard),3,3-6,,
9:42.0,,,3-8,2,D. Waiters makes 2-pt shot from 23 ft
9:23.0,M. Leonard makes 2-pt shot from 14 ft (assist by D. Lillard),2,5-8,,
9:03.0,,,5-8,,R. Westbrook misses 2-pt shot from 15 ft
9:03.0,,,5-8,,Offensive rebound by S. Adams
8:59.0,,,5-8,,Shooting foul by M. Leonard (drawn by S. Adams)
8:59.0,,,5-9,1,S. Adams makes free throw 1 of 2
8:59.0,C. Kaman enters the game for M. Leonard,,5-9,,
8:59.0,,,5-9,,S. Adams misses free throw 2 of 2
8:58.0,Defensive rebound by C. Kaman,,5-9,,
8:50.0,D. Lillard makes 2-pt shot from 14 ft,2,7-9,,
8:38.0,,,7-11,2,R. Westbrook makes 2-pt shot from 1 ft
8:17.0,C. Kaman makes 2-pt shot at rim (assist by C. McCollum),2,9-11,,
8:03.0,,,9-11,,D. Waiters misses 2-pt shot from 15 ft
8:02.0,Defensive rebound by C. Kaman,,9-11,,
7:53.0,C. McCollum makes 2-pt shot from 11 ft,2,11-11,,
7:43.0,Def 3 sec tech foul by C. Kaman,,11-11,,
7:43.0,,,11-12,1,R. Westbrook makes technical free throw
7:32.0,,,11-12,,R. Westbrook misses 2-pt shot from 13 ft
7:31.0,Defensive rebound by N. Batum,,11-12,,
7:22.0,N. Batum misses 2-pt shot from 14 ft,,11-12,,
7:20.0,,,11-12,,Defensive rebound by D. Waiters
7:15.0,Personal foul by C. Kaman (drawn by S. Adams),,11-12,,
7:08.0,,,11-14,2,E. Kanter makes 2-pt shot from 18 ft (assist by R. Westbrook)
6:56.0,,,11-14,,Personal foul by A. Roberson (drawn by N. Batum)
6:48.0,C. Kaman makes 2-pt shot from 1 ft (assist by R. Lopez),2,13-14,,
6:30.0,,,13-16,2,E. Kanter makes 2-pt shot from 3 ft (assist by D. Waiters)
6:15.0,D. Lillard makes 2-pt shot from 1 ft,2,15-16,,
6:09.0,,,15-16,,E. Kanter misses 2-pt shot from 5 ft
6:08.0,,,15-16,,Offensive rebound by R. Westbrook
6:02.0,,,15-16,,D. Waiters misses 2-pt shot from 6 ft (block by C. McCollum)
6:02.0,,,15-16,,Offensive rebound by Team
5:50.0,,,15-16,,E. Kanter misses 2-pt shot from 12 ft
5:50.0,,,15-16,,Offensive rebound by E. Kanter
5:46.0,,,15-18,2,E. Kanter makes 2-pt shot from 4 ft
5:31.0,D. Lillard misses 3-pt shot from 24 ft,,15-18,,
5:31.0,,,15-18,,Defensive rebound by E. Kanter
5:25.0,,,15-21,3,R. Westbrook makes 3-pt shot from 24 ft
5:24.0,Portland full timeout,,15-21,,
5:24.0,,,15-21,,A. Morrow enters the game for A. Roberson
5:24.0,,,15-21,,N. Collison enters the game for S. Adams
5:24.0,A. Crabbe enters the game for C. McCollum,,15-21,,
5:01.0,C. Kaman misses 2-pt shot from 4 ft,,15-21,,
5:00.0,,,15-21,,Defensive rebound by E. Kanter
4:45.0,,,15-21,,Offensive foul by E. Kanter
4:45.0,,,15-21,,Turnover by E. Kanter (offensive foul)
4:45.0,J. Freeland enters the game for R. Lopez,,15-21,,
4:32.0,N. Batum misses 3-pt shot from 24 ft,,15-21,,
4:32.0,,,15-21,,Defensive rebound by D. Waiters
4:26.0,,,15-23,2,D. Waiters makes 2-pt shot from 3 ft
4:07.0,J. Freeland misses 2-pt shot from 10 ft,,15-23,,
4:06.0,,,15-23,,Defensive rebound by E. Kanter
3:57.0,,,15-25,2,E. Kanter makes 2-pt shot from 6 ft (assist by R. Westbrook)
3:43.0,,,15-25,,Personal foul by N. Collison (drawn by D. Lillard)
3:43.0,T. Frazier enters the game for D. Lillard,,15-25,,
3:30.0,A. Crabbe misses 3-pt shot from 22 ft,,15-25,,
3:29.0,,,15-25,,Defensive rebound by R. Westbrook
3:23.0,,,15-27,2,R. Westbrook makes 2-pt shot from 1 ft
3:11.0,C. Kaman makes 2-pt shot from 15 ft (assist by T. Frazier),2,17-27,,
2:58.0,,,17-27,,D. Waiters misses 2-pt shot from 1 ft
2:56.0,,,17-27,,Offensive rebound by E. Kanter
2:56.0,,,17-29,2,E. Kanter makes 2-pt shot from 1 ft
2:39.0,A. Crabbe misses 2-pt shot from 14 ft,,17-29,,
2:38.0,,,17-29,,Defensive rebound by N. Collison
2:27.0,,,17-29,,E. Kanter misses 2-pt shot from 9 ft
2:27.0,Defensive rebound by C. Kaman,,17-29,,
2:24.0,Turnover by C. Kaman (bad pass; steal by A. Morrow),,17-29,,
2:21.0,,,17-29,,Oklahoma City full timeout
2:16.0,,,17-29,,D. Waiters misses 2-pt shot from 2 ft
2:13.0,,,17-29,,Offensive rebound by N. Collison
2:13.0,,,17-31,2,N. Collison makes 2-pt shot at rim
1:55.0,C. Kaman makes 2-pt shot from 3 ft,2,19-31,,
1:38.0,,,19-31,,D. Waiters misses 3-pt shot from 23 ft
1:37.0,Defensive rebound by J. Freeland,,19-31,,
1:30.0,Turnover by T. Frazier (lost ball; steal by D. Waiters),,19-31,,
1:29.0,,,19-31,,Shooting foul by N. Batum (drawn by D. Waiters)
1:29.0,,,19-32,1,D. Waiters makes free throw 1 of 2
1:29.0,C. McCollum enters the game for N. Batum,,19-32,,
1:29.0,M. Leonard enters the game for C. Kaman,,19-32,,
1:29.0,,,19-32,,D. Augustin enters the game for R. Westbrook
1:29.0,,,19-33,1,D. Waiters makes free throw 2 of 2
1:07.0,M. Leonard misses 2-pt shot from 4 ft,,19-33,,
1:06.0,,,19-33,,Defensive rebound by E. Kanter
0:50.0,,,19-33,,Turnover by D. Waiters (lost ball)
0:32.0,C. McCollum misses 3-pt shot from 24 ft,,19-33,,
0:31.0,,,19-33,,Defensive rebound by D. Augustin
0:23.0,Personal block foul by T. Frazier (drawn by D. Waiters),,19-33,,
0:23.0,,,19-34,1,D. Waiters makes free throw 1 of 2
0:23.0,,,19-34,,A. Roberson enters the game for A. Morrow
0:23.0,,,19-34,,S. Adams enters the game for E. Kanter
0:23.0,,,19-35,1,D. Waiters makes free throw 2 of 2
0:00.0,M. Leonard makes 2-pt shot from 8 ft (assist by C. McCollum),2,21-35,,
0:00.0,,,21-35,,S. Adams misses 3-pt shot from 73 ft
0:00.0,,,21-35,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,C. McCollum misses 2-pt shot from 7 ft (block by S. Adams),,21-35,,
11:42.0,,,21-35,,Defensive rebound by A. Morrow
11:27.0,,,21-35,,N. Collison misses 2-pt shot from 2 ft (block by J. Freeland)
11:25.0,Defensive rebound by A. Crabbe,,21-35,,
11:20.0,Turnover by A. Crabbe (traveling),,21-35,,
11:02.0,,,21-35,,A. Roberson misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by Team,,21-35,,
10:47.0,C. McCollum misses 2-pt shot from 1 ft (block by S. Adams),,21-35,,
10:46.0,,,21-35,,Defensive rebound by A. Roberson
10:39.0,,,21-35,,Shooting foul by T. Frazier (drawn by S. Adams)
10:39.0,,,21-35,,S. Adams misses free throw 1 of 2
10:39.0,,,21-35,,Offensive rebound by Team
10:39.0,,,21-35,,S. Adams misses free throw 2 of 2
10:38.0,Defensive rebound by M. Leonard,,21-35,,
10:25.0,A. Crabbe misses 2-pt shot from 18 ft,,21-35,,
10:24.0,,,21-35,,Defensive rebound by A. Morrow
10:00.0,,,21-35,,A. Morrow misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by T. Frazier,,21-35,,
9:48.0,J. Freeland makes 2-pt shot from 14 ft (assist by C. McCollum),2,23-35,,
9:26.0,,,23-35,,D. Augustin misses 2-pt shot from 4 ft
9:25.0,,,23-35,,Offensive rebound by Team
9:25.0,Loose ball foul by T. Frazier (drawn by S. Adams),,23-35,,
9:25.0,D. Lillard enters the game for A. Crabbe,,23-35,,
9:25.0,R. Lopez enters the game for J. Freeland,,23-35,,
9:19.0,,,23-35,,D. Augustin misses 2-pt shot from 16 ft
9:18.0,Defensive rebound by Team,,23-35,,
9:18.0,,,23-35,,Loose ball foul by S. Adams (drawn by D. Lillard)
8:56.0,C. McCollum misses 2-pt shot from 9 ft,,23-35,,
8:55.0,,,23-35,,Defensive rebound by A. Morrow
8:47.0,,,23-35,,A. Morrow misses 3-pt shot from 24 ft
8:46.0,Defensive rebound by D. Lillard,,23-35,,
8:38.0,D. Lillard misses 2-pt shot from 10 ft,,23-35,,
8:37.0,,,23-35,,Defensive rebound by A. Roberson
8:23.0,,,23-37,2,S. Adams makes 2-pt shot from 7 ft (assist by D. Augustin)
8:01.0,M. Leonard makes 3-pt shot from 23 ft (assist by D. Lillard),3,26-37,,
7:57.0,,,26-37,,Oklahoma City full timeout
7:57.0,Official timeout,,26-37,,
7:57.0,,,26-37,,R. Westbrook enters the game for A. Roberson
7:46.0,,,26-39,2,R. Westbrook makes 2-pt shot from 1 ft (assist by D. Augustin)
7:39.0,D. Lillard misses 2-pt shot from 2 ft (block by S. Adams),,26-39,,
7:39.0,Offensive rebound by Team,,26-39,,
7:37.0,M. Leonard misses 2-pt shot from 9 ft,,26-39,,
7:36.0,,,26-39,,Defensive rebound by R. Westbrook
7:26.0,,,26-42,3,A. Morrow makes 3-pt shot from 24 ft (assist by R. Westbrook)
7:03.0,D. Lillard misses 2-pt shot from 4 ft (block by S. Adams),,26-42,,
7:03.0,Offensive rebound by Team,,26-42,,
7:03.0,A. Crabbe enters the game for T. Frazier,,26-42,,
6:59.0,R. Lopez makes 2-pt shot from 3 ft (assist by M. Leonard),2,28-42,,
6:38.0,,,28-42,,D. Augustin misses 2-pt shot from 6 ft
6:37.0,,,28-42,,Offensive rebound by S. Adams
6:37.0,,,28-42,,S. Adams misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by M. Leonard,,28-42,,
6:32.0,Turnover by C. McCollum (bad pass),,28-42,,
