time,Phoenix,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. J. Nurkic (E. Bledsoe gains possession),,,,Jump ball: A. Len vs. J. Nurkic (E. Bledsoe gains possession)
11:36.0,Turnover by M. Morris (lost ball),,0-0,,
11:21.0,,,0-2,2,G. Harris makes 2-pt shot from 2 ft
11:18.0,Turnover by B. Knight (bad pass; steal by T. Lawson),,0-2,,
11:14.0,,,0-4,2,T. Lawson makes 2-pt shot from 2 ft
11:05.0,Offensive foul by A. Len,,0-4,,
11:05.0,Turnover by A. Len (offensive foul),,0-4,,
10:53.0,Jump ball: E. Bledsoe vs. J. Nurkic (D. Gallinari gains possession),,,,Jump ball: E. Bledsoe vs. J. Nurkic (D. Gallinari gains possession)
10:42.0,,,0-4,,Shooting foul by B. Knight (drawn by D. Arthur)
10:42.0,,,0-5,1,D. Arthur makes free throw 1 of 2
10:42.0,,,0-5,,D. Arthur misses free throw 2 of 2
10:41.0,Defensive rebound by A. Len,,0-5,,
10:22.0,B. Knight misses 3-pt shot from 25 ft,,0-5,,
10:20.0,,,0-5,,Defensive rebound by J. Nurkic
10:13.0,,,0-8,3,T. Lawson makes 3-pt shot from 25 ft
10:01.0,A. Len makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,2-8,,
9:43.0,,,2-8,,G. Harris misses 2-pt shot at rim
9:41.0,Defensive rebound by M. Morris,,2-8,,
9:33.0,E. Bledsoe misses 2-pt shot from 18 ft,,2-8,,
9:31.0,,,2-8,,Defensive rebound by J. Nurkic
9:18.0,,,2-8,,D. Arthur misses 2-pt shot from 19 ft
9:16.0,Defensive rebound by P. Tucker,,2-8,,
9:04.0,P. Tucker misses 2-pt shot from 10 ft,,2-8,,
9:03.0,,,2-8,,Defensive rebound by T. Lawson
8:59.0,,,2-8,,Turnover by T. Lawson (bad pass)
8:59.0,,,2-8,,J. Hickson enters the game for D. Arthur
8:46.0,B. Knight makes 2-pt shot from 20 ft (assist by E. Bledsoe),2,4-8,,
8:32.0,,,4-8,,J. Nurkic misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by E. Bledsoe,,4-8,,
8:25.0,B. Knight makes 2-pt shot from 20 ft,2,6-8,,
8:13.0,Personal foul by M. Morris (drawn by J. Hickson),,6-8,,
8:02.0,,,6-8,,J. Nurkic misses 2-pt shot from 3 ft (block by A. Len)
7:59.0,Defensive rebound by P. Tucker,,6-8,,
7:55.0,E. Bledsoe makes 2-pt shot from 2 ft (assist by B. Knight),2,8-8,,
7:48.0,,,8-10,2,J. Nurkic makes 2-pt shot from 5 ft (assist by T. Lawson)
7:41.0,B. Knight misses 3-pt shot from 26 ft,,8-10,,
7:39.0,,,8-10,,Defensive rebound by D. Gallinari
7:33.0,,,8-10,,Turnover by D. Gallinari (bad pass; steal by P. Tucker)
7:28.0,P. Tucker makes 2-pt shot at rim,2,10-10,,
7:22.0,,,10-10,,Denver full timeout
7:22.0,,,10-10,,R. Foye enters the game for G. Harris
7:15.0,,,10-10,,T. Lawson misses 2-pt shot from 6 ft
7:13.0,Defensive rebound by A. Len,,10-10,,
7:08.0,,,10-10,,Personal foul by R. Foye (drawn by E. Bledsoe)
6:46.0,Turnover by Team (shot clock),,10-10,,
6:39.0,,,10-10,,D. Gallinari misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by A. Len,,10-10,,
6:20.0,M. Morris makes 2-pt shot from 2 ft,2,12-10,,
6:02.0,,,12-10,,R. Foye misses 3-pt shot from 24 ft
6:01.0,,,12-10,,Offensive rebound by J. Nurkic
5:56.0,,,12-13,3,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nurkic)
5:39.0,,,12-13,,Personal foul by R. Foye (drawn by P. Tucker)
5:39.0,P. Tucker makes free throw 1 of 2,1,13-13,,
5:39.0,G. Green enters the game for B. Knight,,13-13,,
5:39.0,P. Tucker makes free throw 2 of 2,1,14-13,,
5:30.0,,,14-15,2,J. Nurkic makes 2-pt shot from 1 ft (assist by R. Foye)
5:30.0,,,14-15,,Shooting foul by A. Len (drawn by J. Nurkic)
5:30.0,B. Wright enters the game for A. Len,,14-15,,
5:30.0,,,14-16,1,J. Nurkic makes free throw 1 of 1
5:17.0,G. Green makes 3-pt shot from 25 ft,3,17-16,,
5:01.0,,,17-16,,R. Foye misses 2-pt shot from 21 ft
5:00.0,Defensive rebound by Team,,17-16,,
4:45.0,G. Green misses 3-pt shot from 25 ft,,17-16,,
4:44.0,Offensive rebound by B. Wright,,17-16,,
4:40.0,G. Green misses 3-pt shot from 24 ft,,17-16,,
4:37.0,Offensive rebound by E. Bledsoe,,17-16,,
4:29.0,B. Wright makes 2-pt shot from 4 ft (assist by E. Bledsoe),2,19-16,,
4:13.0,,,19-16,,T. Lawson misses 3-pt shot from 25 ft
4:12.0,Defensive rebound by M. Morris,,19-16,,
4:11.0,,,19-16,,J. Lauvergne enters the game for J. Nurkic
3:52.0,,,19-18,2,J. Lauvergne makes 2-pt shot from 4 ft (assist by D. Gallinari)
3:42.0,Shooting foul by J. Lauvergne (drawn by M. Morris),,19-18,,
3:42.0,M. Morris makes free throw 1 of 2,1,20-18,,
3:42.0,M. Morris enters the game for P. Tucker,,20-18,,
3:42.0,M. Morris makes free throw 2 of 2,1,21-18,,
3:18.0,,,21-18,,J. Lauvergne misses 2-pt shot from 15 ft
3:16.0,,,21-18,,Offensive rebound by T. Lawson
3:14.0,,,21-18,,D. Gallinari misses 3-pt shot from 24 ft
3:13.0,,,21-18,,Offensive rebound by J. Lauvergne
3:12.0,,,21-20,2,J. Lauvergne makes 2-pt shot at rim
3:12.0,,,21-20,,Shooting foul by G. Green (drawn by J. Lauvergne)
3:12.0,,,21-20,,J. Lauvergne misses free throw 1 of 1
3:10.0,,,21-20,,Offensive rebound by D. Gallinari
2:58.0,,,21-20,,Turnover by D. Gallinari (bad pass; steal by E. Bledsoe)
