time,Charlotte,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Jefferson (M. Williams gains possession),,,,Jump ball: A. Davis vs. A. Jefferson (M. Williams gains possession)
11:40.0,L. Stephenson misses 2-pt shot from 5 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by A. Davis
11:21.0,,,0-0,,Shooting foul by M. Williams (drawn by O. Asik)
11:21.0,,,0-1,1,O. Asik makes free throw 1 of 2
11:21.0,,,0-2,1,O. Asik makes free throw 2 of 2
11:08.0,M. Williams misses 2-pt shot from 21 ft,,0-2,,
11:07.0,,,0-2,,Defensive rebound by A. Davis
10:56.0,,,0-2,,A. Davis misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by K. Walker,,0-2,,
10:33.0,Turnover by L. Stephenson (lost ball; steal by E. Gordon),,0-2,,
10:30.0,,,0-2,,Turnover by T. Evans (offensive foul)
10:30.0,,,0-2,,Offensive charge foul by T. Evans
10:11.0,A. Jefferson makes 2-pt shot from 2 ft,2,2-2,,
9:57.0,,,2-4,2,J. Holiday makes 2-pt shot from 7 ft
9:33.0,K. Walker makes 3-pt shot from 25 ft (assist by A. Jefferson),3,5-4,,
9:21.0,,,5-4,,J. Holiday misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by L. Stephenson,,5-4,,
9:13.0,L. Stephenson misses 2-pt shot from 18 ft,,5-4,,
9:11.0,,,5-4,,Defensive rebound by O. Asik
9:00.0,,,5-4,,E. Gordon misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by M. Williams,,5-4,,
8:45.0,L. Stephenson makes 2-pt shot from 3 ft (assist by M. Williams),2,7-4,,
8:26.0,,,7-6,2,J. Holiday makes 2-pt shot from 5 ft (assist by O. Asik)
8:11.0,Shooting foul by E. Gordon (drawn by A. Jefferson),,7-6,,
8:11.0,A. Jefferson makes free throw 1 of 2,1,8-6,,
8:11.0,A. Jefferson makes free throw 2 of 2,1,9-6,,
8:00.0,Personal foul by K. Walker (drawn by J. Holiday),,9-6,,
7:51.0,,,9-8,2,O. Asik makes 2-pt shot at rim (assist by E. Gordon)
7:35.0,A. Jefferson misses 2-pt shot from 16 ft,,9-8,,
7:34.0,,,9-8,,Defensive rebound by T. Evans
7:28.0,,,9-8,,Turnover by T. Evans (offensive foul)
7:28.0,,,9-8,,Offensive charge foul by T. Evans
7:28.0,,,9-8,,A. Rivers enters the game for T. Evans
