time,Miami,pts.away,score,pts.home,Cleveland
0:41.0,,,25-32,2,L. James makes 2-pt shot from 13 ft (assist by J. Smith)
0:23.0,,,25-32,,Personal foul by J. Smith (drawn by L. Deng)
0:23.0,L. Deng makes free throw 1 of 2,1,26-32,,
0:23.0,T. Johnson enters the game for G. Dragic,,26-32,,
0:23.0,L. Deng makes free throw 2 of 2,1,27-32,,
0:03.0,,,27-32,,M. Dellavedova misses 3-pt shot from 24 ft
0:02.0,,,27-32,,Offensive rebound by I. Shumpert
0:00.0,,,27-34,2,I. Shumpert makes 2-pt shot from 15 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,27-37,3,I. Shumpert makes 3-pt shot from 23 ft (assist by L. James)
11:24.0,Turnover by M. Beasley (bad pass; steal by I. Shumpert),,27-37,,
11:19.0,,,27-39,2,L. James makes 2-pt shot from 7 ft (assist by K. Irving)
11:19.0,,,27-39,,Shooting foul by M. Beasley (drawn by L. James)
11:19.0,D. Wade enters the game for M. Beasley,,27-39,,
11:19.0,,,27-39,,L. James misses free throw 1 of 1
11:18.0,Defensive rebound by C. Andersen,,27-39,,
11:03.0,G. Dragic misses 2-pt shot from 11 ft,,27-39,,
11:01.0,,,27-39,,Defensive rebound by L. James
10:59.0,Personal foul by C. Andersen (drawn by L. James),,27-39,,
10:52.0,,,27-39,,Turnover by M. Dellavedova (bad pass; steal by M. Chalmers)
10:48.0,L. Deng makes 2-pt shot from 1 ft (assist by M. Chalmers),2,29-39,,
10:41.0,,,29-39,,Turnover by K. Irving (lost ball; steal by M. Chalmers)
10:34.0,D. Wade misses 2-pt shot from 12 ft,,29-39,,
10:33.0,,,29-39,,Defensive rebound by I. Shumpert
10:20.0,,,29-41,2,T. Thompson makes 2-pt shot at rim (assist by M. Dellavedova)
10:01.0,Shooting foul by I. Shumpert (drawn by D. Wade),,29-41,,
10:01.0,D. Wade misses free throw 1 of 2,,29-41,,
10:01.0,Offensive rebound by Team,,29-41,,
10:01.0,D. Wade misses free throw 2 of 2,,29-41,,
10:00.0,,,29-41,,Defensive rebound by T. Thompson
9:39.0,,,29-41,,K. Irving misses 2-pt shot from 9 ft
9:38.0,,,29-41,,Offensive rebound by T. Thompson
9:36.0,,,29-41,,T. Thompson misses 2-pt shot from 1 ft (block by G. Dragic)
9:35.0,Defensive rebound by G. Dragic,,29-41,,
9:30.0,Turnover by D. Wade (bad pass; steal by M. Dellavedova),,29-41,,
9:22.0,,,29-41,,I. Shumpert misses 2-pt shot from 14 ft
9:20.0,,,29-41,,Offensive rebound by T. Thompson
9:12.0,,,29-41,,K. Irving misses 3-pt shot from 22 ft
9:11.0,Defensive rebound by C. Andersen,,29-41,,
9:07.0,,,29-41,,Personal foul by M. Dellavedova (drawn by G. Dragic)
9:04.0,Turnover by D. Wade (bad pass; steal by L. James),,29-41,,
