time,Orlando,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,T. Harris misses 3-pt shot from 25 ft,,0-0,,
12:00.0,Jump ball: B. Bass vs. D. Dedmon (N. Vucevic gains possession),,,,Jump ball: B. Bass vs. D. Dedmon (N. Vucevic gains possession)
11:36.0,,,0-0,,Defensive rebound by A. Bradley
11:23.0,,,0-0,,M. Smart misses 2-pt shot at rim
11:21.0,,,0-0,,Offensive rebound by T. Zeller
11:21.0,,,0-0,,T. Zeller misses 2-pt shot at rim
11:20.0,Defensive rebound by E. Payton,,0-0,,
11:09.0,E. Payton makes 3-pt shot from 23 ft (assist by N. Vucevic),3,3-0,,
10:47.0,,,3-0,,B. Bass misses 2-pt shot from 16 ft
10:46.0,Defensive rebound by N. Vucevic,,3-0,,
10:37.0,E. Payton misses 2-pt shot at rim,,3-0,,
10:36.0,,,3-0,,Defensive rebound by T. Zeller
10:30.0,,,3-0,,E. Turner misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by T. Harris,,3-0,,
10:19.0,V. Oladipo misses 2-pt shot from 20 ft,,3-0,,
10:18.0,,,3-0,,Defensive rebound by E. Turner
10:10.0,,,3-0,,E. Turner misses 2-pt shot from 2 ft
10:09.0,Defensive rebound by D. Dedmon,,3-0,,
10:05.0,Offensive charge foul by V. Oladipo,,3-0,,
10:05.0,Turnover by V. Oladipo (offensive foul),,3-0,,
9:53.0,,,3-2,2,A. Bradley makes 2-pt shot from 20 ft (assist by T. Zeller)
9:38.0,N. Vucevic misses 2-pt shot from 22 ft,,3-2,,
9:37.0,,,3-2,,Defensive rebound by E. Turner
9:25.0,,,3-2,,M. Smart misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by V. Oladipo,,3-2,,
9:02.0,E. Payton misses 2-pt shot from 11 ft,,3-2,,
9:01.0,,,3-2,,Defensive rebound by B. Bass
8:45.0,,,3-2,,E. Turner misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by T. Harris,,3-2,,
8:26.0,Turnover by T. Harris (lost ball; steal by E. Turner),,3-2,,
8:16.0,,,3-2,,A. Bradley misses 2-pt shot from 19 ft
8:15.0,Defensive rebound by Team,,3-2,,
8:06.0,Turnover by E. Payton (bad pass),,3-2,,
7:54.0,,,3-2,,E. Turner misses 2-pt shot from 14 ft
7:53.0,,,3-2,,Offensive rebound by T. Zeller
7:53.0,,,3-2,,T. Zeller misses 2-pt shot at rim
7:52.0,,,3-2,,Offensive rebound by T. Zeller
7:52.0,,,3-2,,T. Zeller misses 2-pt shot at rim
7:49.0,,,3-2,,Offensive rebound by B. Bass
7:47.0,,,3-4,2,B. Bass makes 2-pt shot at rim
7:19.0,D. Dedmon misses 2-pt shot from 14 ft,,3-4,,
7:18.0,,,3-4,,Defensive rebound by E. Turner
6:58.0,,,3-6,2,M. Smart makes 2-pt shot at rim
6:58.0,Orlando full timeout,,3-6,,
6:58.0,L. Ridnour enters the game for E. Payton,,3-6,,
6:35.0,L. Ridnour misses 3-pt shot from 23 ft,,3-6,,
6:34.0,,,3-6,,Defensive rebound by A. Bradley
6:19.0,,,3-6,,A. Bradley misses 3-pt shot from 25 ft
6:18.0,,,3-6,,Offensive rebound by T. Zeller
6:14.0,,,3-6,,T. Zeller misses 2-pt shot at rim
6:13.0,Defensive rebound by N. Vucevic,,3-6,,
6:03.0,N. Vucevic makes 2-pt shot from 11 ft (assist by T. Harris),2,5-6,,
5:52.0,,,5-6,,E. Turner misses 2-pt shot from 16 ft
5:51.0,Defensive rebound by V. Oladipo,,5-6,,
5:29.0,T. Harris makes 3-pt shot from 25 ft (assist by L. Ridnour),3,8-6,,
5:11.0,,,8-6,,Turnover by M. Smart (bad pass; steal by T. Harris)
5:06.0,V. Oladipo makes 2-pt shot at rim (assist by T. Harris),2,10-6,,
4:53.0,,,10-6,,Turnover by A. Bradley (lost ball; steal by V. Oladipo)
4:47.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,12-6,,
4:40.0,,,12-6,,A. Bradley misses 3-pt shot from 25 ft
4:39.0,Defensive rebound by T. Harris,,12-6,,
4:31.0,V. Oladipo misses 2-pt shot at rim,,12-6,,
4:30.0,Offensive rebound by D. Dedmon,,12-6,,
4:30.0,D. Dedmon makes 2-pt shot at rim,2,14-6,,
4:11.0,Violation by D. Dedmon (def goaltending),,14-6,,
4:11.0,,,14-8,2,B. Bass makes 2-pt shot from 17 ft
3:48.0,Shooting foul by E. Turner (drawn by T. Harris),,14-8,,
3:48.0,T. Harris makes free throw 1 of 2,1,15-8,,
3:48.0,,,15-8,,P. Pressey enters the game for E. Turner
3:48.0,,,15-8,,J. Crowder enters the game for T. Zeller
3:48.0,,,15-8,,K. Olynyk enters the game for M. Smart
3:48.0,T. Harris makes free throw 2 of 2,1,16-8,,
3:23.0,,,16-8,,A. Bradley misses 2-pt shot from 17 ft
3:22.0,,,16-8,,Offensive rebound by Team
3:10.0,,,16-8,,Turnover by A. Bradley (bad pass)
2:55.0,V. Oladipo makes 2-pt shot at rim,2,18-8,,
2:41.0,,,18-8,,J. Crowder misses 2-pt shot from 14 ft
2:40.0,Defensive rebound by N. Vucevic,,18-8,,
2:37.0,Turnover by L. Ridnour (lost ball; steal by A. Bradley),,18-8,,
2:33.0,,,18-10,2,B. Bass makes 2-pt shot at rim (assist by A. Bradley)
2:09.0,V. Oladipo misses 3-pt shot from 26 ft,,18-10,,
2:06.0,,,18-10,,Defensive rebound by B. Bass
1:57.0,,,18-13,3,A. Bradley makes 3-pt shot from 23 ft (assist by P. Pressey)
1:35.0,N. Vucevic misses 2-pt shot from 19 ft,,18-13,,
1:34.0,,,18-13,,Defensive rebound by P. Pressey
1:24.0,,,18-13,,A. Bradley misses 2-pt shot from 19 ft
1:23.0,Defensive rebound by N. Vucevic,,18-13,,
1:18.0,,,18-13,,Personal foul by A. Bradley (drawn by V. Oladipo)
1:18.0,,,18-13,,Boston full timeout
1:18.0,,,18-13,,L. Datome enters the game for B. Bass
1:18.0,A. Gordon enters the game for N. Vucevic,,18-13,,
1:07.0,V. Oladipo misses 2-pt shot at rim,,18-13,,
1:06.0,Offensive rebound by D. Dedmon,,18-13,,
1:06.0,D. Dedmon makes 2-pt shot at rim,2,20-13,,
0:53.0,,,20-16,3,L. Datome makes 3-pt shot from 25 ft (assist by P. Pressey)
0:34.0,L. Ridnour makes 3-pt shot from 22 ft (assist by V. Oladipo),3,23-16,,
0:27.0,,,23-19,3,K. Olynyk makes 3-pt shot from 25 ft (assist by P. Pressey)
0:10.0,Offensive charge foul by V. Oladipo,,23-19,,
0:10.0,Turnover by V. Oladipo (offensive foul),,23-19,,
0:10.0,M. Harkless enters the game for V. Oladipo,,23-19,,
0:04.0,,,23-19,,Offensive foul by P. Pressey
0:04.0,,,23-19,,Turnover by P. Pressey (offensive foul)
0:04.0,E. Payton enters the game for A. Gordon,,23-19,,
0:00.0,E. Payton misses 2-pt shot from 5 ft (block by P. Pressey),,23-19,,
