time,Memphis,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (L. Aldridge gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (L. Aldridge gains possession)
11:45.0,,,0-2,2,L. Aldridge makes 2-pt shot from 19 ft (assist by R. Lopez)
11:29.0,M. Conley misses 2-pt shot from 11 ft,,0-2,,
11:28.0,,,0-2,,Defensive rebound by L. Aldridge
11:14.0,,,0-5,3,W. Matthews makes 3-pt shot from 24 ft
10:51.0,Z. Randolph makes 2-pt shot from 1 ft,2,2-5,,
10:30.0,,,2-5,,L. Aldridge misses 2-pt shot from 19 ft
10:29.0,Defensive rebound by M. Conley,,2-5,,
10:21.0,M. Gasol makes 2-pt shot from 22 ft (assist by M. Conley),2,4-5,,
10:04.0,,,4-7,2,N. Batum makes 2-pt shot from 10 ft (assist by W. Matthews)
9:45.0,C. Lee misses 2-pt shot from 20 ft,,4-7,,
9:44.0,,,4-7,,Defensive rebound by R. Lopez
9:35.0,,,4-9,2,W. Matthews makes 2-pt shot from 17 ft
9:17.0,T. Allen makes 2-pt shot at rim,2,6-9,,
9:02.0,,,6-11,2,R. Lopez makes 2-pt shot from 17 ft (assist by W. Matthews)
8:49.0,Z. Randolph misses 2-pt shot from 21 ft,,6-11,,
8:48.0,,,6-11,,Defensive rebound by D. Lillard
8:37.0,,,6-13,2,D. Lillard makes 2-pt shot at rim
8:20.0,Turnover by M. Gasol (lost ball; steal by L. Aldridge),,6-13,,
8:13.0,,,6-13,,N. Batum misses 2-pt shot from 17 ft (block by C. Lee)
8:11.0,Defensive rebound by M. Conley,,6-13,,
8:06.0,M. Conley misses 2-pt shot from 4 ft (block by N. Batum),,6-13,,
8:05.0,,,6-13,,Defensive rebound by N. Batum
7:59.0,,,6-13,,N. Batum misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by Z. Randolph,,6-13,,
7:45.0,M. Gasol misses 2-pt shot from 18 ft,,6-13,,
7:43.0,,,6-13,,Defensive rebound by W. Matthews
7:41.0,Personal take foul by T. Allen (drawn by W. Matthews),,6-13,,
7:30.0,,,6-13,,R. Lopez misses 2-pt shot from 19 ft
7:30.0,Defensive rebound by Z. Randolph,,6-13,,
7:18.0,Turnover by M. Gasol (lost ball; steal by N. Batum),,6-13,,
7:14.0,,,6-15,2,N. Batum makes 2-pt shot at rim
7:11.0,Memphis full timeout,,6-15,,
6:58.0,M. Gasol misses 2-pt shot from 4 ft,,6-15,,
6:58.0,,,6-15,,Defensive rebound by L. Aldridge
6:44.0,,,6-15,,L. Aldridge misses 2-pt shot from 19 ft
6:43.0,Defensive rebound by T. Allen,,6-15,,
6:31.0,M. Gasol misses 2-pt shot from 9 ft,,6-15,,
6:31.0,,,6-15,,Defensive rebound by D. Lillard
6:22.0,,,6-17,2,D. Lillard makes 2-pt shot from 7 ft
5:59.0,Turnover by Z. Randolph (traveling),,6-17,,
5:59.0,,,6-17,,S. Blake enters the game for W. Matthews
5:45.0,,,6-17,,Shooting foul by Z. Randolph (drawn by L. Aldridge)
5:45.0,,,6-18,1,L. Aldridge makes free throw 1 of 2
5:45.0,,,6-18,,L. Aldridge misses free throw 2 of 2
5:44.0,Defensive rebound by M. Gasol,,6-18,,
5:29.0,M. Conley misses 2-pt shot from 4 ft,,6-18,,
5:27.0,,,6-18,,Defensive rebound by Team
5:14.0,,,6-18,,D. Lillard misses 2-pt shot from 7 ft
5:13.0,Defensive rebound by T. Allen,,6-18,,
