time,Houston,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. J. Thompson (B. McLemore gains possession),,,,Jump ball: T. Black vs. J. Thompson (B. McLemore gains possession)
11:41.0,,,0-0,,B. McLemore misses 2-pt shot from 17 ft
11:40.0,,,0-0,,Offensive rebound by J. Thompson
11:34.0,,,0-3,3,B. McLemore makes 3-pt shot from 24 ft (assist by R. Gay)
11:12.0,J. Harden misses 2-pt shot from 3 ft,,0-3,,
11:11.0,Offensive rebound by Team,,0-3,,
11:06.0,T. Black misses 2-pt shot from 19 ft,,0-3,,
11:05.0,Offensive rebound by T. Ariza,,0-3,,
11:05.0,T. Ariza misses 2-pt shot from 1 ft,,0-3,,
11:04.0,Offensive rebound by D. Motiejunas,,0-3,,
11:04.0,D. Motiejunas misses 2-pt shot from 2 ft,,0-3,,
11:03.0,,,0-3,,Defensive rebound by R. Evans
10:55.0,,,0-5,2,J. Thompson makes 2-pt shot from 16 ft (assist by B. McLemore)
10:39.0,,,0-5,,Personal foul by B. McLemore (drawn by D. Motiejunas)
10:28.0,D. Motiejunas misses 2-pt shot from 3 ft,,0-5,,
10:26.0,,,0-5,,Defensive rebound by R. Evans
10:25.0,,,0-5,,Turnover by D. Collison (traveling)
10:16.0,T. Ariza misses 3-pt shot from 25 ft,,0-5,,
10:16.0,Offensive rebound by Team,,0-5,,
10:08.0,D. Motiejunas misses 3-pt shot from 23 ft,,0-5,,
10:07.0,Offensive rebound by T. Black,,0-5,,
9:59.0,Turnover by P. Beverley (lost ball; steal by J. Thompson),,0-5,,
9:56.0,,,0-7,2,D. Collison makes 2-pt shot from 3 ft (assist by J. Thompson)
9:35.0,D. Motiejunas makes 2-pt shot from 7 ft,2,2-7,,
9:11.0,,,2-7,,B. McLemore misses 3-pt shot from 26 ft
9:10.0,Defensive rebound by D. Motiejunas,,2-7,,
8:54.0,Turnover by P. Beverley (lost ball; steal by R. Evans),,2-7,,
8:53.0,Personal foul by P. Beverley (drawn by R. Evans),,2-7,,
8:36.0,,,2-9,2,B. McLemore makes 2-pt shot from 21 ft (assist by R. Gay)
8:09.0,T. Ariza misses 3-pt shot from 25 ft,,2-9,,
8:09.0,,,2-9,,Defensive rebound by B. McLemore
