time,Atlanta,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. Z. Pachulia (P. Millsap gains possession),,,,Jump ball: A. Horford vs. Z. Pachulia (P. Millsap gains possession)
11:46.0,Shooting foul by J. O'Bryant (drawn by A. Horford),,0-0,,
11:46.0,A. Horford misses free throw 1 of 2,,0-0,,
11:46.0,Offensive rebound by Team,,0-0,,
11:46.0,A. Horford makes free throw 2 of 2,1,1-0,,
11:31.0,,,1-0,,G. Antetokounmpo misses 2-pt shot from 4 ft
11:29.0,Defensive rebound by K. Korver,,1-0,,
11:22.0,K. Korver misses 3-pt shot from 25 ft,,1-0,,
11:21.0,,,1-0,,Defensive rebound by G. Antetokounmpo
11:15.0,,,1-0,,Turnover by G. Antetokounmpo (lost ball)
11:01.0,P. Millsap misses 2-pt shot from 6 ft,,1-0,,
11:00.0,,,1-0,,Defensive rebound by G. Antetokounmpo
10:46.0,,,1-0,,B. Knight misses 2-pt shot at rim
10:45.0,Defensive rebound by J. Teague,,1-0,,
10:38.0,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague),3,4-0,,
10:22.0,,,4-0,,J. O'Bryant misses 2-pt shot from 4 ft
10:20.0,Defensive rebound by K. Korver,,4-0,,
10:13.0,A. Horford misses 2-pt shot from 7 ft,,4-0,,
10:12.0,,,4-0,,Defensive rebound by Z. Pachulia
9:59.0,,,4-0,,J. O'Bryant misses 2-pt shot from 17 ft (block by A. Horford)
9:57.0,Defensive rebound by P. Millsap,,4-0,,
9:51.0,A. Horford makes 2-pt shot at rim (assist by P. Millsap),2,6-0,,
9:39.0,Personal block foul by K. Korver (drawn by B. Knight),,6-0,,
9:32.0,,,6-3,3,B. Knight makes 3-pt shot from 24 ft
9:16.0,J. Teague misses 3-pt shot from 26 ft,,6-3,,
9:15.0,,,6-3,,Defensive rebound by Z. Pachulia
8:58.0,,,6-3,,B. Knight misses 2-pt shot from 17 ft
8:57.0,Defensive rebound by P. Millsap,,6-3,,
8:51.0,J. Teague makes 2-pt shot at rim (assist by A. Horford),2,8-3,,
8:39.0,,,8-3,,Z. Pachulia misses 2-pt shot from 16 ft
8:37.0,,,8-3,,Offensive rebound by G. Antetokounmpo
8:37.0,,,8-3,,G. Antetokounmpo misses 2-pt shot at rim
8:35.0,,,8-3,,Offensive rebound by J. O'Bryant
8:34.0,,,8-3,,J. O'Bryant misses 2-pt shot at rim
8:32.0,,,8-3,,Offensive rebound by G. Antetokounmpo
8:12.0,,,8-3,,K. Marshall misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by P. Millsap,,8-3,,
7:57.0,J. Teague makes 3-pt shot from 25 ft (assist by A. Horford),3,11-3,,
7:45.0,,,11-3,,Turnover by Z. Pachulia (lost ball)
7:34.0,D. Carroll makes 2-pt shot from 1 ft,2,13-3,,
7:34.0,,,13-3,,Milwaukee full timeout
7:34.0,,,13-3,,J. Dudley enters the game for J. O'Bryant
7:16.0,Violation by D. Carroll (kicked ball),,13-3,,
7:08.0,,,13-3,,Z. Pachulia misses 2-pt shot from 2 ft
7:06.0,,,13-3,,Offensive rebound by G. Antetokounmpo
7:06.0,,,13-5,2,G. Antetokounmpo makes 2-pt shot at rim
6:55.0,A. Horford misses 2-pt shot from 1 ft (block by Z. Pachulia),,13-5,,
6:52.0,,,13-5,,Defensive rebound by J. Dudley
6:49.0,,,13-7,2,B. Knight makes 2-pt shot at rim
6:41.0,K. Korver misses 3-pt shot from 24 ft,,13-7,,
6:40.0,,,13-7,,Defensive rebound by B. Knight
6:26.0,,,13-7,,Z. Pachulia misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by A. Horford,,13-7,,
6:07.0,K. Korver makes 3-pt shot from 26 ft (assist by A. Horford),3,16-7,,
5:47.0,,,16-7,,K. Marshall misses 2-pt shot at rim
5:47.0,,,16-7,,Offensive rebound by Z. Pachulia
5:47.0,Loose ball foul by A. Horford (drawn by Z. Pachulia),,16-7,,
5:47.0,P. Antic enters the game for A. Horford,,16-7,,
5:41.0,,,16-7,,Offensive charge foul by G. Antetokounmpo
5:41.0,,,16-7,,Turnover by G. Antetokounmpo (offensive foul)
5:41.0,,,16-7,,K. Middleton enters the game for G. Antetokounmpo
5:22.0,P. Millsap makes 2-pt shot from 9 ft (assist by K. Korver),2,18-7,,
4:59.0,,,18-7,,Z. Pachulia misses 2-pt shot from 1 ft (block by P. Antic)
4:57.0,Defensive rebound by P. Antic,,18-7,,
4:51.0,P. Millsap misses 2-pt shot from 2 ft,,18-7,,
4:50.0,,,18-7,,Defensive rebound by Z. Pachulia
4:42.0,,,18-7,,B. Knight misses 3-pt shot from 25 ft
4:41.0,,,18-7,,Offensive rebound by J. Dudley
4:38.0,,,18-7,,J. Dudley misses 2-pt shot from 13 ft
