time,Toronto,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. J. Valanciunas (G. Vasquez gains possession),,,,Jump ball: D. Favors vs. J. Valanciunas (G. Vasquez gains possession)
11:47.0,Shooting foul by D. Favors (drawn by J. Valanciunas),,0-0,,
11:47.0,J. Valanciunas makes free throw 1 of 2,1,1-0,,
11:47.0,J. Valanciunas misses free throw 2 of 2,,1-0,,
11:45.0,Offensive rebound by T. Ross,,1-0,,
11:30.0,J. Valanciunas misses 2-pt shot from 5 ft,,1-0,,
11:28.0,,,1-0,,Defensive rebound by D. Favors
11:16.0,,,1-0,,T. Burke misses 2-pt shot from 21 ft
11:15.0,Defensive rebound by J. Valanciunas,,1-0,,
11:08.0,A. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry),2,3-0,,
10:56.0,,,3-0,,E. Kanter misses 2-pt shot from 14 ft (block by J. Valanciunas)
10:55.0,Defensive rebound by K. Lowry,,3-0,,
10:47.0,K. Lowry makes 2-pt shot from 12 ft,2,5-0,,
10:26.0,,,5-0,,E. Kanter misses 2-pt shot from 2 ft
10:26.0,Defensive rebound by Team,,5-0,,
10:13.0,G. Vasquez misses 2-pt shot from 20 ft,,5-0,,
10:11.0,,,5-0,,Defensive rebound by D. Favors
9:52.0,,,5-2,2,E. Kanter makes 2-pt shot at rim
9:37.0,T. Ross misses 2-pt shot from 17 ft,,5-2,,
9:33.0,,,5-2,,Defensive rebound by D. Favors
9:23.0,,,5-2,,R. Hood misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by T. Ross,,5-2,,
9:13.0,J. Valanciunas misses 2-pt shot from 3 ft,,5-2,,
9:12.0,,,5-2,,Defensive rebound by D. Favors
9:06.0,,,5-4,2,R. Hood makes 2-pt shot from 1 ft
8:52.0,K. Lowry misses 2-pt shot from 15 ft,,5-4,,
8:51.0,,,5-4,,Defensive rebound by E. Kanter
8:45.0,,,5-6,2,T. Burke makes 2-pt shot from 2 ft
8:27.0,Turnover by T. Ross (lost ball; steal by R. Hood),,5-6,,
8:13.0,,,5-6,,G. Hayward misses 2-pt shot from 19 ft
8:12.0,Defensive rebound by A. Johnson,,5-6,,
8:03.0,A. Johnson misses 2-pt shot from 7 ft,,5-6,,
8:01.0,Offensive rebound by T. Ross,,5-6,,
7:57.0,T. Ross makes 2-pt shot from 18 ft,2,7-6,,
7:42.0,,,7-6,,D. Favors misses 2-pt shot from 16 ft
7:40.0,,,7-6,,Offensive rebound by E. Kanter
7:40.0,,,7-6,,E. Kanter misses 2-pt shot from 2 ft
7:38.0,Defensive rebound by J. Valanciunas,,7-6,,
7:31.0,A. Johnson misses 3-pt shot from 24 ft,,7-6,,
7:29.0,,,7-6,,Defensive rebound by E. Kanter
7:16.0,,,7-8,2,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood)
6:51.0,G. Vasquez makes 2-pt shot from 6 ft,2,9-8,,
6:36.0,,,9-8,,T. Burke misses 3-pt shot from 24 ft
6:34.0,,,9-8,,Offensive rebound by Team
6:34.0,,,9-8,,I. Clark enters the game for R. Hood
6:34.0,L. Williams enters the game for G. Vasquez,,9-8,,
6:34.0,P. Patterson enters the game for A. Johnson,,9-8,,
6:22.0,,,9-10,2,E. Kanter makes 2-pt shot from 2 ft (assist by D. Favors)
6:05.0,K. Lowry makes 2-pt shot from 18 ft,2,11-10,,
5:57.0,,,11-10,,Utah full timeout
5:57.0,J. Johnson enters the game for T. Ross,,11-10,,
5:49.0,,,11-12,2,D. Favors makes 2-pt shot from 12 ft (assist by T. Burke)
5:31.0,Turnover by L. Williams (lost ball; steal by E. Kanter),,11-12,,
5:25.0,,,11-14,2,E. Kanter makes 2-pt shot at rim (assist by I. Clark)
5:07.0,P. Patterson makes 3-pt shot from 24 ft (assist by K. Lowry),3,14-14,,
4:47.0,,,14-17,3,T. Burke makes 3-pt shot from 24 ft (assist by G. Hayward)
4:29.0,J. Valanciunas misses 2-pt shot from 4 ft,,14-17,,
4:29.0,,,14-17,,Defensive rebound by Team
4:29.0,T. Hansbrough enters the game for J. Valanciunas,,14-17,,
4:29.0,,,14-17,,T. Booker enters the game for D. Favors
4:20.0,,,14-17,,G. Hayward misses 2-pt shot from 20 ft
4:18.0,Defensive rebound by T. Hansbrough,,14-17,,
4:09.0,P. Patterson makes 2-pt shot at rim,2,16-17,,
3:51.0,,,16-17,,G. Hayward misses 2-pt shot from 22 ft
3:49.0,Defensive rebound by L. Williams,,16-17,,
3:45.0,,,16-17,,Personal foul by I. Clark (drawn by L. Williams)
3:45.0,,,16-17,,R. Hood enters the game for I. Clark
3:45.0,,,16-17,,J. Ingles enters the game for G. Hayward
3:35.0,J. Johnson makes 2-pt shot from 2 ft,2,18-17,,
3:21.0,,,18-19,2,E. Kanter makes 2-pt shot from 1 ft
3:21.0,,,18-19,,Shooting foul by J. Johnson (drawn by E. Kanter)
3:21.0,,,18-20,1,E. Kanter makes free throw 1 of 1
3:08.0,Shooting foul by R. Hood (drawn by L. Williams),,18-20,,
3:08.0,L. Williams makes free throw 1 of 2,1,19-20,,
3:08.0,L. Williams makes free throw 2 of 2,1,20-20,,
2:52.0,Personal foul by J. Johnson (drawn by J. Ingles),,20-20,,
2:52.0,Toronto full timeout,,20-20,,
2:52.0,T. Ross enters the game for J. Johnson,,20-20,,
2:52.0,G. Vasquez enters the game for K. Lowry,,20-20,,
2:41.0,,,20-20,,Turnover by J. Ingles (lost ball; steal by L. Williams)
2:35.0,G. Vasquez makes 2-pt shot from 4 ft,2,22-20,,
2:18.0,,,22-20,,E. Kanter misses 2-pt shot from 17 ft
2:17.0,Defensive rebound by L. Williams,,22-20,,
2:07.0,L. Williams misses 2-pt shot from 16 ft,,22-20,,
2:06.0,,,22-20,,Defensive rebound by E. Kanter
1:55.0,,,22-22,2,E. Kanter makes 2-pt shot at rim (assist by T. Burke)
1:36.0,L. Williams makes 2-pt shot from 2 ft,2,24-22,,
