time,Memphis,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Hill (M. Conley gains possession),,,,Jump ball: M. Gasol vs. J. Hill (M. Conley gains possession)
11:37.0,M. Gasol misses 2-pt shot from 4 ft,,0-0,,
11:34.0,Offensive rebound by T. Allen,,0-0,,
11:29.0,T. Allen makes 2-pt shot from 1 ft,2,2-0,,
11:20.0,,,2-2,2,C. Boozer makes 2-pt shot from 14 ft (assist by J. Lin)
11:04.0,M. Conley makes 2-pt shot at rim (assist by M. Gasol),2,4-2,,
10:46.0,,,4-2,,C. Boozer misses 2-pt shot from 13 ft
10:45.0,Defensive rebound by C. Lee,,4-2,,
10:34.0,Z. Randolph makes 2-pt shot at rim (assist by T. Allen),2,6-2,,
10:12.0,,,6-2,,W. Johnson misses 2-pt shot from 12 ft
10:10.0,Defensive rebound by Z. Randolph,,6-2,,
9:54.0,Shooting foul by C. Boozer (drawn by Z. Randolph),,6-2,,
9:54.0,Z. Randolph misses free throw 1 of 2,,6-2,,
9:54.0,Offensive rebound by Team,,6-2,,
9:54.0,Z. Randolph makes free throw 2 of 2,1,7-2,,
9:38.0,,,7-5,3,J. Lin makes 3-pt shot from 24 ft
9:26.0,,,7-5,,Violation by W. Johnson (kicked ball)
9:16.0,Z. Randolph misses 2-pt shot from 14 ft,,7-5,,
9:15.0,Offensive rebound by T. Allen,,7-5,,
9:11.0,C. Lee misses 2-pt shot from 10 ft,,7-5,,
9:11.0,Offensive rebound by Team,,7-5,,
9:11.0,,,7-5,,Loose ball foul by C. Boozer (drawn by Z. Randolph)
9:11.0,,,7-5,,E. Davis enters the game for C. Boozer
9:03.0,T. Allen misses 2-pt shot from 18 ft,,7-5,,
9:01.0,,,7-5,,Defensive rebound by W. Johnson
8:52.0,,,7-8,3,J. Lin makes 3-pt shot from 24 ft
8:40.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,9-8,,
8:27.0,,,9-10,2,J. Lin makes 2-pt shot from 12 ft
8:13.0,T. Allen misses 2-pt shot from 2 ft,,9-10,,
8:13.0,,,9-10,,Defensive rebound by Team
8:13.0,Loose ball foul by T. Allen (drawn by K. Bryant),,9-10,,
7:59.0,,,9-10,,J. Hill misses 2-pt shot from 18 ft
7:58.0,Defensive rebound by T. Allen,,9-10,,
7:43.0,M. Conley misses 2-pt shot from 8 ft,,9-10,,
7:42.0,,,9-10,,Defensive rebound by E. Davis
7:39.0,,,9-10,,Turnover by E. Davis (bad pass)
7:19.0,C. Lee misses 3-pt shot from 23 ft,,9-10,,
7:18.0,,,9-10,,Defensive rebound by E. Davis
6:53.0,,,9-10,,J. Lin misses 2-pt shot from 15 ft
6:51.0,,,9-10,,Offensive rebound by W. Johnson
6:33.0,,,9-12,2,J. Hill makes 2-pt shot from 20 ft (assist by J. Lin)
6:27.0,Memphis full timeout,,9-12,,
6:27.0,,,9-12,,N. Young enters the game for W. Johnson
6:15.0,T. Allen misses 2-pt shot from 2 ft (block by E. Davis),,9-12,,
6:11.0,Offensive rebound by M. Conley,,9-12,,
6:07.0,T. Allen misses 2-pt shot from 5 ft (block by E. Davis),,9-12,,
6:04.0,,,9-12,,Defensive rebound by J. Lin
5:58.0,,,9-14,2,N. Young makes 2-pt shot from 15 ft (assist by J. Lin)
5:40.0,Shooting foul by J. Lin (drawn by M. Conley),,9-14,,
5:40.0,M. Conley makes free throw 1 of 2,1,10-14,,
5:40.0,T. Prince enters the game for T. Allen,,10-14,,
5:40.0,M. Conley makes free throw 2 of 2,1,11-14,,
5:24.0,,,11-14,,J. Hill misses 2-pt shot from 11 ft
5:20.0,,,11-14,,Offensive rebound by E. Davis
5:20.0,,,11-16,2,E. Davis makes 2-pt shot at rim
5:01.0,M. Gasol misses 2-pt shot from 4 ft,,11-16,,
5:00.0,,,11-16,,Defensive rebound by N. Young
4:43.0,,,11-16,,J. Hill misses 2-pt shot from 8 ft
4:40.0,,,11-16,,Offensive rebound by E. Davis
4:40.0,,,11-16,,E. Davis misses 2-pt shot from 5 ft (block by M. Gasol)
4:40.0,,,11-16,,Offensive rebound by Team
4:32.0,,,11-16,,N. Young misses 3-pt shot from 23 ft
4:31.0,Defensive rebound by Z. Randolph,,11-16,,
4:19.0,M. Conley makes 3-pt shot from 23 ft,3,14-16,,
3:57.0,,,14-16,,J. Lin misses 3-pt shot from 22 ft
3:56.0,Defensive rebound by C. Lee,,14-16,,
3:48.0,T. Prince misses 3-pt shot from 23 ft,,14-16,,
3:47.0,Offensive rebound by Team,,14-16,,
3:46.0,Turnover by C. Lee (traveling),,14-16,,
3:28.0,,,14-16,,R. Price enters the game for J. Lin
3:28.0,B. Udrih enters the game for M. Conley,,14-16,,
3:20.0,,,14-19,3,N. Young makes 3-pt shot from 23 ft (assist by R. Price)
3:06.0,C. Lee misses 2-pt shot from 15 ft,,14-19,,
3:05.0,,,14-19,,Defensive rebound by K. Bryant
2:42.0,,,14-21,2,J. Hill makes 2-pt shot from 10 ft
2:29.0,Z. Randolph misses 2-pt shot from 1 ft (block by N. Young),,14-21,,
2:29.0,Offensive rebound by Z. Randolph,,14-21,,
2:29.0,Shooting foul by N. Young (drawn by Z. Randolph),,14-21,,
2:29.0,Z. Randolph makes 2-pt shot from 1 ft,2,16-21,,
2:29.0,,,16-21,,LA Lakers full timeout
2:29.0,Z. Randolph misses free throw 1 of 1,,16-21,,
2:26.0,,,16-21,,Defensive rebound by J. Hill
2:09.0,,,16-23,2,J. Hill makes 2-pt shot from 21 ft
1:47.0,,,16-23,,Personal foul by R. Price (drawn by T. Prince)
1:47.0,T. Prince makes free throw 1 of 2,1,17-23,,
1:47.0,Q. Pondexter enters the game for C. Lee,,17-23,,
1:47.0,K. Koufos enters the game for Z. Randolph,,17-23,,
1:47.0,,,17-23,,W. Ellington enters the game for K. Bryant
1:47.0,T. Prince makes free throw 2 of 2,1,18-23,,
1:36.0,,,18-23,,N. Young misses 2-pt shot from 21 ft
1:35.0,Defensive rebound by K. Koufos,,18-23,,
1:28.0,Shooting foul by E. Davis (drawn by M. Gasol),,18-23,,
1:28.0,M. Gasol makes free throw 1 of 2,1,19-23,,
1:28.0,,,19-23,,R. Sacre enters the game for J. Hill
1:28.0,M. Gasol misses free throw 2 of 2,,19-23,,
1:26.0,,,19-23,,Defensive rebound by R. Sacre
1:11.0,,,19-23,,Turnover by W. Ellington (bad pass)
0:59.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. Udrih),2,21-23,,
0:41.0,,,21-23,,R. Sacre misses 2-pt shot from 12 ft
0:40.0,Defensive rebound by M. Gasol,,21-23,,
0:32.0,K. Koufos misses 2-pt shot from 2 ft,,21-23,,
0:30.0,,,21-23,,Defensive rebound by E. Davis
0:10.0,,,21-25,2,R. Price makes 2-pt shot from 1 ft
0:10.0,,,21-25,,Shooting foul by K. Koufos (drawn by R. Price)
0:10.0,V. Carter enters the game for K. Koufos,,21-25,,
0:10.0,,,21-25,,W. Johnson enters the game for E. Davis
0:10.0,,,21-26,1,R. Price makes free throw 1 of 1
0:04.0,B. Udrih misses 2-pt shot from 2 ft (block by R. Price),,21-26,,
0:02.0,,,21-26,,Defensive rebound by W. Ellington
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,21-26,,N. Young misses 2-pt shot at rim
11:46.0,,,21-26,,Offensive rebound by R. Sacre
11:46.0,,,21-28,2,R. Sacre makes 2-pt shot at rim
11:31.0,T. Prince misses 2-pt shot from 6 ft,,21-28,,
11:31.0,,,21-28,,Defensive rebound by Team
11:31.0,Loose ball foul by K. Koufos (drawn by R. Sacre),,21-28,,
11:20.0,,,21-28,,W. Ellington misses 2-pt shot from 22 ft
11:19.0,Defensive rebound by T. Prince,,21-28,,
11:10.0,J. Leuer misses 2-pt shot from 18 ft,,21-28,,
11:09.0,,,21-28,,Defensive rebound by C. Boozer
10:59.0,,,21-28,,C. Boozer misses 2-pt shot from 1 ft (block by K. Koufos)
10:56.0,Defensive rebound by K. Koufos,,21-28,,
10:47.0,Turnover by J. Leuer (bad pass; steal by R. Price),,21-28,,
10:42.0,,,21-30,2,R. Price makes 2-pt shot at rim
10:42.0,Memphis full timeout,,21-30,,
10:21.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by T. Prince),3,24-30,,
9:56.0,,,24-30,,N. Young misses 3-pt shot from 24 ft
9:53.0,Defensive rebound by K. Koufos,,24-30,,
9:43.0,T. Prince misses 2-pt shot from 21 ft,,24-30,,
9:42.0,,,24-30,,Defensive rebound by C. Boozer
9:34.0,,,24-30,,R. Sacre misses 2-pt shot from 17 ft
9:33.0,Defensive rebound by Q. Pondexter,,24-30,,
9:26.0,Offensive charge foul by Q. Pondexter,,24-30,,
9:26.0,Turnover by Q. Pondexter (offensive foul),,24-30,,
9:26.0,V. Carter enters the game for T. Prince,,24-30,,
9:10.0,,,24-30,,R. Price misses 2-pt shot from 18 ft
9:09.0,Defensive rebound by K. Koufos,,24-30,,
8:58.0,B. Udrih makes 2-pt shot from 8 ft,2,26-30,,
8:50.0,,,26-32,2,R. Sacre makes 2-pt shot at rim (assist by R. Price)
8:37.0,J. Leuer makes 2-pt shot from 12 ft (assist by B. Udrih),2,28-32,,
8:26.0,,,28-32,,Offensive foul by R. Sacre
8:26.0,,,28-32,,Turnover by R. Sacre (offensive foul)
8:13.0,Q. Pondexter misses 3-pt shot from 23 ft,,28-32,,
8:11.0,,,28-32,,Defensive rebound by C. Boozer
7:56.0,,,28-34,2,W. Ellington makes 2-pt shot from 19 ft (assist by R. Price)
7:38.0,V. Carter makes 2-pt shot from 20 ft (assist by K. Koufos),2,30-34,,
7:23.0,,,30-36,2,R. Sacre makes 2-pt shot from 6 ft (assist by R. Price)
7:04.0,K. Koufos makes 2-pt shot at rim (assist by B. Udrih),2,32-36,,
6:52.0,,,32-36,,N. Young misses 2-pt shot from 10 ft
6:51.0,Defensive rebound by Q. Pondexter,,32-36,,
6:41.0,K. Koufos makes 2-pt shot from 7 ft (assist by Q. Pondexter),2,34-36,,
6:40.0,,,34-36,,LA Lakers full timeout
6:40.0,,,34-36,,J. Lin enters the game for N. Young
6:40.0,,,34-36,,W. Johnson enters the game for R. Price
6:40.0,,,34-36,,J. Hill enters the game for W. Ellington
6:40.0,,,34-36,,K. Bryant enters the game for R. Sacre
6:24.0,,,34-36,,Shooting foul by J. Leuer (drawn by C. Boozer)
6:24.0,,,34-36,,C. Boozer misses free throw 1 of 2
6:24.0,,,34-36,,Offensive rebound by Team
6:24.0,,,34-36,,C. Boozer misses free throw 2 of 2
6:22.0,Defensive rebound by K. Koufos,,34-36,,
6:10.0,K. Koufos misses 2-pt shot from 2 ft (block by J. Lin),,34-36,,
6:07.0,,,34-36,,Defensive rebound by W. Johnson
6:05.0,,,34-36,,Shooting foul by V. Carter (drawn by J. Lin)
6:05.0,,,34-37,1,J. Lin makes free throw 1 of 2
6:05.0,,,34-38,1,J. Lin makes free throw 2 of 2
5:51.0,V. Carter misses 3-pt shot from 25 ft,,34-38,,
5:49.0,,,34-38,,Defensive rebound by J. Hill
5:38.0,M. Gasol enters the game for K. Koufos,,34-38,,
5:38.0,M. Conley enters the game for B. Udrih,,34-38,,
5:38.0,Z. Randolph enters the game for J. Leuer,,34-38,,
5:28.0,,,34-38,,Turnover by C. Boozer (bad pass; steal by M. Gasol)
5:14.0,Turnover by Z. Randolph (bad pass),,34-38,,
5:08.0,,,34-38,,Shooting foul by M. Conley (drawn by J. Lin)
5:08.0,,,34-39,1,J. Lin makes free throw 1 of 2
5:08.0,,,34-39,,J. Lin misses free throw 2 of 2
5:07.0,Defensive rebound by M. Gasol,,34-39,,
4:53.0,V. Carter misses 2-pt shot from 1 ft (block by W. Johnson),,34-39,,
4:50.0,Offensive rebound by Z. Randolph,,34-39,,
4:50.0,Z. Randolph misses 2-pt shot at rim,,34-39,,
4:49.0,,,34-39,,Defensive rebound by Team
4:32.0,,,34-39,,Turnover by K. Bryant (bad pass; steal by V. Carter)
4:25.0,Turnover by M. Conley (bad pass; steal by J. Hill),,34-39,,
4:06.0,,,34-39,,W. Johnson misses 2-pt shot from 19 ft
4:05.0,Defensive rebound by M. Gasol,,34-39,,
3:56.0,Z. Randolph makes 2-pt shot from 12 ft (assist by M. Conley),2,36-39,,
3:33.0,,,36-39,,K. Bryant misses 2-pt shot from 2 ft
3:31.0,,,36-39,,Offensive rebound by K. Bryant
3:31.0,,,36-39,,K. Bryant misses 2-pt shot at rim
