time,Milwaukee,pts.away,score,pts.home,Atlanta
4:43.0,,,14-13,,K. Bazemore enters the game for K. Korver
4:36.0,,,14-13,,P. Antic misses 2-pt shot from 21 ft
4:31.0,Defensive rebound by E. Ilyasova,,14-13,,
4:14.0,M. Carter-Williams misses 3-pt shot from 24 ft,,14-13,,
4:13.0,,,14-13,,Defensive rebound by K. Bazemore
3:51.0,,,14-13,,P. Millsap misses 2-pt shot from 19 ft
3:50.0,Defensive rebound by M. Carter-Williams,,14-13,,
3:41.0,M. Carter-Williams misses 2-pt shot from 2 ft,,14-13,,
3:39.0,Offensive rebound by Z. Pachulia,,14-13,,
3:37.0,Z. Pachulia makes 2-pt shot from 1 ft,2,16-13,,
3:22.0,,,16-13,,Shooting foul by G. Antetokounmpo (drawn by D. Carroll)
3:22.0,,,16-14,1,D. Carroll makes free throw 1 of 3
3:22.0,,,16-14,,D. Carroll misses free throw 2 of 3
3:22.0,,,16-14,,Offensive rebound by Team
3:22.0,,,16-14,,D. Schroder enters the game for J. Teague
3:22.0,J. Bayless enters the game for M. Carter-Williams,,16-14,,
3:22.0,,,16-15,1,D. Carroll makes free throw 3 of 3
3:03.0,K. Middleton makes 2-pt shot from 19 ft (assist by G. Antetokounmpo),2,18-15,,
2:46.0,,,18-15,,D. Schroder misses 3-pt shot from 23 ft
2:44.0,Defensive rebound by K. Middleton,,18-15,,
2:28.0,Turnover by J. Bayless (bad pass; steal by P. Antic),,18-15,,
2:23.0,,,18-18,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. Schroder)
2:07.0,G. Antetokounmpo makes 2-pt shot from 11 ft,2,20-18,,
1:52.0,Personal foul by J. Bayless (drawn by D. Schroder),,20-18,,
1:52.0,Milwaukee full timeout,,20-18,,
1:52.0,O. Mayo enters the game for Z. Pachulia,,20-18,,
1:52.0,J. Henson enters the game for K. Middleton,,20-18,,
1:45.0,,,20-18,,Shooting foul by J. Henson (drawn by P. Antic)
1:45.0,,,20-20,2,P. Antic makes 2-pt shot from 8 ft (assist by D. Carroll)
1:45.0,,,20-21,1,P. Antic makes free throw 1 of 1
1:26.0,J. Henson misses 2-pt shot from 1 ft,,20-21,,
1:25.0,Offensive rebound by O. Mayo,,20-21,,
1:17.0,O. Mayo misses 3-pt shot from 22 ft,,20-21,,
1:16.0,,,20-21,,Defensive rebound by K. Bazemore
1:01.0,,,20-21,,D. Schroder misses 2-pt shot from 1 ft
1:00.0,,,20-21,,Offensive rebound by P. Antic
1:00.0,,,20-23,2,P. Antic makes 2-pt shot at rim
0:54.0,E. Ilyasova misses 2-pt shot from 20 ft,,20-23,,
0:51.0,,,20-23,,Defensive rebound by P. Millsap
0:32.0,Personal foul by O. Mayo (drawn by D. Schroder),,20-23,,
0:32.0,,,20-24,1,D. Schroder makes free throw 1 of 2
0:32.0,,,20-24,,A. Horford enters the game for P. Millsap
0:32.0,,,20-24,,K. Korver enters the game for D. Carroll
0:32.0,M. Plumlee enters the game for E. Ilyasova,,20-24,,
0:32.0,,,20-25,1,D. Schroder makes free throw 2 of 2
0:08.0,O. Mayo misses 2-pt shot from 22 ft,,20-25,,
0:06.0,,,20-25,,Defensive rebound by D. Schroder
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,20-25,,Turnover by K. Bazemore (step out of bounds)
11:28.0,Turnover by T. Ennis (step out of bounds),,20-25,,
11:17.0,Personal foul by T. Ennis (drawn by D. Schroder),,20-25,,
11:03.0,,,20-27,2,A. Horford makes 2-pt shot from 12 ft
10:43.0,J. Bayless misses 2-pt shot from 20 ft,,20-27,,
10:42.0,Offensive rebound by Team,,20-27,,
10:42.0,M. Carter-Williams enters the game for T. Ennis,,20-27,,
10:36.0,Turnover by Team (shot clock),,20-27,,
10:28.0,,,20-27,,Shooting foul by M. Plumlee (drawn by D. Schroder)
10:28.0,,,20-28,1,D. Schroder makes free throw 1 of 2
10:28.0,,,20-28,,T. Sefolosha enters the game for K. Bazemore
10:28.0,Z. Pachulia enters the game for M. Plumlee,,20-28,,
10:28.0,,,20-29,1,D. Schroder makes free throw 2 of 2
10:18.0,Turnover by M. Carter-Williams (bad pass),,20-29,,
10:18.0,,,20-29,,M. Muscala enters the game for P. Antic
9:56.0,,,20-29,,A. Horford misses 2-pt shot from 19 ft
9:54.0,Defensive rebound by O. Mayo,,20-29,,
9:41.0,Turnover by M. Carter-Williams (lost ball; steal by T. Sefolosha),,20-29,,
9:36.0,,,20-29,,Shooting foul by O. Mayo (drawn by A. Horford)
9:36.0,,,20-30,1,A. Horford makes free throw 1 of 2
9:36.0,,,20-30,,J. Teague enters the game for D. Schroder
9:36.0,K. Middleton enters the game for O. Mayo,,20-30,,
9:36.0,,,20-31,1,A. Horford makes free throw 2 of 2
9:09.0,Turnover by Team (shot clock),,20-31,,
9:02.0,Personal foul by M. Carter-Williams (drawn by J. Teague),,20-31,,
8:53.0,,,20-31,,A. Horford misses 3-pt shot from 23 ft
8:52.0,Defensive rebound by J. Bayless,,20-31,,
8:33.0,K. Middleton misses 3-pt shot from 25 ft,,20-31,,
8:32.0,,,20-31,,Defensive rebound by A. Horford
8:23.0,,,20-31,,K. Korver misses 3-pt shot from 22 ft
8:21.0,Defensive rebound by Z. Pachulia,,20-31,,
8:10.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by J. Henson),2,22-31,,
8:00.0,,,22-31,,J. Teague misses 2-pt shot from 20 ft
7:58.0,Defensive rebound by K. Middleton,,22-31,,
7:56.0,,,22-31,,Personal foul by T. Sefolosha (drawn by K. Middleton)
7:56.0,Official timeout,,22-31,,
7:56.0,E. Ilyasova enters the game for J. Henson,,22-31,,
7:49.0,E. Ilyasova misses 2-pt shot from 21 ft,,22-31,,
7:48.0,,,22-31,,Defensive rebound by T. Sefolosha
7:34.0,,,22-31,,A. Horford misses 2-pt shot from 9 ft
7:34.0,,,22-31,,Offensive rebound by Team
7:34.0,Loose ball foul by J. Bayless (drawn by T. Sefolosha),,22-31,,
7:34.0,,,22-32,1,T. Sefolosha makes free throw 1 of 2
7:34.0,,,22-33,1,T. Sefolosha makes free throw 2 of 2
7:10.0,Turnover by Team (shot clock),,22-33,,
6:52.0,,,22-33,,A. Horford misses 2-pt shot from 9 ft
6:49.0,,,22-33,,Offensive rebound by J. Teague
6:44.0,,,22-33,,T. Sefolosha misses 2-pt shot from 22 ft
6:43.0,,,22-33,,Offensive rebound by A. Horford
6:40.0,,,22-33,,K. Korver misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by E. Ilyasova,,22-33,,
6:33.0,,,22-33,,P. Millsap enters the game for A. Horford
6:33.0,,,22-33,,D. Carroll enters the game for K. Korver
6:33.0,G. Antetokounmpo enters the game for M. Carter-Williams,,22-33,,
6:28.0,E. Ilyasova makes 2-pt shot from 20 ft (assist by J. Bayless),2,24-33,,
6:09.0,,,24-33,,P. Millsap misses 3-pt shot from 23 ft
6:08.0,Defensive rebound by K. Middleton,,24-33,,
5:58.0,J. Bayless misses 2-pt shot from 18 ft,,24-33,,
5:56.0,,,24-33,,Defensive rebound by D. Carroll
5:44.0,,,24-36,3,M. Muscala makes 3-pt shot from 22 ft (assist by J. Teague)
5:30.0,E. Ilyasova misses 3-pt shot from 24 ft,,24-36,,
5:28.0,,,24-36,,Defensive rebound by M. Muscala
5:22.0,,,24-38,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
5:20.0,Milwaukee full timeout,,24-38,,
5:20.0,J. O'Bryant enters the game for E. Ilyasova,,24-38,,
5:05.0,K. Middleton misses 2-pt shot from 20 ft,,24-38,,
5:03.0,,,24-38,,Defensive rebound by J. Teague
4:57.0,,,24-38,,Offensive charge foul by J. Teague
4:57.0,,,24-38,,Turnover by J. Teague (offensive foul)
4:41.0,,,24-38,,Personal foul by P. Millsap (drawn by Z. Pachulia)
4:35.0,J. Bayless makes 3-pt shot from 23 ft (assist by Z. Pachulia),3,27-38,,
4:17.0,,,27-38,,D. Carroll misses 3-pt shot from 23 ft
4:16.0,Defensive rebound by Z. Pachulia,,27-38,,
4:05.0,G. Antetokounmpo makes 2-pt shot from 16 ft (assist by J. Bayless),2,29-38,,
3:42.0,Personal foul by K. Middleton (drawn by P. Millsap),,29-38,,
3:42.0,,,29-39,1,P. Millsap makes free throw 1 of 2
3:42.0,,,29-39,,S. Mack enters the game for J. Teague
3:42.0,,,29-39,,A. Horford enters the game for T. Sefolosha
3:42.0,,,29-39,,K. Korver enters the game for M. Muscala
3:42.0,,,29-40,1,P. Millsap makes free throw 2 of 2
3:29.0,J. Bayless makes 2-pt shot from 22 ft (assist by G. Antetokounmpo),2,31-40,,
3:06.0,,,31-42,2,A. Horford makes 2-pt shot from 2 ft (assist by K. Korver)
2:54.0,K. Middleton misses 3-pt shot from 24 ft,,31-42,,
2:51.0,Offensive rebound by Z. Pachulia,,31-42,,
2:43.0,Z. Pachulia makes 2-pt shot from 15 ft (assist by K. Middleton),2,33-42,,
2:35.0,,,33-42,,Atlanta full timeout
2:22.0,,,33-44,2,D. Carroll makes 2-pt shot from 14 ft (assist by S. Mack)
2:07.0,J. O'Bryant makes 2-pt shot from 1 ft (assist by J. Bayless),2,35-44,,
1:43.0,,,35-46,2,A. Horford makes 2-pt shot from 15 ft (assist by S. Mack)
1:22.0,Z. Pachulia makes 2-pt shot from 15 ft (assist by J. O'Bryant),2,37-46,,
1:01.0,,,37-46,,A. Horford misses 2-pt shot from 20 ft
1:00.0,Defensive rebound by G. Antetokounmpo,,37-46,,
0:51.0,Z. Pachulia misses 2-pt shot from 17 ft,,37-46,,
0:50.0,,,37-46,,Defensive rebound by A. Horford
0:27.0,,,37-46,,P. Millsap misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by K. Middleton,,37-46,,
0:03.0,K. Middleton makes 2-pt shot from 6 ft (assist by Z. Pachulia),2,39-46,,
0:00.0,,,39-46,,S. Mack misses 2-pt shot from 2 ft
0:00.0,,,39-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,39-46,,J. Teague misses 2-pt shot from 21 ft
11:46.0,Defensive rebound by Z. Pachulia,,39-46,,
11:24.0,Turnover by Team (shot clock),,39-46,,
11:00.0,,,39-46,,D. Carroll misses 3-pt shot from 23 ft
10:59.0,,,39-46,,Offensive rebound by Team
10:42.0,,,39-46,,J. Teague misses 2-pt shot from 1 ft
10:41.0,,,39-46,,Offensive rebound by D. Carroll
10:40.0,,,39-48,2,D. Carroll makes 2-pt shot at rim
10:26.0,K. Middleton makes 2-pt shot from 22 ft (assist by M. Carter-Williams),2,41-48,,
10:10.0,,,41-48,,Turnover by D. Carroll (step out of bounds)
9:59.0,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by M. Carter-Williams),2,43-48,,
9:45.0,,,43-50,2,D. Carroll makes 2-pt shot from 1 ft (assist by K. Korver)
9:27.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,43-50,,
9:26.0,,,43-50,,Defensive rebound by P. Millsap
9:08.0,,,43-52,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
8:43.0,Turnover by K. Middleton (lost ball; steal by P. Millsap),,43-52,,
8:34.0,,,43-54,2,P. Millsap makes 2-pt shot from 2 ft (assist by K. Korver)
8:34.0,,,43-54,,Shooting foul by E. Ilyasova (drawn by P. Millsap)
8:34.0,,,43-54,,P. Millsap misses free throw 1 of 1
8:33.0,Defensive rebound by Z. Pachulia,,43-54,,
8:23.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,46-54,,
8:04.0,,,46-54,,K. Korver misses 3-pt shot from 26 ft
8:02.0,Defensive rebound by Z. Pachulia,,46-54,,
7:53.0,Turnover by G. Antetokounmpo (traveling),,46-54,,
7:43.0,,,46-54,,Turnover by J. Teague (bad pass; steal by M. Carter-Williams)
7:43.0,,,46-54,,Personal foul by D. Carroll (drawn by M. Carter-Williams)
7:35.0,Turnover by M. Carter-Williams (lost ball; steal by P. Millsap),,46-54,,
7:31.0,,,46-54,,J. Teague misses 2-pt shot at rim (block by E. Ilyasova)
7:29.0,Defensive rebound by Z. Pachulia,,46-54,,
7:25.0,K. Middleton misses 3-pt shot from 23 ft,,46-54,,
7:24.0,Offensive rebound by G. Antetokounmpo,,46-54,,
7:20.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,49-54,,
7:00.0,,,49-56,2,P. Millsap makes 2-pt shot at rim (assist by A. Horford)
6:50.0,,,49-56,,Personal foul by P. Millsap (drawn by Z. Pachulia)
6:43.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by Z. Pachulia),2,51-56,,
6:31.0,Personal foul by G. Antetokounmpo (drawn by J. Teague),,51-56,,
6:23.0,,,51-56,,A. Horford misses 2-pt shot from 19 ft
6:22.0,Defensive rebound by Team,,51-56,,
6:10.0,E. Ilyasova misses 2-pt shot from 1 ft (block by A. Horford),,51-56,,
6:08.0,,,51-56,,Defensive rebound by P. Millsap
6:08.0,Personal foul by Z. Pachulia (drawn by P. Millsap),,51-56,,
6:08.0,,,51-56,,Atlanta full timeout
5:49.0,,,51-59,3,K. Korver makes 3-pt shot from 30 ft (assist by A. Horford)
5:34.0,M. Carter-Williams misses 2-pt shot from 2 ft,,51-59,,
5:33.0,,,51-59,,Defensive rebound by D. Carroll
5:27.0,,,51-61,2,K. Korver makes 2-pt shot from 20 ft (assist by D. Carroll)
5:14.0,E. Ilyasova misses 3-pt shot from 25 ft,,51-61,,
5:13.0,,,51-61,,Defensive rebound by J. Teague
5:05.0,,,51-64,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Carroll)
4:51.0,K. Middleton misses 2-pt shot from 18 ft,,51-64,,
4:49.0,,,51-64,,Defensive rebound by P. Millsap
4:44.0,,,51-67,3,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague)
4:42.0,Milwaukee full timeout,,51-67,,
4:42.0,,,51-67,,P. Antic enters the game for D. Carroll
4:42.0,,,51-67,,K. Bazemore enters the game for A. Horford
4:42.0,O. Mayo enters the game for G. Antetokounmpo,,51-67,,
4:42.0,J. Bayless enters the game for Z. Pachulia,,51-67,,
4:42.0,J. Henson enters the game for M. Carter-Williams,,51-67,,
4:30.0,K. Middleton makes 2-pt shot from 11 ft (assist by J. Bayless),2,53-67,,
4:09.0,,,53-67,,K. Bazemore misses 3-pt shot from 25 ft
4:07.0,Defensive rebound by E. Ilyasova,,53-67,,
3:51.0,J. Bayless makes 2-pt shot from 9 ft,2,55-67,,
3:46.0,,,55-67,,Offensive charge foul by J. Teague
3:46.0,,,55-67,,Turnover by J. Teague (offensive foul)
3:46.0,,,55-67,,S. Mack enters the game for J. Teague
3:31.0,K. Middleton misses 2-pt shot from 15 ft,,55-67,,
3:30.0,Offensive rebound by E. Ilyasova,,55-67,,
3:27.0,E. Ilyasova misses 2-pt shot from 6 ft,,55-67,,
3:25.0,,,55-67,,Defensive rebound by P. Millsap
3:13.0,,,55-67,,K. Korver misses 3-pt shot from 24 ft
3:11.0,Defensive rebound by E. Ilyasova,,55-67,,
2:48.0,J. Henson misses 2-pt shot from 4 ft,,55-67,,
2:46.0,,,55-67,,Defensive rebound by P. Antic
2:34.0,,,55-67,,P. Antic misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by O. Mayo,,55-67,,
2:27.0,Shooting foul by P. Millsap (drawn by O. Mayo),,55-67,,
2:27.0,O. Mayo makes free throw 1 of 2,1,56-67,,
2:27.0,J. O'Bryant enters the game for E. Ilyasova,,56-67,,
2:27.0,O. Mayo makes free throw 2 of 2,1,57-67,,
2:07.0,,,57-67,,Turnover by K. Bazemore (lost ball; steal by K. Middleton)
2:01.0,J. Bayless makes 3-pt shot from 23 ft (assist by O. Mayo),3,60-67,,
1:44.0,Personal foul by K. Middleton (drawn by K. Korver),,60-67,,
1:44.0,,,60-67,,A. Horford enters the game for P. Millsap
1:44.0,,,60-67,,D. Carroll enters the game for K. Korver
1:34.0,,,60-67,,S. Mack misses 3-pt shot from 24 ft
1:34.0,,,60-67,,Offensive rebound by Team
1:34.0,Loose ball foul by J. O'Bryant (drawn by P. Antic),,60-67,,
1:34.0,,,60-67,,P. Antic misses free throw 1 of 2
1:34.0,,,60-67,,Offensive rebound by Team
1:34.0,G. Antetokounmpo enters the game for K. Middleton,,60-67,,
1:34.0,,,60-68,1,P. Antic makes free throw 2 of 2
1:18.0,J. O'Bryant makes 2-pt shot from 19 ft (assist by J. Bayless),2,62-68,,
0:59.0,,,62-68,,Shooting foul by J. Henson (drawn by P. Antic)
0:59.0,,,62-69,1,P. Antic makes free throw 1 of 2
0:59.0,,,62-70,1,P. Antic makes free throw 2 of 2
0:45.0,G. Antetokounmpo makes 2-pt shot from 22 ft (assist by O. Mayo),2,64-70,,
0:27.0,,,64-70,,S. Mack misses 3-pt shot from 25 ft
0:25.0,,,64-70,,Offensive rebound by D. Carroll
0:04.0,,,64-72,2,A. Horford makes 2-pt shot from 18 ft (assist by S. Mack)
0:01.0,Turnover by J. Bayless (bad pass),,64-72,,
0:01.0,,,64-72,,Turnover by P. Antic (bad pass)
0:00.0,O. Mayo misses 3-pt shot from 24 ft (block by D. Carroll),,64-72,,
0:00.0,Offensive rebound by Team,,64-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,O. Mayo misses 2-pt shot from 19 ft,,64-72,,
11:46.0,Offensive rebound by J. Henson,,64-72,,
11:42.0,O. Mayo misses 3-pt shot from 23 ft,,64-72,,
11:41.0,,,64-72,,Defensive rebound by S. Mack
11:30.0,,,64-72,,A. Horford misses 2-pt shot from 6 ft
11:29.0,Defensive rebound by Team,,64-72,,
11:17.0,Turnover by J. Henson (bad pass; steal by S. Mack),,64-72,,
10:58.0,,,64-72,,Shooting foul by G. Antetokounmpo (drawn by D. Carroll)
10:58.0,,,64-72,,D. Carroll misses free throw 1 of 2
10:58.0,,,64-72,,Offensive rebound by Team
10:58.0,,,64-73,1,D. Carroll makes free throw 2 of 2
10:44.0,J. O'Bryant misses 2-pt shot from 18 ft,,64-73,,
10:41.0,,,64-73,,Defensive rebound by D. Carroll
10:21.0,,,64-75,2,D. Carroll makes 2-pt shot from 10 ft (assist by P. Antic)
9:54.0,J. Henson misses 2-pt shot at rim,,64-75,,
9:53.0,Offensive rebound by J. Henson,,64-75,,
9:53.0,J. Henson misses 2-pt shot at rim,,64-75,,
9:51.0,Offensive rebound by J. Henson,,64-75,,
9:51.0,J. Henson misses 2-pt shot at rim,,64-75,,
9:50.0,,,64-75,,Defensive rebound by D. Carroll
9:46.0,Violation by G. Antetokounmpo (def goaltending),,64-75,,
9:46.0,,,64-77,2,D. Carroll makes 2-pt shot from 1 ft
9:32.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,64-77,,
9:29.0,,,64-77,,Defensive rebound by A. Horford
9:16.0,,,64-77,,D. Carroll misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by O. Mayo,,64-77,,
9:09.0,Shooting foul by P. Antic (drawn by J. Henson),,64-77,,
9:09.0,J. Henson misses free throw 1 of 2,,64-77,,
9:09.0,Offensive rebound by Team,,64-77,,
9:09.0,,,64-77,,M. Muscala enters the game for P. Antic
9:09.0,Z. Pachulia enters the game for J. O'Bryant,,64-77,,
9:09.0,,,64-77,,T. Sefolosha enters the game for K. Bazemore
9:09.0,J. Henson misses free throw 2 of 2,,64-77,,
9:05.0,,,64-77,,Defensive rebound by D. Carroll
8:49.0,,,64-77,,T. Sefolosha misses 2-pt shot from 2 ft
8:47.0,,,64-77,,Offensive rebound by T. Sefolosha
8:43.0,,,64-77,,A. Horford misses 3-pt shot from 25 ft
8:42.0,Defensive rebound by J. Henson,,64-77,,
8:38.0,Shooting foul by T. Sefolosha (drawn by J. Bayless),,64-77,,
8:38.0,Official timeout,,64-77,,
8:38.0,J. Bayless makes free throw 1 of 2,1,65-77,,
8:38.0,J. Bayless makes free throw 2 of 2,1,66-77,,
8:26.0,,,66-77,,M. Muscala misses 3-pt shot from 24 ft
8:24.0,Defensive rebound by G. Antetokounmpo,,66-77,,
8:02.0,Z. Pachulia misses 2-pt shot from 17 ft (block by D. Carroll),,66-77,,
8:00.0,Offensive rebound by G. Antetokounmpo,,66-77,,
7:54.0,G. Antetokounmpo makes 2-pt shot from 19 ft,2,68-77,,
7:45.0,Personal foul by O. Mayo (drawn by M. Muscala),,68-77,,
7:45.0,,,68-77,,P. Millsap enters the game for D. Carroll
7:45.0,,,68-77,,K. Korver enters the game for A. Horford
7:45.0,,,68-77,,J. Teague enters the game for S. Mack
7:35.0,Violation by Z. Pachulia (kicked ball),,68-77,,
7:35.0,K. Middleton enters the game for O. Mayo,,68-77,,
7:26.0,,,68-77,,Turnover by P. Millsap (bad pass; steal by K. Middleton)
7:20.0,J. Bayless misses 3-pt shot from 24 ft,,68-77,,
7:18.0,Offensive rebound by Z. Pachulia,,68-77,,
7:18.0,,,68-77,,Personal foul by M. Muscala (drawn by Z. Pachulia)
7:01.0,K. Middleton misses 3-pt shot from 25 ft,,68-77,,
7:00.0,,,68-77,,Defensive rebound by M. Muscala
6:29.0,,,68-77,,M. Muscala misses 2-pt shot from 5 ft (block by J. Henson)
6:26.0,,,68-77,,Offensive rebound by T. Sefolosha
6:23.0,,,68-77,,K. Korver misses 3-pt shot from 30 ft
6:22.0,,,68-77,,Offensive rebound by M. Muscala
6:18.0,,,68-77,,Atlanta full timeout
6:18.0,E. Ilyasova enters the game for J. Henson,,68-77,,
6:11.0,Personal foul by K. Middleton (drawn by P. Millsap),,68-77,,
6:02.0,,,68-79,2,T. Sefolosha makes 2-pt shot from 19 ft (assist by J. Teague)
5:49.0,Shooting foul by K. Korver (drawn by G. Antetokounmpo),,68-79,,
5:49.0,G. Antetokounmpo makes free throw 1 of 2,1,69-79,,
5:49.0,G. Antetokounmpo makes free throw 2 of 2,1,70-79,,
5:30.0,,,70-79,,M. Muscala misses 2-pt shot from 18 ft
5:28.0,,,70-79,,Offensive rebound by P. Millsap
5:23.0,,,70-82,3,J. Teague makes 3-pt shot from 24 ft (assist by P. Millsap)
5:08.0,Shooting foul by K. Korver (drawn by G. Antetokounmpo),,70-82,,
5:08.0,G. Antetokounmpo makes free throw 1 of 2,1,71-82,,
5:08.0,,,71-82,,D. Carroll enters the game for T. Sefolosha
5:08.0,G. Antetokounmpo makes free throw 2 of 2,1,72-82,,
4:58.0,,,72-82,,Offensive charge foul by J. Teague
4:58.0,,,72-82,,Turnover by J. Teague (offensive foul)
4:46.0,J. Bayless misses 3-pt shot from 23 ft,,72-82,,
4:44.0,Offensive rebound by Z. Pachulia,,72-82,,
4:43.0,Shooting foul by J. Teague (drawn by Z. Pachulia),,72-82,,
4:43.0,,,72-82,,Technical foul by J. Teague (drawn by Z. Pachulia)
4:43.0,J. Bayless misses technical free throw,,72-82,,
4:43.0,Offensive rebound by Team,,72-82,,
4:43.0,Z. Pachulia makes free throw 1 of 2,1,73-82,,
4:43.0,,,73-82,,A. Horford enters the game for M. Muscala
4:43.0,Z. Pachulia misses free throw 2 of 2,,73-82,,
4:42.0,,,73-82,,Defensive rebound by P. Millsap
4:24.0,,,73-82,,A. Horford misses 2-pt shot from 18 ft
4:22.0,,,73-82,,Offensive rebound by P. Millsap
4:07.0,,,73-84,2,D. Carroll makes 2-pt shot from 9 ft (assist by J. Teague)
3:52.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,75-84,,
3:37.0,,,75-86,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
3:37.0,,,75-86,,Shooting foul by E. Ilyasova (drawn by P. Millsap)
3:37.0,,,75-87,1,P. Millsap makes free throw 1 of 1
3:20.0,E. Ilyasova misses 2-pt shot from 2 ft,,75-87,,
