time,Chicago,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Valanciunas (M. Dunleavy gains possession),,,,Jump ball: P. Gasol vs. J. Valanciunas (M. Dunleavy gains possession)
11:48.0,P. Gasol misses 2-pt shot from 7 ft,,0-0,,
11:47.0,Offensive rebound by P. Gasol,,0-0,,
11:45.0,P. Gasol makes 2-pt shot from 3 ft,2,2-0,,
11:23.0,,,2-0,,K. Lowry misses 2-pt shot from 12 ft
11:21.0,,,2-0,,Offensive rebound by J. Valanciunas
11:19.0,,,2-2,2,J. Valanciunas makes 2-pt shot at rim
11:03.0,J. Butler makes 2-pt shot from 10 ft (assist by P. Gasol),2,4-2,,
10:49.0,,,4-2,,D. DeRozan misses 2-pt shot from 19 ft
10:48.0,Defensive rebound by M. Dunleavy,,4-2,,
10:31.0,D. Rose misses 3-pt shot from 25 ft,,4-2,,
10:30.0,,,4-2,,Defensive rebound by K. Lowry
10:13.0,,,4-5,3,A. Johnson makes 3-pt shot from 25 ft (assist by T. Ross)
9:59.0,M. Dunleavy makes 2-pt shot from 18 ft (assist by J. Noah),2,6-5,,
9:40.0,,,6-5,,J. Valanciunas misses 2-pt shot from 7 ft
9:39.0,Defensive rebound by J. Noah,,6-5,,
9:26.0,P. Gasol misses 2-pt shot from 14 ft,,6-5,,
9:25.0,,,6-5,,Defensive rebound by J. Valanciunas
9:09.0,,,6-5,,A. Johnson misses 2-pt shot from 5 ft
9:08.0,,,6-5,,Offensive rebound by J. Valanciunas
8:48.0,,,6-5,,D. DeRozan misses 2-pt shot from 1 ft
8:47.0,Defensive rebound by J. Butler,,6-5,,
8:47.0,,,6-5,,Personal foul by K. Lowry (drawn by J. Butler)
8:35.0,D. Rose misses 2-pt shot from 17 ft,,6-5,,
8:34.0,,,6-5,,Defensive rebound by K. Lowry
8:25.0,,,6-7,2,K. Lowry makes 2-pt shot from 2 ft (assist by J. Valanciunas)
8:07.0,P. Gasol makes 2-pt shot from 5 ft (assist by D. Rose),2,8-7,,
7:46.0,,,8-7,,D. DeRozan misses 2-pt shot from 21 ft
7:45.0,Defensive rebound by M. Dunleavy,,8-7,,
7:40.0,Shooting foul by A. Johnson (drawn by D. Rose),,8-7,,
7:40.0,D. Rose makes free throw 1 of 2,1,9-7,,
7:40.0,D. Rose misses free throw 2 of 2,,9-7,,
7:39.0,Offensive rebound by D. Rose,,9-7,,
7:32.0,P. Gasol misses 2-pt shot from 2 ft (block by A. Johnson),,9-7,,
7:30.0,,,9-7,,Defensive rebound by T. Ross
7:13.0,,,9-7,,T. Ross misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by J. Noah,,9-7,,
7:05.0,D. Rose misses 2-pt shot from 2 ft,,9-7,,
7:03.0,,,9-7,,Defensive rebound by J. Valanciunas
6:57.0,,,9-9,2,D. DeRozan makes 2-pt shot at rim (assist by J. Valanciunas)
6:40.0,M. Dunleavy misses 3-pt shot from 26 ft,,9-9,,
6:39.0,,,9-9,,Defensive rebound by K. Lowry
6:21.0,,,9-11,2,T. Ross makes 2-pt shot from 7 ft (assist by K. Lowry)
6:04.0,J. Butler makes 2-pt shot at rim (assist by J. Noah),2,11-11,,
5:43.0,,,11-11,,Shooting foul by J. Noah (drawn by D. DeRozan)
5:43.0,,,11-11,,Toronto full timeout
5:43.0,,,11-12,1,D. DeRozan makes free throw 1 of 2
5:43.0,,,11-13,1,D. DeRozan makes free throw 2 of 2
5:21.0,J. Noah makes 2-pt shot at rim (assist by D. Rose),2,13-13,,
4:52.0,,,13-15,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry)
4:34.0,P. Gasol misses 2-pt shot from 15 ft,,13-15,,
4:33.0,,,13-15,,Defensive rebound by J. Valanciunas
4:24.0,,,13-15,,D. DeRozan misses 2-pt shot from 3 ft
4:23.0,Defensive rebound by J. Butler,,13-15,,
4:18.0,Shooting foul by K. Lowry (drawn by D. Rose),,13-15,,
4:18.0,D. Rose makes free throw 1 of 2,1,14-15,,
4:18.0,T. Gibson enters the game for J. Noah,,14-15,,
4:18.0,,,14-15,,P. Patterson enters the game for A. Johnson
4:18.0,D. Rose makes free throw 2 of 2,1,15-15,,
4:09.0,,,15-18,3,K. Lowry makes 3-pt shot from 26 ft
3:59.0,Chicago full timeout,,15-18,,
3:59.0,K. Hinrich enters the game for D. Rose,,15-18,,
3:49.0,J. Butler makes 2-pt shot from 21 ft,2,17-18,,
3:32.0,,,17-18,,K. Lowry misses 2-pt shot from 10 ft
3:31.0,Defensive rebound by P. Gasol,,17-18,,
3:18.0,Turnover by T. Gibson (traveling),,17-18,,
3:04.0,,,17-20,2,D. DeRozan makes 2-pt shot from 14 ft
2:42.0,T. Gibson misses 2-pt shot from 15 ft,,17-20,,
2:40.0,,,17-20,,Defensive rebound by J. Valanciunas
