time,Toronto,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. J. Valanciunas (M. Conley gains possession),,,,Jump ball: M. Gasol vs. J. Valanciunas (M. Conley gains possession)
11:38.0,,,0-2,2,Z. Randolph makes 2-pt shot from 17 ft (assist by J. Green)
11:18.0,G. Vasquez misses 3-pt shot from 25 ft,,0-2,,
11:17.0,Offensive rebound by J. Valanciunas,,0-2,,
11:13.0,J. Valanciunas makes 2-pt shot from 5 ft,2,2-2,,
10:51.0,,,2-4,2,Z. Randolph makes 2-pt shot from 2 ft (assist by T. Allen)
10:37.0,Turnover by A. Johnson (3 sec),,2-4,,
10:26.0,,,2-4,,J. Green misses 2-pt shot from 20 ft
10:24.0,Defensive rebound by J. Valanciunas,,2-4,,
10:05.0,J. Valanciunas misses 2-pt shot from 8 ft,,2-4,,
10:03.0,,,2-4,,Defensive rebound by Z. Randolph
9:58.0,,,2-6,2,J. Green makes 2-pt shot at rim
9:48.0,K. Lowry misses 3-pt shot from 25 ft,,2-6,,
9:47.0,,,2-6,,Defensive rebound by M. Conley
9:25.0,,,2-6,,T. Allen misses 2-pt shot at rim
9:24.0,,,2-6,,Offensive rebound by Team
9:02.0,,,2-6,,Turnover by M. Gasol (lost ball; steal by G. Vasquez)
8:56.0,J. Valanciunas makes 2-pt shot at rim (assist by G. Vasquez),2,4-6,,
8:43.0,Personal foul by G. Vasquez (drawn by M. Conley),,4-6,,
8:35.0,,,4-6,,M. Gasol misses 2-pt shot from 6 ft
8:32.0,Defensive rebound by K. Lowry,,4-6,,
8:17.0,A. Johnson misses 2-pt shot from 9 ft,,4-6,,
8:14.0,,,4-6,,Defensive rebound by T. Allen
8:14.0,,,4-6,,Turnover by T. Allen (lost ball; steal by G. Vasquez)
8:10.0,J. Valanciunas makes 2-pt shot at rim (assist by G. Vasquez),2,6-6,,
7:47.0,,,6-8,2,Z. Randolph makes 2-pt shot from 15 ft
7:31.0,D. DeRozan misses 2-pt shot from 17 ft,,6-8,,
7:30.0,,,6-8,,Defensive rebound by M. Gasol
7:22.0,,,6-10,2,M. Conley makes 2-pt shot at rim
6:53.0,D. DeRozan misses 2-pt shot from 16 ft,,6-10,,
6:52.0,,,6-10,,Defensive rebound by Z. Randolph
6:36.0,,,6-12,2,M. Gasol makes 2-pt shot from 6 ft
6:28.0,Toronto full timeout,,6-12,,
6:17.0,G. Vasquez misses 3-pt shot from 25 ft,,6-12,,
6:16.0,,,6-12,,Defensive rebound by M. Conley
6:01.0,Personal foul by G. Vasquez (drawn by T. Allen),,6-12,,
5:59.0,,,6-12,,Offensive foul by M. Gasol
5:59.0,,,6-12,,Turnover by M. Gasol (offensive foul)
5:59.0,T. Ross enters the game for G. Vasquez,,6-12,,
5:47.0,D. DeRozan misses 2-pt shot from 21 ft,,6-12,,
5:45.0,,,6-12,,Defensive rebound by Z. Randolph
5:37.0,,,6-12,,Z. Randolph misses 2-pt shot at rim
5:36.0,Defensive rebound by A. Johnson,,6-12,,
5:31.0,,,6-12,,Personal foul by T. Allen (drawn by K. Lowry)
5:26.0,K. Lowry misses 2-pt shot from 22 ft,,6-12,,
5:24.0,,,6-12,,Defensive rebound by Z. Randolph
5:00.0,,,6-12,,Z. Randolph misses 2-pt shot from 20 ft
5:00.0,Defensive rebound by K. Lowry,,6-12,,
4:45.0,Turnover by J. Valanciunas (traveling),,6-12,,
4:33.0,,,6-12,,J. Green misses 2-pt shot from 17 ft
4:32.0,Defensive rebound by J. Valanciunas,,6-12,,
4:16.0,Turnover by K. Lowry (traveling),,6-12,,
4:16.0,,,6-12,,C. Lee enters the game for T. Allen
3:56.0,Personal foul by J. Valanciunas (drawn by Z. Randolph),,6-12,,
3:51.0,,,6-12,,C. Lee misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by D. DeRozan,,6-12,,
3:39.0,Shooting foul by Z. Randolph (drawn by K. Lowry),,6-12,,
3:39.0,K. Lowry misses free throw 1 of 2,,6-12,,
3:39.0,Offensive rebound by Team,,6-12,,
3:39.0,,,6-12,,K. Koufos enters the game for M. Gasol
3:39.0,P. Patterson enters the game for J. Valanciunas,,6-12,,
3:39.0,K. Lowry misses free throw 2 of 2,,6-12,,
3:38.0,Offensive rebound by P. Patterson,,6-12,,
3:31.0,A. Johnson misses 2-pt shot from 1 ft,,6-12,,
3:29.0,Offensive rebound by A. Johnson,,6-12,,
3:27.0,Turnover by A. Johnson (bad pass),,6-12,,
3:27.0,Toronto full timeout,,6-12,,
3:27.0,L. Williams enters the game for K. Lowry,,6-12,,
3:12.0,,,6-12,,Z. Randolph misses 2-pt shot from 1 ft (block by A. Johnson)
3:10.0,Defensive rebound by D. DeRozan,,6-12,,
3:07.0,A. Johnson makes 2-pt shot at rim (assist by L. Williams),2,8-12,,
2:54.0,Personal foul by A. Johnson (drawn by C. Lee),,8-12,,
2:54.0,,,8-12,,Memphis full timeout
2:40.0,,,8-12,,M. Conley misses 2-pt shot from 9 ft
2:37.0,Defensive rebound by T. Ross,,8-12,,
2:18.0,D. DeRozan misses 2-pt shot from 16 ft,,8-12,,
2:16.0,,,8-12,,Defensive rebound by Z. Randolph
2:07.0,,,8-14,2,K. Koufos makes 2-pt shot from 11 ft (assist by M. Conley)
1:49.0,L. Williams makes 3-pt shot from 25 ft (assist by A. Johnson),3,11-14,,
1:31.0,,,11-14,,M. Conley misses 2-pt shot from 6 ft
1:30.0,,,11-14,,Offensive rebound by Z. Randolph
1:30.0,,,11-14,,Z. Randolph misses 2-pt shot at rim
1:27.0,Defensive rebound by P. Patterson,,11-14,,
1:23.0,,,11-14,,Personal foul by M. Conley (drawn by L. Williams)
1:08.0,Shooting foul by J. Green (drawn by L. Williams),,11-14,,
1:08.0,L. Williams makes free throw 1 of 3,1,12-14,,
1:08.0,L. Williams makes free throw 2 of 3,1,13-14,,
1:08.0,J. Johnson enters the game for D. DeRozan,,13-14,,
1:08.0,L. Williams makes free throw 3 of 3,1,14-14,,
0:57.0,Personal foul by J. Johnson (drawn by J. Green),,14-14,,
0:57.0,,,14-15,1,J. Green makes free throw 1 of 2
0:57.0,,,14-15,,V. Carter enters the game for Z. Randolph
0:57.0,,,14-16,1,J. Green makes free throw 2 of 2
0:40.0,P. Patterson misses 3-pt shot from 23 ft,,14-16,,
0:39.0,Offensive rebound by P. Patterson,,14-16,,
0:37.0,,,14-16,,Personal foul by J. Green (drawn by P. Patterson)
