time,Philadelphia,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. H. Sims (L. Mbah a Moute gains possession),,,,Jump ball: T. Chandler vs. H. Sims (L. Mbah a Moute gains possession)
11:35.0,H. Thompson misses 3-pt shot from 24 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by T. Chandler
11:19.0,,,0-2,2,M. Ellis makes 2-pt shot from 1 ft (assist by T. Chandler)
11:04.0,L. Mbah a Moute misses 2-pt shot from 20 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by T. Chandler
10:41.0,,,0-4,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by C. Parsons)
10:24.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by T. Wroten),2,2-4,,
10:05.0,,,2-7,3,C. Parsons makes 3-pt shot from 24 ft (assist by M. Ellis)
9:48.0,Turnover by T. Wroten (bad pass),,2-7,,
9:37.0,,,2-9,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by T. Chandler)
9:18.0,T. Wroten makes 2-pt shot from 1 ft,2,4-9,,
9:07.0,,,4-9,,C. Parsons misses 3-pt shot from 26 ft
9:05.0,,,4-9,,Offensive rebound by Team
8:57.0,,,4-9,,J. Nelson misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by K. McDaniels,,4-9,,
8:51.0,Offensive charge foul by K. McDaniels,,4-9,,
8:51.0,Turnover by K. McDaniels (offensive foul),,4-9,,
8:34.0,,,4-9,,M. Ellis misses 2-pt shot from 17 ft
8:33.0,Defensive rebound by L. Mbah a Moute,,4-9,,
8:22.0,H. Sims misses 2-pt shot from 15 ft,,4-9,,
8:21.0,,,4-9,,Defensive rebound by T. Chandler
8:06.0,,,4-12,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis)
8:05.0,Philadelphia full timeout,,4-12,,
7:48.0,H. Thompson misses 2-pt shot from 22 ft,,4-12,,
7:47.0,,,4-12,,Defensive rebound by C. Parsons
7:29.0,Shooting block foul by T. Wroten (drawn by T. Chandler),,4-12,,
7:29.0,,,4-13,1,T. Chandler makes free throw 1 of 2
7:29.0,,,4-14,1,T. Chandler makes free throw 2 of 2
7:19.0,L. Mbah a Moute misses 3-pt shot from 24 ft,,4-14,,
7:19.0,,,4-14,,Defensive rebound by C. Parsons
7:08.0,,,4-14,,J. Nelson misses 3-pt shot from 24 ft
7:07.0,Defensive rebound by T. Wroten,,4-14,,
6:55.0,K. McDaniels misses 3-pt shot from 24 ft,,4-14,,
6:54.0,,,4-14,,Defensive rebound by J. Nelson
6:42.0,,,4-14,,Shooting foul by T. Wroten (drawn by J. Nelson)
6:42.0,,,4-15,1,J. Nelson makes free throw 1 of 2
6:42.0,N. Noel enters the game for H. Sims,,4-15,,
6:42.0,M. Carter-Williams enters the game for T. Wroten,,4-15,,
6:42.0,,,4-16,1,J. Nelson makes free throw 2 of 2
6:34.0,M. Carter-Williams makes 2-pt shot at rim,2,6-16,,
6:17.0,,,6-16,,Shooting foul by K. McDaniels (drawn by D. Nowitzki)
6:17.0,,,6-17,1,D. Nowitzki makes free throw 1 of 2
6:17.0,J. Sampson enters the game for K. McDaniels,,6-17,,
6:17.0,,,6-18,1,D. Nowitzki makes free throw 2 of 2
5:59.0,Shooting foul by J. Nelson (drawn by N. Noel),,6-18,,
5:59.0,N. Noel misses free throw 1 of 2,,6-18,,
5:59.0,Offensive rebound by Team,,6-18,,
5:59.0,,,6-18,,D. Harris enters the game for D. Nowitzki
5:59.0,N. Noel makes free throw 2 of 2,1,7-18,,
5:38.0,,,7-18,,J. Nelson misses 3-pt shot from 22 ft
5:37.0,Defensive rebound by M. Carter-Williams,,7-18,,
5:30.0,M. Carter-Williams misses 2-pt shot from 22 ft,,7-18,,
5:28.0,,,7-18,,Defensive rebound by T. Chandler
5:21.0,,,7-18,,T. Chandler misses 2-pt shot from 2 ft
5:19.0,Defensive rebound by L. Mbah a Moute,,7-18,,
5:10.0,M. Carter-Williams misses 3-pt shot from 24 ft,,7-18,,
5:09.0,,,7-18,,Defensive rebound by M. Ellis
5:02.0,,,7-21,3,M. Ellis makes 3-pt shot from 24 ft (assist by C. Parsons)
4:46.0,Turnover by H. Thompson (lost ball; steal by M. Ellis),,7-21,,
4:41.0,,,7-21,,Shooting foul by N. Noel (drawn by C. Parsons)
4:41.0,,,7-22,1,C. Parsons makes free throw 1 of 2
4:41.0,,,7-22,,B. Wright enters the game for T. Chandler
4:41.0,,,7-22,,A. Aminu enters the game for J. Nelson
4:41.0,C. Johnson enters the game for L. Mbah a Moute,,7-22,,
4:41.0,B. Davies enters the game for H. Thompson,,7-22,,
4:41.0,,,7-23,1,C. Parsons makes free throw 2 of 2
4:26.0,M. Carter-Williams misses 2-pt shot at rim,,7-23,,
4:24.0,Offensive rebound by N. Noel,,7-23,,
4:24.0,N. Noel makes 2-pt shot at rim,2,9-23,,
4:06.0,,,9-23,,Turnover by A. Aminu (traveling)
3:49.0,Turnover by M. Carter-Williams (bad pass),,9-23,,
3:36.0,,,9-23,,M. Ellis misses 2-pt shot from 6 ft
3:35.0,Defensive rebound by N. Noel,,9-23,,
3:27.0,Turnover by C. Johnson (lost ball; steal by D. Harris),,9-23,,
3:22.0,,,9-25,2,D. Harris makes 2-pt shot at rim
3:16.0,Turnover by M. Carter-Williams (bad pass; steal by M. Ellis),,9-25,,
3:11.0,,,9-27,2,C. Parsons makes 2-pt shot at rim (assist by D. Harris)
2:57.0,,,9-27,,Personal foul by B. Wright (drawn by N. Noel)
2:57.0,,,9-27,,Dallas full timeout
2:47.0,Turnover by C. Johnson (traveling),,9-27,,
2:30.0,,,9-27,,A. Aminu misses 3-pt shot from 22 ft
2:29.0,Defensive rebound by N. Noel,,9-27,,
2:22.0,Shooting foul by C. Parsons (drawn by M. Carter-Williams),,9-27,,
2:22.0,M. Carter-Williams makes free throw 1 of 2,1,10-27,,
2:22.0,,,10-27,,J. Barea enters the game for M. Ellis
2:22.0,,,10-27,,D. Nowitzki enters the game for C. Parsons
2:22.0,M. Carter-Williams misses free throw 2 of 2,,10-27,,
2:21.0,Offensive rebound by B. Davies,,10-27,,
2:07.0,J. Sampson misses 2-pt shot from 6 ft (block by B. Wright),,10-27,,
2:05.0,Offensive rebound by B. Davies,,10-27,,
2:00.0,Turnover by N. Noel (lost ball; steal by B. Wright),,10-27,,
1:57.0,,,10-27,,Shooting foul by M. Carter-Williams (drawn by D. Harris)
1:57.0,,,10-28,1,D. Harris makes free throw 1 of 2
1:57.0,,,10-29,1,D. Harris makes free throw 2 of 2
1:42.0,C. Johnson misses 2-pt shot from 19 ft,,10-29,,
1:41.0,,,10-29,,Defensive rebound by D. Harris
1:34.0,,,10-31,2,J. Barea makes 2-pt shot from 14 ft
1:17.0,J. Sampson misses 3-pt shot from 22 ft,,10-31,,
1:16.0,,,10-31,,Defensive rebound by B. Wright
1:04.0,,,10-34,3,A. Aminu makes 3-pt shot from 22 ft (assist by J. Barea)
0:51.0,B. Davies misses 2-pt shot from 6 ft,,10-34,,
0:50.0,,,10-34,,Defensive rebound by B. Wright
0:34.0,Shooting block foul by M. Carter-Williams (drawn by B. Wright),,10-34,,
0:34.0,,,10-35,1,B. Wright makes free throw 1 of 2
0:34.0,,,10-35,,J. Crowder enters the game for D. Nowitzki
