time,Memphis,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. M. Gasol (T. Parker gains possession),,,,Jump ball: T. Duncan vs. M. Gasol (T. Parker gains possession)
11:43.0,,,0-2,2,K. Leonard makes 2-pt shot from 4 ft (assist by T. Parker)
11:25.0,M. Conley misses 2-pt shot from 4 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by T. Duncan
11:02.0,,,0-4,2,T. Splitter makes 2-pt shot from 7 ft (assist by D. Green)
10:44.0,Z. Randolph makes 2-pt shot from 7 ft,2,2-4,,
10:28.0,,,2-4,,K. Leonard misses 2-pt shot from 6 ft
10:27.0,,,2-4,,Offensive rebound by T. Splitter
10:11.0,,,2-6,2,T. Duncan makes 2-pt shot from 17 ft (assist by D. Green)
9:59.0,C. Lee misses 2-pt shot from 11 ft,,2-6,,
9:58.0,,,2-6,,Defensive rebound by T. Splitter
9:51.0,,,2-8,2,D. Green makes 2-pt shot from 16 ft
9:27.0,Z. Randolph makes 2-pt shot from 2 ft,2,4-8,,
9:19.0,Personal foul by M. Conley (drawn by T. Parker),,4-8,,
9:10.0,,,4-8,,T. Splitter misses 2-pt shot from 5 ft
9:09.0,,,4-8,,Offensive rebound by T. Duncan
9:09.0,,,4-10,2,T. Duncan makes 2-pt shot at rim
8:49.0,,,4-10,,Personal foul by T. Duncan (drawn by M. Gasol)
8:42.0,M. Gasol misses 2-pt shot from 15 ft,,4-10,,
8:40.0,,,4-10,,Defensive rebound by T. Splitter
8:34.0,,,4-10,,D. Green misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by Z. Randolph,,4-10,,
8:19.0,Turnover by Z. Randolph (lost ball; steal by T. Splitter),,4-10,,
8:13.0,,,4-12,2,D. Green makes 2-pt shot from 1 ft (assist by T. Splitter)
8:07.0,C. Lee misses 2-pt shot from 6 ft (block by D. Green),,4-12,,
8:06.0,Offensive rebound by Team,,4-12,,
7:59.0,M. Gasol misses 2-pt shot from 10 ft,,4-12,,
7:58.0,,,4-12,,Defensive rebound by K. Leonard
7:51.0,,,4-14,2,T. Duncan makes 2-pt shot at rim (assist by K. Leonard)
7:42.0,Memphis full timeout,,4-14,,
7:32.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol),2,6-14,,
7:23.0,,,6-14,,Turnover by K. Leonard (lost ball; steal by V. Carter)
7:19.0,Turnover by C. Lee (lost ball; steal by T. Splitter),,6-14,,
7:02.0,,,6-14,,T. Duncan misses 2-pt shot from 11 ft
7:01.0,Defensive rebound by M. Gasol,,6-14,,
6:52.0,M. Conley makes 3-pt shot from 23 ft,3,9-14,,
6:35.0,,,9-14,,T. Parker misses 2-pt shot from 9 ft
6:34.0,Defensive rebound by Z. Randolph,,9-14,,
6:23.0,Z. Randolph misses 2-pt shot from 19 ft,,9-14,,
6:22.0,,,9-14,,Defensive rebound by D. Green
