time,LA Lakers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. J. Hill (E. Davis gains possession),,,,Jump ball: G. Dieng vs. J. Hill (E. Davis gains possession)
11:43.0,J. Hill misses 2-pt shot from 16 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by C. Brewer
11:27.0,,,0-0,,C. Brewer misses 2-pt shot from 12 ft (block by W. Johnson)
11:26.0,Defensive rebound by E. Davis,,0-0,,
11:08.0,K. Bryant misses 2-pt shot from 22 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by C. Brewer
11:04.0,,,0-0,,Turnover by C. Brewer (discontinued dribble)
10:44.0,Turnover by J. Hill (traveling),,0-0,,
10:30.0,,,0-0,,Shooting foul by K. Bryant (drawn by A. Wiggins)
10:30.0,,,0-1,1,A. Wiggins makes free throw 1 of 2
10:30.0,,,0-2,1,A. Wiggins makes free throw 2 of 2
10:14.0,E. Davis makes 2-pt shot from 7 ft (assist by W. Johnson),2,2-2,,
10:02.0,,,2-2,,Turnover by Z. LaVine (lost ball; steal by R. Price)
9:59.0,Shooting foul by A. Wiggins (drawn by W. Johnson),,2-2,,
9:59.0,W. Johnson misses free throw 1 of 2,,2-2,,
9:59.0,Offensive rebound by Team,,2-2,,
9:59.0,W. Johnson makes free throw 2 of 2,1,3-2,,
9:51.0,,,3-2,,Turnover by T. Young (bad pass; steal by R. Price)
9:45.0,W. Johnson makes 2-pt shot at rim (assist by E. Davis),2,5-2,,
9:22.0,,,5-2,,C. Brewer misses 2-pt shot from 19 ft
9:21.0,Defensive rebound by R. Price,,5-2,,
9:16.0,Turnover by K. Bryant (lost ball),,5-2,,
9:01.0,,,5-4,2,A. Wiggins makes 2-pt shot from 1 ft (assist by C. Brewer)
8:42.0,K. Bryant misses 3-pt shot from 25 ft,,5-4,,
8:41.0,,,5-4,,Defensive rebound by C. Brewer
8:30.0,,,5-6,2,A. Wiggins makes 2-pt shot from 12 ft (assist by T. Young)
8:04.0,J. Hill makes 2-pt shot from 17 ft (assist by W. Johnson),2,7-6,,
7:38.0,,,7-8,2,T. Young makes 2-pt shot at rim (assist by G. Dieng)
7:20.0,K. Bryant misses 2-pt shot from 15 ft,,7-8,,
7:18.0,,,7-8,,Defensive rebound by A. Wiggins
7:12.0,,,7-10,2,G. Dieng makes 2-pt shot at rim (assist by T. Young)
6:59.0,W. Johnson makes 3-pt shot from 24 ft (assist by R. Price),3,10-10,,
6:41.0,,,10-10,,A. Wiggins misses 2-pt shot from 15 ft
6:40.0,,,10-10,,Offensive rebound by Team
6:40.0,,,10-10,,Minnesota full timeout
6:32.0,,,10-12,2,C. Brewer makes 2-pt shot at rim (assist by Z. LaVine)
6:06.0,J. Hill makes 2-pt shot at rim (assist by E. Davis),2,12-12,,
5:43.0,,,12-12,,Z. LaVine misses 2-pt shot from 19 ft
5:42.0,Defensive rebound by E. Davis,,12-12,,
5:38.0,Turnover by E. Davis (bad pass; steal by C. Brewer),,12-12,,
5:24.0,,,12-14,2,T. Young makes 2-pt shot from 2 ft
5:08.0,C. Boozer enters the game for E. Davis,,12-14,,
5:08.0,,,12-14,,S. Muhammad enters the game for Z. LaVine
5:08.0,N. Young enters the game for W. Johnson,,12-14,,
5:02.0,J. Hill misses 2-pt shot from 20 ft,,12-14,,
5:01.0,,,12-14,,Defensive rebound by A. Wiggins
4:49.0,,,12-16,2,S. Muhammad makes 2-pt shot from 6 ft (assist by C. Brewer)
4:24.0,R. Price misses 2-pt shot from 20 ft,,12-16,,
4:23.0,,,12-16,,Defensive rebound by S. Muhammad
4:17.0,,,12-18,2,S. Muhammad makes 2-pt shot at rim (assist by C. Brewer)
3:58.0,J. Lin enters the game for R. Price,,12-18,,
3:58.0,R. Sacre enters the game for J. Hill,,12-18,,
3:54.0,Shooting foul by A. Wiggins (drawn by K. Bryant),,12-18,,
3:54.0,K. Bryant makes free throw 1 of 2,1,13-18,,
3:54.0,,,13-18,,C. Budinger enters the game for A. Wiggins
3:54.0,K. Bryant makes free throw 2 of 2,1,14-18,,
3:47.0,Personal foul by N. Young (drawn by S. Muhammad),,14-18,,
3:39.0,,,14-18,,S. Muhammad misses 2-pt shot from 12 ft
3:38.0,,,14-18,,Offensive rebound by G. Dieng
3:37.0,,,14-18,,Shooting foul by R. Sacre (drawn by G. Dieng)
3:37.0,,,14-19,1,G. Dieng makes free throw 1 of 2
3:37.0,,,14-19,,A. Bennett enters the game for T. Young
3:37.0,,,14-19,,G. Dieng misses free throw 2 of 2
3:37.0,Defensive rebound by R. Sacre,,14-19,,
3:22.0,K. Bryant makes 2-pt shot from 7 ft (assist by C. Boozer),2,16-19,,
3:08.0,,,16-19,,S. Muhammad misses 2-pt shot from 5 ft
3:07.0,Defensive rebound by C. Boozer,,16-19,,
2:59.0,J. Lin misses 2-pt shot from 16 ft,,16-19,,
2:57.0,Offensive rebound by C. Boozer,,16-19,,
2:48.0,Turnover by C. Boozer (lost ball; steal by C. Brewer),,16-19,,
2:41.0,,,16-19,,C. Budinger misses 3-pt shot from 24 ft
2:39.0,Defensive rebound by K. Bryant,,16-19,,
2:33.0,K. Bryant misses 2-pt shot from 3 ft,,16-19,,
2:32.0,Offensive rebound by C. Boozer,,16-19,,
2:31.0,C. Boozer misses 2-pt shot from 3 ft (block by G. Dieng),,16-19,,
2:31.0,,,16-19,,Defensive rebound by Team
2:31.0,Jump ball: G. Dieng vs. R. Sacre (S. Muhammad gains possession),,,,Jump ball: G. Dieng vs. R. Sacre (S. Muhammad gains possession)
2:14.0,,,16-19,,A. Bennett misses 2-pt shot from 20 ft
2:13.0,Defensive rebound by R. Sacre,,16-19,,
1:54.0,N. Young misses 2-pt shot from 20 ft,,16-19,,
1:52.0,Offensive rebound by K. Bryant,,16-19,,
1:46.0,R. Sacre makes 2-pt shot from 12 ft (assist by J. Lin),2,18-19,,
1:38.0,,,18-19,,Turnover by G. Dieng (bad pass; steal by J. Lin)
1:33.0,C. Boozer makes 2-pt shot at rim (assist by J. Lin),2,20-19,,
1:11.0,,,20-19,,A. Bennett misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by R. Sacre,,20-19,,
0:58.0,C. Boozer misses 2-pt shot from 5 ft (block by G. Dieng),,20-19,,
0:56.0,,,20-19,,Defensive rebound by G. Dieng
0:53.0,,,20-19,,Offensive charge foul by C. Brewer
0:53.0,,,20-19,,Turnover by C. Brewer (offensive foul)
0:53.0,LA Lakers full timeout,,20-19,,
0:53.0,,,20-19,,Z. LaVine enters the game for C. Brewer
0:53.0,W. Ellington enters the game for K. Bryant,,20-19,,
0:39.0,J. Lin misses 2-pt shot from 19 ft,,20-19,,
0:39.0,,,20-19,,Defensive rebound by Team
0:39.0,Loose ball foul by C. Boozer (drawn by A. Bennett),,20-19,,
0:29.0,,,20-19,,A. Bennett misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by C. Boozer,,20-19,,
0:09.0,N. Young misses 2-pt shot from 19 ft,,20-19,,
0:07.0,Offensive rebound by R. Sacre,,20-19,,
0:05.0,R. Sacre makes 2-pt shot from 1 ft,2,22-19,,
0:01.0,,,22-19,,G. Dieng misses 2-pt shot from 22 ft
0:00.0,Defensive rebound by W. Ellington,,22-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,22-19,,C. Budinger misses 2-pt shot from 15 ft
11:46.0,Defensive rebound by W. Ellington,,22-19,,
11:24.0,N. Young misses 3-pt shot from 25 ft,,22-19,,
11:22.0,Offensive rebound by W. Ellington,,22-19,,
11:17.0,W. Ellington misses 3-pt shot from 24 ft,,22-19,,
11:16.0,,,22-19,,Defensive rebound by A. Bennett
11:03.0,,,22-19,,Turnover by G. Dieng (bad pass; steal by J. Lin)
10:58.0,J. Lin makes 2-pt shot from 2 ft,2,24-19,,
10:41.0,,,24-21,2,C. Budinger makes 2-pt shot from 20 ft (assist by Z. LaVine)
10:22.0,Turnover by J. Lin (traveling),,24-21,,
10:22.0,,,24-21,,J. Adrien enters the game for G. Dieng
10:22.0,,,24-21,,A. Wiggins enters the game for S. Muhammad
10:08.0,,,24-23,2,A. Wiggins makes 2-pt shot from 14 ft (assist by Z. LaVine)
9:51.0,C. Boozer makes 2-pt shot from 12 ft (assist by J. Lin),2,26-23,,
9:32.0,,,26-23,,Z. LaVine misses 2-pt shot from 1 ft
9:31.0,Defensive rebound by C. Boozer,,26-23,,
9:25.0,W. Ellington misses 3-pt shot from 23 ft,,26-23,,
9:24.0,,,26-23,,Defensive rebound by A. Bennett
9:00.0,,,26-23,,Shooting foul by R. Sacre (drawn by A. Wiggins)
9:00.0,,,26-24,1,A. Wiggins makes free throw 1 of 2
9:00.0,,,26-25,1,A. Wiggins makes free throw 2 of 2
8:45.0,C. Boozer makes 2-pt shot from 14 ft (assist by J. Lin),2,28-25,,
8:26.0,,,28-25,,A. Wiggins misses 2-pt shot from 14 ft
8:25.0,Defensive rebound by R. Sacre,,28-25,,
8:13.0,N. Young makes 2-pt shot from 19 ft (assist by R. Sacre),2,30-25,,
8:00.0,,,30-25,,A. Bennett misses 2-pt shot from 19 ft
7:59.0,Defensive rebound by W. Ellington,,30-25,,
7:46.0,Turnover by J. Lin (lost ball; steal by C. Budinger),,30-25,,
7:42.0,,,30-27,2,Z. LaVine makes 2-pt shot at rim
7:26.0,C. Boozer makes 2-pt shot from 19 ft,2,32-27,,
7:26.0,Shooting foul by A. Wiggins (drawn by C. Boozer),,32-27,,
7:26.0,LA Lakers full timeout,,32-27,,
7:26.0,W. Johnson enters the game for W. Ellington,,32-27,,
7:26.0,J. Hill enters the game for R. Sacre,,32-27,,
7:26.0,,,32-27,,S. Muhammad enters the game for A. Wiggins
7:26.0,,,32-27,,T. Young enters the game for A. Bennett
7:26.0,,,32-27,,C. Brewer enters the game for C. Budinger
7:26.0,C. Boozer misses free throw 1 of 1,,32-27,,
7:26.0,,,32-27,,Defensive rebound by J. Adrien
7:11.0,,,32-27,,Z. LaVine misses 2-pt shot from 10 ft
7:10.0,,,32-27,,Offensive rebound by S. Muhammad
7:09.0,,,32-27,,Shooting foul by W. Johnson (drawn by S. Muhammad)
7:09.0,,,32-27,,S. Muhammad misses free throw 1 of 2
7:09.0,,,32-27,,Offensive rebound by Team
7:09.0,,,32-27,,S. Muhammad misses free throw 2 of 2
7:09.0,Defensive rebound by C. Boozer,,32-27,,
6:51.0,Shooting foul by J. Adrien (drawn by J. Hill),,32-27,,
6:51.0,J. Hill makes free throw 1 of 2,1,33-27,,
6:51.0,E. Davis enters the game for C. Boozer,,33-27,,
6:51.0,J. Hill misses free throw 2 of 2,,33-27,,
6:51.0,,,33-27,,Defensive rebound by T. Young
6:28.0,,,33-27,,S. Muhammad misses 2-pt shot from 16 ft
6:28.0,,,33-27,,Offensive rebound by Team
6:28.0,Loose ball foul by J. Hill (drawn by J. Adrien),,33-27,,
6:28.0,R. Price enters the game for J. Lin,,33-27,,
6:28.0,K. Bryant enters the game for N. Young,,33-27,,
6:19.0,,,33-29,2,S. Muhammad makes 2-pt shot from 8 ft
6:13.0,K. Bryant makes 3-pt shot from 24 ft (assist by R. Price),3,36-29,,
5:54.0,,,36-32,3,C. Brewer makes 3-pt shot from 23 ft (assist by Z. LaVine)
5:39.0,K. Bryant misses 2-pt shot from 12 ft,,36-32,,
5:38.0,,,36-32,,Defensive rebound by J. Adrien
5:30.0,,,36-32,,Turnover by Z. LaVine (bad pass; steal by R. Price)
5:24.0,Shooting foul by Z. LaVine (drawn by K. Bryant),,36-32,,
5:24.0,,,36-32,,Minnesota full timeout
5:24.0,K. Bryant makes free throw 1 of 2,1,37-32,,
5:24.0,K. Bryant makes free throw 2 of 2,1,38-32,,
5:04.0,,,38-34,2,S. Muhammad makes 2-pt shot from 19 ft (assist by J. Adrien)
4:49.0,W. Johnson misses 2-pt shot from 15 ft,,38-34,,
4:48.0,Offensive rebound by Team,,38-34,,
4:48.0,,,38-34,,G. Dieng enters the game for J. Adrien
4:45.0,Turnover by W. Johnson (bad pass; steal by T. Young),,38-34,,
4:40.0,,,38-36,2,Z. LaVine makes 2-pt shot at rim (assist by S. Muhammad)
4:24.0,K. Bryant makes 2-pt shot from 20 ft (assist by E. Davis),2,40-36,,
4:06.0,,,40-36,,C. Brewer misses 2-pt shot from 20 ft
4:05.0,Defensive rebound by W. Johnson,,40-36,,
3:58.0,Shooting foul by C. Brewer (drawn by K. Bryant),,40-36,,
3:58.0,K. Bryant makes free throw 1 of 3,1,41-36,,
3:58.0,K. Bryant makes free throw 2 of 3,1,42-36,,
3:58.0,K. Bryant makes free throw 3 of 3,1,43-36,,
3:36.0,,,43-36,,Z. LaVine misses 3-pt shot from 24 ft
3:35.0,Defensive rebound by K. Bryant,,43-36,,
3:28.0,K. Bryant misses 3-pt shot from 24 ft,,43-36,,
3:26.0,,,43-36,,Defensive rebound by Z. LaVine
3:16.0,Personal foul by K. Bryant (drawn by T. Young),,43-36,,
3:12.0,,,43-38,2,C. Brewer makes 2-pt shot from 2 ft
2:52.0,W. Johnson misses 3-pt shot from 25 ft,,43-38,,
