time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (T. Hansbrough gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (T. Hansbrough gains possession)
11:40.0,,,0-0,,J. Valanciunas misses 2-pt shot from 13 ft
11:39.0,Defensive rebound by J. Wall,,0-0,,
11:37.0,Offensive charge foul by J. Wall,,0-0,,
11:37.0,Turnover by J. Wall (offensive foul),,0-0,,
11:22.0,,,0-2,2,D. DeRozan makes 2-pt shot from 20 ft
10:56.0,P. Pierce misses 2-pt shot from 14 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by J. Valanciunas
10:47.0,,,0-2,,K. Lowry misses 2-pt shot from 20 ft
10:46.0,Defensive rebound by N. Hilario,,0-2,,
10:40.0,B. Beal misses 2-pt shot from 1 ft,,0-2,,
10:39.0,,,0-2,,Defensive rebound by D. DeRozan
10:29.0,,,0-2,,Shooting foul by B. Beal (drawn by J. Valanciunas)
10:29.0,,,0-3,1,J. Valanciunas makes free throw 1 of 2
10:29.0,,,0-4,1,J. Valanciunas makes free throw 2 of 2
10:17.0,N. Hilario misses 2-pt shot from 20 ft,,0-4,,
10:16.0,,,0-4,,Defensive rebound by J. Valanciunas
10:07.0,,,0-6,2,D. DeRozan makes 2-pt shot from 17 ft
10:07.0,,,0-6,,Shooting foul by P. Pierce (drawn by D. DeRozan)
10:07.0,,,0-7,1,D. DeRozan makes free throw 1 of 1
9:59.0,,,0-7,,Violation by T. Ross (kicked ball)
9:47.0,M. Gortat makes 2-pt shot from 17 ft (assist by B. Beal),2,2-7,,
9:35.0,,,2-7,,T. Hansbrough misses 2-pt shot from 4 ft (block by M. Gortat)
9:35.0,,,2-7,,Offensive rebound by Team
9:30.0,,,2-9,2,D. DeRozan makes 2-pt shot from 13 ft
9:19.0,P. Pierce misses 3-pt shot from 26 ft,,2-9,,
9:17.0,,,2-9,,Defensive rebound by Team
9:06.0,,,2-9,,T. Ross misses 2-pt shot from 18 ft
9:05.0,Defensive rebound by M. Gortat,,2-9,,
8:51.0,J. Wall misses 2-pt shot from 20 ft,,2-9,,
8:50.0,Offensive rebound by Team,,2-9,,
8:39.0,N. Hilario misses 2-pt shot from 15 ft,,2-9,,
8:38.0,,,2-9,,Defensive rebound by J. Valanciunas
8:23.0,,,2-12,3,T. Ross makes 3-pt shot from 25 ft (assist by K. Lowry)
8:17.0,Washington full timeout,,2-12,,
8:06.0,J. Wall makes 2-pt shot from 20 ft,2,4-12,,
7:51.0,,,4-14,2,D. DeRozan makes 2-pt shot from 17 ft
7:39.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,6-14,,
7:15.0,,,6-16,2,J. Valanciunas makes 2-pt shot from 17 ft (assist by K. Lowry)
7:01.0,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall),2,8-16,,
6:40.0,,,8-16,,K. Lowry misses 2-pt shot from 18 ft
6:39.0,Defensive rebound by N. Hilario,,8-16,,
6:33.0,Shooting foul by D. DeRozan (drawn by J. Wall),,8-16,,
6:33.0,J. Wall makes free throw 1 of 2,1,9-16,,
6:33.0,J. Wall makes free throw 2 of 2,1,10-16,,
6:15.0,,,10-18,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry)
6:05.0,M. Gortat makes 2-pt shot from 14 ft (assist by J. Wall),2,12-18,,
5:50.0,,,12-18,,D. DeRozan misses 2-pt shot from 8 ft (block by M. Gortat)
5:47.0,,,12-18,,Offensive rebound by Team
5:39.0,,,12-20,2,K. Lowry makes 2-pt shot from 4 ft
5:27.0,,,12-20,,Personal block foul by K. Lowry (drawn by J. Wall)
5:27.0,,,12-20,,P. Patterson enters the game for T. Hansbrough
5:27.0,D. Gooden enters the game for N. Hilario,,12-20,,
5:12.0,J. Wall makes 2-pt shot from 20 ft,2,14-20,,
4:56.0,,,14-20,,D. DeRozan misses 2-pt shot from 12 ft (block by P. Pierce)
4:55.0,Defensive rebound by M. Gortat,,14-20,,
4:50.0,Turnover by J. Wall (palming),,14-20,,
4:50.0,O. Porter enters the game for P. Pierce,,14-20,,
4:37.0,,,14-20,,Turnover by D. DeRozan (lost ball; steal by M. Gortat)
4:28.0,J. Wall misses 3-pt shot from 26 ft,,14-20,,
4:27.0,Offensive rebound by D. Gooden,,14-20,,
4:20.0,B. Beal misses 2-pt shot from 6 ft,,14-20,,
4:17.0,,,14-20,,Defensive rebound by Team
4:17.0,,,14-20,,G. Vasquez enters the game for K. Lowry
4:01.0,,,14-22,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by T. Ross)
3:44.0,B. Beal misses 2-pt shot from 18 ft,,14-22,,
3:43.0,,,14-22,,Defensive rebound by G. Vasquez
3:35.0,,,14-22,,J. Valanciunas misses 2-pt shot from 5 ft
3:34.0,Defensive rebound by D. Gooden,,14-22,,
3:24.0,J. Wall misses 2-pt shot from 19 ft,,14-22,,
3:23.0,,,14-22,,Defensive rebound by J. Valanciunas
3:16.0,,,14-22,,G. Vasquez misses 3-pt shot from 25 ft
3:15.0,Defensive rebound by M. Gortat,,14-22,,
3:09.0,B. Beal makes 2-pt shot from 2 ft (assist by J. Wall),2,16-22,,
3:01.0,,,16-22,,Toronto full timeout
3:01.0,R. Sessions enters the game for B. Beal,,16-22,,
3:01.0,,,16-22,,L. Williams enters the game for T. Ross
3:01.0,,,16-22,,A. Johnson enters the game for J. Valanciunas
2:49.0,,,16-25,3,P. Patterson makes 3-pt shot from 26 ft (assist by D. DeRozan)
2:32.0,D. Gooden misses 3-pt shot from 27 ft,,16-25,,
2:31.0,Offensive rebound by M. Gortat,,16-25,,
2:28.0,M. Gortat makes 2-pt shot from 2 ft,2,18-25,,
2:13.0,,,18-25,,Shooting foul by M. Gortat (drawn by A. Johnson)
2:13.0,,,18-25,,A. Johnson misses free throw 1 of 2
2:13.0,,,18-25,,Offensive rebound by Team
2:13.0,,,18-25,,A. Johnson misses free throw 2 of 2
2:13.0,Defensive rebound by O. Porter,,18-25,,
2:03.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,20-25,,
1:49.0,,,20-25,,Offensive charge foul by A. Johnson
1:49.0,,,20-25,,Turnover by A. Johnson (offensive foul)
1:49.0,,,20-25,,K. Lowry enters the game for D. DeRozan
1:40.0,Turnover by J. Wall (lost ball; steal by G. Vasquez),,20-25,,
1:36.0,Shooting block foul by O. Porter (drawn by G. Vasquez),,20-25,,
1:36.0,,,20-26,1,G. Vasquez makes free throw 1 of 2
1:36.0,,,20-27,1,G. Vasquez makes free throw 2 of 2
1:30.0,Shooting foul by G. Vasquez (drawn by R. Sessions),,20-27,,
1:30.0,R. Sessions makes free throw 1 of 2,1,21-27,,
1:30.0,R. Sessions makes free throw 2 of 2,1,22-27,,
1:11.0,,,22-29,2,A. Johnson makes 2-pt shot from 4 ft (assist by G. Vasquez)
0:57.0,R. Sessions misses 3-pt shot from 27 ft,,22-29,,
0:56.0,,,22-29,,Defensive rebound by P. Patterson
0:47.0,,,22-29,,L. Williams misses 2-pt shot from 4 ft
