time,Denver,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. T. Mozgov (T. Lawson gains possession),,,,Jump ball: R. Hibbert vs. T. Mozgov (T. Lawson gains possession)
11:43.0,T. Mozgov makes 2-pt shot from 1 ft (assist by T. Lawson),2,2-0,,
11:19.0,,,2-2,2,L. Scola makes 2-pt shot from 4 ft
11:05.0,A. Afflalo misses 3-pt shot from 25 ft,,2-2,,
11:04.0,Offensive rebound by K. Faried,,2-2,,
10:54.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,4-2,,
10:35.0,,,4-2,,Shooting foul by T. Mozgov (drawn by R. Hibbert)
10:35.0,,,4-3,1,R. Hibbert makes free throw 1 of 2
10:35.0,,,4-4,1,R. Hibbert makes free throw 2 of 2
10:21.0,W. Chandler misses 3-pt shot from 24 ft,,4-4,,
10:19.0,,,4-4,,Defensive rebound by S. Hill
10:07.0,,,4-6,2,R. Hibbert makes 2-pt shot from 6 ft
10:00.0,Shooting foul by L. Scola (drawn by K. Faried),,4-6,,
10:00.0,K. Faried misses free throw 1 of 2,,4-6,,
10:00.0,Offensive rebound by Team,,4-6,,
10:00.0,K. Faried misses free throw 2 of 2,,4-6,,
9:59.0,,,4-6,,Defensive rebound by R. Hibbert
9:49.0,,,4-6,,C. Copeland misses 2-pt shot from 2 ft (block by W. Chandler)
9:49.0,,,4-6,,Offensive rebound by Team
9:46.0,,,4-6,,S. Hill misses 2-pt shot from 18 ft
9:45.0,Defensive rebound by W. Chandler,,4-6,,
9:29.0,K. Faried makes 2-pt shot from 7 ft,2,6-6,,
9:15.0,,,6-6,,Turnover by S. Hill (step out of bounds)
9:06.0,T. Lawson misses 2-pt shot from 16 ft,,6-6,,
9:04.0,Offensive rebound by T. Mozgov,,6-6,,
9:00.0,T. Lawson misses 2-pt shot from 5 ft (block by R. Hibbert),,6-6,,
9:00.0,Offensive rebound by Team,,6-6,,
8:58.0,T. Mozgov misses 2-pt shot from 17 ft,,6-6,,
8:56.0,,,6-6,,Defensive rebound by C. Copeland
8:46.0,,,6-8,2,S. Hill makes 2-pt shot at rim
8:36.0,,,6-8,,Personal foul by S. Hill (drawn by A. Afflalo)
8:32.0,,,6-8,,Personal foul by D. Sloan (drawn by T. Lawson)
8:26.0,A. Afflalo misses 3-pt shot from 23 ft,,6-8,,
8:25.0,,,6-8,,Defensive rebound by C. Copeland
8:19.0,Violation by T. Lawson (kicked ball),,6-8,,
8:14.0,,,6-8,,S. Hill misses 2-pt shot at rim (block by T. Mozgov)
8:14.0,Defensive rebound by Team,,6-8,,
7:58.0,K. Faried makes 2-pt shot from 4 ft,2,8-8,,
7:38.0,,,8-10,2,S. Hill makes 2-pt shot at rim (assist by R. Hibbert)
7:27.0,Turnover by T. Lawson (bad pass; steal by D. Sloan),,8-10,,
7:22.0,,,8-10,,C. Copeland misses 3-pt shot from 26 ft
7:21.0,Defensive rebound by T. Lawson,,8-10,,
7:13.0,Offensive charge foul by K. Faried,,8-10,,
7:13.0,Turnover by K. Faried (offensive foul),,8-10,,
7:01.0,,,8-13,3,D. Sloan makes 3-pt shot from 26 ft (assist by S. Hill)
6:47.0,T. Mozgov misses 2-pt shot at rim,,8-13,,
6:46.0,,,8-13,,Defensive rebound by R. Hibbert
6:32.0,,,8-15,2,S. Hill makes 2-pt shot from 2 ft
6:24.0,Denver full timeout,,8-15,,
6:09.0,W. Chandler makes 2-pt shot from 13 ft,2,10-15,,
5:56.0,,,10-15,,Shooting foul by T. Lawson (drawn by L. Scola)
5:56.0,,,10-15,,L. Scola misses free throw 1 of 2
5:56.0,,,10-15,,Offensive rebound by Team
5:56.0,,,10-15,,L. Scola misses free throw 2 of 2
5:56.0,Defensive rebound by K. Faried,,10-15,,
5:42.0,A. Afflalo makes 3-pt shot from 23 ft (assist by T. Lawson),3,13-15,,
5:14.0,,,13-17,2,L. Scola makes 2-pt shot at rim
5:01.0,Shooting foul by C. Copeland (drawn by T. Mozgov),,13-17,,
5:01.0,T. Mozgov misses free throw 1 of 2,,13-17,,
5:01.0,Offensive rebound by Team,,13-17,,
5:01.0,T. Mozgov misses free throw 2 of 2,,13-17,,
4:59.0,,,13-17,,Defensive rebound by Team
4:51.0,Personal foul by T. Mozgov (drawn by R. Hibbert),,13-17,,
4:51.0,J. McGee enters the game for T. Mozgov,,13-17,,
4:41.0,,,13-17,,R. Hibbert misses 2-pt shot from 7 ft
4:41.0,Defensive rebound by J. McGee,,13-17,,
4:41.0,,,13-17,,Personal foul by L. Scola (drawn by J. McGee)
4:41.0,J. McGee makes free throw 1 of 2,1,14-17,,
4:41.0,,,14-17,,L. Allen enters the game for L. Scola
4:41.0,G. Harris enters the game for A. Afflalo,,14-17,,
4:41.0,J. McGee misses free throw 2 of 2,,14-17,,
4:41.0,,,14-17,,Defensive rebound by R. Hibbert
4:24.0,Personal foul by K. Faried (drawn by L. Allen),,14-17,,
4:24.0,D. Arthur enters the game for K. Faried,,14-17,,
4:16.0,,,14-17,,R. Hibbert misses 2-pt shot from 17 ft
4:15.0,Defensive rebound by T. Lawson,,14-17,,
4:07.0,,,14-17,,C. Miles enters the game for S. Hill
3:57.0,D. Arthur misses 2-pt shot from 20 ft,,14-17,,
3:56.0,,,14-17,,Defensive rebound by C. Copeland
3:49.0,,,14-19,2,D. Sloan makes 2-pt shot from 2 ft
3:40.0,D. Arthur makes 2-pt shot from 20 ft (assist by T. Lawson),2,16-19,,
3:31.0,,,16-22,3,D. Sloan makes 3-pt shot from 24 ft
3:20.0,T. Lawson makes 2-pt shot from 1 ft,2,18-22,,
3:05.0,,,18-24,2,L. Allen makes 2-pt shot from 7 ft (assist by D. Sloan)
3:05.0,,,18-24,,Loose ball foul by R. Hibbert (drawn by J. McGee)
3:05.0,J. McGee makes free throw 1 of 2,1,19-24,,
3:05.0,J. McGee makes free throw 2 of 2,1,20-24,,
