time,New Orleans,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,,,0-0,,T. Duncan misses 2-pt shot from 7 ft
12:00.0,Jump ball: A. Davis vs. T. Duncan (C. Joseph gains possession),,,,Jump ball: A. Davis vs. T. Duncan (C. Joseph gains possession)
11:38.0,Defensive rebound by A. Davis,,0-0,,
11:22.0,,,0-0,,Personal foul by D. Green (drawn by T. Evans)
11:09.0,J. Holiday misses 2-pt shot from 17 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by K. Anderson
10:56.0,,,0-2,2,D. Green makes 2-pt shot from 5 ft (assist by T. Duncan)
10:41.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,2-2,,
10:31.0,,,2-2,,D. Green misses 2-pt shot from 2 ft
10:31.0,,,2-2,,Offensive rebound by Team
10:23.0,,,2-2,,Turnover by D. Green (bad pass; steal by A. Davis)
10:05.0,J. Holiday misses 2-pt shot from 13 ft,,2-2,,
10:04.0,,,2-2,,Defensive rebound by T. Duncan
9:46.0,,,2-2,,C. Joseph misses 2-pt shot from 2 ft
9:46.0,,,2-2,,Offensive rebound by Team
9:34.0,,,2-2,,C. Joseph misses 2-pt shot from 2 ft
9:33.0,Defensive rebound by O. Asik,,2-2,,
9:27.0,T. Evans misses 2-pt shot from 1 ft,,2-2,,
9:26.0,,,2-2,,Defensive rebound by T. Duncan
9:09.0,,,2-2,,T. Duncan misses 2-pt shot from 19 ft
9:08.0,Defensive rebound by O. Asik,,2-2,,
8:59.0,Turnover by O. Asik (bad pass),,2-2,,
8:35.0,T. Evans misses 3-pt shot from 22 ft,,2-2,,
8:35.0,,,2-2,,Defensive rebound by M. Bonner
8:24.0,,,2-2,,M. Bonner misses 2-pt shot from 8 ft
8:23.0,Defensive rebound by A. Davis,,2-2,,
8:14.0,O. Asik misses 2-pt shot from 1 ft,,2-2,,
8:13.0,,,2-2,,Defensive rebound by D. Green
8:03.0,,,2-2,,Turnover by M. Bonner (bad pass)
7:44.0,T. Evans misses 2-pt shot from 9 ft,,2-2,,
7:42.0,,,2-2,,Defensive rebound by T. Duncan
7:37.0,,,2-2,,D. Green misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by A. Davis,,2-2,,
7:22.0,J. Holiday makes 3-pt shot from 25 ft,3,5-2,,
