time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (M. Conley gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (M. Conley gains possession)
11:42.0,,,0-2,2,M. Conley makes 2-pt shot from 18 ft
11:23.0,L. Aldridge makes 2-pt shot from 9 ft,2,2-2,,
11:12.0,,,2-4,2,M. Gasol makes 2-pt shot from 11 ft (assist by M. Conley)
10:49.0,L. Aldridge misses 3-pt shot from 25 ft,,2-4,,
10:49.0,,,2-4,,Defensive rebound by J. Green
10:35.0,,,2-4,,Z. Randolph misses 2-pt shot from 2 ft
10:34.0,,,2-4,,Offensive rebound by Z. Randolph
10:30.0,,,2-4,,Z. Randolph misses 2-pt shot from 11 ft
10:29.0,Defensive rebound by N. Batum,,2-4,,
10:12.0,Shooting foul by T. Allen (drawn by A. Afflalo),,2-4,,
10:12.0,A. Afflalo makes free throw 1 of 3,1,3-4,,
10:12.0,A. Afflalo misses free throw 2 of 3,,3-4,,
10:12.0,Offensive rebound by Team,,3-4,,
10:12.0,A. Afflalo makes free throw 3 of 3,1,4-4,,
10:02.0,,,4-4,,M. Gasol misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by L. Aldridge,,4-4,,
9:46.0,N. Batum misses 3-pt shot from 24 ft,,4-4,,
9:45.0,,,4-4,,Defensive rebound by T. Allen
9:35.0,,,4-4,,Shooting foul by R. Lopez (drawn by M. Gasol)
9:35.0,,,4-5,1,M. Gasol makes free throw 1 of 2
9:35.0,,,4-5,,M. Gasol misses free throw 2 of 2
9:35.0,Defensive rebound by L. Aldridge,,4-5,,
9:24.0,L. Aldridge makes 2-pt shot from 21 ft (assist by D. Lillard),2,6-5,,
9:08.0,,,6-5,,Z. Randolph misses 2-pt shot from 15 ft
9:08.0,,,6-5,,Offensive rebound by T. Allen
9:01.0,,,6-7,2,T. Allen makes 2-pt shot from 7 ft
8:41.0,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Lillard),2,8-7,,
8:26.0,,,8-7,,M. Gasol misses 2-pt shot from 14 ft
8:25.0,Defensive rebound by L. Aldridge,,8-7,,
8:09.0,L. Aldridge misses 2-pt shot from 18 ft,,8-7,,
8:07.0,,,8-7,,Defensive rebound by M. Gasol
8:00.0,Personal foul by L. Aldridge (drawn by Z. Randolph),,8-7,,
7:48.0,,,8-10,3,T. Allen makes 3-pt shot from 25 ft (assist by M. Conley)
7:34.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,10-10,,
7:21.0,,,10-12,2,M. Conley makes 2-pt shot from 13 ft
7:08.0,D. Lillard makes 2-pt shot from 1 ft,2,12-12,,
6:57.0,,,12-12,,Shooting foul by N. Batum (drawn by J. Green)
6:57.0,,,12-13,1,J. Green makes free throw 1 of 2
6:57.0,,,12-14,1,J. Green makes free throw 2 of 2
6:40.0,D. Lillard misses 3-pt shot from 25 ft,,12-14,,
6:39.0,Offensive rebound by R. Lopez,,12-14,,
6:38.0,Shooting foul by M. Gasol (drawn by L. Aldridge),,12-14,,
6:38.0,L. Aldridge makes free throw 1 of 2,1,13-14,,
6:38.0,L. Aldridge makes free throw 2 of 2,1,14-14,,
6:23.0,,,14-16,2,J. Green makes 2-pt shot from 16 ft
6:00.0,Turnover by N. Batum (bad pass),,14-16,,
5:42.0,,,14-18,2,M. Conley makes 2-pt shot from 13 ft
5:38.0,Portland full timeout,,14-18,,
5:38.0,,,14-18,,N. Calathes enters the game for J. Green
5:38.0,C. McCollum enters the game for R. Lopez,,14-18,,
