time,Chicago,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (M. Carter-Williams gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (M. Carter-Williams gains possession)
11:48.0,,,0-0,,Z. Pachulia misses 2-pt shot from 16 ft
11:46.0,Defensive rebound by J. Butler,,0-0,,
11:32.0,Turnover by P. Gasol (bad pass; steal by G. Antetokounmpo),,0-0,,
11:26.0,,,0-0,,M. Carter-Williams misses 2-pt shot from 4 ft
11:25.0,Defensive rebound by J. Noah,,0-0,,
11:09.0,D. Rose makes 3-pt shot from 25 ft (assist by M. Dunleavy),3,3-0,,
10:50.0,,,3-0,,M. Carter-Williams misses 2-pt shot at rim
10:49.0,Defensive rebound by P. Gasol,,3-0,,
10:36.0,Turnover by J. Noah (lost ball; steal by M. Carter-Williams),,3-0,,
10:29.0,,,3-2,2,E. Ilyasova makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
10:06.0,P. Gasol misses 2-pt shot from 17 ft,,3-2,,
10:05.0,,,3-2,,Defensive rebound by G. Antetokounmpo
9:59.0,,,3-4,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
9:31.0,D. Rose misses 2-pt shot from 5 ft,,3-4,,
9:31.0,Offensive rebound by Team,,3-4,,
9:23.0,Turnover by D. Rose (bad pass),,3-4,,
9:03.0,,,3-4,,M. Carter-Williams misses 2-pt shot from 12 ft
9:02.0,,,3-4,,Offensive rebound by G. Antetokounmpo
9:02.0,,,3-4,,G. Antetokounmpo misses 2-pt shot at rim
9:02.0,,,3-4,,Offensive rebound by Team
9:02.0,Loose ball foul by M. Dunleavy (drawn by G. Antetokounmpo),,3-4,,
8:54.0,,,3-4,,K. Middleton misses 3-pt shot from 26 ft
8:52.0,Defensive rebound by J. Butler,,3-4,,
8:45.0,,,3-4,,Personal foul by M. Carter-Williams (drawn by P. Gasol)
8:38.0,Turnover by D. Rose (bad pass; steal by Z. Pachulia),,3-4,,
8:29.0,,,3-4,,Shooting foul by J. Noah (drawn by G. Antetokounmpo)
8:29.0,,,3-5,1,G. Antetokounmpo makes free throw 1 of 2
8:29.0,,,3-6,1,G. Antetokounmpo makes free throw 2 of 2
8:14.0,Turnover by D. Rose (lost ball; steal by E. Ilyasova),,3-6,,
8:11.0,,,3-8,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
8:06.0,J. Butler makes 3-pt shot from 24 ft (assist by D. Rose),3,6-8,,
7:47.0,,,6-8,,Turnover by G. Antetokounmpo (lost ball; steal by M. Dunleavy)
7:38.0,M. Dunleavy makes 3-pt shot from 27 ft (assist by J. Noah),3,9-8,,
7:28.0,,,9-8,,K. Middleton misses 2-pt shot from 18 ft (block by P. Gasol)
7:27.0,Defensive rebound by D. Rose,,9-8,,
7:18.0,J. Butler misses 3-pt shot from 26 ft,,9-8,,
7:17.0,,,9-8,,Defensive rebound by Z. Pachulia
6:58.0,,,9-11,3,E. Ilyasova makes 3-pt shot from 27 ft
6:43.0,,,9-11,,Personal foul by E. Ilyasova (drawn by J. Noah)
6:36.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by D. Rose),2,11-11,,
6:16.0,,,11-11,,E. Ilyasova misses 2-pt shot from 13 ft
6:16.0,Defensive rebound by M. Dunleavy,,11-11,,
6:16.0,,,11-11,,Loose ball foul by G. Antetokounmpo (drawn by M. Dunleavy)
6:16.0,,,11-11,,Technical foul by M. Carter-Williams
6:16.0,Technical foul by M. Dunleavy,,11-11,,
5:59.0,Turnover by J. Butler (bad pass; steal by Z. Pachulia),,11-11,,
5:47.0,,,11-11,,E. Ilyasova misses 2-pt shot from 4 ft
5:45.0,Defensive rebound by Team,,11-11,,
5:45.0,,,11-11,,Loose ball foul by Z. Pachulia (drawn by P. Gasol)
5:45.0,,,11-11,,Milwaukee full timeout
5:45.0,,,11-11,,J. Henson enters the game for Z. Pachulia
5:22.0,J. Butler misses 2-pt shot from 17 ft,,11-11,,
5:20.0,,,11-11,,Defensive rebound by E. Ilyasova
5:07.0,,,11-11,,E. Ilyasova misses 3-pt shot from 28 ft
5:07.0,,,11-11,,Offensive rebound by Team
5:07.0,T. Gibson enters the game for J. Noah,,11-11,,
4:59.0,,,11-11,,M. Carter-Williams misses 2-pt shot from 3 ft
4:58.0,Defensive rebound by P. Gasol,,11-11,,
4:56.0,Turnover by P. Gasol (bad pass; steal by J. Henson),,11-11,,
4:52.0,,,11-13,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Carter-Williams)
4:26.0,J. Butler makes 2-pt shot at rim,2,13-13,,
4:15.0,,,13-13,,Turnover by E. Ilyasova (bad pass; steal by J. Butler)
4:12.0,J. Butler makes 2-pt shot at rim,2,15-13,,
3:52.0,,,15-15,2,M. Carter-Williams makes 2-pt shot from 1 ft
3:42.0,D. Rose misses 2-pt shot from 1 ft,,15-15,,
3:40.0,Offensive rebound by T. Gibson,,15-15,,
3:39.0,T. Gibson misses 2-pt shot from 2 ft,,15-15,,
3:38.0,Offensive rebound by P. Gasol,,15-15,,
3:36.0,P. Gasol misses 2-pt shot from 1 ft,,15-15,,
3:35.0,,,15-15,,Defensive rebound by G. Antetokounmpo
3:28.0,,,15-15,,E. Ilyasova misses 3-pt shot from 26 ft
3:27.0,Defensive rebound by M. Dunleavy,,15-15,,
3:17.0,P. Gasol makes 2-pt shot from 1 ft (assist by T. Gibson),2,17-15,,
3:02.0,,,17-15,,K. Middleton misses 2-pt shot from 15 ft
3:01.0,Defensive rebound by D. Rose,,17-15,,
2:44.0,Turnover by T. Gibson (lost ball; steal by E. Ilyasova),,17-15,,
2:39.0,,,17-17,2,M. Carter-Williams makes 2-pt shot at rim (assist by K. Middleton)
2:21.0,J. Butler makes 2-pt shot from 15 ft (assist by P. Gasol),2,19-17,,
2:02.0,,,19-17,,G. Antetokounmpo misses 2-pt shot from 11 ft
2:01.0,Defensive rebound by P. Gasol,,19-17,,
1:47.0,M. Dunleavy makes 2-pt shot at rim,2,21-17,,
1:39.0,,,21-17,,Milwaukee full timeout
1:39.0,Chicago full timeout,,21-17,,
1:39.0,N. Mirotic enters the game for M. Dunleavy,,21-17,,
1:39.0,,,21-17,,O. Mayo enters the game for E. Ilyasova
1:39.0,,,21-17,,J. Dudley enters the game for K. Middleton
1:32.0,,,21-17,,M. Carter-Williams misses 2-pt shot from 17 ft
1:31.0,,,21-17,,Offensive rebound by Team
1:20.0,,,21-17,,M. Carter-Williams misses 2-pt shot at rim (block by T. Gibson)
1:17.0,Defensive rebound by T. Gibson,,21-17,,
1:12.0,Shooting foul by O. Mayo (drawn by D. Rose),,21-17,,
1:12.0,D. Rose makes free throw 1 of 2,1,22-17,,
1:12.0,,,22-17,,J. Bayless enters the game for M. Carter-Williams
1:12.0,D. Rose makes free throw 2 of 2,1,23-17,,
1:02.0,A. Brooks enters the game for D. Rose,,23-17,,
0:49.0,,,23-19,2,O. Mayo makes 2-pt shot from 17 ft
0:33.0,Turnover by J. Butler (back court),,23-19,,
0:25.0,,,23-19,,J. Bayless misses 2-pt shot from 4 ft
0:24.0,Defensive rebound by N. Mirotic,,23-19,,
0:04.0,A. Brooks misses 2-pt shot from 3 ft,,23-19,,
0:03.0,,,23-19,,Defensive rebound by G. Antetokounmpo
0:00.0,,,23-19,,O. Mayo misses 2-pt shot from 2 ft (block by J. Butler)
0:00.0,,,23-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,T. Gibson makes 2-pt shot from 1 ft (assist by N. Mirotic),2,25-19,,
11:23.0,Personal foul by J. Butler (drawn by J. Henson),,25-19,,
11:23.0,T. Snell enters the game for J. Butler,,25-19,,
11:09.0,,,25-19,,Turnover by J. Dudley (lost ball; steal by A. Brooks)
11:02.0,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Noah),3,28-19,,
10:45.0,,,28-22,3,J. Dudley makes 3-pt shot from 25 ft (assist by O. Mayo)
10:22.0,N. Mirotic misses 3-pt shot from 26 ft,,28-22,,
10:20.0,,,28-22,,Defensive rebound by J. Dudley
10:15.0,,,28-22,,J. Dudley misses 3-pt shot from 25 ft
10:13.0,,,28-22,,Offensive rebound by J. Henson
10:03.0,,,28-25,3,O. Mayo makes 3-pt shot from 25 ft (assist by J. Bayless)
9:44.0,T. Gibson misses 2-pt shot from 17 ft,,28-25,,
9:43.0,,,28-25,,Defensive rebound by O. Mayo
9:38.0,,,28-25,,J. Henson misses 2-pt shot from 1 ft
9:35.0,Defensive rebound by T. Snell,,28-25,,
9:30.0,T. Gibson makes flagrant free throw 1 of 2,1,29-25,,
9:30.0,T. Gibson misses flagrant free throw 2 of 2,,29-25,,
9:30.0,Offensive rebound by Team,,29-25,,
9:24.0,Turnover by A. Brooks (lost ball; steal by O. Mayo),,29-25,,
9:19.0,,,29-27,2,J. Henson makes 2-pt shot at rim (assist by J. Bayless)
9:08.0,,,29-27,,Violation by J. Dudley (kicked ball)
8:52.0,T. Gibson misses 2-pt shot from 16 ft,,29-27,,
8:51.0,,,29-27,,Defensive rebound by K. Middleton
8:40.0,,,29-29,2,J. Bayless makes 2-pt shot at rim
8:18.0,Shooting foul by J. Henson (drawn by T. Gibson),,29-29,,
8:18.0,Official timeout,,29-29,,
8:18.0,,,29-29,,Z. Pachulia enters the game for J. Henson
8:18.0,T. Gibson misses free throw 1 of 2,,29-29,,
8:18.0,Offensive rebound by Team,,29-29,,
8:18.0,T. Gibson makes free throw 2 of 2,1,30-29,,
8:08.0,,,30-31,2,K. Middleton makes 2-pt shot at rim (assist by J. Dudley)
7:42.0,Turnover by Team (shot clock),,30-31,,
7:37.0,Personal foul by A. Brooks (drawn by J. Bayless),,30-31,,
7:33.0,,,30-31,,Technical foul by J. Bayless
7:33.0,A. Brooks misses technical free throw,,30-31,,
7:33.0,,,30-31,,Offensive rebound by Team
7:33.0,,,30-32,1,J. Bayless makes flagrant free throw 1 of 2
7:33.0,,,30-33,1,J. Bayless makes flagrant free throw 2 of 2
7:24.0,,,30-33,,Shooting foul by A. Brooks (drawn by J. Bayless)
7:24.0,,,30-34,1,J. Bayless makes free throw 1 of 2
7:24.0,D. Rose enters the game for A. Brooks,,30-34,,
7:24.0,,,30-35,1,J. Bayless makes free throw 2 of 2
7:09.0,Turnover by T. Snell (lost ball; steal by O. Mayo),,30-35,,
7:09.0,Personal foul by T. Snell (drawn by O. Mayo),,30-35,,
7:09.0,J. Butler enters the game for T. Snell,,30-35,,
7:09.0,,,30-36,1,O. Mayo makes free throw 1 of 2
7:09.0,,,30-37,1,O. Mayo makes free throw 2 of 2
6:52.0,Turnover by N. Mirotic (lost ball; steal by Z. Pachulia),,30-37,,
6:48.0,,,30-37,,J. Bayless misses 2-pt shot at rim
6:45.0,,,30-37,,Offensive rebound by J. Bayless
6:42.0,,,30-37,,O. Mayo misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by T. Gibson,,30-37,,
6:42.0,,,30-37,,Personal foul by J. Bayless (drawn by T. Gibson)
6:42.0,M. Dunleavy enters the game for N. Mirotic,,30-37,,
6:21.0,Turnover by D. Rose (lost ball),,30-37,,
6:08.0,,,30-40,3,O. Mayo makes 3-pt shot from 24 ft (assist by J. Bayless)
5:49.0,Shooting foul by J. Dudley (drawn by J. Butler),,30-40,,
5:49.0,,,30-40,,Milwaukee full timeout
5:49.0,P. Gasol enters the game for J. Noah,,30-40,,
5:49.0,J. Butler makes free throw 1 of 2,1,31-40,,
5:49.0,J. Butler makes free throw 2 of 2,1,32-40,,
5:35.0,,,32-40,,J. Dudley misses 2-pt shot from 14 ft
5:34.0,Defensive rebound by J. Butler,,32-40,,
5:17.0,T. Gibson makes 2-pt shot at rim (assist by J. Butler),2,34-40,,
5:08.0,,,34-43,3,J. Dudley makes 3-pt shot from 24 ft (assist by O. Mayo)
4:43.0,J. Butler misses 3-pt shot from 26 ft,,34-43,,
4:42.0,,,34-43,,Defensive rebound by J. Bayless
4:28.0,,,34-43,,Turnover by J. Dudley (bad pass; steal by D. Rose)
4:23.0,J. Butler misses 2-pt shot from 1 ft,,34-43,,
4:21.0,,,34-43,,Defensive rebound by K. Middleton
4:13.0,,,34-46,3,J. Dudley makes 3-pt shot from 23 ft (assist by O. Mayo)
3:58.0,D. Rose misses 3-pt shot from 27 ft,,34-46,,
3:57.0,,,34-46,,Defensive rebound by Team
3:45.0,,,34-46,,J. Bayless misses 3-pt shot from 26 ft
3:44.0,Defensive rebound by M. Dunleavy,,34-46,,
3:31.0,J. Butler makes 3-pt shot from 24 ft (assist by P. Gasol),3,37-46,,
3:18.0,,,37-46,,Shooting foul by P. Gasol (drawn by Z. Pachulia)
3:18.0,,,37-46,,Z. Pachulia misses free throw 1 of 2
3:18.0,,,37-46,,Offensive rebound by Team
3:18.0,N. Mirotic enters the game for T. Gibson,,37-46,,
3:18.0,,,37-46,,Z. Pachulia misses free throw 2 of 2
3:17.0,Defensive rebound by P. Gasol,,37-46,,
2:57.0,N. Mirotic misses 2-pt shot from 16 ft,,37-46,,
2:56.0,,,37-46,,Defensive rebound by K. Middleton
2:48.0,,,37-46,,Turnover by O. Mayo (bad pass; steal by J. Butler)
2:43.0,N. Mirotic makes 2-pt shot from 1 ft (assist by J. Butler),2,39-46,,
2:41.0,,,39-46,,Milwaukee full timeout
2:41.0,,,39-46,,J. Henson enters the game for Z. Pachulia
2:41.0,,,39-46,,M. Carter-Williams enters the game for O. Mayo
2:37.0,,,39-46,,G. Antetokounmpo enters the game for J. Dudley
2:18.0,,,39-46,,Turnover by Team (shot clock)
2:04.0,D. Rose misses 2-pt shot from 2 ft (block by J. Henson),,39-46,,
2:02.0,,,39-46,,Defensive rebound by M. Carter-Williams
1:51.0,,,39-48,2,K. Middleton makes 2-pt shot from 8 ft (assist by M. Carter-Williams)
1:33.0,J. Butler makes 2-pt shot from 11 ft (assist by N. Mirotic),2,41-48,,
1:09.0,,,41-48,,J. Henson misses 2-pt shot from 1 ft
1:07.0,,,41-48,,Offensive rebound by J. Henson
1:07.0,,,41-50,2,J. Henson makes 2-pt shot from 1 ft
0:57.0,,,41-50,,Personal foul by J. Henson (drawn by P. Gasol)
0:57.0,P. Gasol makes free throw 1 of 2,1,42-50,,
0:57.0,P. Gasol makes free throw 2 of 2,1,43-50,,
0:48.0,Personal foul by N. Mirotic (drawn by G. Antetokounmpo),,43-50,,
0:48.0,,,43-50,,G. Antetokounmpo misses free throw 1 of 2
0:48.0,,,43-50,,Offensive rebound by Team
0:48.0,,,43-50,,G. Antetokounmpo misses free throw 2 of 2
0:47.0,Defensive rebound by P. Gasol,,43-50,,
0:29.0,J. Butler makes 2-pt shot from 15 ft (assist by P. Gasol),2,45-50,,
0:11.0,,,45-50,,Turnover by M. Carter-Williams (bad pass; steal by N. Mirotic)
0:08.0,Shooting foul by J. Bayless (drawn by J. Butler),,45-50,,
0:08.0,J. Butler makes free throw 1 of 2,1,46-50,,
0:08.0,J. Noah enters the game for P. Gasol,,46-50,,
0:08.0,T. Gibson enters the game for N. Mirotic,,46-50,,
0:08.0,J. Butler makes free throw 2 of 2,1,47-50,,
0:05.0,,,47-50,,Turnover by M. Carter-Williams (bad pass)
0:05.0,P. Gasol enters the game for J. Noah,,47-50,,
0:05.0,N. Mirotic enters the game for T. Gibson,,47-50,,
0:00.0,J. Butler makes 3-pt shot from 26 ft,3,50-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by M. Dunleavy (bad pass; steal by Z. Pachulia),,50-50,,
11:40.0,Personal foul by J. Noah (drawn by G. Antetokounmpo),,50-50,,
11:34.0,,,50-50,,E. Ilyasova misses 3-pt shot from 25 ft
11:33.0,Defensive rebound by P. Gasol,,50-50,,
11:24.0,,,50-50,,Personal foul by G. Antetokounmpo (drawn by P. Gasol)
11:15.0,Offensive foul by J. Butler,,50-50,,
11:15.0,Turnover by J. Butler (offensive foul),,50-50,,
10:59.0,,,50-50,,K. Middleton misses 2-pt shot from 2 ft
10:57.0,,,50-50,,Offensive rebound by E. Ilyasova
10:55.0,,,50-50,,E. Ilyasova misses 2-pt shot from 2 ft
10:54.0,Defensive rebound by J. Noah,,50-50,,
10:47.0,D. Rose misses 2-pt shot from 3 ft,,50-50,,
10:47.0,,,50-50,,Defensive rebound by M. Carter-Williams
10:47.0,Personal foul by J. Noah (drawn by M. Carter-Williams),,50-50,,
10:31.0,,,50-50,,Shooting foul by M. Dunleavy (drawn by E. Ilyasova)
10:31.0,,,50-51,1,E. Ilyasova makes free throw 1 of 2
10:31.0,,,50-52,1,E. Ilyasova makes free throw 2 of 2
10:17.0,P. Gasol misses 2-pt shot from 17 ft,,50-52,,
10:16.0,,,50-52,,Defensive rebound by G. Antetokounmpo
10:03.0,,,50-52,,K. Middleton misses 3-pt shot from 27 ft
10:02.0,,,50-52,,Offensive rebound by Z. Pachulia
10:00.0,,,50-54,2,Z. Pachulia makes 2-pt shot from 1 ft
9:46.0,J. Noah makes 2-pt shot at rim (assist by P. Gasol),2,52-54,,
9:28.0,,,52-54,,Z. Pachulia misses 2-pt shot from 13 ft
9:27.0,Defensive rebound by J. Noah,,52-54,,
9:08.0,Turnover by M. Dunleavy (bad pass; steal by Z. Pachulia),,52-54,,
9:00.0,,,52-56,2,E. Ilyasova makes 2-pt shot at rim (assist by M. Carter-Williams)
8:31.0,P. Gasol makes 2-pt shot at rim (assist by J. Noah),2,54-56,,
8:19.0,,,54-58,2,M. Carter-Williams makes 2-pt shot from 3 ft
7:58.0,D. Rose misses 2-pt shot from 19 ft,,54-58,,
7:57.0,,,54-58,,Defensive rebound by G. Antetokounmpo
7:52.0,,,54-58,,G. Antetokounmpo misses 2-pt shot at rim
7:51.0,Defensive rebound by J. Butler,,54-58,,
7:45.0,J. Butler makes 3-pt shot from 26 ft,3,57-58,,
