time,Sacramento,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. J. Henson (J. Dudley gains possession),,,,Jump ball: D. Cousins vs. J. Henson (J. Dudley gains possession)
11:45.0,,,0-2,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
11:23.0,D. Cousins misses 2-pt shot from 3 ft,,0-2,,
11:22.0,Offensive rebound by D. Cousins,,0-2,,
11:19.0,D. Cousins makes 2-pt shot from 1 ft,2,2-2,,
11:09.0,,,2-2,,Turnover by J. Dudley (bad pass; steal by B. McLemore)
11:09.0,,,2-2,,Personal foul by G. Antetokounmpo (drawn by O. Casspi)
10:48.0,B. McLemore makes 3-pt shot from 22 ft (assist by R. Gay),3,5-2,,
10:43.0,,,5-2,,Shooting foul by R. Sessions (drawn by B. Knight)
10:43.0,,,5-2,,B. Knight misses free throw 1 of 2
10:43.0,,,5-2,,Offensive rebound by Team
10:43.0,,,5-3,1,B. Knight makes free throw 2 of 2
10:25.0,O. Casspi misses 2-pt shot from 1 ft (block by J. Henson),,5-3,,
10:23.0,,,5-3,,Defensive rebound by B. Knight
10:21.0,,,5-3,,Turnover by B. Knight (lost ball)
10:03.0,,,5-3,,Def 3 sec tech foul by J. Dudley
10:03.0,D. Cousins misses technical free throw,,5-3,,
10:03.0,Offensive rebound by Team,,5-3,,
9:55.0,R. Gay misses 3-pt shot from 25 ft,,5-3,,
9:54.0,,,5-3,,Defensive rebound by G. Antetokounmpo
9:43.0,,,5-3,,K. Middleton misses 2-pt shot from 1 ft (block by D. Cousins)
9:41.0,,,5-3,,Offensive rebound by J. Henson
9:41.0,,,5-5,2,J. Henson makes 2-pt shot at rim
9:21.0,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins),3,8-5,,
8:57.0,,,8-7,2,K. Middleton makes 2-pt shot from 15 ft
8:45.0,B. McLemore misses 3-pt shot from 23 ft,,8-7,,
8:42.0,Offensive rebound by D. Cousins,,8-7,,
8:36.0,D. Cousins misses 2-pt shot at rim (block by J. Henson),,8-7,,
8:33.0,Offensive rebound by D. Cousins,,8-7,,
8:30.0,O. Casspi makes 2-pt shot from 1 ft (assist by D. Cousins),2,10-7,,
8:14.0,,,10-9,2,J. Henson makes 2-pt shot from 3 ft (assist by B. Knight)
7:58.0,Jump ball: G. Antetokounmpo vs. R. Gay (D. Cousins gains possession),,,,Jump ball: G. Antetokounmpo vs. R. Gay (D. Cousins gains possession)
7:50.0,R. Gay makes 2-pt shot at rim,2,12-9,,
7:37.0,,,12-9,,Shooting foul by B. McLemore (drawn by K. Middleton)
7:37.0,,,12-10,1,K. Middleton makes free throw 1 of 2
7:37.0,,,12-11,1,K. Middleton makes free throw 2 of 2
7:16.0,R. Sessions misses 3-pt shot from 26 ft,,12-11,,
7:15.0,Offensive rebound by O. Casspi,,12-11,,
7:15.0,O. Casspi misses 2-pt shot at rim,,12-11,,
7:13.0,,,12-11,,Defensive rebound by K. Middleton
7:04.0,,,12-11,,J. Dudley misses 3-pt shot from 23 ft
7:03.0,,,12-11,,Offensive rebound by B. Knight
6:58.0,,,12-11,,J. Dudley misses 2-pt shot at rim (block by D. Cousins)
6:57.0,,,12-11,,Offensive rebound by Team
6:54.0,,,12-13,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Dudley)
6:32.0,Turnover by D. Cousins (bad pass; steal by J. Dudley),,12-13,,
6:24.0,,,12-13,,B. Knight misses 3-pt shot from 25 ft
6:24.0,,,12-13,,Offensive rebound by Team
6:24.0,Loose ball foul by B. McLemore (drawn by J. Henson),,12-13,,
6:24.0,N. Stauskas enters the game for B. McLemore,,12-13,,
6:13.0,,,12-15,2,K. Middleton makes 2-pt shot from 9 ft
6:02.0,R. Sessions misses 2-pt shot at rim,,12-15,,
6:00.0,,,12-15,,Defensive rebound by K. Middleton
5:51.0,,,12-17,2,J. Dudley makes 2-pt shot from 7 ft
5:43.0,Sacramento full timeout,,12-17,,
5:43.0,D. Williams enters the game for O. Casspi,,12-17,,
5:35.0,D. Cousins misses 2-pt shot from 3 ft (block by J. Henson),,12-17,,
5:33.0,Offensive rebound by D. Cousins,,12-17,,
5:32.0,Shooting foul by J. Henson (drawn by D. Cousins),,12-17,,
5:32.0,D. Cousins makes free throw 1 of 2,1,13-17,,
5:32.0,,,13-17,,Z. Pachulia enters the game for J. Henson
5:32.0,D. Cousins makes free throw 2 of 2,1,14-17,,
5:18.0,,,14-17,,Z. Pachulia misses 2-pt shot at rim (block by D. Cousins)
5:15.0,,,14-17,,Offensive rebound by K. Middleton
5:09.0,,,14-17,,Z. Pachulia misses 2-pt shot from 19 ft
5:08.0,Defensive rebound by R. Sessions,,14-17,,
5:07.0,Offensive foul by D. Cousins,,14-17,,
5:07.0,Turnover by D. Cousins (offensive foul),,14-17,,
4:54.0,,,14-17,,Z. Pachulia misses 2-pt shot from 7 ft
4:52.0,Defensive rebound by D. Williams,,14-17,,
4:39.0,D. Cousins misses 2-pt shot from 16 ft,,14-17,,
4:37.0,,,14-17,,Defensive rebound by K. Middleton
4:30.0,,,14-17,,Shooting foul by R. Gay (drawn by K. Middleton)
4:30.0,,,14-18,1,K. Middleton makes free throw 1 of 2
4:30.0,,,14-19,1,K. Middleton makes free throw 2 of 2
4:11.0,R. Gay makes 2-pt shot at rim,2,16-19,,
3:59.0,,,16-19,,B. Knight misses 2-pt shot from 1 ft
3:58.0,Defensive rebound by R. Gay,,16-19,,
3:54.0,R. Gay makes 2-pt shot at rim,2,18-19,,
3:30.0,,,18-19,,G. Antetokounmpo misses 2-pt shot from 18 ft
3:29.0,Defensive rebound by D. Williams,,18-19,,
3:24.0,D. Cousins misses 2-pt shot from 1 ft,,18-19,,
3:22.0,,,18-19,,Defensive rebound by Z. Pachulia
3:15.0,,,18-21,2,G. Antetokounmpo makes 2-pt shot at rim
3:05.0,N. Stauskas misses 3-pt shot from 23 ft,,18-21,,
3:03.0,Offensive rebound by D. Cousins,,18-21,,
3:02.0,D. Cousins makes 2-pt shot at rim,2,20-21,,
2:38.0,,,20-24,3,J. Dudley makes 3-pt shot from 26 ft (assist by K. Middleton)
2:17.0,R. Sessions misses 2-pt shot from 1 ft,,20-24,,
2:15.0,,,20-24,,Defensive rebound by G. Antetokounmpo
2:00.0,,,20-27,3,K. Middleton makes 3-pt shot from 23 ft (assist by B. Knight)
2:00.0,Sacramento full timeout,,20-27,,
2:00.0,,,20-27,,Milwaukee full timeout
2:00.0,J. Thompson enters the game for D. Cousins,,20-27,,
2:00.0,R. McCallum enters the game for R. Sessions,,20-27,,
2:00.0,,,20-27,,O. Mayo enters the game for K. Middleton
1:44.0,R. Gay misses 3-pt shot from 26 ft,,20-27,,
1:44.0,Offensive rebound by Team,,20-27,,
1:44.0,,,20-27,,Loose ball foul by Z. Pachulia (drawn by J. Thompson)
1:32.0,D. Williams makes 2-pt shot from 16 ft (assist by N. Stauskas),2,22-27,,
1:15.0,Shooting block foul by N. Stauskas (drawn by O. Mayo),,22-27,,
1:15.0,,,22-28,1,O. Mayo makes free throw 1 of 2
1:15.0,,,22-29,1,O. Mayo makes free throw 2 of 2
0:58.0,R. Gay makes 2-pt shot from 16 ft (assist by J. Thompson),2,24-29,,
0:36.0,,,24-29,,Z. Pachulia misses 2-pt shot at rim
0:34.0,Defensive rebound by D. Williams,,24-29,,
0:28.0,R. McCallum makes 2-pt shot at rim (assist by J. Thompson),2,26-29,,
0:05.0,,,26-29,,G. Antetokounmpo misses 2-pt shot from 4 ft
0:04.0,,,26-29,,Offensive rebound by G. Antetokounmpo
0:03.0,,,26-29,,Turnover by Team (shot clock)
0:00.0,R. McCallum makes 3-pt shot from 27 ft,3,29-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Thompson misses 2-pt shot from 11 ft,,29-29,,
11:47.0,,,29-29,,Defensive rebound by Z. Pachulia
11:33.0,,,29-29,,O. Mayo misses 2-pt shot from 1 ft
11:32.0,Defensive rebound by C. Landry,,29-29,,
11:26.0,Turnover by R. McCallum (lost ball; steal by J. Bayless),,29-29,,
11:19.0,,,29-29,,Turnover by J. Bayless (bad pass; steal by N. Stauskas)
11:16.0,Shooting foul by E. Ilyasova (drawn by N. Stauskas),,29-29,,
11:16.0,N. Stauskas makes free throw 1 of 2,1,30-29,,
11:16.0,N. Stauskas makes free throw 2 of 2,1,31-29,,
11:03.0,,,31-31,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by O. Mayo)
10:45.0,D. Williams makes 3-pt shot from 27 ft,3,34-31,,
10:18.0,,,34-33,2,Z. Pachulia makes 2-pt shot from 3 ft
10:02.0,C. Landry misses 2-pt shot from 17 ft,,34-33,,
10:00.0,Offensive rebound by J. Thompson,,34-33,,
9:59.0,J. Thompson makes 2-pt shot at rim,2,36-33,,
9:59.0,Shooting foul by E. Ilyasova (drawn by J. Thompson),,36-33,,
9:59.0,,,36-33,,J. O'Bryant enters the game for E. Ilyasova
9:59.0,J. Thompson misses free throw 1 of 1,,36-33,,
9:58.0,,,36-33,,Defensive rebound by J. O'Bryant
9:47.0,,,36-35,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by O. Mayo)
9:28.0,R. McCallum misses 2-pt shot from 15 ft,,36-35,,
9:26.0,Offensive rebound by J. Thompson,,36-35,,
9:23.0,Turnover by J. Thompson (bad pass; steal by O. Mayo),,36-35,,
9:20.0,,,36-37,2,O. Mayo makes 2-pt shot at rim
9:06.0,Turnover by J. Thompson (bad pass; steal by J. Bayless),,36-37,,
9:02.0,,,36-37,,Shooting foul by R. McCallum (drawn by J. Bayless)
9:02.0,,,36-38,1,J. Bayless makes free throw 1 of 2
9:02.0,B. McLemore enters the game for N. Stauskas,,36-38,,
9:02.0,,,36-38,,K. Middleton enters the game for G. Antetokounmpo
9:02.0,,,36-39,1,J. Bayless makes free throw 2 of 2
