time,New Orleans,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: A. Davis vs. N. Vucevic (E. Payton gains possession)
11:48.0,,,0-2,2,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton)
11:31.0,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon),2,2-2,,
11:19.0,,,2-2,,N. Vucevic misses 2-pt shot from 15 ft
11:19.0,Defensive rebound by T. Evans,,2-2,,
11:09.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,5-2,,
10:52.0,,,5-2,,E. Fournier misses 2-pt shot from 18 ft
10:51.0,,,5-2,,Offensive rebound by N. Vucevic
10:47.0,,,5-2,,C. Frye misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by A. Davis,,5-2,,
10:31.0,A. Davis misses 2-pt shot from 17 ft,,5-2,,
10:29.0,Offensive rebound by A. Davis,,5-2,,
10:26.0,Turnover by A. Davis (bad pass),,5-2,,
10:12.0,,,5-2,,Turnover by V. Oladipo (bad pass; steal by D. Cunningham)
10:05.0,,,5-2,,Personal foul by C. Frye (drawn by A. Davis)
9:52.0,T. Evans misses 3-pt shot from 23 ft,,5-2,,
9:51.0,,,5-2,,Defensive rebound by Team
9:51.0,Loose ball foul by O. Asik (drawn by C. Frye),,5-2,,
9:41.0,,,5-2,,C. Frye misses 3-pt shot from 25 ft
9:39.0,Defensive rebound by O. Asik,,5-2,,
9:26.0,E. Gordon makes 2-pt shot from 1 ft (assist by O. Asik),2,7-2,,
9:13.0,Violation by T. Evans (kicked ball),,7-2,,
9:06.0,,,7-2,,Turnover by C. Frye (bad pass)
8:52.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,10-2,,
8:36.0,,,10-4,2,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton)
8:19.0,,,10-4,,Personal foul by C. Frye (drawn by A. Davis)
8:19.0,,,10-4,,D. Dedmon enters the game for C. Frye
8:12.0,T. Evans misses 2-pt shot from 11 ft,,10-4,,
8:10.0,,,10-4,,Defensive rebound by N. Vucevic
7:57.0,,,10-6,2,V. Oladipo makes 2-pt shot from 16 ft (assist by E. Payton)
7:34.0,Turnover by A. Davis (lost ball; steal by V. Oladipo),,10-6,,
7:32.0,Personal foul by E. Gordon (drawn by V. Oladipo),,10-6,,
7:25.0,,,10-8,2,V. Oladipo makes 2-pt shot from 13 ft (assist by E. Payton)
6:53.0,,,10-8,,D. Dedmon misses 2-pt shot from 6 ft
6:52.0,Defensive rebound by O. Asik,,10-8,,
6:43.0,Turnover by E. Gordon (step out of bounds),,10-8,,
6:26.0,,,10-8,,V. Oladipo misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by E. Gordon,,10-8,,
6:12.0,Offensive charge foul by A. Davis,,10-8,,
6:12.0,Turnover by A. Davis (offensive foul),,10-8,,
5:54.0,,,10-11,3,E. Fournier makes 3-pt shot from 22 ft (assist by E. Payton)
5:39.0,,,10-11,,Orlando full timeout
5:39.0,T. Evans misses 3-pt shot from 23 ft,,10-11,,
5:39.0,,,10-11,,Defensive rebound by E. Payton
5:34.0,,,10-11,,E. Payton misses 2-pt shot from 1 ft (block by D. Cunningham)
5:33.0,Defensive rebound by O. Asik,,10-11,,
5:16.0,D. Cunningham makes 2-pt shot at rim (assist by T. Evans),2,12-11,,
4:54.0,,,12-11,,N. Vucevic misses 2-pt shot from 12 ft
4:54.0,Defensive rebound by E. Gordon,,12-11,,
4:33.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,14-11,,
4:17.0,,,14-13,2,V. Oladipo makes 2-pt shot at rim
4:01.0,A. Davis misses 2-pt shot from 21 ft,,14-13,,
4:01.0,,,14-13,,Defensive rebound by E. Payton
3:51.0,,,14-15,2,V. Oladipo makes 2-pt shot from 14 ft
3:28.0,,,14-15,,Personal foul by E. Fournier (drawn by O. Asik)
3:28.0,Q. Pondexter enters the game for D. Cunningham,,14-15,,
3:16.0,O. Asik makes 2-pt shot at rim (assist by T. Evans),2,16-15,,
3:08.0,,,16-15,,N. Vucevic misses 2-pt shot from 20 ft
3:07.0,Defensive rebound by A. Davis,,16-15,,
2:56.0,Shooting foul by E. Payton (drawn by T. Evans),,16-15,,
2:56.0,New Orleans full timeout,,16-15,,
2:56.0,R. Anderson enters the game for O. Asik,,16-15,,
2:56.0,L. Babbitt enters the game for E. Gordon,,16-15,,
2:56.0,,,16-15,,W. Green enters the game for E. Payton
2:56.0,T. Evans misses free throw 1 of 2,,16-15,,
2:56.0,Offensive rebound by Team,,16-15,,
2:56.0,T. Evans makes free throw 2 of 2,1,17-15,,
2:43.0,,,17-17,2,D. Dedmon makes 2-pt shot from 2 ft (assist by V. Oladipo)
2:20.0,Q. Pondexter makes 2-pt shot from 1 ft (assist by A. Davis),2,19-17,,
2:04.0,,,19-17,,V. Oladipo misses 2-pt shot from 1 ft
2:04.0,,,19-17,,Offensive rebound by Team
2:04.0,,,19-17,,A. Nicholson enters the game for N. Vucevic
2:04.0,,,19-17,,A. Gordon enters the game for E. Fournier
1:57.0,,,19-17,,Turnover by A. Gordon (bad pass; steal by L. Babbitt)
1:50.0,Turnover by T. Evans (bad pass; steal by D. Dedmon),,19-17,,
1:41.0,,,19-19,2,W. Green makes 2-pt shot from 2 ft
1:21.0,,,19-19,,Shooting block foul by V. Oladipo (drawn by T. Evans)
1:21.0,T. Evans misses free throw 1 of 2,,19-19,,
1:21.0,Offensive rebound by Team,,19-19,,
1:21.0,T. Evans makes free throw 2 of 2,1,20-19,,
1:04.0,,,20-19,,A. Nicholson misses 2-pt shot from 7 ft
1:04.0,Defensive rebound by L. Babbitt,,20-19,,
0:51.0,T. Evans misses 2-pt shot from 2 ft (block by A. Gordon),,20-19,,
0:50.0,,,20-19,,Defensive rebound by A. Gordon
0:32.0,,,20-19,,V. Oladipo misses 2-pt shot at rim (block by A. Davis)
0:30.0,Defensive rebound by A. Davis,,20-19,,
0:20.0,T. Evans misses 3-pt shot from 25 ft,,20-19,,
0:20.0,Offensive rebound by A. Davis,,20-19,,
0:16.0,A. Davis misses 2-pt shot from 18 ft,,20-19,,
0:16.0,Offensive rebound by A. Davis,,20-19,,
0:03.0,Shooting foul by A. Gordon (drawn by Q. Pondexter),,20-19,,
0:03.0,Q. Pondexter misses free throw 1 of 2,,20-19,,
0:03.0,Offensive rebound by Team,,20-19,,
0:03.0,J. Fredette enters the game for T. Evans,,20-19,,
0:03.0,A. Ajinca enters the game for A. Davis,,20-19,,
0:03.0,,,20-19,,E. Payton enters the game for A. Gordon
0:03.0,,,20-19,,C. Frye enters the game for D. Dedmon
0:03.0,Q. Pondexter misses free throw 2 of 2,,20-19,,
0:02.0,,,20-19,,Defensive rebound by W. Green
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,R. Anderson makes 2-pt shot from 1 ft (assist by A. Ajinca),2,22-19,,
11:19.0,,,22-19,,A. Nicholson misses 2-pt shot from 4 ft (block by A. Ajinca)
