time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Mozgov (D. Green gains possession),,,,Jump ball: A. Bogut vs. T. Mozgov (D. Green gains possession)
11:43.0,,,0-0,,D. Green misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by I. Shumpert,,0-0,,
11:27.0,Turnover by L. James (lost ball; steal by K. Thompson),,0-0,,
11:17.0,,,0-0,,K. Thompson misses 3-pt shot from 26 ft
11:16.0,Defensive rebound by L. James,,0-0,,
11:07.0,L. James misses 2-pt shot from 9 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by D. Green
10:44.0,,,0-2,2,K. Thompson makes 2-pt shot from 14 ft
10:22.0,L. James misses 2-pt shot from 12 ft,,0-2,,
10:21.0,,,0-2,,Defensive rebound by A. Bogut
10:09.0,,,0-2,,A. Bogut misses 2-pt shot from 1 ft (block by T. Thompson)
10:08.0,Defensive rebound by I. Shumpert,,0-2,,
10:05.0,M. Dellavedova misses 3-pt shot from 26 ft,,0-2,,
10:03.0,,,0-2,,Defensive rebound by A. Bogut
9:57.0,,,0-4,2,K. Thompson makes 2-pt shot from 9 ft
9:38.0,I. Shumpert makes 2-pt shot from 1 ft,2,2-4,,
9:20.0,,,2-4,,H. Barnes misses 3-pt shot from 25 ft
9:19.0,Defensive rebound by T. Mozgov,,2-4,,
9:14.0,L. James makes 2-pt shot from 2 ft (assist by I. Shumpert),2,4-4,,
9:01.0,,,4-4,,Shooting foul by M. Dellavedova (drawn by D. Green)
9:01.0,,,4-5,1,D. Green makes free throw 1 of 2
9:01.0,,,4-6,1,D. Green makes free throw 2 of 2
8:41.0,L. James makes 2-pt shot from 16 ft,2,6-6,,
8:28.0,,,6-9,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
8:16.0,,,6-9,,Personal foul by K. Thompson (drawn by M. Dellavedova)
8:01.0,I. Shumpert misses 2-pt shot from 2 ft,,6-9,,
8:00.0,Offensive rebound by Team,,6-9,,
7:56.0,T. Thompson misses 2-pt shot from 10 ft,,6-9,,
7:55.0,,,6-9,,Defensive rebound by A. Bogut
7:43.0,,,6-11,2,K. Thompson makes 2-pt shot from 16 ft
7:28.0,L. James makes 2-pt shot from 17 ft,2,8-11,,
7:22.0,,,8-11,,K. Thompson misses 3-pt shot from 23 ft
7:21.0,,,8-11,,Offensive rebound by H. Barnes
7:12.0,,,8-11,,Turnover by S. Curry (bad pass; steal by T. Thompson)
7:09.0,Shooting foul by K. Thompson (drawn by I. Shumpert),,8-11,,
7:09.0,I. Shumpert makes free throw 1 of 2,1,9-11,,
7:09.0,,,9-11,,L. Barbosa enters the game for K. Thompson
7:09.0,J. Smith enters the game for M. Dellavedova,,9-11,,
7:09.0,I. Shumpert makes free throw 2 of 2,1,10-11,,
7:01.0,Personal foul by T. Thompson (drawn by S. Curry),,10-11,,
7:01.0,,,10-12,1,S. Curry makes free throw 1 of 2
7:01.0,,,10-13,1,S. Curry makes free throw 2 of 2
6:44.0,Offensive foul by T. Mozgov,,10-13,,
6:44.0,Turnover by T. Mozgov (offensive foul),,10-13,,
6:38.0,,,10-13,,H. Barnes misses 3-pt shot from 23 ft
6:36.0,,,10-13,,Offensive rebound by L. Barbosa
6:34.0,,,10-15,2,L. Barbosa makes 2-pt shot from 2 ft
6:25.0,,,10-15,,Personal foul by L. Barbosa (drawn by J. Smith)
6:12.0,L. James misses 2-pt shot from 9 ft,,10-15,,
6:11.0,,,10-15,,Defensive rebound by D. Green
6:03.0,,,10-15,,Turnover by D. Green (bad pass)
5:42.0,J. Smith makes 2-pt shot from 2 ft,2,12-15,,
5:39.0,Personal foul by J. Smith (drawn by L. Barbosa),,12-15,,
5:39.0,,,12-15,,Golden State full timeout
5:39.0,,,12-15,,A. Iguodala enters the game for H. Barnes
5:27.0,,,12-15,,D. Green misses 2-pt shot from 2 ft
5:26.0,,,12-15,,Offensive rebound by A. Bogut
5:19.0,,,12-15,,S. Curry misses 3-pt shot from 29 ft
5:18.0,Defensive rebound by J. Smith,,12-15,,
5:10.0,T. Thompson misses 2-pt shot from 3 ft (block by D. Green),,12-15,,
5:08.0,Offensive rebound by T. Thompson,,12-15,,
4:57.0,L. James misses 2-pt shot from 10 ft,,12-15,,
4:56.0,Offensive rebound by T. Mozgov,,12-15,,
4:54.0,T. Mozgov misses 2-pt shot from 4 ft,,12-15,,
4:51.0,,,12-15,,Defensive rebound by A. Bogut
4:30.0,,,12-15,,S. Curry misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by T. Thompson,,12-15,,
4:17.0,J. Smith misses 2-pt shot from 14 ft,,12-15,,
