time,Cleveland,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. H. Whiteside (T. Thompson gains possession),,,,Jump ball: T. Mozgov vs. H. Whiteside (T. Thompson gains possession)
11:40.0,L. James makes 2-pt shot from 12 ft,2,2-0,,
11:19.0,,,2-0,,D. Wade misses 2-pt shot from 11 ft
11:18.0,Defensive rebound by Team,,2-0,,
11:00.0,L. James misses 2-pt shot from 12 ft,,2-0,,
10:59.0,,,2-0,,Defensive rebound by H. Whiteside
10:44.0,,,2-0,,L. Deng misses 2-pt shot from 2 ft
10:43.0,,,2-0,,Offensive rebound by H. Whiteside
10:43.0,,,2-2,2,H. Whiteside makes 2-pt shot from 4 ft
10:43.0,,,2-2,,Shooting foul by T. Thompson (drawn by H. Whiteside)
10:43.0,,,2-3,1,H. Whiteside makes free throw 1 of 1
10:29.0,K. Irving misses 2-pt shot from 3 ft,,2-3,,
10:28.0,,,2-3,,Defensive rebound by D. Wade
10:23.0,,,2-5,2,G. Dragic makes 2-pt shot from 13 ft (assist by L. Deng)
10:02.0,K. Irving misses 2-pt shot from 20 ft,,2-5,,
10:01.0,,,2-5,,Defensive rebound by U. Haslem
9:44.0,,,2-7,2,H. Whiteside makes 2-pt shot from 14 ft (assist by G. Dragic)
9:24.0,J. Smith misses 3-pt shot from 23 ft,,2-7,,
9:23.0,,,2-7,,Defensive rebound by H. Whiteside
9:11.0,,,2-9,2,D. Wade makes 2-pt shot from 8 ft
8:57.0,K. Irving makes 3-pt shot from 24 ft,3,5-9,,
8:43.0,,,5-11,2,L. Deng makes 2-pt shot from 20 ft (assist by G. Dragic)
8:39.0,,,5-11,,Personal foul by H. Whiteside (drawn by T. Mozgov)
8:30.0,K. Irving misses 2-pt shot from 1 ft (block by H. Whiteside),,5-11,,
8:29.0,,,5-11,,Defensive rebound by L. Deng
8:20.0,,,5-13,2,G. Dragic makes 2-pt shot from 13 ft (assist by L. Deng)
8:08.0,Turnover by T. Mozgov (bad pass; steal by D. Wade),,5-13,,
8:06.0,Personal foul by K. Irving (drawn by D. Wade),,5-13,,
8:01.0,,,5-15,2,L. Deng makes 2-pt shot from 19 ft (assist by G. Dragic)
8:01.0,Cleveland full timeout,,5-15,,
7:48.0,T. Mozgov makes 2-pt shot from 3 ft,2,7-15,,
7:30.0,,,7-17,2,L. Deng makes 2-pt shot from 6 ft (assist by D. Wade)
7:13.0,T. Thompson makes 2-pt shot from 9 ft (assist by L. James),2,9-17,,
7:00.0,,,9-17,,Shooting foul by J. Smith (drawn by D. Wade)
7:00.0,,,9-17,,D. Wade misses free throw 1 of 2
7:00.0,,,9-17,,Offensive rebound by Team
7:00.0,,,9-18,1,D. Wade makes free throw 2 of 2
6:49.0,T. Thompson misses 2-pt shot from 3 ft,,9-18,,
6:48.0,Offensive rebound by T. Thompson,,9-18,,
6:37.0,Shooting foul by L. Deng (drawn by L. James),,9-18,,
6:37.0,L. James makes free throw 1 of 2,1,10-18,,
6:37.0,,,10-18,,M. Chalmers enters the game for G. Dragic
6:37.0,L. James makes free throw 2 of 2,1,11-18,,
6:20.0,,,11-18,,D. Wade misses 2-pt shot from 12 ft
6:19.0,Defensive rebound by J. Smith,,11-18,,
6:06.0,J. Smith misses 3-pt shot from 23 ft,,11-18,,
6:05.0,,,11-18,,Defensive rebound by D. Wade
5:58.0,,,11-20,2,D. Wade makes 2-pt shot from 18 ft
5:45.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,13-20,,
5:28.0,,,13-20,,Turnover by U. Haslem (bad pass)
5:07.0,T. Thompson makes 2-pt shot from 16 ft (assist by J. Smith),2,15-20,,
5:06.0,,,15-20,,Miami full timeout
5:06.0,I. Shumpert enters the game for L. James,,15-20,,
4:53.0,,,15-20,,H. Whiteside misses 2-pt shot from 14 ft
4:52.0,Defensive rebound by T. Thompson,,15-20,,
4:32.0,T. Thompson misses 2-pt shot from 2 ft,,15-20,,
4:31.0,,,15-20,,Defensive rebound by L. Deng
4:20.0,,,15-22,2,M. Chalmers makes 2-pt shot from 13 ft (assist by U. Haslem)
3:54.0,J. Smith makes 2-pt shot from 19 ft,2,17-22,,
3:40.0,,,17-22,,Turnover by M. Chalmers (lost ball)
3:40.0,,,17-22,,H. Walker enters the game for U. Haslem
3:40.0,,,17-22,,G. Dragic enters the game for D. Wade
3:40.0,J. Jones enters the game for T. Thompson,,17-22,,
3:23.0,K. Irving makes 2-pt shot from 1 ft,2,19-22,,
3:00.0,,,19-22,,G. Dragic misses 2-pt shot from 7 ft
2:59.0,Defensive rebound by T. Mozgov,,19-22,,
2:51.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,21-22,,
2:51.0,Shooting foul by H. Walker (drawn by T. Mozgov),,21-22,,
2:51.0,T. Mozgov makes free throw 1 of 1,1,22-22,,
2:35.0,,,22-22,,L. Deng misses 2-pt shot from 3 ft
2:34.0,Defensive rebound by T. Mozgov,,22-22,,
2:26.0,K. Irving misses 2-pt shot from 7 ft (block by H. Whiteside),,22-22,,
2:25.0,,,22-22,,Defensive rebound by H. Walker
2:20.0,,,22-22,,M. Chalmers misses 3-pt shot from 25 ft
2:19.0,,,22-22,,Offensive rebound by G. Dragic
2:11.0,,,22-25,3,M. Chalmers makes 3-pt shot from 24 ft (assist by G. Dragic)
1:52.0,I. Shumpert misses 2-pt shot from 17 ft,,22-25,,
1:51.0,,,22-25,,Defensive rebound by H. Whiteside
1:34.0,,,22-25,,Turnover by L. Deng (lost ball; steal by I. Shumpert)
1:27.0,J. Jones misses 3-pt shot from 24 ft,,22-25,,
1:26.0,,,22-25,,Defensive rebound by M. Chalmers
1:21.0,,,22-25,,Turnover by M. Chalmers (lost ball; steal by I. Shumpert)
1:10.0,I. Shumpert misses 3-pt shot from 24 ft,,22-25,,
1:08.0,,,22-25,,Defensive rebound by H. Whiteside
0:59.0,,,22-25,,Shooting foul by K. Irving (drawn by M. Chalmers)
0:59.0,,,22-26,1,M. Chalmers makes free throw 1 of 2
