time,Oklahoma City,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (T. Evans gains possession),,,,Jump ball: S. Adams vs. A. Davis (T. Evans gains possession)
11:42.0,,,0-0,,E. Gordon misses 2-pt shot from 2 ft
11:37.0,Defensive rebound by A. Roberson,,0-0,,
11:26.0,Shooting foul by T. Evans (drawn by D. Waiters),,0-0,,
11:26.0,D. Waiters misses free throw 1 of 2,,0-0,,
11:26.0,Offensive rebound by Team,,0-0,,
11:26.0,D. Waiters misses free throw 2 of 2,,0-0,,
11:24.0,,,0-0,,Defensive rebound by E. Gordon
11:18.0,,,0-0,,Shooting foul by A. Roberson (drawn by O. Asik)
11:18.0,,,0-0,,O. Asik misses free throw 1 of 2
11:18.0,,,0-0,,Offensive rebound by Team
11:18.0,,,0-0,,O. Asik misses free throw 2 of 2
11:18.0,Defensive rebound by Team,,0-0,,
11:11.0,R. Westbrook makes 2-pt shot from 16 ft (assist by A. Roberson),2,2-0,,
10:51.0,,,2-2,2,D. Cunningham makes 2-pt shot from 21 ft (assist by A. Davis)
10:35.0,D. Waiters makes 2-pt shot from 14 ft,2,4-2,,
10:20.0,,,4-2,,Turnover by E. Gordon (lost ball; steal by D. Waiters)
10:15.0,R. Westbrook makes 2-pt shot from 1 ft (assist by D. Waiters),2,6-2,,
10:08.0,,,6-4,2,D. Cunningham makes 2-pt shot from 4 ft (assist by T. Evans)
9:51.0,S. Adams misses 2-pt shot from 4 ft,,6-4,,
9:49.0,,,6-4,,Defensive rebound by A. Davis
9:40.0,,,6-7,3,T. Evans makes 3-pt shot from 25 ft (assist by E. Gordon)
9:27.0,R. Westbrook makes 2-pt shot from 1 ft,2,8-7,,
9:01.0,,,8-9,2,T. Evans makes 2-pt shot from 2 ft
8:50.0,,,8-9,,Violation by E. Gordon (kicked ball)
8:43.0,R. Westbrook makes 2-pt shot from 5 ft (assist by S. Adams),2,10-9,,
8:25.0,,,10-11,2,A. Davis makes 2-pt shot from 12 ft
8:04.0,Turnover by D. Waiters (bad pass; steal by A. Davis),,10-11,,
7:51.0,,,10-11,,Shooting foul by S. Ibaka (drawn by O. Asik)
7:51.0,,,10-12,1,O. Asik makes free throw 1 of 2
7:51.0,,,10-13,1,O. Asik makes free throw 2 of 2
7:39.0,D. Waiters misses 2-pt shot from 18 ft,,10-13,,
7:38.0,Offensive rebound by S. Ibaka,,10-13,,
7:35.0,S. Ibaka misses 2-pt shot from 1 ft (block by A. Davis),,10-13,,
7:33.0,,,10-13,,Defensive rebound by O. Asik
