time,Orlando,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: N. Noel vs. N. Vucevic (C. Frye gains possession)
11:46.0,,,0-0,,Personal foul by T. Wroten (drawn by C. Frye)
11:39.0,C. Frye misses 3-pt shot from 25 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by T. Wroten
11:28.0,,,0-2,2,L. Mbah a Moute makes 2-pt shot at rim (assist by B. Davies)
11:16.0,,,0-2,,Personal foul by L. Mbah a Moute (drawn by C. Frye)
11:10.0,T. Harris makes 2-pt shot at rim,2,2-2,,
10:55.0,,,2-2,,Turnover by T. Wroten (traveling)
10:46.0,E. Fournier misses 3-pt shot from 26 ft,,2-2,,
10:44.0,Offensive rebound by N. Vucevic,,2-2,,
10:41.0,N. Vucevic makes 2-pt shot at rim,2,4-2,,
10:32.0,,,4-4,2,B. Davies makes 2-pt shot from 6 ft (assist by T. Wroten)
10:17.0,N. Vucevic makes 2-pt shot from 1 ft,2,6-4,,
9:58.0,,,6-6,2,N. Noel makes 2-pt shot from 16 ft (assist by T. Wroten)
9:42.0,C. Frye misses 3-pt shot from 24 ft,,6-6,,
9:39.0,Offensive rebound by T. Harris,,6-6,,
9:29.0,Turnover by C. Frye (bad pass; steal by T. Wroten),,6-6,,
9:23.0,,,6-8,2,T. Wroten makes 2-pt shot from 1 ft
9:17.0,E. Payton makes 2-pt shot from 1 ft,2,8-8,,
9:04.0,,,8-11,3,H. Thompson makes 3-pt shot from 25 ft (assist by L. Mbah a Moute)
8:53.0,N. Vucevic misses 2-pt shot from 13 ft,,8-11,,
8:51.0,,,8-11,,Defensive rebound by H. Thompson
8:39.0,,,8-11,,H. Sims enters the game for N. Noel
8:30.0,,,8-11,,H. Sims misses 2-pt shot from 19 ft
8:25.0,Defensive rebound by Team,,8-11,,
8:23.0,,,8-11,,Loose ball foul by H. Sims (drawn by N. Vucevic)
8:17.0,Turnover by E. Payton (bad pass; steal by H. Sims),,8-11,,
8:12.0,,,8-11,,Turnover by T. Wroten (bad pass; steal by E. Payton)
8:03.0,E. Payton makes 2-pt shot at rim,2,10-11,,
7:56.0,,,10-11,,L. Mbah a Moute misses 3-pt shot from 27 ft
7:54.0,Defensive rebound by E. Payton,,10-11,,
7:51.0,E. Fournier makes 2-pt shot at rim,2,12-11,,
7:51.0,Shooting foul by L. Mbah a Moute (drawn by E. Fournier),,12-11,,
7:51.0,,,12-11,,N. Noel enters the game for H. Sims
7:51.0,E. Fournier makes free throw 1 of 1,1,13-11,,
7:35.0,,,13-11,,T. Wroten misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by E. Fournier,,13-11,,
7:29.0,E. Fournier makes 2-pt shot at rim,2,15-11,,
7:10.0,,,15-11,,Turnover by T. Wroten (bad pass; steal by C. Frye)
7:04.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,17-11,,
7:04.0,,,17-11,,Philadelphia full timeout
7:04.0,,,17-11,,K. McDaniels enters the game for L. Mbah a Moute
6:52.0,,,17-11,,Shooting foul by E. Payton (drawn by B. Davies)
6:52.0,,,17-12,1,B. Davies makes free throw 1 of 2
6:52.0,,,17-12,,B. Davies misses free throw 2 of 2
6:52.0,Defensive rebound by C. Frye,,17-12,,
6:31.0,C. Frye misses 3-pt shot from 24 ft,,17-12,,
6:28.0,,,17-12,,Defensive rebound by K. McDaniels
6:13.0,,,17-12,,T. Wroten misses 2-pt shot at rim (block by E. Payton)
6:13.0,,,17-12,,Offensive rebound by Team
6:13.0,,,17-12,,H. Sims enters the game for B. Davies
6:13.0,A. Gordon enters the game for C. Frye,,17-12,,
6:10.0,,,17-12,,H. Sims misses 2-pt shot from 17 ft
6:07.0,,,17-12,,Offensive rebound by H. Sims
6:05.0,,,17-15,3,T. Wroten makes 3-pt shot from 24 ft (assist by H. Sims)
5:48.0,Turnover by E. Payton (lost ball; steal by T. Wroten),,17-15,,
5:42.0,,,17-15,,Turnover by T. Wroten (lost ball)
5:28.0,N. Vucevic makes 2-pt shot from 4 ft,2,19-15,,
5:14.0,,,19-15,,H. Thompson misses 3-pt shot from 24 ft
5:13.0,Defensive rebound by A. Gordon,,19-15,,
5:05.0,Orlando full timeout,,19-15,,
5:05.0,L. Ridnour enters the game for E. Payton,,19-15,,
