time,Washington,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. M. Gortat (N. Cole gains possession),,,,Jump ball: C. Bosh vs. M. Gortat (N. Cole gains possession)
11:37.0,,,0-0,,L. Deng misses 2-pt shot from 3 ft (block by G. Temple)
11:36.0,,,0-0,,Offensive rebound by C. Bosh
11:31.0,,,0-3,3,C. Bosh makes 3-pt shot from 23 ft
11:05.0,P. Pierce makes 3-pt shot from 27 ft (assist by D. Gooden),3,3-3,,
10:48.0,,,3-3,,C. Bosh misses 3-pt shot from 24 ft
10:47.0,,,3-3,,Offensive rebound by L. Deng
10:47.0,,,3-3,,Shooting foul by P. Pierce (drawn by L. Deng)
10:47.0,,,3-4,1,L. Deng makes free throw 1 of 2
10:47.0,,,3-5,1,L. Deng makes free throw 2 of 2
10:27.0,D. Gooden misses 2-pt shot from 10 ft,,3-5,,
10:25.0,,,3-5,,Defensive rebound by C. Bosh
10:20.0,,,3-5,,S. Williams misses 2-pt shot from 1 ft
10:19.0,Defensive rebound by D. Gooden,,3-5,,
10:10.0,G. Temple misses 3-pt shot from 23 ft,,3-5,,
10:09.0,,,3-5,,Defensive rebound by L. Deng
10:01.0,,,3-5,,N. Cole misses 2-pt shot from 19 ft
10:00.0,Defensive rebound by G. Temple,,3-5,,
9:54.0,Turnover by J. Wall (lost ball; steal by D. Wade),,3-5,,
9:48.0,,,3-5,,N. Cole misses 3-pt shot from 24 ft
9:48.0,,,3-5,,Offensive rebound by S. Williams
9:41.0,,,3-5,,D. Wade misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by P. Pierce,,3-5,,
9:29.0,P. Pierce makes 2-pt shot at rim (assist by J. Wall),2,5-5,,
9:15.0,,,5-7,2,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade)
8:56.0,D. Gooden misses 2-pt shot from 18 ft,,5-7,,
8:55.0,,,5-7,,Defensive rebound by C. Bosh
8:43.0,,,5-7,,L. Deng misses 3-pt shot from 26 ft
8:42.0,Defensive rebound by G. Temple,,5-7,,
8:29.0,D. Gooden makes 2-pt shot from 5 ft (assist by J. Wall),2,7-7,,
8:08.0,,,7-7,,S. Williams misses 3-pt shot from 25 ft
8:07.0,Defensive rebound by J. Wall,,7-7,,
8:00.0,Turnover by J. Wall (bad pass; steal by C. Bosh),,7-7,,
7:56.0,,,7-7,,Turnover by N. Cole (bad pass)
7:41.0,G. Temple misses 3-pt shot from 23 ft,,7-7,,
7:40.0,Offensive rebound by G. Temple,,7-7,,
7:37.0,G. Temple misses 2-pt shot from 2 ft (block by C. Bosh),,7-7,,
7:36.0,,,7-7,,Defensive rebound by N. Cole
7:20.0,,,7-9,2,D. Wade makes 2-pt shot from 5 ft
7:02.0,M. Gortat misses 2-pt shot from 16 ft,,7-9,,
7:01.0,Offensive rebound by D. Gooden,,7-9,,
7:00.0,D. Gooden makes 2-pt shot at rim,2,9-9,,
6:44.0,,,9-9,,S. Williams misses 3-pt shot from 25 ft
6:43.0,Defensive rebound by M. Gortat,,9-9,,
6:36.0,Shooting foul by S. Williams (drawn by M. Gortat),,9-9,,
6:36.0,M. Gortat makes free throw 1 of 2,1,10-9,,
6:36.0,,,10-9,,C. Andersen enters the game for C. Bosh
6:36.0,M. Gortat makes free throw 2 of 2,1,11-9,,
6:26.0,,,11-9,,Turnover by N. Cole (lost ball; steal by J. Wall)
6:23.0,Washington full timeout,,11-9,,
6:09.0,P. Pierce makes 2-pt shot from 18 ft,2,13-9,,
5:54.0,,,13-11,2,L. Deng makes 2-pt shot at rim (assist by D. Wade)
5:36.0,P. Pierce misses 3-pt shot from 24 ft,,13-11,,
5:35.0,,,13-11,,Defensive rebound by S. Williams
5:32.0,,,13-11,,Turnover by L. Deng (lost ball)
5:18.0,Turnover by G. Temple (bad pass; steal by C. Andersen),,13-11,,
5:13.0,,,13-13,2,N. Cole makes 2-pt shot at rim
5:05.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,15-13,,
4:38.0,,,15-16,3,N. Cole makes 3-pt shot from 24 ft (assist by S. Williams)
4:19.0,Turnover by D. Gooden (bad pass; steal by S. Williams),,15-16,,
4:16.0,,,15-16,,Shooting foul by D. Gooden (drawn by S. Williams)
4:16.0,,,15-17,1,S. Williams makes free throw 1 of 2
4:16.0,,,15-17,,M. Chalmers enters the game for D. Wade
4:16.0,,,15-17,,S. Williams misses free throw 2 of 2
4:15.0,Defensive rebound by D. Gooden,,15-17,,
