time,Utah,pts.away,score,pts.home,Detroit
3:39.0,,,91-91,,K. Caldwell-Pope misses 3-pt shot from 23 ft
3:38.0,Defensive rebound by A. Burks,,91-91,,
3:32.0,Turnover by G. Hayward (bad pass),,91-91,,
3:32.0,,,91-91,,G. Monroe enters the game for A. Drummond
3:20.0,,,91-91,,Shooting foul by E. Kanter (drawn by K. Caldwell-Pope)
3:20.0,,,91-91,,K. Caldwell-Pope misses free throw 1 of 2
3:20.0,,,91-91,,Offensive rebound by Team
3:20.0,,,91-91,,K. Caldwell-Pope misses free throw 2 of 2
3:19.0,Defensive rebound by D. Favors,,91-91,,
3:07.0,Turnover by G. Hayward (bad pass; steal by C. Butler),,91-91,,
3:01.0,,,91-91,,J. Smith misses 2-pt shot at rim
2:59.0,,,91-91,,Offensive rebound by G. Monroe
2:58.0,,,91-91,,G. Monroe misses 2-pt shot at rim
2:57.0,Defensive rebound by E. Kanter,,91-91,,
2:55.0,Turnover by G. Hayward (lost ball; steal by G. Monroe),,91-91,,
2:50.0,,,91-93,2,J. Smith makes 2-pt shot from 4 ft (assist by G. Monroe)
2:37.0,G. Hayward makes 2-pt shot from 19 ft,2,93-93,,
2:13.0,,,93-93,,Shooting foul by E. Kanter (drawn by J. Smith)
2:13.0,Official timeout,,93-93,,
2:13.0,,,93-93,,J. Smith misses free throw 1 of 2
2:13.0,,,93-93,,Offensive rebound by Team
2:13.0,,,93-94,1,J. Smith makes free throw 2 of 2
2:00.0,G. Hayward makes 3-pt shot from 27 ft (assist by D. Favors),3,96-94,,
1:35.0,,,96-94,,B. Jennings misses 3-pt shot from 23 ft
1:34.0,Defensive rebound by G. Hayward,,96-94,,
1:24.0,Shooting foul by C. Butler (drawn by G. Hayward),,96-94,,
1:24.0,G. Hayward misses free throw 1 of 2,,96-94,,
1:24.0,Offensive rebound by Team,,96-94,,
1:24.0,G. Hayward makes free throw 2 of 2,1,97-94,,
1:24.0,,,97-94,,Detroit full timeout
1:24.0,T. Booker enters the game for E. Kanter,,97-94,,
1:02.0,,,97-94,,K. Caldwell-Pope misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by G. Hayward,,97-94,,
0:40.0,A. Burks misses 2-pt shot from 9 ft,,97-94,,
0:38.0,Offensive rebound by D. Favors,,97-94,,
0:37.0,Turnover by D. Favors (lost ball; steal by C. Butler),,97-94,,
0:28.0,,,97-96,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
0:06.0,G. Hayward misses 3-pt shot from 26 ft,,97-96,,
0:05.0,,,97-96,,Defensive rebound by J. Smith
0:05.0,,,97-96,,Detroit full timeout
0:03.0,,,97-96,,B. Jennings misses 2-pt shot from 8 ft
0:00.0,,,97-96,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
