time,Utah,pts.away,score,pts.home,Detroit
11:26.0,D. Exum makes free throw 1 of 3,1,28-23,,
11:26.0,D. Exum makes free throw 2 of 3,1,29-23,,
11:26.0,D. Exum makes free throw 3 of 3,1,30-23,,
11:04.0,,,30-23,,A. Drummond misses 2-pt shot from 5 ft
11:03.0,,,30-23,,Offensive rebound by Team
10:50.0,,,30-23,,D. Augustin misses 2-pt shot at rim
10:48.0,Defensive rebound by D. Exum,,30-23,,
10:44.0,J. Ingles makes 3-pt shot from 26 ft (assist by D. Exum),3,33-23,,
10:27.0,,,33-25,2,J. Jerebko makes 2-pt shot from 3 ft (assist by K. Singler)
10:11.0,R. Gobert makes 2-pt shot at rim (assist by T. Booker),2,35-25,,
10:00.0,,,35-25,,Shooting foul by D. Exum (drawn by D. Augustin)
10:00.0,,,35-26,1,D. Augustin makes free throw 1 of 2
10:00.0,T. Burke enters the game for D. Exum,,35-26,,
10:00.0,,,35-27,1,D. Augustin makes free throw 2 of 2
9:45.0,G. Hayward misses 2-pt shot from 19 ft,,35-27,,
9:44.0,,,35-27,,Defensive rebound by A. Drummond
9:20.0,,,35-29,2,A. Drummond makes 2-pt shot from 1 ft (assist by D. Augustin)
8:59.0,J. Ingles makes 3-pt shot from 26 ft,3,38-29,,
8:44.0,Official timeout,,38-29,,
8:44.0,,,38-29,,Turnover by A. Drummond (lost ball)
8:44.0,Jump ball: A. Drummond vs. G. Hayward (J. Ingles gains possession),,,,Jump ball: A. Drummond vs. G. Hayward (J. Ingles gains possession)
8:24.0,,,38-29,,Personal foul by J. Jerebko (drawn by G. Hayward)
8:24.0,D. Favors enters the game for R. Gobert,,38-29,,
8:16.0,Turnover by D. Favors (bad pass; steal by D. Augustin),,38-29,,
8:08.0,,,38-29,,J. Jerebko misses 2-pt shot from 13 ft
8:07.0,Defensive rebound by T. Booker,,38-29,,
8:03.0,Turnover by J. Ingles (traveling),,38-29,,
8:03.0,,,38-29,,K. Caldwell-Pope enters the game for C. Butler
7:48.0,,,38-31,2,D. Augustin makes 2-pt shot from 16 ft
7:38.0,T. Burke misses 2-pt shot from 10 ft,,38-31,,
7:37.0,,,38-31,,Defensive rebound by A. Drummond
7:25.0,,,38-31,,Turnover by D. Augustin (lost ball)
7:25.0,E. Kanter enters the game for T. Booker,,38-31,,
7:10.0,D. Favors misses 2-pt shot from 16 ft,,38-31,,
7:08.0,,,38-31,,Defensive rebound by A. Drummond
6:55.0,,,38-31,,J. Jerebko misses 2-pt shot at rim
6:54.0,Defensive rebound by J. Ingles,,38-31,,
6:40.0,E. Kanter misses 2-pt shot from 4 ft (block by A. Drummond),,38-31,,
6:39.0,Offensive rebound by T. Burke,,38-31,,
6:32.0,G. Hayward misses 2-pt shot from 5 ft,,38-31,,
6:30.0,,,38-31,,Defensive rebound by A. Drummond
6:28.0,,,38-31,,Shooting foul by T. Burke (drawn by D. Augustin)
6:28.0,,,38-32,1,D. Augustin makes free throw 1 of 2
6:28.0,,,38-32,,J. Smith enters the game for J. Jerebko
6:28.0,,,38-32,,D. Augustin misses free throw 2 of 2
6:25.0,Defensive rebound by E. Kanter,,38-32,,
6:15.0,T. Burke misses 3-pt shot from 25 ft,,38-32,,
6:14.0,,,38-32,,Defensive rebound by J. Smith
6:11.0,,,38-32,,Shooting foul by T. Burke (drawn by D. Augustin)
6:11.0,,,38-33,1,D. Augustin makes free throw 1 of 2
6:11.0,,,38-34,1,D. Augustin makes free throw 2 of 2
