time,Milwaukee,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. T. Thompson (K. Irving gains possession),,,,Jump ball: Z. Pachulia vs. T. Thompson (K. Irving gains possession)
11:41.0,,,0-0,,K. Irving misses 3-pt shot from 23 ft
11:40.0,Defensive rebound by G. Antetokounmpo,,0-0,,
11:22.0,Z. Pachulia misses 2-pt shot from 10 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by T. Thompson
11:07.0,,,0-0,,T. Thompson misses 2-pt shot from 9 ft
11:06.0,,,0-0,,Offensive rebound by T. Thompson
11:04.0,,,0-0,,T. Thompson misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
11:01.0,Defensive rebound by B. Knight,,0-0,,
10:57.0,B. Knight makes 3-pt shot from 26 ft,3,3-0,,
10:44.0,,,3-0,,K. Irving misses 2-pt shot from 17 ft
10:43.0,Defensive rebound by K. Middleton,,3-0,,
10:37.0,B. Knight makes 3-pt shot from 25 ft,3,6-0,,
10:15.0,,,6-0,,Turnover by M. Dellavedova (bad pass)
10:04.0,,,6-0,,Violation by B. Haywood (kicked ball)
10:00.0,Shooting foul by M. Miller (drawn by G. Antetokounmpo),,6-0,,
10:00.0,G. Antetokounmpo misses free throw 1 of 2,,6-0,,
10:00.0,Offensive rebound by Team,,6-0,,
10:00.0,G. Antetokounmpo makes free throw 2 of 2,1,7-0,,
9:47.0,,,7-3,3,M. Miller makes 3-pt shot from 24 ft (assist by K. Irving)
9:30.0,K. Middleton misses 2-pt shot from 6 ft,,7-3,,
9:29.0,,,7-3,,Defensive rebound by T. Thompson
9:19.0,,,7-5,2,T. Thompson makes 2-pt shot from 2 ft (assist by K. Irving)
9:09.0,B. Knight misses 2-pt shot from 14 ft,,7-5,,
9:08.0,,,7-5,,Defensive rebound by K. Irving
8:50.0,,,7-7,2,T. Thompson makes 2-pt shot from 7 ft (assist by M. Miller)
8:33.0,K. Middleton misses 2-pt shot from 9 ft,,7-7,,
8:31.0,,,7-7,,Defensive rebound by M. Miller
8:29.0,,,7-7,,Turnover by M. Miller (bad pass; steal by B. Knight)
8:23.0,Shooting foul by B. Haywood (drawn by K. Middleton),,7-7,,
8:23.0,K. Middleton misses free throw 1 of 2,,7-7,,
8:23.0,Offensive rebound by Team,,7-7,,
8:23.0,K. Middleton makes free throw 2 of 2,1,8-7,,
8:08.0,,,8-9,2,M. Miller makes 2-pt shot from 19 ft
7:48.0,,,8-9,,Personal foul by M. Miller (drawn by G. Antetokounmpo)
7:48.0,,,8-9,,J. Harris enters the game for M. Miller
7:44.0,Z. Pachulia misses 2-pt shot from 2 ft (block by B. Haywood),,8-9,,
7:41.0,,,8-9,,Defensive rebound by B. Haywood
7:39.0,,,8-9,,Turnover by B. Haywood (bad pass; steal by J. O'Bryant)
7:24.0,J. O'Bryant misses 2-pt shot from 15 ft,,8-9,,
7:23.0,,,8-9,,Defensive rebound by T. Thompson
7:09.0,,,8-9,,K. Irving misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by G. Antetokounmpo,,8-9,,
6:59.0,B. Knight misses 3-pt shot from 25 ft,,8-9,,
6:58.0,Offensive rebound by J. O'Bryant,,8-9,,
6:44.0,K. Middleton makes 3-pt shot from 25 ft (assist by G. Antetokounmpo),3,11-9,,
6:30.0,Personal foul by B. Knight (drawn by K. Irving),,11-9,,
6:30.0,J. Dudley enters the game for J. O'Bryant,,11-9,,
6:30.0,,,11-9,,L. Amundson enters the game for B. Haywood
6:24.0,,,11-9,,Shooting foul by Z. Pachulia (drawn by T. Thompson)
6:24.0,,,11-10,1,T. Thompson makes free throw 1 of 2
6:24.0,,,11-10,,D. Waiters enters the game for M. Dellavedova
6:24.0,,,11-11,1,T. Thompson makes free throw 2 of 2
6:11.0,Z. Pachulia makes 2-pt shot at rim (assist by J. Dudley),2,13-11,,
5:41.0,,,13-11,,J. Harris misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by K. Middleton,,13-11,,
5:23.0,Turnover by K. Middleton (bad pass; steal by D. Waiters),,13-11,,
5:13.0,,,13-13,2,K. Irving makes 2-pt shot from 4 ft (assist by T. Thompson)
4:57.0,Turnover by G. Antetokounmpo (bad pass),,13-13,,
4:57.0,,,13-13,,Cleveland full timeout
4:57.0,J. Henson enters the game for Z. Pachulia,,13-13,,
4:43.0,,,13-13,,L. Amundson misses 2-pt shot at rim
4:41.0,,,13-13,,Offensive rebound by T. Thompson
4:41.0,,,13-13,,T. Thompson misses 2-pt shot from 1 ft
4:40.0,Defensive rebound by K. Middleton,,13-13,,
4:26.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,15-13,,
4:16.0,,,15-15,2,D. Waiters makes 2-pt shot from 1 ft
4:02.0,G. Antetokounmpo misses 2-pt shot from 4 ft (block by J. Harris),,15-15,,
4:00.0,Offensive rebound by J. Henson,,15-15,,
3:57.0,K. Middleton makes 3-pt shot from 24 ft (assist by J. Henson),3,18-15,,
3:42.0,,,18-15,,J. Harris misses 3-pt shot from 24 ft
3:41.0,,,18-15,,Offensive rebound by T. Thompson
3:37.0,,,18-15,,T. Thompson misses 2-pt shot from 4 ft
3:36.0,Defensive rebound by K. Middleton,,18-15,,
3:26.0,J. Henson makes 2-pt shot at rim (assist by B. Knight),2,20-15,,
3:11.0,Def 3 sec tech foul by J. Henson,,20-15,,
3:11.0,,,20-16,1,K. Irving makes technical free throw
3:10.0,O. Mayo enters the game for G. Antetokounmpo,,20-16,,
3:10.0,,,20-16,,M. Miller enters the game for K. Irving
3:10.0,,,20-16,,J. Jones enters the game for L. Amundson
3:10.0,,,20-16,,M. Dellavedova enters the game for J. Harris
2:58.0,,,20-16,,M. Dellavedova misses 2-pt shot from 10 ft
