time,Utah,pts.away,score,pts.home,Toronto
10:57.0,D. Exum makes 3-pt shot from 22 ft (assist by G. Hayward),3,29-25,,
10:42.0,,,29-25,,G. Vasquez misses 2-pt shot from 3 ft
10:40.0,,,29-25,,Offensive rebound by P. Patterson
10:38.0,,,29-25,,Turnover by P. Patterson (bad pass; steal by D. Exum)
10:33.0,J. Ingles misses 3-pt shot from 24 ft,,29-25,,
10:31.0,Offensive rebound by R. Gobert,,29-25,,
10:18.0,G. Hayward misses 2-pt shot from 20 ft,,29-25,,
10:17.0,,,29-25,,Defensive rebound by Team
10:17.0,Loose ball foul by G. Hayward (drawn by P. Patterson),,29-25,,
10:01.0,,,29-25,,P. Patterson misses 2-pt shot from 12 ft
9:59.0,Defensive rebound by R. Gobert,,29-25,,
9:36.0,J. Ingles misses 2-pt shot from 4 ft,,29-25,,
9:34.0,,,29-25,,Defensive rebound by J. Johnson
9:21.0,,,29-28,3,L. Williams makes 3-pt shot from 22 ft
9:04.0,R. Gobert misses 2-pt shot at rim (block by J. Johnson),,29-28,,
9:01.0,,,29-28,,Defensive rebound by T. Hansbrough
8:55.0,,,29-28,,L. Williams misses 2-pt shot from 2 ft
8:54.0,,,29-28,,Offensive rebound by J. Johnson
8:51.0,,,29-30,2,J. Johnson makes 2-pt shot at rim
8:45.0,Official timeout,,29-30,,
8:30.0,T. Booker misses 3-pt shot from 23 ft,,29-30,,
8:29.0,,,29-30,,Defensive rebound by G. Vasquez
8:11.0,,,29-30,,P. Patterson misses 3-pt shot from 23 ft
8:10.0,Defensive rebound by G. Hayward,,29-30,,
8:01.0,Shooting foul by T. Hansbrough (drawn by T. Booker),,29-30,,
8:01.0,T. Booker makes free throw 1 of 2,1,30-30,,
8:01.0,T. Burke enters the game for J. Ingles,,30-30,,
8:01.0,T. Booker makes free throw 2 of 2,1,31-30,,
7:48.0,,,31-30,,Turnover by L. Williams (bad pass)
7:32.0,T. Booker makes 3-pt shot from 24 ft (assist by G. Hayward),3,34-30,,
7:17.0,,,34-30,,G. Vasquez misses 2-pt shot from 10 ft
7:15.0,Defensive rebound by T. Burke,,34-30,,
7:04.0,Turnover by R. Gobert (bad pass; steal by P. Patterson),,34-30,,
6:49.0,,,34-30,,G. Vasquez misses 2-pt shot from 8 ft
6:47.0,Defensive rebound by R. Gobert,,34-30,,
6:37.0,Turnover by D. Exum (bad pass; steal by L. Williams),,34-30,,
6:29.0,,,34-30,,P. Patterson misses 3-pt shot from 24 ft
6:27.0,,,34-30,,Offensive rebound by T. Hansbrough
6:20.0,,,34-32,2,P. Patterson makes 2-pt shot from 8 ft (assist by J. Johnson)
6:01.0,Shooting foul by P. Patterson (drawn by R. Gobert),,34-32,,
6:01.0,R. Gobert misses free throw 1 of 2,,34-32,,
6:01.0,Offensive rebound by Team,,34-32,,
6:01.0,,,34-32,,D. DeRozan enters the game for G. Vasquez
6:01.0,R. Gobert makes free throw 2 of 2,1,35-32,,
