time,Utah,pts.away,score,pts.home,Toronto
2:08.0,R. Gobert makes 2-pt shot from 3 ft,2,92-106,,
2:08.0,Shooting foul by J. Valanciunas (drawn by R. Gobert),,92-106,,
2:08.0,I. Clark enters the game for T. Burke,,92-106,,
2:08.0,J. Evans enters the game for E. Kanter,,92-106,,
2:08.0,R. Gobert makes free throw 1 of 1,1,93-106,,
1:55.0,,,93-109,3,K. Lowry makes 3-pt shot from 26 ft
1:45.0,I. Clark misses 3-pt shot from 25 ft,,93-109,,
1:44.0,,,93-109,,Defensive rebound by K. Lowry
1:22.0,,,93-109,,L. Williams misses 2-pt shot from 17 ft (block by I. Clark)
1:20.0,,,93-109,,Offensive rebound by L. Williams
1:18.0,,,93-109,,L. Williams misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by A. Burks,,93-109,,
1:16.0,Offensive charge foul by A. Burks,,93-109,,
1:16.0,Turnover by A. Burks (offensive foul),,93-109,,
0:57.0,,,93-109,,D. DeRozan misses 3-pt shot from 24 ft
0:56.0,Defensive rebound by D. Exum,,93-109,,
0:46.0,Turnover by D. Exum (bad pass; steal by K. Lowry),,93-109,,
0:29.0,,,93-109,,K. Lowry misses 3-pt shot from 26 ft
0:28.0,,,93-109,,Offensive rebound by P. Patterson
0:04.0,,,93-111,2,P. Patterson makes 2-pt shot from 12 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
